Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-01-07T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 30,Jan 3,Jan 4,Jan 5,Jan 6,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 30,Jan 3,Jan 4,Jan 5,Jan 6,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1172.7,1179.4,1195.5,1182.4,1182.5,1189.4,1180.6,0.1,0.01,1195.5,1172.7,16.8,1.44,1258.2,1165.7,-74.2,-5.91,1195.5,1179.4,9.8,0.83,1557.8,1140.6,-316.1,-21.09,8033.5,8079.0,8189.7,8099.6,8100.3,8189.7,8033.5,115.0,1.44,8614.3,7985.3,-503.6,-5.85,8189.7,8079.0,66.8,0.83,10210.5,7636.0,-1667.6,-17.07,,
XSJ,Consumer Staples,7333.1,7382.6,7562.4,7495.9,7451.8,7501.6,7438.8,-44.1,-0.59,7562.4,7333.1,75.0,1.02,7719.4,7333.1,-220.2,-2.87,7562.4,7382.6,118.7,1.62,8013.9,7011.2,-128.9,-1.70,53661.0,54023.4,55339.0,54852.0,54529.2,55339.0,53661.0,548.4,1.02,56426.5,53661.0,-1551.3,-2.77,55339.0,54023.4,868.2,1.62,56761.7,49979.4,1664.6,3.15,,
XEJ,Energy,12743.2,12824.6,13105.8,12877.8,12850.2,12950.1,12811.4,-27.6,-0.21,13105.8,12743.2,36.4,0.28,13887.8,12603.9,-953.1,-6.90,13105.8,12824.6,107.0,0.84,17736.5,11605.0,-3255.2,-20.21,84972.9,85515.8,87390.7,85870.6,85686.0,87390.7,84972.9,242.1,0.28,92605.2,84043.6,-6355.5,-6.91,87390.7,85515.8,713.0,0.84,116809.6,77383.0,-19348.6,-18.42,,
XFJ,Financials,3905.9,3946.5,4016.2,3980.9,3944.3,3986.2,3941.0,-36.6,-0.92,4016.2,3905.9,16.5,0.42,4104.0,3901.4,-123.9,-3.04,4016.2,3944.3,38.4,0.98,4666.6,3596.7,-386.3,-8.92,34450.9,34808.5,35423.1,35111.6,34789.3,35423.1,34450.9,145.8,0.42,36101.3,34318.9,-996.5,-2.78,35423.1,34789.3,338.3,0.98,38822.8,30965.7,-1016.7,-2.84,,
XXJ,Financial-x-A-REIT,4505.4,4551.9,4619.9,4571.4,4524.2,4578.7,4517.6,-47.2,-1.03,4619.9,4505.4,-4.3,-0.09,4717.5,4474.1,-154.7,-3.31,4619.9,4524.2,18.8,0.42,5430.9,4119.7,-497.1,-9.90,38109.9,38503.4,39078.6,38668.3,38268.7,39078.6,38109.9,-36.5,-0.10,39902.9,37844.1,-1307.4,-3.30,39078.6,38268.7,158.8,0.42,43285.0,34142.5,-1534.9,-3.86,,
XHJ,Health Care,7987.6,8031.0,8100.4,8019.5,7968.2,8041.2,7968.2,-51.3,-0.64,8100.4,7968.2,-69.4,-0.86,8171.2,7895.2,-37.4,-0.47,8100.4,7968.2,-19.4,-0.24,9186.8,7082.8,-916.9,-10.32,47661.6,47920.5,48334.2,47851.5,47545.8,48334.2,47545.8,-414.1,-0.86,48757.2,47110.3,-222.9,-0.47,48334.2,47545.8,-115.8,-0.24,53892.5,41891.0,-3996.3,-7.75,,
XNJ,Industrials,3337.8,3382.9,3454.7,3411.1,3388.9,3423.8,3379.6,-22.2,-0.65,3454.7,3337.8,52.6,1.58,3508.2,3336.3,-110.2,-3.15,3454.7,3382.9,51.1,1.53,3870.5,3031.9,-352.8,-9.43,25500.2,25844.8,26393.6,26060.7,25890.7,26393.6,25500.2,401.8,1.58,26650.0,25356.8,-665.4,-2.51,26393.6,25844.8,390.4,1.53,28566.6,22990.4,-1707.8,-6.19,,
XIJ,Info Technology,498.5,503.8,509.2,501.1,496.9,501.7,493.9,-4.2,-0.84,509.2,496.9,-1.8,-0.36,509.2,488.7,-3.5,-0.69,509.2,496.9,-1.6,-0.32,666.6,458.0,-149.9,-23.18,3046.7,3078.8,3112.2,3062.5,3036.5,3112.2,3036.5,-11.3,-0.37,3112.2,2986.6,-21.5,-0.70,3112.2,3036.5,-10.2,-0.33,3919.5,2743.0,-766.7,-20.16,,
XMJ,Materials,10492.6,10665.2,10987.7,10851.7,10733.0,10861.1,10730.2,-118.7,-1.09,10987.7,10492.6,223.9,2.13,11432.3,10489.3,-617.3,-5.44,10987.7,10665.2,240.4,2.29,15046.2,10436.7,-3149.4,-22.69,67906.8,69023.5,71110.7,70230.7,69462.3,71110.7,67906.8,1448.6,2.13,73983.6,67885.3,-3990.4,-5.43,71110.7,69023.5,1555.5,2.29,96133.1,67434.3,-18493.0,-21.03,,
XPJ,A-REIT,777.5,785.8,810.8,810.8,808.1,811.6,806.8,-2.7,-0.33,810.8,777.5,24.4,3.11,831.7,777.5,-14.0,-1.70,810.8,785.8,30.6,3.93,887.0,708.9,-31.3,-3.73,19068.1,19271.5,19885.1,19884.4,19818.7,19885.1,19068.1,597.8,3.11,20068.5,19068.1,-18.5,-0.09,19885.1,19271.5,750.6,3.94,20646.7,17036.7,475.7,2.46,,
XTJ,Telecommunications,1135.5,1145.3,1161.1,1148.1,1135.0,1148.1,1134.8,-13.1,-1.14,1161.1,1135.0,-3.7,-0.32,1161.1,1102.3,38.4,3.50,1161.1,1135.0,-0.5,-0.05,1161.1,891.0,181.2,19.00,11619.4,11719.1,11880.8,11747.8,11613.5,11880.8,11613.5,-37.9,-0.32,11880.8,11217.1,396.4,3.53,11880.8,11613.5,-5.8,-0.05,11880.8,8708.4,2693.7,30.20,,
XUJ,Utilities,4544.4,4563.2,4622.1,4599.6,4584.0,4609.2,4550.2,-15.6,-0.34,4622.1,4544.4,32.1,0.71,4623.0,4501.3,53.8,1.19,4622.1,4563.2,39.6,0.87,4623.0,3990.1,152.9,3.45,42182.5,42357.6,42904.4,42695.6,42550.7,42904.4,42182.5,298.3,0.71,42904.4,41303.8,981.9,2.36,42904.4,42357.6,368.2,0.87,42904.4,35021.3,3939.0,10.20,,
XMM,Metals & Mining,3721.7,3789.0,3912.6,3867.0,3828.2,3876.8,3827.5,-38.8,-1.00,3912.6,3721.7,99.8,2.68,4086.9,3721.6,-228.1,-5.62,3912.6,3789.0,106.5,2.86,5491.6,3721.6,-1226.3,-24.26,4955.4,5045.1,5209.6,5148.9,5097.3,5209.6,4955.4,132.9,2.68,5441.6,4955.3,-303.6,-5.62,5209.6,5045.1,141.9,2.86,7235.3,4955.3,-1507.6,-22.83,,
XGD,Gold,6034.0,6209.2,6301.9,6256.3,6302.3,6317.0,6236.6,46.0,0.74,6302.3,6034.0,262.4,4.34,6920.8,6034.0,-652.6,-9.38,6302.3,6209.2,268.3,4.45,8435.7,6034.0,-1424.7,-18.44,6893.8,7094.0,7199.9,7147.8,7200.3,7200.3,6893.8,299.8,4.34,7944.9,6893.8,-744.6,-9.37,7200.3,7094.0,306.6,4.45,9595.8,6893.8,-1570.2,-17.90,,
XJR,S&P/ASX 200 Res,4369.3,4435.9,4569.9,4508.8,4471.7,4522.8,4469.7,-37.1,-0.82,4569.9,4369.3,89.9,2.05,4782.7,4358.8,-280.6,-5.90,4569.9,4435.9,102.4,2.34,6355.0,4291.7,-1357.8,-23.29,21769.1,22101.1,22768.8,22464.0,22279.2,22768.8,21769.1,447.9,2.05,23828.7,21716.9,-1398.0,-5.90,22768.8,22101.1,510.1,2.34,31311.1,21378.1,-6193.6,-21.75,,
,
