Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-07-12T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 7,Jul 8,Jul 9,Jul 10,Jul 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 7,Jul 8,Jul 9,Jul 10,Jul 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5506.3,5498.5,5442.2,5454.3,5474.6,5490.0,5432.7,20.3,0.37,5506.3,5442.2,-37.2,-0.68,5511.8,5363.9,42.1,0.78,5516.1,5088.7,121.5,2.27,5516.1,5088.7,517.1,10.43,46063.7,45999.0,45527.9,45629.0,45799.0,46063.7,45527.9,-311.0,-0.67,46110.0,44760.9,466.1,1.03,46110.0,41681.2,1954.0,4.46,46110.0,39747.9,6066.4,15.27,,
XAF,All Australian 50,5623.8,5612.2,5557.1,5567.2,5594.3,5611.3,5544.9,27.1,0.49,5623.8,5557.1,-33.4,-0.59,5627.7,5472.7,29.2,0.52,5650.1,5175.5,136.5,2.50,5650.1,5175.5,530.4,10.47,48365.0,48265.3,47791.5,47877.9,48111.0,48365.0,47791.5,-286.9,-0.59,48397.9,47052.5,364.2,0.76,48397.9,43505.3,2232.6,4.87,48397.9,41616.6,6522.3,15.68,,
XAT,All Australian 200,5476.6,5468.8,5410.8,5422.9,5445.2,5461.4,5400.3,22.3,0.41,5476.6,5410.8,-37.1,-0.68,5482.3,5334.2,34.4,0.64,5493.5,5028.8,140.5,2.65,5493.5,5028.8,509.3,10.32,46778.2,46711.8,46216.7,46319.9,46510.5,46778.2,46216.7,-317.0,-0.68,46827.5,45496.1,409.9,0.89,46827.5,42022.3,2183.1,4.92,46827.5,40309.3,6186.0,15.34,,
XTL,S&P/ASX 20,3476.0,3467.3,3434.5,3437.3,3456.6,3467.3,3423.5,19.3,0.56,3476.0,3434.5,-22.5,-0.65,3479.1,3376.2,11.2,0.32,3508.1,3184.2,78.2,2.31,3508.1,3184.2,348.5,11.21,58713.3,58567.5,58012.7,58060.8,58386.4,58713.3,58012.7,-380.4,-0.65,58766.8,57028.5,220.9,0.38,58922.5,52576.0,2603.8,4.67,58922.5,50230.7,8240.3,16.43,,
XFL,S&P/ASX 50,5688.3,5676.4,5620.6,5630.4,5658.0,5675.1,5608.0,27.6,0.49,5688.3,5620.6,-34.2,-0.60,5692.2,5535.7,28.8,0.51,5715.6,5238.2,131.1,2.37,5715.6,5238.2,536.2,10.47,48832.4,48730.6,48251.4,48335.7,48571.9,48832.4,48251.4,-293.8,-0.60,48865.7,47512.2,360.7,0.75,48865.7,43959.9,2189.0,4.72,48865.7,42035.4,6570.7,15.64,,
XTO,S&P/ASX 100,4590.2,4582.1,4533.2,4542.2,4562.8,4576.2,4523.6,20.6,0.45,4590.2,4533.2,-31.9,-0.69,4594.7,4470.2,24.1,0.53,4605.4,4210.6,117.6,2.64,4605.4,4210.6,441.7,10.72,11927.4,11906.4,11779.2,11802.6,11856.3,11927.4,11779.2,-82.7,-0.69,11938.9,11605.9,91.7,0.78,11938.9,10700.4,559.5,4.95,11938.9,10236.1,1618.1,15.80,,
XJO,S&P/ASX 200,5518.9,5510.9,5452.5,5464.4,5486.8,5503.1,5441.7,22.4,0.41,5518.9,5452.5,-38.2,-0.69,5525.0,5375.9,32.8,0.60,5536.1,5070.3,134.6,2.51,5536.1,5070.3,512.9,10.31,47042.8,46975.0,46476.7,46578.6,46769.1,47042.8,46476.7,-325.5,-0.69,47094.6,45767.4,395.7,0.85,47094.6,42284.9,2134.0,4.78,47094.6,40547.9,6206.6,15.30,,
XVI,S&P/ASX 200 VIX,10.702,10.507,11.372,10.750,9.610,10.604,9.331,-1.140,-10.60,11.372,9.610,0.000,0.00,12.224,9.610,0.000,0.00,18.372,0.147,0.000,0.00,18.372,0.147,0.000,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5462.4,5454.5,5398.1,5410.9,5432.6,5448.5,5388.9,21.7,0.40,5462.4,5398.1,-35.6,-0.65,5468.2,5321.7,38.1,0.71,5476.4,5027.6,127.8,2.41,5476.4,5027.6,501.5,10.17,46394.2,46327.0,45847.5,45956.1,46140.5,46394.2,45847.5,-302.2,-0.65,46442.7,45109.5,439.2,0.96,46442.7,41785.8,2051.7,4.65,46442.7,40079.3,6057.2,15.11,,
XMD,S&P/ASX MidCap 50,4621.2,4625.9,4542.0,4560.9,4568.0,4578.0,4529.1,7.1,0.16,4625.9,4542.0,-69.0,-1.49,4637.0,4487.3,32.8,0.72,4637.0,4099.4,218.5,5.02,4637.0,4099.4,519.6,12.84,12350.4,12363.0,12139.0,12189.4,12208.4,12363.0,12139.0,-184.3,-1.49,12392.6,11952.9,128.0,1.06,12392.6,10758.1,794.0,6.96,12392.6,10166.9,1780.7,17.08,,
