Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-23T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 15,Apr 18,Apr 19,Apr 20,Apr 21,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 15,Apr 18,Apr 19,Apr 20,Apr 21,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4939.3,4945.4,4874.3,4940.2,4995.7,4996.5,4946.8,55.5,1.12,4995.7,4874.3,23.3,0.47,5064.9,4737.7,261.6,5.53,5064.9,4609.9,148.8,3.07,5064.9,4250.6,58.9,1.19,35915.0,35959.9,35443.3,35922.4,36326.2,36326.2,35443.3,171.0,0.47,36827.4,34400.4,1925.8,5.60,36827.4,33473.5,1513.5,4.35,36827.4,29893.9,1824.5,5.29,,
XAF,ALL Australian 50,4822.2,4832.8,4769.7,4834.3,4887.3,4889.4,4841.2,53.0,1.10,4887.3,4769.7,32.0,0.66,4939.1,4605.6,281.1,6.10,4939.1,4507.3,205.1,4.38,4939.1,4220.3,-25.9,-0.53,35624.9,35703.6,35237.1,35714.6,36105.5,36105.5,35237.1,235.8,0.66,36488.5,34019.0,2082.0,6.12,36488.5,33259.8,1958.9,5.74,36488.5,30076.1,1340.9,3.86,,
XAT,ALL Australian 200,4855.1,4863.8,4794.9,4861.7,4917.4,4918.9,4869.2,55.7,1.15,4917.4,4794.9,29.9,0.61,4976.2,4647.1,270.6,5.82,4976.2,4531.8,166.9,3.51,4976.2,4218.4,12.0,0.24,35801.8,35866.3,35358.2,35850.4,36261.3,36261.3,35358.2,220.8,0.61,36695.0,34251.5,2009.8,5.87,36695.0,33376.2,1670.4,4.83,36695.0,30043.8,1570.2,4.53,,
XTL,S&P/Asx 20,2930.8,2938.8,2901.1,2941.0,2971.1,2973.0,2945.4,30.1,1.02,2971.1,2901.1,18.4,0.62,2998.7,2784.3,185.9,6.68,2998.7,2726.8,139.0,4.91,2998.7,2560.9,-25.5,-0.85,42415.2,42531.0,41985.0,42562.3,42997.5,42997.5,41985.0,266.8,0.62,43396.5,40294.9,2690.4,6.67,43396.5,39420.6,2543.9,6.29,43396.5,35716.1,1514.2,3.65,,
XFL,S&P/Asx 50,4837.4,4848.7,4785.3,4849.6,4902.4,4904.7,4856.4,52.8,1.09,4902.4,4785.3,31.7,0.65,4953.4,4621.3,281.1,6.08,4953.4,4522.6,209.1,4.46,4953.4,4235.3,-31.1,-0.63,35707.5,35791.6,35323.3,35797.6,36187.4,36187.4,35323.3,233.6,0.65,36564.0,34106.7,2080.6,6.10,36564.0,33345.4,1984.8,5.80,36564.0,30164.1,1294.0,3.71,,
XTO,S&P/Asx 100,3955.6,3964.0,3909.7,3961.9,4005.9,4007.6,3967.6,44.0,1.11,4005.9,3909.7,25.0,0.63,4049.1,3780.8,225.2,5.96,4049.1,3695.3,152.6,3.96,4049.1,3455.4,-9.9,-0.25,8857.5,8876.3,8754.8,8871.5,8970.1,8970.1,8754.8,56.0,0.63,9067.0,8462.9,507.1,5.99,9067.0,8264.4,451.6,5.30,9067.0,7468.5,352.5,4.09,,
XJO,S&P/Asx 200,4852.1,4861.9,4793.3,4859.0,4913.8,4915.5,4866.4,54.8,1.13,4913.8,4793.3,29.6,0.61,4971.2,4643.4,271.0,5.84,4971.2,4528.7,168.6,3.55,4971.2,4222.1,6.4,0.13,35740.8,35812.3,35307.3,35791.1,36195.0,36195.0,35307.3,217.7,0.61,36617.7,34185.2,2009.8,5.88,36617.7,33317.6,1676.4,4.86,36617.7,30045.0,1517.5,4.38,,
XKO,S&P/Asx 300,4864.8,4873.6,4804.5,4870.4,4924.9,4926.7,4877.7,54.5,1.12,4924.9,4804.5,28.0,0.57,4984.1,4657.0,270.4,5.81,4984.1,4537.2,164.1,3.45,4984.1,4214.7,22.0,0.45,35755.4,35820.5,35312.1,35796.5,36197.0,36197.0,35312.1,205.7,0.57,36632.1,34194.8,2002.2,5.86,36632.1,33306.3,1636.6,4.74,36632.1,29938.5,1609.9,4.65,,
XMD,S&P/Asx Midcap 50,4448.2,4449.6,4367.6,4422.9,4479.4,4479.6,4430.4,56.5,1.28,4479.4,4367.6,20.4,0.46,4573.1,4264.7,212.4,4.98,4573.1,4130.0,11.9,0.27,4573.1,3797.0,123.5,2.83,10438.6,10441.9,10249.5,10379.1,10511.8,10511.8,10249.5,47.8,0.46,10728.9,9992.7,515.8,5.16,10728.9,9674.0,163.2,1.58,10728.9,8628.5,701.7,7.15,,
XSO,S&P/Asx Small Ords,2827.4,2824.4,2770.8,2819.0,2852.8,2852.8,2824.8,33.8,1.20,2852.8,2770.8,1.0,0.04,2920.5,2737.2,120.7,4.42,2946.3,2592.6,-39.7,-1.37,2946.3,2229.7,208.1,7.87,6406.9,6400.3,6278.8,6388.1,6464.5,6464.5,6278.8,2.3,0.04,6617.6,6182.8,281.7,4.56,6625.3,5867.0,-37.8,-0.58,6625.3,4946.8,623.3,10.67,,
XDJ,Cons Discretionary,1480.3,1489.8,1471.4,1482.1,1491.1,1495.2,1482.3,9.0,0.61,1491.1,1471.4,5.8,0.39,1514.8,1455.1,34.8,2.39,1557.8,1429.2,-9.7,-0.64,1661.5,1424.3,-160.5,-9.72,9855.7,9918.7,9796.3,9867.4,9927.2,9927.2,9796.3,38.6,0.39,10062.3,9630.5,289.3,3.00,10210.5,9458.7,144.9,1.48,10622.7,9106.3,-631.9,-5.98,,
