Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-10-01T23:15:14+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 26,Sep 27,Sep 28,Sep 29,Sep 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,3927.6,4063.5,4097.7,4067.9,4070.1,4094.1,4043.8,2.2,0.05,4097.7,3927.6,91.6,2.30,4382.7,3927.6,-271.3,-6.25,5064.9,3927.6,-776.8,-16.03,5064.9,3927.6,-564.6,-12.18,29204.1,30215.1,30470.1,30248.3,30270.1,30470.1,29204.1,705.8,2.39,32414.5,29204.1,-1809.1,-5.64,36827.4,29204.1,-4542.7,-13.05,36827.4,29204.1,-2775.3,-8.40,,
XAF,All Australian 50,3853.0,3993.4,4026.8,3998.3,3998.1,4026.4,3967.7,-0.2,-0.01,4026.8,3853.0,116.6,3.00,4264.5,3853.0,-223.1,-5.29,4939.1,3853.0,-684.1,-14.61,4939.1,3853.0,-560.9,-12.30,29181.9,30245.3,30498.3,30282.4,30280.9,30498.3,29181.9,894.9,3.05,32132.8,29181.9,-1502.5,-4.73,36488.5,29181.9,-3865.7,-11.32,36488.5,29181.9,-2689.3,-8.16,,
XAT,All Australian 200,3855.4,3997.3,4032.6,4001.6,4002.2,4028.7,3973.7,0.6,0.01,4032.6,3855.4,106.0,2.72,4304.8,3855.4,-263.7,-6.18,4976.2,3855.4,-748.3,-15.75,4976.2,3855.4,-579.1,-12.64,29116.8,30188.4,30454.7,30220.7,30227.1,30454.7,29116.8,817.4,2.78,32341.4,29116.8,-1789.8,-5.59,36695.0,29116.8,-4363.9,-12.62,36695.0,29116.8,-2863.2,-8.65,,
XTL,S&P/ASX 20,2334.2,2422.6,2445.8,2427.9,2426.5,2443.7,2405.1,-1.4,-0.06,2445.8,2334.2,79.1,3.37,2582.8,2334.2,-131.7,-5.15,2998.7,2334.2,-405.6,-14.32,2998.7,2334.2,-331.8,-12.03,34671.5,35985.3,36329.2,36064.0,36042.8,36329.2,34671.5,1184.0,3.40,38160.0,34671.5,-1738.6,-4.60,43396.5,34671.5,-4410.8,-10.90,43396.5,34671.5,-3020.0,-7.73,,
XFL,S&P/ASX 50,3876.7,4017.2,4050.0,4021.8,4021.2,4049.7,3991.0,-0.6,-0.01,4050.0,3876.7,116.9,2.99,4283.6,3876.7,-219.1,-5.17,4953.4,3876.7,-672.1,-14.32,4953.4,3876.7,-549.1,-12.01,29332.3,30395.6,30643.2,30430.4,30425.7,30643.2,29332.3,896.3,3.04,32246.0,29332.3,-1471.4,-4.61,36564.0,29332.3,-3776.9,-11.04,36564.0,29332.3,-2605.7,-7.89,,
XTO,S&P/ASX 100,3155.5,3269.8,3297.6,3272.0,3271.8,3294.1,3248.1,-0.2,-0.01,3297.6,3155.5,91.9,2.89,3504.1,3155.5,-200.3,-5.77,4049.1,3155.5,-581.5,-15.09,4049.1,3155.5,-461.2,-12.35,7240.1,7502.4,7566.2,7507.5,7507.6,7566.2,7240.1,214.9,2.95,7998.5,7240.1,-409.7,-5.17,9067.0,7240.1,-1010.9,-11.87,9067.0,7240.1,-676.7,-8.27,,
XJO,S&P/ASX 200,3863.9,4004.6,4039.5,4008.3,4008.6,4035.3,3980.5,0.3,0.01,4039.5,3863.9,105.4,2.70,4307.5,3863.9,-260.6,-6.10,4971.2,3863.9,-736.6,-15.52,4971.2,3863.9,-570.6,-12.46,29145.7,30206.9,30470.6,30234.8,30239.4,30470.6,29145.7,813.1,2.76,32322.4,29145.7,-1763.4,-5.51,36617.7,29145.7,-4279.1,-12.40,36617.7,29145.7,-2805.8,-8.49,,
XKO,S&P/ASX 300,3860.9,4001.2,4036.7,4005.4,4006.3,4031.9,3978.6,0.9,0.02,4036.7,3860.9,102.1,2.61,4311.9,3860.9,-266.1,-6.23,4984.1,3860.9,-754.5,-15.85,4984.1,3860.9,-576.0,-12.57,29050.7,30106.7,30373.3,30138.2,30147.3,30373.3,29050.7,786.5,2.68,32276.1,29050.7,-1801.2,-5.64,36632.1,29050.7,-4413.0,-12.77,36632.1,29050.7,-2855.4,-8.65,,
XMD,S&P/ASX MidCap 50,3417.4,3540.3,3581.3,3528.9,3531.9,3547.9,3514.3,3.0,0.09,3581.3,3417.4,70.4,2.03,3950.0,3417.4,-410.9,-10.42,4573.1,3417.4,-935.6,-20.94,4573.1,3417.4,-627.3,-15.08,8196.8,8491.6,8590.1,8464.4,8476.6,8590.1,8196.8,182.5,2.20,9417.9,8196.8,-894.3,-9.54,10728.9,8196.8,-1872.0,-18.09,10728.9,8196.8,-1080.4,-11.31,,
XSO,S&P/ASX Small Ords,2137.3,2217.6,2244.7,2227.8,2233.9,2240.4,2223.1,6.1,0.27,2244.7,2137.3,0.1,0.01,2518.0,2137.3,-260.8,-10.45,2946.3,2137.3,-658.6,-22.77,2946.3,2137.3,-379.5,-14.52,4915.5,5100.3,5162.4,5123.6,5139.5,5162.4,4915.5,9.0,0.18,5760.5,4915.5,-562.8,-9.87,6625.3,4915.5,-1362.8,-20.96,6625.3,4915.5,-710.5,-12.14,,
XDJ,Consumer Discretionary,1153.6,1176.3,1192.2,1177.9,1181.4,1184.3,1176.6,3.5,0.30,1192.2,1153.6,22.5,1.94,1233.0,1144.4,-38.5,-3.15,1557.8,1140.6,-319.4,-21.28,1572.1,1140.6,-349.7,-22.84,7866.6,8022.1,8130.5,8032.5,8056.5,8130.5,7866.6,187.3,2.38,8308.8,7760.5,-126.2,-1.54,10210.5,7636.0,-1725.8,-17.64,10246.9,7636.0,-1881.0,-18.93,,
XSJ,Consumer Staples,7445.2,7588.0,7621.7,7596.4,7562.3,7620.3,7544.4,-34.1,-0.45,7621.7,7445.2,207.0,2.81,7621.7,7273.0,121.1,1.63,8013.9,7011.2,-152.2,-1.97,8351.9,7011.2,-581.0,-7.13,54404.8,55448.5,55694.5,55509.8,55260.3,55694.5,54404.8,1512.8,2.81,55694.5,52693.1,1566.5,2.92,56701.2,49979.4,1462.4,2.72,58005.7,49979.4,-1296.5,-2.29,,
