Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-22T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 17,Mar 18,Mar 19,Mar 20,Mar 21,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5335.2,5360.2,5372.9,5312.7,5354.0,5354.0,5312.7,41.3,0.78,5372.9,5312.7,6.9,0.13,5477.0,5312.7,-95.4,-1.75,5477.0,5088.7,0.9,0.02,5477.0,5088.7,373.2,7.49,44231.3,44439.2,44545.0,44046.0,44387.9,44545.0,44046.0,94.8,0.21,45361.7,44046.0,-388.4,-0.87,45361.7,41681.2,542.9,1.24,45361.7,37129.1,4792.9,12.10,,
XAF,All Australian 50,5400.3,5429.2,5437.7,5376.3,5424.1,5424.1,5376.3,47.8,0.89,5437.7,5376.3,11.0,0.20,5538.0,5376.3,-115.0,-2.08,5539.1,5175.5,-33.7,-0.62,5539.1,5175.5,393.6,7.82,45995.1,46241.0,46313.7,45790.5,46197.2,46313.7,45790.5,128.1,0.28,47132.0,45790.5,-533.7,-1.14,47132.0,43505.3,318.8,0.69,47132.0,39049.4,5241.4,12.80,,
XAT,All Australian 200,5275.0,5301.3,5311.8,5249.3,5293.9,5293.9,5249.3,44.6,0.85,5311.8,5249.3,7.5,0.14,5416.9,5249.3,-101.9,-1.89,5416.9,5028.8,-10.8,-0.20,5416.9,5028.8,349.0,7.06,44638.3,44861.2,44949.9,44421.0,44798.8,44949.9,44421.0,100.6,0.23,45797.1,44421.0,-444.0,-0.98,45797.1,42022.3,471.4,1.06,45797.1,37733.6,4743.4,11.84,,
XTL,S&P/ASX 20,3331.9,3349.8,3354.3,3316.9,3346.5,3346.5,3316.9,29.6,0.89,3354.3,3316.9,4.3,0.13,3415.8,3316.9,-69.4,-2.03,3415.9,3184.2,-31.9,-0.95,3415.9,3184.2,264.6,8.58,55769.3,56070.2,56145.7,55519.4,56014.3,56145.7,55519.4,122.9,0.22,57121.3,55519.4,-605.9,-1.07,57121.3,52576.0,231.7,0.42,57121.3,47032.2,6714.6,13.62,,
XFL,S&P/ASX 50,5464.7,5493.9,5502.8,5441.2,5488.3,5488.3,5441.2,47.1,0.87,5502.8,5441.2,10.6,0.19,5605.7,5441.2,-116.5,-2.08,5605.7,5238.2,-38.6,-0.70,5605.7,5238.2,411.2,8.10,46461.9,46709.9,46785.6,46261.4,46662.3,46785.6,46261.4,125.2,0.27,47625.0,46261.4,-544.0,-1.15,47625.0,43959.9,279.4,0.60,47625.0,39422.6,5386.8,13.05,,
XTO,S&P/ASX 100,4413.6,4436.3,4444.0,4393.9,4431.0,4431.0,4393.9,37.1,0.84,4444.0,4393.9,7.4,0.17,4530.0,4393.9,-82.1,-1.82,4530.0,4210.6,-14.2,-0.32,4530.0,4210.6,334.9,8.18,11359.7,11418.1,11437.9,11309.0,11404.5,11437.9,11309.0,27.9,0.25,11649.7,11309.0,-105.2,-0.91,11649.7,10700.4,107.8,0.95,11649.7,9607.8,1315.7,13.04,,
XJO,S&P/ASX 200,5317.6,5344.6,5355.6,5294.0,5338.1,5338.1,5294.0,44.1,0.83,5355.6,5294.0,8.7,0.16,5462.3,5294.0,-100.6,-1.85,5462.3,5070.3,-14.1,-0.26,5462.3,5070.3,370.8,7.47,44904.7,45132.7,45225.9,44705.9,45078.2,45225.9,44705.9,110.4,0.25,46084.4,44705.9,-432.7,-0.95,46084.4,42284.9,443.1,0.99,46084.4,37962.9,4911.1,12.23,,
XVI,S&P/ASX 200 VIX,15.349,13.778,13.030,14.222,12.604,13.718,12.511,-1.618,-11.38,15.349,12.604,-2.158,-14.62,15.349,12.197,0.106,0.85,18.372,0.147,1.042,9.01,21.700,0.147,-2.403,-16.01,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5272.0,5298.0,5309.4,5247.9,5290.3,5290.3,5247.9,42.4,0.81,5309.4,5247.9,7.1,0.13,5413.8,5247.9,-100.5,-1.86,5413.8,5027.6,-14.5,-0.27,5413.8,5027.6,351.0,7.11,44362.5,44581.3,44677.5,44160.1,44517.3,44677.5,44160.1,96.3,0.22,45513.3,44160.1,-436.4,-0.97,45513.3,41785.8,428.5,0.97,45513.3,37491.8,4704.4,11.82,,
XMD,S&P/ASX MidCap 50,4474.1,4490.0,4501.9,4448.7,4478.1,4480.0,4444.4,29.4,0.66,4501.9,4448.7,-2.5,-0.06,4613.1,4448.7,18.2,0.41,4613.1,4099.4,128.6,2.96,4613.1,4099.4,359.4,8.73,11858.9,11901.0,11932.6,11791.6,11869.7,11932.6,11791.6,5.4,0.05,12210.9,11737.5,132.2,1.13,12210.9,10758.1,455.3,3.99,12210.9,9756.1,1349.2,12.82,,
