Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-02T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 27,Jun 28,Jun 29,Jun 30,Jul 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 27,Jun 28,Jun 29,Jun 30,Jul 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XHJ,Health Care,8067.6,8229.0,8375.9,8551.2,8453.3,8567.6,8447.2,-97.9,-1.14,8551.2,8067.6,204.8,2.48,8551.2,8067.6,-217.5,-2.51,9186.8,8067.6,-479.9,-5.37,9186.8,7893.1,417.1,5.19,47326.8,48273.6,49135.6,50164.1,49589.6,50164.1,47326.8,1201.2,2.48,50865.9,47326.8,-1276.3,-2.51,53892.5,47326.8,-2231.7,-4.31,53892.5,45054.7,3718.2,8.11,,
XNJ,Industrials,3440.5,3410.4,3452.6,3536.3,3532.4,3562.3,3523.6,-3.9,-0.11,3536.3,3410.4,33.4,0.95,3581.2,3410.4,-120.5,-3.30,3870.5,3410.4,-204.1,-5.46,3870.5,3153.8,341.5,10.70,25795.2,25569.6,25886.0,26513.5,26483.9,26513.5,25569.6,250.3,0.95,27212.1,25569.6,-728.2,-2.68,28566.6,25569.6,-1076.4,-3.91,28566.6,22848.4,3366.8,14.56,,
XIJ,Info Technology,547.3,549.8,553.5,559.3,551.7,562.8,551.7,-7.6,-1.36,559.3,547.3,-8.5,-1.52,582.1,547.3,-36.6,-6.22,666.6,547.3,-93.0,-14.43,666.6,547.3,-57.7,-9.46,3277.8,3292.7,3315.3,3349.8,3304.5,3349.8,3277.8,-51.0,-1.52,3523.8,3277.8,-219.2,-6.22,3919.5,3277.8,-486.4,-12.83,3919.5,3236.2,-221.3,-6.28,,
XMJ,Materials,12899.2,12925.3,13170.0,13432.1,13411.5,13511.2,13360.9,-20.6,-0.15,13432.1,12899.2,369.3,2.83,13438.3,12740.1,-348.5,-2.53,15046.2,12740.1,-669.1,-4.75,15046.2,11238.3,2154.3,19.14,82472.7,82639.3,84204.2,85879.9,85748.0,85879.9,82472.7,2360.8,2.83,87976.2,81455.6,-2228.2,-2.53,96133.1,81455.6,-3463.2,-3.88,96133.1,70417.7,15211.8,21.57,,
XPJ,A-REIT,843.8,839.8,837.7,842.8,836.2,844.4,833.8,-6.6,-0.78,843.8,836.2,-16.0,-1.88,861.5,836.2,-28.2,-3.26,887.0,830.5,-3.6,-0.43,908.7,828.9,-9.2,-1.09,20009.2,19914.4,19866.3,19987.1,19829.6,20009.2,19829.6,-380.2,-1.88,20209.8,19749.1,-362.2,-1.79,20646.7,19222.9,475.7,2.46,20646.7,18801.0,903.7,4.77,,
XTJ,Telecommunications,992.4,998.4,992.1,992.9,1003.4,1007.1,992.9,10.5,1.06,1003.4,992.1,12.9,1.30,1052.8,990.5,-35.6,-3.42,1052.8,891.0,43.8,4.56,1126.6,891.0,-56.0,-5.29,9705.6,9764.0,9702.0,9710.5,9813.0,9813.0,9702.0,126.4,1.31,10295.5,9686.6,-347.6,-3.42,10295.5,8708.4,838.5,9.34,10295.5,8339.6,380.5,4.03,,
XUJ,Utilities,4211.4,4255.9,4293.3,4387.9,4363.9,4400.7,4356.2,-24.0,-0.55,4387.9,4211.4,134.7,3.19,4387.9,4211.4,18.4,0.42,4452.1,3990.1,-49.5,-1.12,4614.3,3990.1,290.6,7.13,37946.6,38348.3,38684.8,39537.0,39320.8,39537.0,37946.6,1213.5,3.18,39537.0,37946.6,646.3,1.67,39537.0,35021.3,863.6,2.25,39587.2,34175.9,4939.7,14.37,,
XMM,Metals & Mining,4655.6,4662.6,4755.3,4851.0,4847.4,4881.0,4828.4,-3.6,-0.07,4851.0,4655.6,136.9,2.91,4881.8,4602.3,-152.2,-3.04,5491.6,4602.3,-298.3,-5.80,5491.6,4008.5,835.1,20.81,6134.3,6143.5,6265.6,6391.8,6386.9,6391.8,6134.3,180.4,2.91,6587.5,6064.0,-200.5,-3.04,7235.3,6064.0,-337.2,-5.01,7235.3,5186.0,1196.0,23.04,,
XGD,Gold,6946.7,6951.3,7084.4,7237.0,7259.6,7325.1,7214.1,22.6,0.31,7259.6,6946.7,179.6,2.54,7502.7,6946.7,-407.2,-5.31,8435.7,6946.7,-839.5,-10.37,8435.7,6048.9,990.6,15.80,7902.5,7907.8,8059.3,8232.8,8258.5,8258.5,7902.5,204.3,2.54,8721.2,7902.5,-462.7,-5.30,9595.8,7902.5,-934.4,-10.16,9595.8,6838.7,1171.0,16.52,,
XJR,S&P/ASX 200 Res,5360.0,5359.0,5473.3,5584.3,5574.1,5615.3,5551.3,-10.2,-0.18,5584.3,5359.0,147.1,2.71,5686.5,5314.8,-246.3,-4.23,6355.0,5314.8,-334.7,-5.66,6355.0,4758.6,822.3,17.31,26408.7,26403.7,26966.6,27513.6,27463.4,27513.6,26403.7,724.9,2.71,28676.9,26185.8,-1213.6,-4.23,31311.1,26185.8,-1396.8,-4.84,31311.1,22994.9,4501.1,19.60,,
,
