Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-19T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 14,Nov 15,Nov 16,Nov 17,Nov 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4369.1,4351.5,4313.8,4324.1,4246.7,4306.7,4242.3,-77.4,-1.79,4369.1,4246.7,-111.9,-2.57,4411.4,4203.4,-2.8,-0.07,5064.9,3927.6,-600.2,-12.38,5064.9,3927.6,-471.0,-9.98,32696.1,32565.0,32282.6,32364.2,31784.9,32696.1,31784.9,-827.4,-2.54,32859.0,31268.9,173.4,0.55,36827.4,29204.1,-3027.9,-8.70,36827.4,29204.1,-2044.1,-6.04,,
XAF,All Australian 50,4274.6,4255.5,4219.7,4232.0,4151.3,4212.1,4147.1,-80.7,-1.91,4274.6,4151.3,-120.4,-2.82,4328.1,4116.7,-17.3,-0.41,4939.1,3853.0,-530.9,-11.34,4939.1,3853.0,-438.3,-9.55,32638.0,32491.8,32218.9,32318.0,31701.6,32638.0,31701.6,-907.0,-2.78,32873.3,31179.4,129.6,0.41,36488.5,29181.9,-2444.9,-7.16,36488.5,29181.9,-1739.6,-5.20,,
XAT,All Australian 200,4302.3,4283.4,4244.9,4256.5,4175.1,4237.3,4170.8,-81.4,-1.91,4302.3,4175.1,-119.3,-2.78,4352.1,4137.6,-7.6,-0.18,4976.2,3855.4,-575.4,-12.11,4976.2,3855.4,-456.9,-9.86,32724.2,32580.1,32287.3,32379.6,31760.8,32724.2,31760.8,-897.0,-2.75,32902.3,31254.2,166.5,0.53,36695.0,29116.8,-2830.1,-8.18,36695.0,29116.8,-1914.9,-5.69,,
XTL,S&P/ASX 20,2589.4,2576.0,2553.9,2563.6,2511.9,2549.6,2509.3,-51.7,-2.02,2589.4,2511.9,-75.8,-2.93,2630.2,2498.8,-22.8,-0.90,2998.7,2334.2,-320.2,-11.31,2998.7,2334.2,-253.0,-9.15,38841.3,38640.3,38308.2,38453.6,37678.4,38841.3,37678.4,-1136.6,-2.93,39090.6,37117.0,28.8,0.08,43396.5,34671.5,-2775.2,-6.86,43396.5,34671.5,-1814.5,-4.59,,
XFL,S&P/ASX 50,4298.0,4279.4,4243.9,4256.4,4175.7,4236.4,4171.5,-80.7,-1.90,4298.0,4175.7,-118.9,-2.77,4350.8,4139.9,-15.9,-0.38,4953.4,3876.7,-517.6,-11.03,4953.4,3876.7,-424.9,-9.24,32783.2,32641.1,32370.0,32470.6,31855.1,32783.2,31855.1,-894.2,-2.73,33016.4,31323.5,140.0,0.44,36564.0,29332.3,-2347.5,-6.86,36564.0,29332.3,-1642.4,-4.90,,
XTO,S&P/ASX 100,3506.4,3491.5,3461.5,3470.8,3406.0,3455.4,3402.6,-64.8,-1.87,3506.4,3406.0,-95.7,-2.73,3550.3,3378.1,-8.4,-0.24,4049.1,3155.5,-447.3,-11.61,4049.1,3155.5,-362.2,-9.61,8105.4,8071.1,8001.6,8024.3,7874.5,8105.4,7874.5,-218.4,-2.70,8153.6,7752.1,39.2,0.50,9067.0,7240.1,-644.0,-7.56,9067.0,7240.1,-444.3,-5.34,,
XJO,S&P/ASX 200,4304.6,4285.6,4247.4,4258.2,4177.0,4239.1,4172.6,-81.2,-1.91,4304.6,4177.0,-119.5,-2.78,4353.3,4141.9,-9.9,-0.24,4971.2,3863.9,-568.2,-11.97,4971.2,3863.9,-452.2,-9.77,32698.6,32554.8,32264.3,32350.8,31733.4,32698.6,31733.4,-898.0,-2.75,32880.0,31248.4,145.3,0.46,36617.7,29145.7,-2785.2,-8.07,36617.7,29145.7,-1888.5,-5.62,,
XKO,S&P/ASX 300,4301.6,4282.7,4244.7,4255.6,4175.5,4236.8,4171.0,-80.1,-1.88,4301.6,4175.5,-117.7,-2.74,4349.1,4138.5,-8.4,-0.20,4984.1,3860.9,-585.3,-12.29,4984.1,3860.9,-462.1,-9.97,32591.4,32448.5,32160.1,32246.9,31640.2,32591.4,31640.2,-882.1,-2.71,32768.8,31146.6,152.0,0.48,36632.1,29050.7,-2920.1,-8.45,36632.1,29050.7,-1973.3,-5.87,,
XMD,S&P/ASX MidCap 50,3870.5,3857.4,3814.4,3816.5,3754.3,3808.4,3750.0,-62.2,-1.63,3870.5,3754.3,-93.6,-2.43,3926.9,3708.8,33.4,0.90,4573.1,3408.2,-713.2,-15.96,4573.1,3408.2,-536.6,-12.51,9305.6,9274.2,9170.6,9175.7,9026.3,9305.6,9026.3,-224.9,-2.43,9435.6,8911.4,88.6,0.99,10728.9,8186.5,-1322.3,-12.78,10728.9,8186.5,-862.3,-8.72,,
XSO,S&P/ASX Small Ords,2443.5,2429.2,2401.0,2404.2,2355.6,2395.3,2350.7,-48.6,-2.02,2443.5,2355.6,-69.1,-2.85,2445.2,2318.9,5.9,0.25,2946.3,2137.3,-536.9,-18.56,2946.3,2137.3,-357.6,-13.18,5629.1,5596.0,5531.0,5538.5,5426.5,5629.1,5426.5,-159.1,-2.85,5632.0,5338.7,16.9,0.31,6625.3,4915.5,-1075.8,-16.54,6625.3,4915.5,-652.2,-10.73,,
