Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-05-04T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 29,Apr 30,May 1,May 2,May 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 29,Apr 30,May 1,May 2,May 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5108.3,5168.6,5143.9,5104.1,5105.4,5154.0,5102.1,1.3,0.03,5168.6,5104.1,22.7,0.45,5168.6,4899.2,139.0,2.80,5168.6,4712.3,440.8,9.45,5168.6,4033.4,646.0,14.49,40623.2,41102.8,40906.8,40592.2,40605.2,41102.8,40592.2,186.1,0.46,41102.8,38952.2,1120.5,2.84,41102.8,37020.3,3962.6,10.81,41102.8,30869.4,6683.4,19.70,,
XAF,All Australian 50,5226.4,5303.7,5279.8,5246.4,5242.0,5302.4,5240.3,-4.4,-0.08,5303.7,5226.4,49.0,0.94,5303.7,4956.6,218.2,4.34,5303.7,4733.5,544.3,11.59,5303.7,3983.7,856.9,19.54,42551.0,43180.0,42985.5,42713.7,42681.6,43180.0,42551.0,402.5,0.95,43180.0,40354.5,1780.5,4.35,43180.0,38052.6,4919.4,13.03,43180.0,31167.4,8651.7,25.42,,
XAT,All Australian 200,5098.8,5164.2,5139.2,5102.2,5101.0,5155.0,5098.1,-1.2,-0.02,5164.2,5098.8,30.3,0.60,5164.2,4866.8,168.0,3.41,5164.2,4671.7,469.7,10.14,5164.2,3973.9,714.1,16.28,41307.7,41837.8,41635.1,41338.0,41331.2,41837.8,41307.7,251.3,0.61,41837.8,39425.4,1371.7,3.43,41837.8,37380.5,4276.8,11.54,41837.8,30947.5,7406.3,21.83,,
XTL,S&P/ASX 20,3209.7,3264.3,3248.5,3228.0,3225.1,3267.1,3221.9,-2.9,-0.09,3264.3,3209.7,36.4,1.14,3264.3,3028.3,153.8,5.01,3264.3,2885.8,358.5,12.51,3264.3,2396.0,582.4,22.04,51343.9,52217.0,51964.0,51635.9,51589.8,52217.0,51343.9,582.9,1.14,52217.0,48441.3,2459.7,5.01,52217.0,45563.7,6330.6,13.99,52217.0,36842.5,11348.5,28.20,,
XFL,S&P/ASX 50,5276.0,5353.7,5329.5,5296.9,5293.0,5353.9,5291.4,-3.9,-0.07,5353.7,5276.0,50.3,0.96,5353.7,5003.8,221.1,4.36,5353.7,4770.1,560.4,11.84,5353.7,4010.1,878.8,19.91,42892.7,43524.0,43327.3,43062.5,43034.0,43524.0,42892.7,411.7,0.97,43524.0,40679.5,1800.7,4.37,43524.0,38295.2,5042.3,13.27,43524.0,31334.8,8820.1,25.78,,
XTO,S&P/ASX 100,4248.1,4305.7,4284.7,4256.4,4254.6,4301.1,4252.8,-1.8,-0.04,4305.7,4248.1,31.6,0.75,4305.7,4038.7,161.5,3.95,4305.7,3855.7,433.9,11.36,4305.7,3260.5,664.9,18.52,10463.7,10605.7,10553.9,10485.0,10481.4,10605.7,10463.7,79.4,0.76,10605.7,9947.8,400.2,3.97,10605.7,9380.5,1186.6,12.77,10605.7,7719.3,2044.7,24.24,,
XJO,S&P/ASX 200,5125.8,5191.2,5166.2,5130.0,5129.5,5183.2,5126.5,-0.5,-0.01,5191.2,5125.8,32.0,0.63,5191.2,4891.4,171.8,3.47,5191.2,4690.3,480.6,10.34,5191.2,3985.0,733.5,16.68,41454.8,41983.8,41781.3,41491.3,41490.3,41983.8,41454.8,264.4,0.64,41983.8,39556.7,1399.5,3.49,41983.8,37467.1,4355.7,11.73,41983.8,30989.0,7541.1,22.21,,
XKO,S&P/ASX 300,5085.3,5149.3,5124.4,5086.7,5086.4,5139.1,5083.5,-0.3,-0.01,5149.3,5085.3,28.6,0.57,5149.3,4860.4,160.0,3.25,5149.3,4669.1,460.1,9.95,5149.3,3977.4,695.2,15.83,40997.0,41513.4,41312.2,41011.3,41011.2,41513.4,40997.0,236.1,0.58,41513.4,39181.3,1299.7,3.27,41513.4,37184.2,4171.2,11.32,41513.4,30841.3,7192.5,21.27,,
XMD,S&P/ASX MidCap 50,4198.1,4213.3,4179.3,4133.5,4143.8,4171.3,4133.5,10.3,0.25,4213.3,4133.5,-44.1,-1.05,4213.3,4021.0,18.8,0.45,4276.0,3914.1,280.8,7.27,4276.0,3435.4,281.9,7.30,10730.4,10769.4,10682.4,10573.1,10599.3,10769.4,10573.1,-105.3,-0.98,10769.4,10277.9,62.5,0.59,10906.4,9898.6,829.9,8.50,10906.4,8495.1,1117.7,11.79,,
XSO,S&P/ASX Small Ords,2185.3,2186.2,2176.6,2140.1,2149.4,2161.2,2140.1,9.3,0.43,2186.2,2140.1,-37.5,-1.71,2258.9,2095.4,-110.7,-4.90,2414.5,2095.4,-131.3,-5.76,2414.5,2044.8,-273.3,-11.28,5272.8,5275.0,5251.8,5163.7,5186.3,5275.0,5163.7,-90.4,-1.71,5449.9,5055.9,-263.6,-4.84,5770.0,5055.9,-258.6,-4.75,5770.0,4798.2,-475.6,-8.40,,
