Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-10-09T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 4,Oct 5,Oct 6,Oct 7,Oct 8,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 4,Oct 5,Oct 6,Oct 7,Oct 8,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4678.4,4660.6,4738.0,4746.2,4740.5,4746.4,4724.1,-5.7,-0.12,4746.2,4660.6,105.8,2.28,4746.2,4600.7,162.2,3.54,5024.1,4250.6,-142.2,-2.91,5024.1,4250.6,-14.0,-0.29,33356.9,33233.5,33785.3,33846.2,33806.2,33846.2,33233.5,760.8,2.30,33846.2,32563.0,1243.2,3.82,35111.0,29893.9,107.6,0.32,35111.0,29893.9,1197.5,3.67,,
XAF,All Australian 50,4609.3,4589.7,4667.5,4670.6,4660.8,4671.2,4645.6,-9.8,-0.21,4670.6,4589.7,101.8,2.23,4670.6,4539.2,143.2,3.17,5017.2,4220.3,-201.8,-4.15,5017.2,4220.3,-85.3,-1.80,33334.2,33192.2,33754.6,33780.6,33709.9,33780.6,33192.2,739.7,2.24,33780.6,32611.3,1098.6,3.37,35500.5,30076.1,-243.4,-0.72,35500.5,30076.1,797.8,2.42,,
XAT,All Australian 200,4627.5,4608.9,4688.7,4694.1,4684.5,4694.1,4669.8,-9.6,-0.20,4694.1,4608.9,103.2,2.25,4694.1,4560.2,147.3,3.25,5001.2,4218.4,-186.4,-3.83,5001.2,4218.4,-71.4,-1.50,33423.6,33292.3,33868.7,33910.7,33841.4,33910.7,33292.3,751.1,2.27,33910.7,32698.5,1143.0,3.50,35368.8,30043.8,-170.1,-0.50,35368.8,30043.8,856.9,2.60,,
XTL,S&P/ASX 20,2791.6,2777.5,2824.4,2826.0,2818.6,2826.0,2809.4,-7.4,-0.26,2826.0,2777.5,60.3,2.18,2826.0,2746.6,89.6,3.28,3060.6,2560.9,-131.0,-4.44,3060.6,2560.9,-73.3,-2.54,39534.2,39334.8,39997.8,40020.9,39915.6,40020.9,39334.8,852.7,2.18,40020.9,38574.4,1341.2,3.48,42369.7,35716.1,-365.9,-0.91,42369.7,35716.1,695.6,1.77,,
XFL,S&P/ASX 50,4620.5,4601.0,4679.4,4682.0,4672.2,4682.8,4656.9,-9.8,-0.21,4682.0,4601.0,101.9,2.23,4682.0,4551.4,142.8,3.15,5036.9,4235.3,-206.8,-4.24,5036.9,4235.3,-87.5,-1.84,33394.2,33253.4,33819.4,33841.5,33771.1,33841.5,33253.4,739.8,2.24,33841.5,32675.9,1095.2,3.35,35624.5,30164.1,-282.1,-0.83,35624.5,30164.1,773.8,2.35,,
XTO,S&P/ASX 100,3771.9,3755.9,3819.8,3822.1,3814.2,3822.5,3802.7,-7.9,-0.21,3822.1,3755.9,81.2,2.17,3822.1,3721.4,112.5,3.04,4095.8,3455.4,-173.6,-4.35,4095.8,3455.4,-81.4,-2.09,8269.6,8235.3,8375.2,8381.2,8363.9,8381.2,8235.3,179.5,2.19,8381.2,8099.3,264.5,3.27,8789.4,7468.5,-84.1,-1.00,8789.4,7468.5,167.5,2.04,,
XJO,S&P/ASX 200,4625.3,4606.9,4686.8,4691.3,4681.4,4691.3,4666.8,-9.9,-0.21,4691.3,4606.9,102.2,2.23,4691.3,4560.3,144.2,3.18,5001.9,4222.1,-189.2,-3.89,5001.9,4222.1,-71.5,-1.50,33377.6,33247.5,33824.1,33859.1,33788.0,33859.1,33247.5,742.8,2.25,33859.1,32669.3,1118.7,3.42,35345.6,30045.0,-197.9,-0.58,35345.6,30045.0,845.6,2.57,,
XKO,S&P/ASX 300,4627.1,4609.1,4688.7,4694.1,4685.2,4694.1,4670.0,-8.9,-0.19,4694.1,4609.1,102.9,2.24,4694.1,4557.7,151.3,3.34,4995.0,4214.7,-183.0,-3.76,4995.0,4214.7,-68.2,-1.44,33325.4,33198.9,33771.7,33813.6,33750.0,33813.6,33198.9,747.3,2.26,33813.6,32581.2,1168.8,3.59,35236.9,29938.5,-165.5,-0.49,35236.9,29938.5,853.1,2.59,,
XMD,S&P/ASX Midcap 50,4184.1,4165.9,4235.6,4240.6,4232.1,4240.6,4221.6,-8.5,-0.20,4240.6,4165.9,72.9,1.75,4263.6,4159.2,88.9,2.15,4548.5,3797.0,-229.5,-5.14,4548.5,3797.0,-170.7,-3.88,9614.3,9580.0,9740.3,9751.9,9732.4,9751.9,9580.0,175.3,1.83,9767.0,9485.9,246.5,2.60,10139.9,8628.5,-213.8,-2.15,10139.9,8628.5,-10.3,-0.11,,
XSO,S&P/ASX Small Ords,2622.6,2621.2,2673.3,2690.3,2690.0,2691.9,2670.2,-0.3,-0.01,2690.3,2621.2,76.6,2.93,2690.3,2540.5,161.8,6.40,2724.6,2229.7,64.8,2.47,2724.6,2229.7,140.1,5.49,5870.4,5868.2,5984.8,6023.1,6022.8,6023.1,5868.2,172.9,2.96,6023.1,5635.8,387.1,6.87,6023.1,4946.8,271.2,4.72,6023.1,4946.8,460.0,8.27,,
