Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-07-21T23:15:08+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 16,Jul 17,Jul 18,Jul 19,Jul 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4143.2,4175.3,4156.4,4236.4,4230.6,4245.5,4217.3,-5.8,-0.14,4236.4,4143.2,112.3,2.73,4236.4,4056.3,53.8,1.29,4504.8,4033.4,119.6,2.91,4646.3,3927.6,-443.5,-9.49,31779.7,32026.1,31880.7,32494.7,32450.1,32494.7,31779.7,861.4,2.73,32494.7,31107.4,481.0,1.50,34266.8,30869.4,1616.8,5.24,34266.8,29204.1,-1777.8,-5.19,,
XAF,All Australian 50,4129.7,4167.3,4150.9,4237.0,4225.6,4244.7,4214.9,-11.4,-0.27,4237.0,4129.7,117.7,2.87,4237.0,4030.7,90.2,2.18,4413.6,3983.7,176.5,4.36,4520.5,3853.0,-329.1,-7.23,32355.0,32649.7,32521.7,33196.2,33106.5,33196.2,32355.0,922.2,2.87,33196.2,31579.5,752.1,2.32,34251.1,31167.4,2142.7,6.92,34251.1,29181.9,-812.8,-2.40,,
XAT,All Australian 200,4091.2,4127.1,4109.4,4192.9,4186.2,4202.5,4172.7,-6.7,-0.16,4192.9,4091.2,117.8,2.90,4192.9,4000.1,66.1,1.60,4426.4,3973.9,135.5,3.34,4574.6,3855.4,-418.1,-9.08,31930.7,32210.9,32072.5,32724.5,32672.2,32724.5,31930.7,919.8,2.90,32724.5,31213.6,585.1,1.82,34230.5,30947.5,1797.0,5.82,34230.5,29116.8,-1542.4,-4.51,,
XTL,S&P/ASX 20,2499.4,2524.9,2513.2,2566.2,2556.9,2571.1,2552.5,-9.3,-0.36,2566.2,2499.4,70.5,2.84,2566.2,2429.9,61.6,2.47,2659.9,2396.0,107.2,4.38,2737.3,2334.2,-201.5,-7.31,38433.2,38824.7,38645.6,39459.4,39316.9,39459.4,38433.2,1083.8,2.83,39459.4,37364.0,947.4,2.47,40503.5,36842.5,2571.9,7.00,40503.5,34671.5,-937.4,-2.33,,
XFL,S&P/ASX 50,4164.3,4202.1,4186.5,4272.4,4260.2,4279.1,4249.4,-12.2,-0.29,4272.4,4164.3,117.9,2.85,4272.4,4061.8,95.5,2.29,4442.6,4010.1,183.7,4.51,4534.0,3876.7,-308.0,-6.74,32586.1,32881.4,32759.1,33431.5,33336.1,33431.5,32586.1,922.6,2.85,33431.5,31783.6,793.2,2.44,34434.2,31334.8,2200.7,7.07,34434.2,29332.3,-654.2,-1.92,,
XTO,S&P/ASX 100,3371.5,3401.1,3388.4,3456.9,3448.9,3463.0,3439.0,-8.0,-0.23,3456.9,3371.5,95.9,2.86,3456.9,3291.2,66.2,1.96,3618.2,3260.5,132.2,3.99,3720.1,3155.5,-297.2,-7.93,7998.9,8069.1,8038.8,8201.5,8182.3,8201.5,7998.9,227.4,2.86,8201.5,7807.0,173.4,2.16,8503.6,7719.3,500.7,6.52,8503.6,7240.1,-272.0,-3.22,,
XJO,S&P/ASX 200,4105.1,4140.8,4123.6,4206.7,4199.1,4215.6,4186.1,-7.6,-0.18,4206.7,4105.1,116.9,2.86,4206.7,4013.3,66.7,1.61,4435.9,3985.0,142.5,3.51,4573.3,3863.9,-403.8,-8.77,31991.9,32270.1,32136.0,32783.6,32724.6,32783.6,31991.9,910.9,2.86,32783.6,31270.8,588.0,1.83,34257.1,30989.0,1845.5,5.98,34257.1,29145.7,-1439.7,-4.21,,
XKO,S&P/ASX 300,4094.6,4129.3,4111.7,4193.4,4186.4,4202.2,4173.1,-7.0,-0.17,4193.4,4094.6,115.1,2.83,4193.4,4002.9,64.0,1.55,4432.4,3977.4,134.1,3.31,4579.9,3860.9,-422.4,-9.16,31818.8,32087.8,31951.4,32585.9,32532.0,32585.9,31818.8,894.7,2.83,32585.9,31100.2,564.6,1.77,34136.0,30841.3,1765.5,5.74,34136.0,29050.7,-1597.9,-4.68,,
XMD,S&P/ASX MidCap 50,3494.7,3516.7,3502.4,3564.6,3572.3,3577.0,3550.4,7.7,0.22,3572.3,3494.7,102.9,2.97,3598.9,3435.4,-30.8,-0.85,3950.9,3435.4,-6.6,-0.19,4290.0,3408.2,-729.6,-16.96,8655.6,8710.1,8674.8,8828.7,8847.7,8847.7,8655.6,254.7,2.96,8913.6,8495.1,-9.5,-0.11,9693.0,8495.1,185.6,2.14,10138.8,8186.5,-1319.1,-12.97,,
XSO,S&P/ASX Small Ords,2087.2,2097.2,2076.1,2108.2,2121.5,2124.6,2105.5,13.3,0.63,2121.5,2076.1,51.1,2.47,2180.0,2067.1,-63.3,-2.90,2526.6,2067.1,-87.9,-3.98,2687.1,2067.1,-565.5,-21.05,4897.6,4921.1,4871.7,4947.1,4978.3,4978.3,4871.7,120.1,2.47,5114.1,4850.5,-134.5,-2.63,5892.6,4850.5,-130.6,-2.56,6116.7,4850.5,-1138.2,-18.61,,
