Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-23T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 18,Aug 19,Aug 20,Aug 21,Aug 22,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5580.6,5618.4,5629.2,5634.0,5640.5,5657.2,5634.0,6.5,0.12,5640.5,5580.6,80.9,1.46,5640.5,5429.6,106.5,1.92,5640.5,5088.7,287.4,5.37,5640.5,5088.7,525.3,10.27,46708.4,47139.5,47247.5,47287.8,47345.4,47345.4,46708.4,814.8,1.75,47345.4,45425.3,1047.4,2.26,47345.4,41681.2,3500.4,7.98,47345.4,41009.2,6098.4,14.79,,
XAF,All Australian 50,5691.3,5722.7,5732.8,5738.3,5744.9,5763.6,5738.3,6.6,0.12,5744.9,5691.3,73.9,1.30,5744.9,5535.1,98.5,1.74,5744.9,5175.5,287.1,5.26,5744.9,5175.5,531.0,10.18,48964.7,49387.1,49495.6,49543.3,49599.8,49599.8,48964.7,809.9,1.66,49599.8,47601.8,1040.8,2.14,49599.8,43505.3,3721.4,8.11,49599.8,42969.0,6457.6,14.97,,
XAT,All Australian 200,5546.9,5583.2,5593.6,5598.1,5604.8,5621.7,5598.1,6.7,0.12,5604.8,5546.9,78.5,1.42,5604.8,5395.8,103.0,1.87,5604.8,5028.8,300.1,5.66,5604.8,5028.8,524.9,10.33,47401.9,47841.9,47951.1,47988.9,48049.4,48049.4,47401.9,825.0,1.75,48049.4,46089.9,1054.9,2.24,48049.4,42022.3,3722.0,8.40,48049.4,41549.8,6268.7,15.00,,
XTL,S&P/ASX 20,3518.2,3533.7,3538.8,3543.8,3547.6,3560.4,3543.8,3.8,0.11,3547.6,3518.2,41.2,1.18,3548.8,3418.2,61.7,1.77,3548.8,3184.2,169.2,5.01,3548.8,3184.2,331.1,10.29,59456.2,59940.6,60059.0,60144.5,60209.0,60209.0,59456.2,953.5,1.61,60209.0,57737.2,1328.4,2.26,60209.0,52576.0,4426.3,7.93,60209.0,52184.0,7875.3,15.05,,
XFL,S&P/ASX 50,5756.6,5788.4,5798.9,5804.6,5811.1,5830.3,5804.6,6.5,0.11,5811.1,5756.6,75.3,1.31,5811.1,5597.5,100.4,1.76,5811.1,5238.2,284.2,5.14,5811.1,5238.2,532.9,10.10,49438.5,49864.8,49976.7,50025.8,50082.3,50082.3,49438.5,822.8,1.67,50082.3,48053.1,1057.3,2.16,50082.3,43959.9,3699.3,7.98,50082.3,43426.7,6477.4,14.85,,
XTO,S&P/ASX 100,4643.7,4672.4,4680.8,4684.0,4688.9,4703.9,4684.0,4.9,0.10,4688.9,4643.7,63.0,1.36,4688.9,4520.1,80.4,1.75,4688.9,4210.6,243.7,5.48,4688.9,4210.6,448.7,10.58,12071.9,12181.5,12208.6,12217.1,12230.4,12230.4,12071.9,204.9,1.70,12230.4,11745.1,255.5,2.13,12230.4,10700.4,933.6,8.26,12230.4,10557.9,1623.1,15.30,,
XJO,S&P/ASX 200,5587.1,5623.8,5634.6,5638.9,5645.6,5662.7,5638.9,6.7,0.12,5645.6,5587.1,79.1,1.42,5645.6,5435.3,102.3,1.85,5645.6,5070.3,293.4,5.48,5645.6,5070.3,522.2,10.19,47647.3,48090.4,48202.8,48239.2,48299.9,48299.9,47647.3,829.7,1.75,48299.9,46331.7,1048.1,2.22,48299.9,42284.9,3664.8,8.21,48299.9,41823.4,6239.9,14.84,,
XVI,S&P/ASX 200 VIX,11.668,11.712,11.092,11.473,11.444,11.508,11.161,-0.029,-0.25,11.712,11.092,-0.249,-2.13,15.123,9.815,0.000,0.00,18.372,0.147,-0.118,-1.02,18.372,0.147,-2.470,-17.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5531.5,5567.7,5578.2,5582.8,5589.3,5606.0,5582.8,6.5,0.12,5589.3,5531.5,78.1,1.42,5589.3,5381.9,101.9,1.86,5589.3,5027.6,284.5,5.36,5589.3,5027.6,507.9,9.99,47003.5,47437.3,47545.9,47584.5,47643.6,47643.6,47003.5,814.5,1.74,47643.6,45711.7,1036.2,2.22,47643.6,41785.8,3554.8,8.06,47643.6,41353.9,6066.8,14.59,,
XMD,S&P/ASX MidCap 50,4660.3,4715.5,4723.9,4715.5,4716.5,4734.1,4715.2,1.0,0.02,4723.9,4660.3,82.7,1.78,4723.9,4577.6,75.8,1.63,4723.9,4099.4,367.0,8.44,4723.9,4099.4,608.9,14.82,12468.4,12631.4,12656.6,12633.9,12643.5,12656.6,12468.4,247.5,2.00,12656.6,12233.9,240.8,1.94,12656.6,10758.1,1229.1,10.77,12656.6,10505.5,2034.0,19.17,,
