Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2010-12-04T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 29,Nov 30,Dec 1,Dec 2,Dec 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 29,Nov 30,Dec 1,Dec 2,Dec 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4706.7,4676.4,4676.8,4761.8,4780.1,4801.1,4769.7,18.3,0.38,4780.1,4676.4,89.9,1.92,4872.9,4673.2,-13.7,-0.29,5024.1,4250.6,-102.6,-2.10,5024.1,4250.6,58.9,1.25,33754.7,33538.1,33541.2,34151.2,34283.4,34283.4,33538.1,648.5,1.93,34818.5,33512.9,79.2,0.23,35111.0,29893.9,584.8,1.74,35111.0,29893.9,1744.5,5.36,,
XAF,All Australian 50,4581.3,4544.7,4548.2,4636.3,4652.3,4676.1,4638.6,16.0,0.35,4652.3,4544.7,94.7,2.08,4770.5,4544.7,-43.9,-0.93,5017.2,4220.3,-210.3,-4.32,5017.2,4220.3,-57.0,-1.21,33380.8,33114.5,33139.6,33781.3,33898.5,33898.5,33114.5,690.6,2.08,34588.5,33114.5,-81.0,-0.24,35500.5,30076.1,-54.8,-0.16,35500.5,30076.1,1040.5,3.17,,
XAT,All Australian 200,4621.3,4587.3,4589.5,4679.3,4697.0,4720.3,4685.2,17.7,0.38,4697.0,4587.3,96.0,2.09,4804.5,4587.3,-28.5,-0.60,5001.2,4218.4,-173.9,-3.57,5001.2,4218.4,-8.8,-0.19,33599.1,33352.9,33369.1,34022.0,34150.8,34150.8,33352.9,699.4,2.09,34783.3,33352.9,-1.6,-0.00,35368.8,30043.8,139.3,0.41,35368.8,30043.8,1337.5,4.08,,
XTL,S&P/ASX 20,2761.8,2740.0,2743.8,2799.3,2808.7,2825.5,2799.9,9.4,0.34,2808.7,2740.0,63.9,2.33,2891.9,2737.8,-35.8,-1.26,3060.6,2560.9,-140.9,-4.78,3060.6,2560.9,-53.4,-1.86,39449.0,39137.4,39191.9,39985.5,40119.1,40119.1,39137.4,912.5,2.33,41075.1,39106.3,-180.4,-0.45,42369.7,35716.1,-162.4,-0.40,42369.7,35716.1,1032.7,2.64,,
XFL,S&P/ASX 50,4592.0,4555.6,4559.0,4647.3,4663.9,4687.5,4650.2,16.6,0.36,4663.9,4555.6,95.2,2.08,4781.8,4555.3,-44.8,-0.95,5036.9,4235.3,-215.1,-4.41,5036.9,4235.3,-59.9,-1.27,33435.2,33170.3,33195.0,33837.8,33958.3,33958.3,33170.3,693.0,2.08,34648.0,33167.7,-90.1,-0.26,35624.5,30164.1,-95.0,-0.28,35624.5,30164.1,1009.1,3.06,,
XTO,S&P/ASX 100,3759.3,3730.3,3732.6,3805.9,3820.6,3839.2,3810.5,14.7,0.39,3820.6,3730.3,79.3,2.12,3907.0,3730.3,-24.3,-0.63,4095.8,3455.4,-167.2,-4.19,4095.8,3455.4,-31.8,-0.83,8299.1,8235.1,8240.2,8401.8,8434.3,8434.3,8235.1,175.0,2.12,8586.8,8235.1,-0.6,-0.01,8789.4,7468.5,-13.6,-0.16,8789.4,7468.5,283.8,3.48,,
XJO,S&P/ASX 200,4618.5,4584.4,4586.6,4676.2,4694.2,4717.1,4682.3,18.0,0.38,4694.2,4584.4,95.9,2.08,4800.6,4584.4,-28.4,-0.60,5001.9,4222.1,-176.4,-3.62,5001.9,4222.1,-8.0,-0.17,33545.7,33298.7,33315.2,33966.1,34096.7,34096.7,33298.7,697.5,2.09,34722.4,33298.7,-3.1,-0.01,35345.6,30045.0,110.9,0.33,35345.6,30045.0,1331.0,4.06,,
XKO,S&P/ASX 300,4627.2,4594.6,4596.2,4685.1,4702.4,4725.8,4691.3,17.3,0.37,4702.4,4594.6,95.3,2.07,4805.9,4594.6,-25.1,-0.53,4995.0,4214.7,-165.8,-3.41,4995.0,4214.7,-2.2,-0.05,33539.8,33303.7,33316.1,33960.5,34085.5,34085.5,33303.7,691.8,2.07,34692.1,33303.7,15.6,0.05,35236.9,29938.5,170.0,0.50,35236.9,29938.5,1354.8,4.14,,
XMD,S&P/ASX Midcap 50,4264.0,4238.2,4236.7,4328.0,4355.0,4371.5,4337.7,27.0,0.62,4355.0,4236.7,102.0,2.40,4364.4,4236.7,80.8,1.89,4548.5,3797.0,-106.6,-2.39,4548.5,3797.0,116.7,2.75,9826.5,9767.2,9763.7,9974.0,10036.4,10036.4,9763.7,235.1,2.40,10048.9,9763.7,199.1,2.02,10139.9,8628.5,90.2,0.91,10139.9,8628.5,645.6,6.87,,
XSO,S&P/ASX Small Ords,2710.4,2708.7,2702.5,2747.5,2752.4,2769.9,2751.0,4.9,0.18,2752.4,2702.5,42.2,1.56,2799.5,2689.0,11.9,0.43,2799.5,2229.7,127.2,4.85,2799.5,2229.7,205.0,8.05,6075.9,6072.9,6060.2,6161.2,6172.1,6172.1,6060.2,96.7,1.59,6271.4,6024.4,33.9,0.55,6271.4,4946.8,420.4,7.31,6271.4,4946.8,604.1,10.85,,
