Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-12-12T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 7,Dec 8,Dec 9,Dec 10,Dec 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 7,Dec 8,Dec 9,Dec 10,Dec 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5205.9,5158.0,5129.9,5087.5,5078.6,5116.9,5067.7,-8.9,-0.17,5205.9,5078.6,-122.8,-2.36,5326.5,5064.5,-102.4,-1.98,5954.8,4958.1,-310.0,-5.75,5954.8,4958.1,-118.2,-2.27,46449.2,46021.4,45770.7,45392.7,45313.6,46449.2,45313.6,-1095.5,-2.36,47510.9,45164.9,-887.1,-1.92,51568.0,43929.2,-733.3,-1.59,51568.0,43763.4,989.0,2.23,,
XAF,All Australian 50,5155.9,5106.5,5077.2,5031.6,5025.0,5059.6,5005.3,-6.6,-0.13,5155.9,5025.0,-131.3,-2.55,5269.1,4994.7,-88.8,-1.74,6081.0,4950.0,-473.2,-8.61,6081.0,4950.0,-283.9,-5.35,47546.3,47090.8,46820.4,46399.2,46338.8,47546.3,46338.8,-1211.1,-2.55,48581.0,46046.0,-805.0,-1.71,54222.3,45262.3,-2027.6,-4.19,54222.3,45262.3,-280.2,-0.60,,
XAT,All Australian 200,5102.8,5056.2,5028.0,4985.4,4977.1,5014.6,4962.8,-8.3,-0.17,5102.8,4977.1,-121.6,-2.39,5222.7,4951.8,-92.3,-1.82,5926.9,4871.4,-386.0,-7.20,5926.9,4871.4,-195.6,-3.78,46588.2,46162.9,45905.7,45516.7,45440.6,46588.2,45440.6,-1110.6,-2.39,47669.0,45190.0,-819.8,-1.77,52442.3,44141.5,-1380.3,-2.95,52442.3,44141.5,366.3,0.81,,
XTL,S&P/ASX 20,3087.5,3057.5,3038.1,3007.8,3004.8,3024.3,2990.0,-3.0,-0.10,3087.5,3004.8,-82.0,-2.66,3154.4,2981.2,-43.7,-1.43,3760.5,2963.6,-394.0,-11.59,3760.5,2963.6,-274.3,-8.37,56242.6,55695.9,55342.3,54790.7,54735.3,56242.6,54735.3,-1493.8,-2.66,57461.3,54305.4,-796.9,-1.43,65985.5,53410.1,-4020.5,-6.84,65985.5,53410.1,-1952.3,-3.44,,
XFL,S&P/ASX 50,5211.1,5161.0,5131.8,5085.6,5079.0,5113.6,5058.8,-6.6,-0.13,5211.1,5079.0,-132.2,-2.54,5325.8,5048.8,-89.9,-1.74,6152.9,5002.4,-484.4,-8.71,6152.9,5002.4,-293.8,-5.47,47971.3,47509.9,47241.1,46815.3,46754.5,47971.3,46754.5,-1217.2,-2.54,49018.1,46463.1,-813.5,-1.71,54764.7,45661.4,-2096.0,-4.29,54764.7,45661.4,-339.3,-0.72,,
XTO,S&P/ASX 100,4281.5,4241.5,4217.8,4182.5,4176.5,4206.9,4162.6,-6.0,-0.14,4281.5,4176.5,-103.1,-2.41,4385.5,4158.6,-81.0,-1.90,4996.2,4097.0,-336.5,-7.46,4996.2,4097.0,-178.2,-4.09,11903.7,11792.6,11726.7,11628.4,11611.7,11903.7,11611.7,-286.5,-2.41,12189.5,11556.7,-219.3,-1.85,13449.8,11301.0,-377.2,-3.15,13449.8,11301.0,64.1,0.56,,
XJO,S&P/ASX 200,5155.7,5108.6,5080.5,5037.7,5029.4,5067.4,5015.3,-8.2,-0.16,5155.7,5029.4,-122.2,-2.37,5276.4,5003.8,-93.2,-1.82,5982.7,4918.4,-381.6,-7.05,5982.7,4918.4,-190.1,-3.64,46967.2,46538.2,46281.9,45892.6,45817.3,46967.2,45817.3,-1112.6,-2.37,48053.0,45562.7,-825.1,-1.77,52822.2,44471.4,-1321.9,-2.80,52822.2,44471.4,430.5,0.95,,
XVI,S&P/ASX 200 VIX,18.277,18.898,18.701,19.386,18.785,20.098,18.686,-0.601,-3.10,19.386,18.277,0.452,2.47,22.346,16.825,-0.609,-3.14,30.244,0.171,4.204,28.83,30.244,0.171,2.362,14.38,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5111.1,5064.9,5037.2,4994.9,4987.2,5023.8,4973.1,-7.7,-0.15,5111.1,4987.2,-119.4,-2.34,5229.0,4963.4,-92.0,-1.81,5912.7,4873.4,-361.7,-6.76,5912.7,4873.4,-170.9,-3.31,46373.7,45953.8,45703.4,45319.1,45249.2,46373.7,45249.2,-1082.8,-2.34,47429.3,45012.8,-812.2,-1.76,52008.8,43892.1,-1176.4,-2.53,52008.8,43892.1,564.9,1.26,,
XMD,S&P/ASX MidCap 50,4962.0,4925.7,4900.7,4881.7,4869.9,4922.1,4863.1,-11.8,-0.24,4962.0,4869.9,-72.9,-1.47,5169.4,4869.9,-153.8,-3.06,5363.8,4637.4,122.4,2.58,5363.8,4637.4,320.6,7.05,13948.8,13846.7,13776.5,13723.1,13690.0,13948.8,13690.0,-204.9,-1.47,14512.4,13690.0,-404.8,-2.87,14759.9,12623.2,770.5,5.96,14759.9,12227.2,1335.5,10.81,,
XSO,S&P/ASX Small Ords,2109.2,2096.3,2087.7,2069.7,2064.2,2081.1,2063.0,-5.5,-0.27,2109.2,2064.2,-33.7,-1.61,2136.1,2043.9,-18.1,-0.87,2263.3,1907.0,19.8,0.97,2263.3,1907.0,107.1,5.47,5534.3,5500.4,5478.1,5430.9,5416.4,5534.3,5416.4,-88.2,-1.60,5603.0,5360.8,-45.1,-0.83,5823.6,4952.4,218.9,4.21,5823.6,4882.3,456.2,9.20,,
XDJ,Consumer Discretionary,1901.3,1892.7,1880.5,1864.8,1859.7,1879.0,1854.1,-5.1,-0.27,1901.3,1859.7,-25.0,-1.33,1916.5,1815.1,18.1,0.98,2021.0,1712.1,106.4,6.07,2021.0,1712.1,121.7,7.00,15128.8,15059.7,14963.2,14838.4,14797.6,15128.8,14797.6,-199.1,-1.33,15249.7,14430.2,156.4,1.07,15772.9,13162.6,1327.9,9.86,15772.9,12956.7,1457.9,10.93,,
XSJ,Consumer Staples,8298.6,8253.8,8197.3,8146.2,8119.6,8193.8,8101.8,-26.6,-0.33,8298.6,8119.6,-201.5,-2.42,8476.6,7962.0,-155.2,-1.88,10122.8,7962.0,-1053.4,-11.48,10122.8,7962.0,-881.9,-9.80,72417.7,72026.7,71533.5,71087.3,70855.6,72417.7,70855.6,-1758.1,-2.42,73966.7,69476.3,-1350.5,-1.87,85291.5,69476.3,-5653.1,-7.39,85291.5,69476.3,-4222.4,-5.62,,
XEJ,Energy,8113.9,7598.5,7625.2,7591.5,7547.4,7645.9,7506.4,-44.1,-0.58,8113.9,7547.4,-953.3,-11.21,8787.6,7547.4,-1110.7,-12.83,12090.7,7547.4,-4054.0,-34.94,12090.7,7547.4,-2975.7,-28.28,62128.1,58181.5,58386.2,58127.6,57790.4,62128.1,57790.4,-7299.3,-11.21,67286.6,57790.4,-8504.6,-12.83,90391.5,57790.4,-26513.9,-31.45,90391.5,57790.4,-18678.7,-24.43,,
XFJ,Financials,6141.9,6110.8,6063.4,5975.6,5983.3,6019.5,5932.2,7.8,0.13,6141.9,5975.6,-125.5,-2.05,6227.1,5806.0,79.1,1.34,7186.4,5644.5,-272.1,-4.35,7186.4,5644.5,-86.6,-1.43,67368.5,67027.0,66507.3,65543.7,65628.8,67368.5,65543.7,-1376.4,-2.05,68303.3,63680.2,871.4,1.35,75638.7,61027.7,389.6,0.60,75638.7,61027.7,2471.8,3.91,,
XXJ,Financial-x-A-REIT,7033.3,6978.1,6923.7,6821.6,6826.9,6871.0,6767.7,5.3,0.08,7033.3,6821.6,-175.8,-2.51,7145.0,6635.9,87.6,1.30,8394.2,6423.0,-455.3,-6.25,8394.2,6423.0,-195.8,-2.79,74157.2,73574.8,73001.3,71925.1,71980.7,74157.2,71925.1,-1853.4,-2.51,75335.2,69962.3,928.4,1.31,84666.9,66571.1,-791.7,-1.09,84666.9,66571.1,1801.1,2.57,,
XHJ,Health Care,19152.1,19181.2,19176.1,19114.6,19176.8,19384.4,19077.8,62.2,0.33,19181.2,19114.6,-6.3,-0.03,19866.2,18774.7,66.5,0.35,19933.9,17005.1,1689.6,9.66,19933.9,17005.1,2216.8,13.07,125314.8,125505.0,125478.6,125076.1,125483.5,125505.0,125076.1,-34.3,-0.03,129987.6,122801.4,486.6,0.39,129987.6,108911.1,13484.8,12.04,129987.6,107831.4,16861.3,15.52,,
XNJ,Industrials,4782.4,4815.2,4770.6,4764.4,4718.8,4778.6,4710.9,-45.6,-0.96,4815.2,4718.8,-60.9,-1.27,5004.6,4718.8,-106.0,-2.20,5004.6,4233.2,397.0,9.19,5004.6,4233.2,549.1,13.17,42193.4,42483.1,42089.3,42034.6,41632.5,42483.1,41632.5,-537.0,-1.27,44139.2,41632.5,-920.8,-2.16,44139.2,36323.0,4548.9,12.27,44139.2,35207.4,6078.9,17.10,,
XIJ,Info Technology,789.3,783.9,781.6,778.8,781.7,783.7,774.7,2.9,0.37,789.3,778.8,-2.9,-0.37,792.4,736.7,63.4,8.82,853.7,664.8,-1.0,-0.13,853.7,664.8,42.0,5.68,5475.3,5437.5,5421.5,5402.2,5422.4,5475.3,5402.2,-20.4,-0.37,5496.4,4978.7,443.7,8.91,5803.2,4575.2,155.8,2.96,5803.2,4575.2,445.0,8.94,,
XMJ,Materials,6907.4,6670.1,6677.5,6723.9,6683.9,6724.0,6652.6,-40.1,-0.60,6907.4,6670.1,-186.0,-2.71,7489.7,6670.1,-890.4,-11.76,9946.3,6670.1,-2043.8,-23.42,9946.3,6670.1,-1616.6,-19.48,51280.1,49518.4,49573.0,49918.1,49620.8,51280.1,49518.4,-1380.9,-2.71,56090.7,49518.4,-6469.9,-11.53,70664.0,49518.4,-12271.5,-19.83,70664.0,49518.4,-9228.9,-15.68,,
XPJ,A-REIT,1276.1,1288.8,1279.1,1262.3,1267.4,1275.3,1257.0,5.1,0.40,1288.8,1262.3,5.4,0.43,1293.0,1218.8,19.4,1.55,1343.7,1197.3,81.3,6.85,1343.7,1197.3,75.3,6.32,38380.9,38764.4,38472.1,37966.8,38121.5,38764.4,37966.8,162.8,0.43,38891.6,36657.5,582.6,1.55,39203.9,34828.8,3616.1,10.48,39203.9,33669.8,3971.5,11.63,,
XTJ,Telecommunications,1934.6,1946.4,1929.3,1907.9,1890.5,1922.0,1881.5,-17.4,-0.91,1946.4,1890.5,-75.0,-3.82,2001.6,1861.8,-29.0,-1.51,2321.2,1861.8,-196.3,-9.40,2321.2,1861.8,-107.3,-5.37,25032.2,25184.8,24962.9,24686.1,24461.6,25184.8,24461.6,-970.7,-3.82,25898.0,24089.3,-374.7,-1.51,28970.5,24089.3,-1292.6,-5.02,28970.5,24089.3,-192.0,-0.78,,
XUJ,Utilities,6760.8,6719.5,6738.9,6683.9,6696.3,6743.3,6674.8,12.4,0.19,6760.8,6683.9,-16.8,-0.25,7050.5,6679.9,-126.1,-1.85,7050.5,5936.5,782.2,13.23,7050.5,5936.5,881.1,15.15,76939.0,76469.0,76689.4,76064.1,76205.5,76939.0,76064.1,-191.6,-0.25,80235.6,75846.2,-1258.9,-1.63,80235.6,65111.5,11339.3,17.48,80235.6,62965.7,13190.7,20.93,,
XMM,Metals & Mining,1898.4,1814.0,1824.7,1844.7,1833.5,1844.7,1822.3,-11.2,-0.61,1898.4,1814.0,-56.1,-2.97,2121.4,1814.0,-317.7,-14.77,3045.0,1814.0,-813.4,-30.73,3045.0,1814.0,-685.9,-27.23,2884.9,2756.6,2772.9,2803.3,2786.4,2884.9,2756.6,-85.3,-2.97,3269.2,2756.6,-482.8,-14.77,4412.5,2756.6,-1048.0,-27.33,4412.5,2756.6,-863.3,-23.65,,
XGD,Gold,2456.7,2450.7,2509.6,2491.4,2499.1,2541.8,2486.5,7.7,0.31,2509.6,2450.7,124.2,5.23,2509.6,2264.8,57.5,2.36,3060.9,2069.2,451.7,22.06,3060.9,2069.2,531.2,26.99,2881.3,2874.3,2943.4,2922.0,2931.1,2943.4,2874.3,145.7,5.23,2943.4,2656.2,67.5,2.36,3589.9,2412.7,543.8,22.78,3589.9,2188.9,636.5,27.74,,
XJR,S&P/ASX 200 Res,2404.3,2281.0,2292.7,2307.2,2293.6,2310.8,2283.3,-13.6,-0.59,2404.3,2281.0,-143.0,-5.87,2640.1,2281.0,-382.9,-14.31,3741.5,2281.0,-1096.7,-32.35,3741.5,2281.0,-888.3,-27.92,13717.2,13014.1,13080.5,13163.4,13085.6,13717.2,13014.1,-815.7,-5.87,15270.0,13014.1,-2184.4,-14.31,20500.6,13014.1,-5318.3,-28.90,20500.6,13014.1,-4186.9,-24.24,,
,
