Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-31T23:15:12+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 22,Dec 23,Dec 28,Dec 29,Dec 30,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 22,Dec 23,Dec 28,Dec 29,Dec 30,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4142.2,4192.1,4141.7,4123.1,4111.0,4140.9,4109.5,-12.1,-0.29,4192.1,4111.0,-79.2,-1.89,4379.5,4107.1,-73.7,-1.76,5064.9,3927.6,-735.9,-15.18,5064.9,3927.6,-735.9,-15.18,31067.4,31441.7,31063.0,30924.1,30833.4,31441.7,30833.4,-540.7,-1.72,32786.0,30751.8,-493.3,-1.57,36827.4,29204.1,-3979.4,-11.43,36827.4,29204.1,-3979.4,-11.43,,
XAF,All Australian 50,4083.8,4130.5,4079.8,4067.3,4049.1,4084.6,4046.7,-18.2,-0.45,4130.5,4049.1,-77.2,-1.87,4297.3,4040.4,-50.1,-1.22,4939.1,3853.0,-633.1,-13.52,4939.1,3853.0,-633.1,-13.52,31228.6,31586.0,31197.9,31102.7,30963.8,31586.0,30963.8,-546.5,-1.73,32816.7,30854.8,-340.1,-1.09,36488.5,29181.9,-3182.8,-9.32,36488.5,29181.9,-3182.8,-9.32,,
XAT,All Australian 200,4085.4,4135.3,4083.6,4066.1,4050.7,4083.1,4048.9,-15.4,-0.38,4135.3,4050.7,-84.5,-2.04,4319.1,4049.0,-66.7,-1.62,4976.2,3855.4,-699.8,-14.73,4976.2,3855.4,-699.8,-14.73,31139.6,31520.1,31125.6,30992.5,30875.1,31520.1,30875.1,-591.6,-1.88,32860.4,30810.8,-450.0,-1.44,36695.0,29116.8,-3715.8,-10.74,36695.0,29116.8,-3715.8,-10.74,,
XTL,S&P/ASX 20,2469.3,2497.3,2466.5,2459.7,2449.7,2471.4,2447.2,-10.0,-0.41,2497.3,2449.7,-41.6,-1.67,2599.2,2436.6,-23.6,-0.95,2998.7,2334.2,-382.4,-13.50,2998.7,2334.2,-382.4,-13.50,37039.4,37459.1,36996.7,36895.5,36745.0,37459.1,36745.0,-624.3,-1.67,38987.3,36548.7,-354.1,-0.95,43396.5,34671.5,-3708.6,-9.17,43396.5,34671.5,-3708.6,-9.17,,
XFL,S&P/ASX 50,4110.5,4157.0,4106.2,4093.7,4076.5,4112.0,4074.0,-17.2,-0.42,4157.0,4076.5,-75.6,-1.82,4323.5,4065.7,-46.8,-1.14,4953.4,3876.7,-616.8,-13.14,4953.4,3876.7,-616.8,-13.14,31395.6,31750.5,31362.6,31267.3,31135.4,31750.5,31135.4,-539.8,-1.70,32982.5,31015.5,-320.0,-1.02,36564.0,29332.3,-3067.2,-8.97,36564.0,29332.3,-3067.2,-8.97,,
XTO,S&P/ASX 100,3344.5,3383.0,3342.1,3329.4,3316.7,3343.8,3315.0,-12.7,-0.38,3383.0,3316.7,-65.0,-1.92,3524.0,3311.4,-44.5,-1.32,4049.1,3155.5,-536.6,-13.93,4049.1,3155.5,-536.6,-13.93,7746.0,7835.3,7740.5,7711.1,7681.6,7835.3,7681.6,-138.3,-1.77,8147.6,7657.5,-89.5,-1.15,9067.0,7240.1,-836.9,-9.82,9067.0,7240.1,-836.9,-9.82,,
XJO,S&P/ASX 200,4090.8,4140.4,4088.8,4071.1,4056.6,4088.7,4054.8,-14.5,-0.36,4140.4,4056.6,-82.9,-2.00,4321.3,4053.1,-63.2,-1.53,4971.2,3863.9,-688.6,-14.51,4971.2,3863.9,-688.6,-14.51,31139.9,31517.4,31124.2,30989.6,30879.1,31517.4,30879.1,-579.8,-1.84,32834.6,30802.2,-423.4,-1.35,36617.7,29145.7,-3639.4,-10.54,36617.7,29145.7,-3639.4,-10.54,,
XKO,S&P/ASX 300,4085.6,4135.1,4084.1,4066.2,4052.3,4083.8,4050.7,-13.9,-0.34,4135.1,4052.3,-82.3,-1.99,4318.5,4049.2,-66.8,-1.62,4984.1,3860.9,-708.5,-14.88,4984.1,3860.9,-708.5,-14.88,31019.7,31395.5,31008.0,30872.2,30766.6,31395.5,30766.6,-573.8,-1.83,32728.2,30693.1,-449.2,-1.44,36632.1,29050.7,-3793.8,-10.98,36632.1,29050.7,-3793.8,-10.98,,
XMD,S&P/ASX MidCap 50,3609.4,3658.3,3617.6,3580.4,3578.9,3601.3,3578.0,-1.5,-0.04,3658.3,3578.9,-101.8,-2.77,3861.3,3578.9,-106.8,-2.90,4573.1,3408.2,-888.6,-19.89,4573.1,3408.2,-888.6,-19.89,8736.0,8854.2,8755.7,8665.8,8662.1,8854.2,8662.1,-205.1,-2.31,9286.4,8634.0,-201.9,-2.28,10728.9,8186.5,-1686.4,-16.30,10728.9,8186.5,-1686.4,-16.30,,
XSO,S&P/ASX Small Ords,2224.2,2264.4,2230.9,2207.6,2209.4,2221.3,2207.6,1.8,0.08,2264.4,2207.6,-61.3,-2.70,2427.1,2207.6,-106.1,-4.58,2946.3,2137.3,-683.1,-23.62,2946.3,2137.3,-683.1,-23.62,5143.1,5236.2,5158.7,5104.9,5108.9,5236.2,5104.9,-129.4,-2.47,5597.4,5104.9,-229.6,-4.30,6625.3,4915.5,-1393.4,-21.43,6625.3,4915.5,-1393.4,-21.43,,
