Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-11-05T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 31,Nov 1,Nov 2,Nov 3,Nov 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 31,Nov 1,Nov 2,Nov 3,Nov 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4360.5,4297.2,4251.3,4237.4,4342.5,4343.0,4262.7,105.0,2.48,4360.5,4237.4,-68.9,-1.56,4411.4,3992.5,406.9,10.34,5064.9,3927.6,-504.4,-10.41,5064.9,3927.6,-530.4,-10.89,32440.8,31970.2,31628.7,31525.6,32306.9,32440.8,31525.6,-513.0,-1.56,32819.9,29272.7,3034.2,10.37,36827.4,29204.1,-2505.9,-7.20,36827.4,29204.1,-2511.6,-7.21,,
XAF,All Australian 50,4274.3,4212.1,4165.1,4152.7,4264.1,4268.2,4182.4,111.4,2.68,4274.3,4152.7,-64.0,-1.48,4328.1,3912.7,403.8,10.46,4939.1,3853.0,-418.1,-8.93,4939.1,3853.0,-506.4,-10.62,32375.4,31904.7,31548.4,31454.3,32298.1,32375.4,31454.3,-484.8,-1.48,32782.9,29237.5,3060.6,10.47,36488.5,29181.9,-1848.5,-5.41,36488.5,29181.9,-2290.4,-6.62,,
XAT,All Australian 200,4295.9,4230.6,4182.3,4167.8,4278.4,4279.9,4196.0,110.6,2.65,4295.9,4167.8,-73.7,-1.69,4352.1,3918.6,413.9,10.71,4976.2,3855.4,-472.1,-9.94,4976.2,3855.4,-526.1,-10.95,32453.4,31959.6,31595.2,31485.3,32320.7,32453.4,31485.3,-556.8,-1.69,32877.4,29189.5,3131.2,10.73,36695.0,29116.8,-2270.3,-6.56,36695.0,29116.8,-2462.7,-7.08,,
XTL,S&P/ASX 20,2595.2,2554.6,2527.1,2519.1,2587.2,2590.7,2540.1,68.1,2.70,2595.2,2519.1,-43.0,-1.63,2630.2,2373.6,246.9,10.55,2998.7,2334.2,-244.9,-8.65,2998.7,2334.2,-304.7,-10.54,38548.6,37946.2,37537.9,37418.4,38429.9,38548.6,37418.4,-638.7,-1.63,39068.6,34762.3,3667.6,10.55,43396.5,34671.5,-2023.7,-5.00,43396.5,34671.5,-2645.3,-6.44,,
XFL,S&P/ASX 50,4297.6,4235.5,4188.5,4177.6,4287.6,4291.8,4207.4,110.0,2.63,4297.6,4177.6,-63.2,-1.45,4350.8,3936.8,404.2,10.41,4953.4,3876.7,-405.7,-8.64,4953.4,3876.7,-494.2,-10.33,32519.5,32050.1,31694.5,31611.4,32444.0,32519.5,31611.4,-478.4,-1.45,32922.4,29383.0,3061.0,10.42,36564.0,29332.3,-1758.6,-5.14,36564.0,29332.3,-2204.0,-6.36,,
XTO,S&P/ASX 100,3505.6,3454.3,3412.9,3402.9,3491.3,3493.7,3426.0,88.4,2.60,3505.6,3402.9,-59.0,-1.66,3550.3,3203.0,331.8,10.50,4049.1,3155.5,-362.0,-9.40,4049.1,3155.5,-415.7,-10.64,8045.5,7927.8,7832.9,7809.9,8012.9,8045.5,7809.9,-135.4,-1.66,8148.3,7250.3,762.5,10.52,9067.0,7240.1,-505.6,-5.94,9067.0,7240.1,-573.9,-6.68,,
XJO,S&P/ASX 200,4298.1,4232.9,4184.6,4171.8,4281.1,4282.5,4199.8,109.3,2.62,4298.1,4171.8,-72.2,-1.66,4353.3,3926.5,409.0,10.56,4971.2,3863.9,-464.1,-9.78,4971.2,3863.9,-519.5,-10.82,32430.6,31938.5,31574.3,31477.5,32302.3,32430.6,31477.5,-544.4,-1.66,32846.7,29212.1,3090.2,10.58,36617.7,29145.7,-2216.2,-6.42,36617.7,29145.7,-2420.1,-6.97,,
XKO,S&P/ASX 300,4294.9,4230.5,4182.6,4169.4,4277.0,4278.3,4196.8,107.6,2.58,4294.9,4169.4,-72.1,-1.66,4349.1,3923.4,406.8,10.51,4984.1,3860.9,-483.8,-10.16,4984.1,3860.9,-528.9,-11.01,32327.4,31842.2,31481.6,31382.7,32192.4,32327.4,31382.7,-542.5,-1.66,32734.8,29126.4,3066.0,10.53,36632.1,29050.7,-2368.0,-6.85,36632.1,29050.7,-2499.7,-7.21,,
XMD,S&P/ASX MidCap 50,3865.4,3802.3,3729.2,3708.8,3793.9,3803.9,3722.6,85.1,2.29,3865.4,3708.8,-133.0,-3.39,3926.9,3455.9,385.7,11.32,4573.1,3408.2,-673.6,-15.08,4573.1,3408.2,-570.3,-13.07,9287.8,9136.1,8960.6,8911.4,9116.0,9287.8,8911.4,-319.6,-3.39,9435.6,8186.5,929.5,11.35,10728.9,8186.5,-1232.6,-11.91,10728.9,8186.5,-928.5,-9.24,,
XSO,S&P/ASX Small Ords,2408.1,2363.4,2351.4,2339.2,2395.3,2397.7,2349.7,56.1,2.40,2408.1,2339.2,-39.3,-1.62,2434.6,2195.2,228.8,10.56,2946.3,2137.3,-497.2,-17.19,2946.3,2137.3,-402.2,-14.38,5544.1,5441.0,5413.6,5385.3,5514.5,5544.1,5385.3,-90.6,-1.62,5605.1,4985.3,529.2,10.62,6625.3,4915.5,-987.8,-15.19,6625.3,4915.5,-751.6,-11.99,,
XDJ,Consumer Discretionary,1269.8,1251.5,1233.6,1246.5,1263.1,1267.9,1247.7,16.6,1.33,1269.8,1233.6,-21.9,-1.70,1285.0,1163.1,111.7,9.70,1557.8,1140.6,-237.7,-15.84,1567.8,1140.6,-307.6,-19.58,8686.4,8560.9,8438.3,8527.0,8640.1,8686.4,8438.3,-149.7,-1.70,8789.8,7869.0,771.1,9.80,10210.5,7636.0,-1142.2,-11.68,10218.9,7636.0,-1598.0,-15.61,,
XSJ,Consumer Staples,7585.2,7534.2,7469.6,7482.3,7602.6,7603.1,7482.3,120.3,1.61,7602.6,7469.6,-17.7,-0.23,7642.6,7341.5,241.7,3.28,8013.9,7011.2,-111.9,-1.45,8224.8,7011.2,-632.5,-7.68,55427.5,55055.3,54583.2,54675.9,55554.7,55554.7,54583.2,-129.3,-0.23,55847.2,53646.9,1765.8,3.28,56701.2,49979.4,1756.8,3.27,57292.5,49979.4,-1809.7,-3.15,,
XEJ,Energy,14019.7,13886.9,13744.4,13655.9,13945.0,14085.2,13682.2,289.1,2.12,14019.7,13655.9,-114.4,-0.81,14090.1,12426.4,1896.0,15.74,17736.5,11605.0,-2169.4,-13.46,17736.5,11605.0,-2074.1,-12.95,93484.5,92599.2,91648.7,91059.0,92986.8,93484.5,91059.0,-762.7,-0.81,93954.1,80343.8,12643.0,15.74,116809.6,77383.0,-12106.4,-11.52,116809.6,77383.0,-11484.7,-10.99,,
XFJ,Financials,4134.3,4073.4,4010.6,3986.9,4081.1,4088.5,3999.2,94.2,2.36,4134.3,3986.9,-110.0,-2.63,4191.1,3677.2,441.4,12.13,4666.6,3596.7,-280.7,-6.43,4666.6,3596.7,-373.9,-8.39,35749.8,35223.0,34679.5,34475.0,35289.5,35749.8,34475.0,-951.2,-2.62,36240.8,31466.8,3822.8,12.15,38822.8,30965.7,-774.1,-2.15,38822.8,30965.7,-1084.2,-2.98,,
XXJ,Financial-x-A-REIT,4804.9,4723.3,4654.8,4622.3,4729.9,4740.1,4638.7,107.6,2.33,4804.9,4622.3,-149.2,-3.06,4879.1,4230.2,555.3,13.30,5430.9,4119.7,-333.9,-6.59,5430.9,4119.7,-431.8,-8.36,39821.4,39145.0,38577.4,38307.7,39200.1,39821.4,38307.7,-1235.8,-3.06,40435.9,34597.4,4602.7,13.30,43285.0,34142.5,-940.7,-2.34,43285.0,34142.5,-1221.8,-3.02,,
XHJ,Health Care,7674.7,7604.7,7553.8,7551.3,7665.5,7740.1,7554.9,114.2,1.51,7674.7,7551.3,-52.1,-0.68,7968.8,7551.3,136.5,1.81,9186.8,7082.8,-1267.7,-14.19,9186.8,7082.8,-727.5,-8.67,45771.2,45353.3,45049.9,45034.8,45716.3,45771.2,45034.8,-310.6,-0.67,47525.2,44901.9,814.4,1.81,53892.5,41891.0,-6104.9,-11.78,53892.5,41891.0,-2971.0,-6.10,,
XNJ,Industrials,3368.7,3320.5,3282.8,3278.8,3356.7,3370.3,3298.0,77.9,2.38,3368.7,3278.8,-43.9,-1.29,3404.4,3050.8,324.8,10.71,3870.5,3031.9,-379.8,-10.16,3870.5,3031.9,-464.1,-12.15,25555.2,25189.9,24903.5,24872.9,25464.2,25555.2,24872.9,-332.9,-1.29,25826.1,22990.4,2473.7,10.76,28566.6,22990.4,-2096.1,-7.61,28566.6,22990.4,-2534.8,-9.05,,
XIJ,Info Technology,494.6,486.6,478.8,474.0,480.7,486.2,474.0,6.7,1.41,494.6,474.0,-14.6,-2.95,495.3,464.0,18.7,4.04,666.6,458.0,-164.0,-25.44,666.6,458.0,-155.8,-24.47,3022.7,2973.9,2926.0,2896.6,2937.7,3022.7,2896.6,-89.6,-2.96,3027.2,2823.8,113.8,4.03,3919.5,2743.0,-853.3,-22.51,3919.5,2743.0,-804.8,-21.50,,
XMJ,Materials,11697.0,11416.0,11324.5,11300.9,11755.3,11773.6,11510.4,454.4,4.02,11755.3,11300.9,-193.1,-1.62,11948.4,10738.1,1298.3,12.42,15046.2,10436.7,-2325.3,-16.51,15046.2,10436.7,-2230.0,-15.95,75595.6,73779.3,73188.2,73035.8,75972.2,75972.2,73035.8,-1248.0,-1.62,77220.1,67581.8,8390.3,12.42,96133.1,67434.3,-13239.1,-14.84,96133.1,67434.3,-12550.4,-14.18,,
XPJ,A-REIT,790.9,788.9,772.8,772.7,792.4,793.5,773.1,19.7,2.55,792.4,772.7,-2.0,-0.26,796.1,742.0,46.8,6.27,887.0,708.9,-47.4,-5.65,887.0,708.9,-75.1,-8.65,19084.0,19035.7,18647.2,18647.2,19120.7,19120.7,18647.2,-49.6,-0.26,19187.2,17884.6,1149.8,6.40,20646.7,17036.7,-233.3,-1.21,20646.7,17036.7,-584.8,-2.97,,
XTJ,Telecommunications,1061.3,1064.6,1054.9,1051.4,1071.9,1071.9,1051.4,20.5,1.95,1071.9,1051.4,7.4,0.70,1087.6,1034.3,41.0,3.98,1087.6,891.0,112.3,11.70,1087.6,891.0,145.0,15.64,10855.7,10889.4,10789.7,10754.8,10964.4,10964.4,10754.8,76.2,0.70,11125.1,10543.2,421.2,4.00,11125.1,8708.4,1989.9,22.17,11125.1,8339.6,2314.6,26.76,,
XUJ,Utilities,4377.2,4296.8,4316.4,4301.6,4424.6,4424.6,4338.7,123.0,2.86,4424.6,4296.8,44.2,1.01,4424.6,4240.7,246.3,5.90,4550.9,3990.1,11.2,0.25,4611.6,3990.1,-178.9,-3.89,40039.5,39304.0,39484.0,39348.4,40473.3,40473.3,39304.0,404.0,1.01,40473.7,38220.0,2253.4,5.90,41005.7,35021.3,2016.2,5.24,41005.7,35021.3,978.9,2.48,,
XMM,Metals & Mining,4185.8,4082.0,4061.4,4052.7,4221.4,4226.6,4133.0,168.7,4.16,4221.4,4052.7,-59.4,-1.39,4280.8,3848.6,481.7,12.88,5491.6,3732.7,-924.3,-17.96,5491.6,3732.7,-874.2,-17.16,5573.3,5435.1,5407.7,5396.1,5620.7,5620.7,5396.1,-79.2,-1.39,5699.8,4979.4,641.3,12.88,7235.3,4968.6,-1103.5,-16.41,7235.3,4968.6,-1038.0,-15.59,,
XGD,Gold,6812.9,6739.7,6818.4,6842.1,7068.9,7068.9,6851.3,226.8,3.31,7068.9,6739.7,131.1,1.89,7241.9,6657.0,396.5,5.94,8435.7,6432.0,-1030.2,-12.72,8435.7,6432.0,-1162.4,-14.12,7782.4,7698.8,7788.7,7815.7,8074.9,8074.9,7698.8,149.8,1.89,8272.4,7604.4,453.0,5.94,9595.8,7347.4,-1118.0,-12.16,9595.8,7347.4,-1268.0,-13.57,,
XJR,S&P/ASX 200 Res,4894.2,4789.5,4758.6,4744.1,4920.4,4924.1,4819.4,176.3,3.72,4920.4,4744.1,-63.7,-1.28,4984.1,4464.9,588.7,13.59,6355.0,4291.7,-988.4,-16.73,6355.0,4291.7,-956.2,-16.27,24384.3,23863.0,23708.7,23636.5,24515.1,24515.1,23636.5,-317.3,-1.28,24832.3,21582.0,2933.1,13.59,31311.1,21378.1,-4345.1,-15.06,31311.1,21378.1,-4187.6,-14.59,,
,
