Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-10-13T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 8,Oct 9,Oct 10,Oct 11,Oct 12,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 8,Oct 9,Oct 10,Oct 11,Oct 12,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4502.0,4526.6,4511.9,4505.2,4510.1,4518.4,4505.1,4.9,0.11,4526.6,4502.0,-3.7,-0.08,4526.6,4359.8,127.0,2.90,4526.6,4033.4,399.1,9.71,4526.6,4033.4,241.1,5.65,35065.5,35257.3,35143.6,35091.6,35129.8,35257.3,35065.5,-26.9,-0.08,35257.3,33905.9,1043.9,3.06,35257.3,30869.4,4296.5,13.93,35257.3,30374.1,3375.1,10.63,,
XAF,All Australian 50,4516.5,4541.7,4527.1,4522.1,4525.7,4536.3,4520.7,3.6,0.08,4541.7,4516.5,-1.9,-0.04,4541.7,4376.6,128.4,2.92,4541.7,3983.7,476.6,11.77,4541.7,3962.7,339.8,8.12,35960.4,36161.2,36044.9,36005.3,36033.3,36161.2,35960.4,-15.1,-0.04,36161.2,34815.3,1053.1,3.01,36161.2,31167.4,5069.5,16.37,36161.2,30261.5,4330.3,13.66,,
XAT,All Australian 200,4461.5,4485.9,4472.0,4465.3,4468.3,4478.0,4464.5,3.0,0.07,4485.9,4461.5,-6.4,-0.14,4485.9,4321.9,125.0,2.88,4485.9,3973.9,417.6,10.31,4485.9,3973.9,267.2,6.36,35371.0,35564.3,35454.4,35400.8,35425.1,35564.3,35371.0,-49.1,-0.14,35564.3,34224.0,1032.5,3.00,35564.3,30947.5,4549.9,14.74,35564.3,30286.3,3691.5,11.63,,
XTL,S&P/ASX 20,2745.9,2758.7,2749.6,2749.2,2751.4,2759.0,2748.7,2.2,0.08,2758.7,2745.9,-0.8,-0.03,2758.7,2661.2,80.8,3.03,2758.7,2396.0,301.7,12.32,2758.7,2390.0,208.9,8.22,42939.8,43139.8,42996.9,42990.7,43025.2,43139.8,42939.8,-12.7,-0.03,43139.8,41578.7,1299.7,3.11,43139.8,36842.5,6280.1,17.09,43139.8,35849.6,5259.2,13.93,,
XFL,S&P/ASX 50,4554.3,4578.9,4563.5,4557.9,4561.5,4572.2,4556.5,3.6,0.08,4578.9,4554.3,-3.5,-0.08,4578.9,4412.4,128.2,2.89,4578.9,4010.1,485.0,11.90,4578.9,3986.5,352.1,8.36,36214.1,36409.6,36287.2,36242.6,36271.2,36409.6,36214.1,-27.4,-0.08,36409.6,35054.9,1050.9,2.98,36409.6,31334.8,5135.9,16.50,36409.6,30412.0,4421.6,13.88,,
XTO,S&P/ASX 100,3677.1,3697.0,3685.6,3679.8,3682.1,3690.2,3679.0,2.3,0.06,3697.0,3677.1,-4.0,-0.11,3697.0,3560.6,104.5,2.92,3697.0,3260.5,365.4,11.02,3697.0,3248.9,252.8,7.37,8861.6,8909.6,8882.1,8868.1,8873.6,8909.6,8861.6,-9.8,-0.11,8909.6,8572.8,259.9,3.02,8909.6,7719.3,1192.0,15.52,8909.6,7511.6,1004.0,12.76,,
XJO,S&P/ASX 200,4481.9,4505.3,4490.7,4483.5,4486.6,4496.1,4482.7,3.1,0.07,4505.3,4481.9,-7.8,-0.17,4505.3,4339.4,125.3,2.87,4505.3,3985.0,430.0,10.60,4505.3,3984.3,281.0,6.68,35477.1,35663.1,35547.7,35490.6,35514.8,35663.1,35477.1,-60.3,-0.17,35663.1,34308.7,1034.9,3.00,35663.1,30989.0,4635.7,15.01,35663.1,30273.2,3785.3,11.93,,
XKO,S&P/ASX 300,4467.0,4490.2,4475.6,4468.4,4471.8,4480.9,4467.7,3.4,0.08,4490.2,4467.0,-7.9,-0.18,4490.2,4326.5,123.4,2.84,4490.2,3977.4,419.5,10.35,4490.2,3977.4,269.4,6.41,35255.3,35438.7,35323.5,35266.6,35293.8,35438.7,35255.3,-60.7,-0.17,35438.7,34104.4,1017.4,2.97,35438.7,30841.3,4527.2,14.71,35438.7,30193.7,3665.9,11.59,,
XMD,S&P/ASX MidCap 50,3721.0,3741.7,3738.9,3722.0,3718.6,3725.7,3713.4,-3.4,-0.09,3741.7,3718.6,-15.2,-0.41,3741.7,3561.8,113.8,3.16,3950.9,3435.4,139.7,3.90,3950.9,3435.4,-22.7,-0.61,9331.2,9382.9,9376.0,9333.6,9324.9,9382.9,9324.9,-38.1,-0.41,9382.9,8927.1,298.4,3.31,9693.0,8495.1,662.8,7.65,9693.0,8495.1,338.4,3.77,,
XSO,S&P/ASX Small Ords,2286.0,2292.5,2280.8,2276.1,2281.8,2283.7,2275.3,5.7,0.25,2292.5,2276.1,-20.7,-0.90,2302.5,2218.9,43.7,1.95,2526.6,2044.8,72.4,3.28,2526.6,2044.8,-79.7,-3.38,5438.7,5454.4,5426.9,5415.7,5429.3,5454.4,5415.7,-46.7,-0.85,5476.0,5255.9,130.6,2.46,5892.6,4798.2,320.4,6.27,5892.6,4798.2,-7.5,-0.14,,
XDJ,Consumer Discretionary,1287.0,1290.0,1282.9,1280.6,1276.6,1283.1,1273.8,-4.0,-0.31,1290.0,1276.6,-9.4,-0.73,1290.0,1241.2,10.3,0.81,1313.3,1179.0,103.9,8.86,1313.3,1165.7,53.5,4.37,9222.3,9243.5,9192.8,9176.7,9147.6,9243.5,9147.6,-67.2,-0.73,9243.5,8884.5,132.8,1.47,9243.5,8076.6,1114.1,13.87,9243.5,7985.3,788.3,9.43,,
