Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-07-04T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 29,Jun 30,Jul 1,Jul 2,Jul 3,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 29,Jun 30,Jul 1,Jul 2,Jul 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2065.2,2072.6,2099.2,2124.7,2098.1,2124.7,2085.1,-26.6,-1.25,2124.7,2065.2,-5.3,-0.25,2176.6,2065.2,-92.9,-4.24,2263.3,2001.2,53.7,2.63,2263.3,2001.2,-94.8,-4.32,5331.7,5351.8,5421.0,5487.1,5418.3,5487.1,5331.7,-11.8,-0.22,5638.1,5331.7,-219.8,-3.90,5823.6,5089.5,220.7,4.25,5823.6,4882.3,-65.9,-1.20,,
XDJ,Consumer Discretionary,1768.1,1782.3,1810.7,1852.5,1841.4,1852.5,1820.0,-11.1,-0.60,1852.5,1768.1,18.1,0.99,1920.4,1768.1,-93.6,-4.84,2021.0,1713.3,88.1,5.02,2021.0,1713.3,4.5,0.24,13821.4,13932.8,14154.4,14481.7,14394.6,14481.7,13821.4,141.5,0.99,15114.4,13821.4,-719.8,-4.76,15772.9,13162.6,924.9,6.87,15772.9,12935.8,527.8,3.81,,
XSJ,Consumer Staples,8358.0,8400.7,8450.2,8635.5,8579.0,8686.3,8538.6,-56.5,-0.65,8635.5,8358.0,67.4,0.79,8755.8,8358.0,-253.5,-2.87,10122.8,8358.0,-594.0,-6.48,10122.8,8358.0,-1454.2,-14.49,71073.8,71437.0,71868.6,73444.6,72964.5,73444.6,71073.8,583.6,0.81,75109.4,71073.8,-2144.9,-2.86,85291.5,71073.8,-3544.3,-4.63,85291.5,71073.8,-8942.8,-10.92,,
XEJ,Energy,10825.4,10945.7,11086.4,11315.8,11046.5,11315.8,10956.9,-269.3,-2.38,11315.8,10825.4,-37.5,-0.34,11653.9,10825.4,-400.4,-3.50,12090.7,10301.0,-554.9,-4.78,12090.7,10301.0,-3508.8,-24.11,80932.4,81831.9,82883.1,84598.7,82585.0,84598.7,80932.4,-280.1,-0.34,87126.2,80932.4,-2993.4,-3.50,90391.5,74854.3,-1719.4,-2.04,111140.9,74854.3,-21417.0,-20.59,,
XFJ,Financials,6331.9,6364.4,6435.0,6532.8,6471.8,6535.0,6414.4,-61.0,-0.93,6532.8,6331.9,-20.0,-0.31,6603.3,6188.0,138.4,2.18,7186.4,6165.5,216.4,3.46,7186.4,6165.5,300.1,4.86,67679.5,68026.3,68781.5,69827.2,69175.2,69827.2,67679.5,-214.1,-0.31,70412.6,65983.2,1640.5,2.43,75638.7,64303.3,3936.0,6.03,75638.7,59639.1,6417.7,10.23,,
XXJ,Financial-x-A-REIT,7341.3,7378.6,7457.8,7582.0,7510.1,7584.5,7447.1,-71.9,-0.95,7582.0,7341.3,-24.0,-0.32,7639.2,7123.5,214.3,2.94,8394.2,7123.5,227.9,3.13,8394.2,7123.5,219.0,3.00,75188.3,75570.4,76382.0,77654.3,76917.7,77654.3,75188.3,-245.4,-0.32,78237.5,72954.5,76917.7,1.#J,84666.9,71254.0,4145.2,5.70,84666.9,66776.9,5980.3,8.43,,
XHJ,Health Care,17782.8,17956.5,18340.9,18558.7,18275.5,18558.7,18112.4,-283.2,-1.53,18558.7,17782.8,133.0,0.73,18558.7,17782.8,-258.3,-1.39,19933.9,17005.1,788.2,4.51,19933.9,17005.1,3853.2,26.72,114948.9,116071.6,118556.3,119964.4,118133.6,119964.4,114948.9,859.9,0.73,119964.4,114948.9,-1661.3,-1.39,128804.9,108911.1,6135.0,5.48,128804.9,88629.9,26809.2,29.36,,
XNJ,Industrials,4459.0,4528.6,4713.3,4781.5,4744.2,4782.7,4683.0,-37.3,-0.78,4781.5,4459.0,207.9,4.58,4781.5,4459.0,-47.6,-0.99,4968.2,4233.2,422.4,9.77,4968.2,4233.2,590.5,14.22,38920.3,39527.8,41140.2,41735.8,41410.1,41735.8,38920.3,1814.9,4.58,41735.8,38920.3,-118.2,-0.28,43057.2,36323.0,4326.5,11.67,43057.2,32870.0,6427.5,18.37,,
XIJ,Info Technology,777.8,776.6,784.3,800.8,796.6,800.8,785.0,-4.2,-0.52,800.8,776.6,6.1,0.77,816.2,776.6,-19.6,-2.40,853.7,757.6,13.9,1.77,853.7,757.6,-20.4,-2.50,5306.1,5297.3,5350.4,5462.7,5433.8,5462.7,5297.3,41.6,0.77,5567.8,5297.3,-133.6,-2.40,5803.2,5098.0,167.1,3.17,5803.2,4958.9,15.1,0.28,,
XMJ,Materials,8680.7,8726.2,8669.8,8778.8,8628.4,8778.8,8540.3,-150.4,-1.71,8778.8,8628.4,-220.6,-2.49,9230.2,8628.4,-617.8,-6.68,9946.3,8248.8,-99.3,-1.14,9946.3,8248.8,-1501.1,-14.82,62852.0,63182.0,62773.0,63562.8,62473.6,63562.8,62473.6,-1597.1,-2.49,66898.2,62473.6,-4424.6,-6.61,70664.0,58495.7,581.3,0.94,73622.9,57471.6,-8134.3,-11.52,,
XPJ,A-REIT,1228.9,1235.5,1251.8,1260.5,1249.8,1261.0,1234.7,-10.7,-0.85,1260.5,1228.9,-3.2,-0.25,1303.5,1228.9,-24.8,-1.94,1343.7,1197.3,63.6,5.36,1343.7,1197.3,178.0,16.61,36626.2,36822.7,37307.0,37567.3,37248.2,37567.3,36626.2,-94.9,-0.25,38242.8,36228.5,-146.2,-0.39,39203.9,34828.8,2742.7,7.95,39203.9,30884.2,6559.1,21.37,,
XTJ,Telecommunications,2151.4,2174.2,2176.9,2191.8,2171.1,2191.8,2167.2,-20.7,-0.94,2191.8,2151.4,-26.0,-1.18,2244.2,2112.9,13.3,0.62,2321.2,2072.7,84.3,4.04,2321.2,2072.7,314.1,16.91,27143.8,27431.4,27466.4,27654.5,27392.3,27654.5,27143.8,-327.5,-1.18,28315.7,26658.8,167.8,0.62,28647.5,25580.0,1638.1,6.36,28647.5,22123.0,5067.0,22.70,,
XUJ,Utilities,6403.1,6397.4,6406.9,6536.5,6518.4,6570.6,6451.6,-18.1,-0.28,6536.5,6397.4,10.6,0.16,6880.8,6397.4,-220.4,-3.27,6918.1,5936.5,604.3,10.22,6918.1,5936.5,519.5,8.66,71952.0,71887.4,71993.8,73450.7,73247.6,73450.7,71887.4,119.0,0.16,76378.7,71887.4,-1373.2,-1.84,76606.1,65111.5,8381.4,12.92,76606.1,62222.8,9324.9,14.59,,
XMM,Metals & Mining,2553.2,2566.5,2539.0,2571.7,2525.8,2571.7,2499.8,-45.9,-1.78,2571.7,2525.8,-75.9,-2.92,2734.8,2525.8,-235.4,-8.53,3045.0,2488.4,-121.2,-4.58,3045.0,2488.4,-770.2,-23.37,3779.3,3799.0,3758.4,3806.7,3738.8,3806.7,3738.8,-112.4,-2.92,4087.2,3738.8,-348.4,-8.52,4412.5,3604.6,-95.6,-2.49,4936.1,3537.4,-961.0,-20.45,,
XGD,Gold,2531.9,2489.2,2466.8,2467.2,2418.7,2471.7,2397.0,-48.5,-1.97,2531.9,2418.7,-71.2,-2.86,2606.6,2418.7,-205.9,-7.85,2736.3,2069.2,371.4,18.14,2736.3,2069.2,45.3,1.91,2958.1,2908.3,2882.1,2882.6,2825.9,2958.1,2825.9,-83.2,-2.86,3066.5,2825.9,-240.6,-7.85,3196.9,2412.7,438.7,18.38,3196.9,1941.8,62.5,2.26,,
XJR,S&P/ASX 200 Res,3231.1,3254.3,3242.6,3293.7,3228.1,3293.7,3197.5,-65.6,-1.99,3293.7,3228.1,-70.9,-2.15,3468.8,3228.1,-243.1,-7.00,3741.5,3157.8,-162.1,-4.78,3741.5,3157.8,-991.1,-23.49,17961.0,18089.6,18024.5,18308.9,17944.3,18308.9,17944.3,-393.9,-2.15,19295.7,17944.3,-1351.4,-7.00,20500.6,17142.0,-459.6,-2.50,23407.3,16867.8,-4588.2,-20.36,,
,
