Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-01-08T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 31,Jan 4,Jan 5,Jan 6,Jan 7,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 31,Jan 4,Jan 5,Jan 6,Jan 7,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4846.9,4849.5,4820.9,4831.1,4812.0,4831.1,4798.9,-19.1,-0.40,4849.5,4812.0,-74.7,-1.53,4888.2,4791.7,-4.0,-0.08,4849.5,4812.0,-34.9,-0.72,5024.1,4250.6,-130.2,-2.63,34812.8,34831.7,34626.5,34699.4,34562.5,34831.7,34562.5,-536.1,-1.53,35109.8,34366.2,21.7,0.06,34831.7,34562.5,-250.3,-0.72,35111.0,29893.9,452.1,1.33,,
XAF,All Australian 50,4682.2,4674.0,4647.4,4658.8,4639.1,4658.8,4622.9,-19.7,-0.42,4682.2,4639.1,-91.8,-1.94,4750.4,4639.1,-40.3,-0.86,4674.0,4639.1,-43.1,-0.92,5017.2,4220.3,-255.4,-5.22,34146.6,34086.8,33892.9,33975.6,33831.8,34146.6,33831.8,-670.1,-1.94,34643.7,33831.8,-264.0,-0.77,34086.8,33831.8,-314.7,-0.92,35500.5,30076.1,-344.4,-1.01,,
XAT,All Australian 200,4750.5,4747.4,4719.2,4728.6,4708.7,4728.6,4693.9,-19.9,-0.42,4750.5,4708.7,-87.2,-1.82,4803.4,4703.2,-21.7,-0.46,4747.4,4708.7,-41.8,-0.88,5001.2,4218.4,-204.6,-4.16,34591.0,34568.5,34363.3,34431.8,34286.3,34591.0,34286.3,-635.0,-1.82,34976.1,34195.7,-107.2,-0.31,34568.5,34286.3,-304.6,-0.88,35368.8,30043.8,-21.8,-0.06,,
XTL,S&P/ASX 20,2832.1,2827.2,2809.0,2815.4,2799.1,2815.4,2790.1,-16.3,-0.58,2832.1,2799.1,-63.9,-2.23,2875.7,2799.1,-28.5,-1.01,2827.2,2799.1,-33.0,-1.17,3060.6,2560.9,-162.6,-5.49,40453.6,40383.4,40122.8,40215.1,39981.7,40453.6,39981.7,-912.5,-2.23,41076.2,39981.7,-407.8,-1.01,40383.4,39981.7,-471.9,-1.17,42369.7,35716.1,-465.6,-1.15,,
XFL,S&P/ASX 50,4693.3,4685.0,4659.0,4671.0,4651.2,4671.0,4634.9,-19.8,-0.42,4693.3,4651.2,-90.6,-1.91,4762.3,4651.2,-39.5,-0.84,4685.0,4651.2,-42.1,-0.90,5036.9,4235.3,-259.2,-5.28,34202.6,34142.5,33952.8,34040.2,33896.3,34202.6,33896.3,-660.0,-1.91,34705.8,33896.3,-257.7,-0.75,34142.5,33896.3,-306.3,-0.90,35624.5,30164.1,-376.6,-1.10,,
XTO,S&P/ASX 100,3853.3,3849.8,3829.2,3837.6,3821.1,3837.6,3808.2,-16.5,-0.43,3853.3,3821.1,-70.2,-1.80,3903.0,3821.1,-22.8,-0.59,3849.8,3821.1,-32.2,-0.84,4095.8,3455.4,-195.3,-4.86,8518.5,8510.6,8465.2,8483.6,8447.1,8518.5,8447.1,-155.3,-1.81,8628.3,8437.4,-38.7,-0.46,8510.6,8447.1,-71.4,-0.84,8789.4,7468.5,-61.6,-0.72,,
XJO,S&P/ASX 200,4745.2,4742.5,4714.9,4725.0,4705.0,4725.0,4690.3,-20.0,-0.42,4745.2,4705.0,-85.4,-1.78,4799.0,4699.9,-21.8,-0.46,4742.5,4705.0,-40.2,-0.85,5001.9,4222.1,-207.1,-4.22,34518.5,34498.4,34298.1,34371.2,34226.1,34518.5,34226.1,-620.8,-1.78,34909.7,34138.1,-107.6,-0.31,34498.4,34226.1,-292.4,-0.85,35345.6,30045.0,-50.2,-0.15,,
XKO,S&P/ASX 300,4760.8,4759.3,4730.9,4740.0,4718.9,4740.0,4705.0,-21.1,-0.45,4760.8,4718.9,-85.5,-1.78,4811.4,4709.1,-17.3,-0.36,4759.3,4718.9,-41.9,-0.88,4995.0,4214.7,-193.1,-3.93,34560.3,34549.2,34343.7,34409.3,34256.2,34560.3,34256.2,-620.7,-1.78,34927.5,34134.6,-74.3,-0.22,34549.2,34256.2,-304.1,-0.88,35236.9,29938.5,34.5,0.10,,
XMD,S&P/ASX Midcap 50,4467.5,4491.0,4474.3,4470.9,4449.2,4471.0,4438.9,-21.7,-0.49,4491.0,4449.2,-46.2,-1.03,4495.4,4371.5,56.3,1.28,4491.0,4449.2,-18.3,-0.41,4548.5,3797.0,-68.8,-1.52,10348.6,10402.9,10364.3,10356.3,10306.1,10402.9,10306.1,-107.1,-1.03,10413.2,10081.5,182.4,1.80,10402.9,10306.1,-42.5,-0.41,10413.2,8628.5,234.1,2.32,,
XSO,S&P/ASX Small Ords,2892.5,2908.0,2873.8,2872.1,2855.2,2872.0,2855.2,-16.8,-0.58,2908.0,2855.2,-44.7,-1.54,2908.0,2785.7,52.8,1.88,2908.0,2855.2,-37.3,-1.29,2908.0,2229.7,153.6,5.68,6502.3,6537.3,6460.6,6456.6,6418.8,6537.3,6418.8,-100.3,-1.54,6537.3,6246.7,134.5,2.14,6537.3,6418.8,-83.5,-1.28,6537.3,4946.8,497.9,8.41,,
