Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-04-28T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 20,Apr 23,Apr 24,Apr 26,Apr 27,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 20,Apr 23,Apr 24,Apr 26,Apr 27,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4444.4,4430.3,4433.9,4445.0,4433.4,4455.6,4433.4,-11.6,-0.26,4445.0,4430.3,-7.9,-0.18,4445.0,4327.3,41.8,0.95,4445.0,4155.2,322.4,7.84,4896.2,3927.6,-465.6,-9.50,33803.6,33696.2,33723.8,33808.3,33720.4,33808.3,33696.2,-59.5,-0.18,33808.3,32910.4,331.1,0.99,33808.3,31164.7,2887.0,9.36,35603.3,29204.1,-1903.0,-5.34,,
XAF,All Australian 50,4332.7,4321.1,4332.1,4349.6,4333.3,4359.2,4333.3,-16.3,-0.37,4349.6,4321.1,5.0,0.12,4349.6,4216.4,76.3,1.79,4349.6,4092.7,284.2,7.02,4814.5,3853.0,-476.1,-9.90,33623.6,33533.2,33618.6,33754.2,33628.0,33754.2,33533.2,38.8,0.12,33754.2,32720.9,592.2,1.79,33754.2,31296.5,2664.2,8.60,35568.4,29181.9,-1902.1,-5.35,,
XAT,All Australian 200,4359.0,4344.6,4352.2,4366.8,4353.0,4377.1,4353.0,-13.8,-0.32,4366.8,4344.6,-1.8,-0.04,4366.8,4237.9,61.3,1.43,4366.8,4095.7,302.3,7.46,4827.3,3855.4,-472.3,-9.79,33706.8,33595.5,33654.3,33767.6,33660.6,33767.6,33595.5,-13.8,-0.04,33767.6,32770.5,478.6,1.44,33767.6,31218.0,2785.5,9.02,35597.0,29116.8,-1921.3,-5.40,,
XTL,S&P/ASX 20,2602.9,2596.6,2603.8,2614.9,2605.4,2622.6,2605.4,-9.5,-0.36,2614.9,2596.6,5.4,0.21,2614.9,2532.5,50.1,1.96,2614.9,2459.2,155.7,6.36,2934.0,2334.2,-325.0,-11.09,39636.1,39539.1,39649.8,39818.1,39674.3,39818.1,39539.1,83.3,0.21,39818.1,38564.3,763.0,1.96,39818.1,37130.7,2929.3,7.97,42460.6,34671.5,-2734.7,-6.45,,
XFL,S&P/ASX 50,4361.0,4349.3,4360.4,4378.4,4362.2,4388.1,4362.2,-16.2,-0.37,4378.4,4349.3,6.0,0.14,4378.4,4245.0,75.0,1.75,4378.4,4119.7,285.7,7.01,4831.3,3876.7,-463.4,-9.60,33801.3,33710.6,33797.0,33936.2,33811.0,33936.2,33710.6,46.5,0.14,33936.2,32902.5,581.7,1.75,33936.2,31465.6,2675.6,8.59,35662.6,29332.3,-1809.7,-5.08,,
XTO,S&P/ASX 100,3555.5,3545.5,3554.1,3567.5,3556.1,3575.9,3556.1,-11.4,-0.32,3567.5,3545.5,3.2,0.09,3567.5,3459.9,57.2,1.63,3567.5,3352.0,239.4,7.22,3941.2,3155.5,-381.2,-9.68,8355.6,8332.2,8352.3,8383.8,8357.0,8383.8,8332.2,7.5,0.09,8383.8,8130.8,135.1,1.64,8383.8,7763.4,675.4,8.79,8825.4,7240.1,-459.6,-5.21,,
XJO,S&P/ASX 200,4366.5,4352.4,4360.4,4375.2,4362.1,4386.1,4362.1,-13.1,-0.30,4375.2,4352.4,-0.6,-0.01,4375.2,4246.1,60.8,1.41,4375.2,4101.2,305.5,7.53,4825.3,3863.9,-461.1,-9.56,33717.1,33608.5,33670.4,33784.3,33682.7,33784.3,33608.5,-5.3,-0.02,33784.3,32787.6,473.6,1.43,33784.3,31218.6,2803.6,9.08,35544.3,29145.7,-1845.2,-5.19,,
XKO,S&P/ASX 300,4366.1,4352.1,4358.5,4372.9,4360.2,4383.8,4360.2,-12.7,-0.29,4372.9,4352.1,-2.3,-0.05,4372.9,4246.7,54.6,1.27,4372.9,4097.1,307.9,7.60,4834.4,3860.9,-473.5,-9.80,33621.5,33513.8,33563.3,33674.1,33576.2,33674.1,33513.8,-17.8,-0.05,33674.1,32701.9,426.1,1.29,33674.1,31106.7,2809.7,9.13,35533.3,29050.7,-1950.5,-5.49,,
XMD,S&P/ASX MidCap 50,3906.3,3891.4,3896.2,3899.7,3903.2,3913.9,3897.3,3.5,0.09,3906.3,3891.4,-11.5,-0.29,3922.3,3791.0,26.8,0.69,3928.5,3609.5,324.3,9.06,4378.3,3408.2,-449.4,-10.32,9583.7,9547.0,9558.8,9567.5,9576.0,9583.7,9547.0,-28.3,-0.29,9615.5,9300.8,73.1,0.77,9615.5,8736.2,913.9,10.55,10279.3,8186.5,-638.1,-6.25,,
XSO,S&P/ASX Small Ords,2505.5,2487.4,2467.7,2464.1,2464.1,2475.0,2461.5,0.0,0.00,2505.5,2464.1,-37.2,-1.49,2524.8,2426.5,-56.3,-2.23,2526.6,2240.7,254.7,11.53,2758.1,2137.3,-297.1,-10.76,5852.4,5810.3,5764.1,5755.8,5755.7,5852.4,5755.7,-86.9,-1.49,5892.6,5666.9,-125.4,-2.13,5892.6,5181.7,646.8,12.66,6252.5,4915.5,-501.3,-8.01,,
