Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-06-21T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 16,Jun 17,Jun 18,Jun 19,Jun 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1744.5,1762.9,1767.2,1788.6,1773.0,1788.6,1770.2,-15.6,-0.87,1788.6,1744.5,36.7,2.12,1823.6,1736.3,-15.2,-0.85,1913.4,1715.0,-58.1,-3.17,1913.4,1715.0,225.1,14.54,13160.2,13298.6,13331.3,13492.4,13375.1,13492.4,13160.2,277.4,2.12,13744.9,13097.7,-102.9,-0.76,14336.1,12735.0,-222.1,-1.63,14336.1,11122.4,2061.7,18.22,,
XSJ,Consumer Staples,9863.0,9793.4,9758.3,9822.7,9711.8,9823.4,9692.4,-110.9,-1.13,9863.0,9711.8,-202.8,-2.05,10323.4,9711.8,-390.2,-3.86,10323.4,9567.9,-304.2,-3.04,10323.4,9567.9,323.7,3.45,80439.6,79871.7,79585.9,80110.4,79206.5,80439.6,79206.5,-1653.5,-2.04,84194.5,79206.5,-3181.9,-3.86,84194.5,76594.5,-975.3,-1.22,84194.5,73001.7,5888.2,8.03,,
XEJ,Energy,14624.4,14574.0,14301.0,14558.2,14421.1,14583.7,14386.5,-137.1,-0.94,14624.4,14301.0,-166.8,-1.14,14624.4,14180.5,305.3,2.16,14624.4,13017.6,798.2,5.86,14624.4,13017.6,1625.7,12.71,104495.7,104135.9,102185.2,104023.1,103043.1,104495.7,102185.2,-1191.9,-1.14,104495.7,100862.1,2180.9,2.16,104495.7,91514.2,7273.1,7.59,104495.7,84450.3,14426.6,16.28,,
XFJ,Financials,6124.4,6119.8,6091.5,6180.8,6130.8,6180.8,6129.4,-50.0,-0.81,6180.8,6091.5,8.0,0.13,6180.8,6034.7,108.5,1.80,6215.0,5503.9,255.1,4.34,6215.0,5503.9,922.9,17.72,62036.7,61990.6,61704.2,62608.1,62101.3,62608.1,61704.2,80.8,0.13,62608.1,61001.8,1099.5,1.80,62608.1,54492.0,3931.2,6.76,62608.1,49553.8,12036.3,24.04,,
XXJ,Financial-x-A-REIT,7233.8,7211.0,7177.7,7295.7,7225.3,7295.7,7223.5,-70.4,-0.96,7295.7,7177.7,-2.5,-0.03,7295.7,7120.0,120.9,1.70,7363.2,6467.5,243.7,3.49,7363.2,6467.5,1188.2,19.68,70377.3,70155.7,69831.9,70979.8,70294.7,70979.8,69831.9,-24.2,-0.03,70979.8,69118.3,1176.4,1.70,70979.8,61376.9,4038.6,6.10,70979.8,55137.5,14493.8,25.97,,
XHJ,Health Care,14258.5,14285.1,14308.9,14410.2,14269.4,14410.2,14250.1,-140.8,-0.98,14410.2,14258.5,-39.8,-0.28,14821.9,14258.5,-17.0,-0.12,14937.8,13849.2,-97.9,-0.68,14937.8,13849.2,1667.4,13.23,90287.5,90455.8,90606.6,91247.8,90356.4,91247.8,90287.5,-252.1,-0.28,93854.8,90287.5,-107.6,-0.12,94445.0,86829.4,309.5,0.34,94445.0,78773.8,12324.7,15.79,,
XNJ,Industrials,4028.9,4019.9,4013.3,4088.1,4064.5,4089.1,4058.5,-23.6,-0.58,4088.1,4013.3,22.0,0.55,4199.0,4013.3,-23.3,-0.57,4199.0,3771.2,95.6,2.41,4199.0,3771.2,527.4,14.91,33713.6,33638.2,33583.5,34208.9,34011.8,34208.9,33583.5,184.4,0.55,35107.2,33583.5,-165.5,-0.48,35107.2,31167.8,1210.2,3.69,35107.2,28042.2,5508.2,19.32,,
XIJ,Info Technology,787.7,783.6,783.2,795.5,783.2,795.5,782.2,-12.3,-1.55,795.5,783.2,-1.4,-0.18,808.5,774.4,1.9,0.24,813.5,702.5,41.7,5.63,813.5,702.5,102.2,15.01,5224.7,5196.9,5194.8,5276.2,5194.7,5276.2,5194.7,-9.0,-0.17,5362.7,5135.9,12.6,0.24,5395.4,4603.8,335.5,6.90,5395.4,4280.2,797.3,18.13,,
XMJ,Materials,9563.1,9499.0,9528.5,9785.4,9687.1,9819.1,9674.8,-98.3,-1.00,9785.4,9499.0,199.9,2.11,10120.6,9487.2,-257.9,-2.59,10774.9,9487.2,-522.6,-5.12,10774.9,9487.2,1026.8,11.86,66659.6,66212.4,66418.3,68208.7,67523.5,68208.7,66212.4,1393.2,2.11,70445.2,66130.4,-1688.3,-2.44,73944.4,66130.4,-2517.8,-3.59,73944.4,55909.5,9091.6,15.56,,
XPJ,A-REIT,1065.1,1080.1,1075.1,1079.2,1080.7,1087.0,1078.7,1.5,0.14,1080.7,1065.1,12.1,1.13,1080.7,1056.6,25.4,2.41,1080.7,980.1,95.8,9.73,1080.7,980.1,72.0,7.14,29682.6,30099.2,29959.4,30074.4,30117.3,30117.3,29682.6,339.0,1.14,30117.3,29407.8,709.5,2.41,30117.3,27037.3,2956.3,10.88,30117.3,26036.8,3540.7,13.32,,
XTJ,Telecommunications,1825.2,1815.0,1803.2,1826.0,1802.6,1826.0,1802.5,-23.4,-1.28,1826.0,1802.6,-11.0,-0.61,1876.9,1802.6,-42.1,-2.28,1876.9,1741.3,-19.0,-1.04,1876.9,1741.3,232.3,14.79,21942.7,21820.2,21678.4,21953.1,21671.9,21953.1,21671.9,-131.8,-0.60,22564.6,21671.9,-506.1,-2.28,22564.6,20377.3,355.0,1.67,22564.6,17688.9,3796.9,21.24,,
XUJ,Utilities,5857.2,5879.6,5885.4,5940.4,5921.7,5954.3,5900.6,-18.7,-0.31,5940.4,5857.2,68.1,1.16,5974.6,5853.6,-8.0,-0.14,5974.6,5357.0,542.2,10.08,5974.6,5357.0,644.3,12.21,61723.0,61959.3,62020.1,62600.0,62403.1,62600.0,61723.0,718.1,1.16,62794.9,61684.9,79.9,0.13,62794.9,55642.3,6527.3,11.68,62794.9,52209.3,9732.2,18.48,,
XMM,Metals & Mining,3092.4,3065.2,3072.0,3162.9,3137.6,3182.3,3133.5,-25.3,-0.80,3162.9,3065.2,74.4,2.43,3285.2,3063.2,-91.9,-2.85,3522.5,3063.2,-201.7,-6.04,3522.5,3063.2,299.5,10.55,4409.5,4370.7,4380.3,4510.0,4473.9,4510.0,4370.7,106.1,2.43,4684.3,4367.8,-131.1,-2.85,4948.8,4367.8,-216.7,-4.62,4948.8,3709.5,548.5,13.97,,
XGD,Gold,2213.4,2153.5,2172.6,2243.7,2329.8,2374.0,2243.7,86.1,3.84,2329.8,2153.5,167.4,7.74,2329.8,2055.1,143.2,6.55,2679.6,2003.5,431.4,22.73,2679.6,2003.5,58.8,2.59,2577.1,2507.4,2529.6,2612.4,2712.6,2712.6,2507.4,194.9,7.74,2712.6,2392.8,166.7,6.55,3119.4,2330.8,504.1,22.83,3562.6,2001.8,84.6,3.22,,
XJR,S&P/ASX 200 Res,4047.5,4019.4,4001.2,4105.2,4067.6,4119.7,4062.9,-37.6,-0.92,4105.2,4001.2,49.8,1.24,4222.1,4001.2,-63.7,-1.54,4345.1,3970.3,-118.7,-2.84,4345.1,3970.3,409.2,11.18,21615.1,21465.2,21368.2,21923.6,21722.5,21923.6,21368.2,265.9,1.24,22547.7,21368.2,-340.4,-1.54,22908.0,20876.7,-289.9,-1.32,22908.0,17957.3,2780.9,14.68,,
,
