Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-13T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 8,Jul 9,Jul 10,Jul 11,Jul 12,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 8,Jul 9,Jul 10,Jul 11,Jul 12,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4797.6,4866.5,4885.4,4946.9,4957.5,4993.5,4946.9,10.6,0.21,4957.5,4797.6,131.1,2.72,4957.5,4633.5,241.4,5.12,5202.5,4633.5,292.9,6.28,5202.5,4143.2,839.2,20.38,38451.2,39003.2,39155.0,39647.8,39732.6,39732.6,38451.2,1050.5,2.72,39732.6,37129.1,2010.9,5.33,41528.7,37020.3,3090.0,8.43,41528.7,31779.7,8143.9,25.78,,
XAF,All Australian 50,4898.0,4973.3,4994.2,5057.6,5063.9,5103.6,5057.6,6.3,0.12,5063.9,4898.0,132.2,2.68,5063.9,4754.7,255.2,5.31,5314.5,4733.5,366.2,7.79,5314.5,4129.7,956.0,23.27,40226.0,40844.3,41015.8,41537.2,41588.8,41588.8,40226.0,1086.0,2.68,41588.8,39049.4,2154.9,5.46,43481.5,38052.6,3826.6,10.13,43481.5,32355.0,9404.5,29.22,,
XAT,All Australian 200,4770.0,4842.3,4863.0,4927.7,4935.9,4974.5,4927.7,8.2,0.17,4935.9,4770.0,132.8,2.76,4935.9,4619.6,245.9,5.24,5188.4,4619.6,304.6,6.58,5188.4,4091.2,867.5,21.32,38969.6,39560.2,39729.3,40257.5,40324.5,40324.5,38969.6,1084.5,2.76,40324.5,37733.6,2084.3,5.45,42210.6,37380.5,3270.1,8.83,42210.6,31930.7,8572.1,27.00,,
XTL,S&P/ASX 20,3000.5,3048.4,3061.9,3105.3,3108.1,3132.8,3105.3,2.8,0.09,3108.1,3000.5,87.0,2.88,3108.1,2915.1,165.2,5.61,3264.8,2885.8,241.5,8.43,3264.8,2499.4,621.7,25.00,48409.3,49182.3,49399.9,50100.2,50146.2,50146.2,48409.3,1403.8,2.88,50146.2,47032.2,2665.0,5.61,52533.4,45563.7,4886.9,10.80,52533.4,38433.2,11913.1,31.16,,
XFL,S&P/ASX 50,4956.0,5031.9,5051.7,5115.4,5121.8,5161.5,5115.4,6.4,0.13,5121.8,4956.0,132.6,2.66,5121.8,4807.3,258.7,5.32,5368.0,4770.1,389.2,8.22,5368.0,4164.3,979.5,23.65,40641.7,41264.2,41427.0,41948.9,42001.3,42001.3,40641.7,1087.5,2.66,42001.3,39422.6,2180.8,5.48,43854.8,38295.2,4009.5,10.55,43854.8,32586.1,9587.8,29.58,,
XTO,S&P/ASX 100,3987.5,4047.3,4063.8,4115.0,4121.1,4153.4,4115.0,6.1,0.15,4121.1,3987.5,106.7,2.66,4121.1,3868.0,204.9,5.23,4323.8,3855.7,300.4,7.86,4323.8,3371.5,768.1,22.91,9906.4,10054.8,10095.8,10223.1,10238.2,10238.2,9906.4,265.1,2.66,10238.2,9607.8,527.1,5.43,10697.4,9380.5,943.4,10.15,10697.4,7998.9,2283.2,28.70,,
XJO,S&P/ASX 200,4809.5,4881.7,4901.4,4965.7,4973.9,5012.5,4965.7,8.2,0.17,4973.9,4809.5,132.2,2.73,4973.9,4656.0,249.4,5.28,5221.0,4656.0,324.9,6.99,5221.0,4105.1,891.7,21.84,39222.1,39810.3,39971.0,40495.7,40562.5,40562.5,39222.1,1077.6,2.73,40562.5,37962.9,2109.0,5.48,42402.2,37467.1,3427.9,9.23,42402.2,31991.9,8748.7,27.50,,
XKO,S&P/ASX 300,4768.8,4839.9,4858.9,4922.5,4931.1,4968.9,4922.5,8.6,0.17,4931.1,4768.8,130.8,2.73,4931.1,4613.2,245.7,5.24,5178.7,4613.2,304.8,6.59,5178.7,4094.6,859.8,21.12,38763.7,39342.0,39496.2,40013.4,40083.3,40083.3,38763.7,1063.8,2.73,40083.3,37491.8,2072.5,5.45,41922.4,37184.2,3243.3,8.80,41922.4,31818.8,8446.0,26.70,,
XMD,S&P/ASX MidCap 50,3916.1,3963.0,3983.8,4034.5,4048.4,4083.3,4034.5,13.9,0.34,4048.4,3916.1,105.0,2.66,4048.4,3799.1,172.5,4.45,4310.8,3799.1,185.4,4.80,4310.8,3452.7,579.0,16.69,10086.9,10207.7,10261.4,10392.1,10427.7,10427.7,10086.9,270.4,2.66,10427.7,9756.1,496.0,4.99,11026.5,9756.1,658.3,6.74,11026.5,8551.6,1834.7,21.35,,
XSO,S&P/ASX Small Ords,2024.3,2053.0,2056.8,2096.7,2107.9,2119.1,2096.7,11.2,0.53,2107.9,2024.3,73.5,3.61,2107.9,1888.4,109.3,5.47,2414.5,1888.4,-172.8,-7.58,2414.5,1888.4,37.5,1.81,4906.0,4975.6,4984.8,5081.5,5108.5,5108.5,4906.0,178.0,3.61,5108.5,4574.9,280.6,5.81,5770.0,4574.9,-336.3,-6.18,5770.0,4574.9,250.4,5.15,,
