Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-12-21T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 16,Dec 17,Dec 18,Dec 19,Dec 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1742.0,1743.4,1724.1,1760.7,1779.5,1780.7,1760.1,18.8,1.07,1779.5,1724.1,52.6,3.05,1810.8,1724.1,-6.3,-0.35,1827.2,1364.5,435.7,32.42,1827.2,1364.5,454.0,34.25,12927.8,12938.3,12795.3,13068.8,13208.5,13208.5,12795.3,392.9,3.07,13429.9,12795.3,-35.8,-0.27,13551.7,9792.3,3564.2,36.96,13551.7,9517.9,3696.1,38.86,,
XSJ,Consumer Staples,9562.5,9688.2,9598.6,9794.9,9872.1,9872.1,9786.7,77.2,0.79,9872.1,9562.5,335.6,3.52,10112.0,9494.9,-192.5,-1.91,10661.7,8912.8,997.7,11.24,10661.7,8912.8,1015.8,11.47,76493.3,77499.5,76782.6,78353.0,78970.0,78970.0,76493.3,2684.0,3.52,80855.0,75952.5,-1506.5,-1.87,83265.0,68413.1,10851.7,15.93,83265.0,68118.4,10990.6,16.17,,
XEJ,Energy,12943.8,12921.8,12880.3,13198.9,13408.1,13458.7,13198.9,209.2,1.58,13408.1,12880.3,383.2,2.94,13558.7,12858.2,82.9,0.62,14371.5,11998.9,1002.1,8.08,14371.5,11998.9,1079.3,8.75,90995.9,90840.8,90549.6,92788.9,94259.6,94259.6,90549.6,2693.7,2.94,95318.4,90393.6,583.0,0.62,101032.3,83100.5,9433.0,11.12,101032.3,83100.5,9960.5,11.82,,
XFJ,Financials,5585.7,5592.4,5601.1,5712.8,5787.8,5787.8,5712.8,75.0,1.31,5787.8,5585.7,172.3,3.07,5965.2,5574.7,-95.2,-1.62,6089.7,4767.7,1034.1,21.75,6089.7,4767.7,1046.0,22.06,55157.4,55223.9,55309.6,56413.4,57153.5,57153.5,55157.4,1701.5,3.07,58905.7,55049.3,-940.0,-1.62,59476.0,44797.5,12494.9,27.98,59476.0,44622.3,12606.9,28.30,,
XXJ,Financial-x-A-REIT,6602.2,6618.1,6618.9,6753.9,6845.2,6845.2,6753.9,91.3,1.35,6845.2,6602.2,207.4,3.12,7071.6,6591.3,-110.3,-1.59,7213.9,5485.5,1393.3,25.56,7213.9,5485.5,1407.3,25.88,62655.8,62806.2,62814.4,64095.4,64961.9,64961.9,62655.8,1968.5,3.12,67109.8,62552.0,-1046.6,-1.59,67544.8,49449.4,15815.4,32.18,67544.8,49082.5,15941.6,32.52,,
XHJ,Health Care,13751.7,13837.1,13798.7,13918.2,14065.7,14076.6,13913.8,147.5,1.06,14065.7,13751.7,256.0,1.85,14280.9,13639.9,102.0,0.73,14280.9,11476.5,2433.1,20.92,14280.9,11476.5,2427.3,20.86,86188.7,86723.9,86483.1,87231.9,88156.4,88156.4,86188.7,1604.3,1.85,89505.2,85487.9,639.1,0.73,89505.2,70340.0,16859.4,23.65,89505.2,70340.0,16823.8,23.58,,
XNJ,Industrials,3792.7,3819.5,3776.5,3866.8,3908.8,3915.1,3853.5,42.0,1.09,3908.8,3776.5,145.8,3.88,3990.6,3722.5,-7.1,-0.18,4079.6,3461.4,357.1,10.05,4079.6,3461.4,384.9,10.92,31158.0,31378.4,31025.2,31766.3,32111.5,32111.5,31025.2,1197.8,3.87,32755.8,30581.2,-31.5,-0.10,33472.2,28042.2,3873.3,13.72,33472.2,28022.2,4093.9,14.61,,
XIJ,Info Technology,712.6,716.8,709.5,724.0,735.6,735.6,718.7,11.6,1.60,735.6,709.5,27.0,3.82,735.6,708.6,5.4,0.73,752.1,611.4,139.0,23.29,752.1,611.4,140.1,23.53,4669.9,4697.8,4649.6,4744.5,4820.8,4820.8,4649.6,177.3,3.82,4820.8,4643.5,35.1,0.73,4928.9,3884.8,1030.1,27.17,4928.9,3790.7,1037.6,27.43,,
XMJ,Materials,9635.6,9637.2,9650.0,9903.7,10011.9,10011.9,9861.9,108.2,1.09,10011.9,9635.6,365.1,3.78,10114.6,9571.5,-46.6,-0.46,11228.0,8283.8,-589.0,-5.56,11228.0,8283.8,-471.0,-4.49,66102.9,66113.5,66201.8,67942.2,68684.1,68684.1,66102.9,2504.2,3.78,69377.2,65651.7,-269.2,-0.39,74792.0,55909.5,-1930.5,-2.73,74792.0,55909.5,-1144.9,-1.64,,
XPJ,A-REIT,967.4,961.6,971.4,988.2,998.8,1001.2,987.4,10.6,1.07,998.8,961.6,26.5,2.73,1026.7,961.6,-18.5,-1.82,1135.4,960.8,25.0,2.56,1135.4,960.8,27.1,2.79,26194.5,26036.8,26302.9,26758.4,27044.6,27044.6,26036.8,717.7,2.73,27799.6,26036.8,-500.9,-1.82,29914.8,25044.0,1686.8,6.65,29914.8,25044.0,1742.7,6.89,,
XTJ,Telecommunications,1725.1,1738.3,1745.0,1770.1,1800.7,1800.7,1770.1,30.6,1.73,1800.7,1725.1,79.4,4.61,1800.7,1718.1,49.7,2.84,1800.7,1515.3,304.7,20.36,1800.7,1515.3,315.3,21.23,20185.8,20342.6,20421.5,20715.1,21073.0,21073.0,20185.8,931.2,4.62,21073.0,20103.7,584.3,2.85,21073.0,16745.5,4540.6,27.46,21073.0,16517.8,4658.5,28.38,,
XUJ,Utilities,5348.3,5307.0,5268.1,5354.6,5352.9,5373.2,5323.7,-1.7,-0.03,5354.6,5268.1,51.8,0.98,5462.0,5212.9,-68.3,-1.26,5815.8,5168.0,95.0,1.81,5815.8,5168.0,126.7,2.42,54904.7,54480.7,54081.8,54970.0,54952.4,54970.0,54081.8,532.5,0.98,56071.9,53514.4,-701.2,-1.26,57869.0,51459.2,3254.6,6.30,57869.0,51459.2,3565.8,6.94,,
XMM,Metals & Mining,3138.7,3141.1,3147.5,3230.8,3266.0,3266.0,3208.4,35.2,1.09,3266.0,3138.7,117.6,3.73,3311.6,3129.3,-37.2,-1.13,3841.7,2682.0,-377.4,-10.36,3841.7,2682.0,-333.5,-9.26,4408.7,4412.1,4421.1,4538.1,4587.6,4587.6,4408.7,165.2,3.73,4651.6,4395.6,-52.3,-1.13,5249.3,3709.5,-390.7,-7.85,5249.3,3709.5,-330.7,-6.72,,
XGD,Gold,1833.0,1813.4,1795.5,1805.0,1850.7,1876.2,1729.2,45.7,2.53,1850.7,1795.5,26.4,1.45,2000.1,1720.7,-254.0,-12.07,5191.8,1720.7,-3048.0,-62.22,5191.8,1720.7,-3037.1,-62.14,2132.5,2109.6,2088.8,2099.8,2153.1,2153.1,2088.8,30.7,1.45,2448.6,2001.8,-295.5,-12.07,5987.1,2001.8,-3496.1,-61.89,5987.1,2001.8,-3483.5,-61.80,,
XJR,S&P/ASX 200 Res,3946.3,3946.7,3948.8,4052.6,4103.8,4103.8,4040.3,51.2,1.26,4103.8,3946.3,141.8,3.58,4151.1,3929.7,-20.7,-0.50,4567.3,3468.3,-206.8,-4.80,4567.3,3468.3,-160.9,-3.77,20750.4,20752.4,20763.5,21309.0,21578.2,21578.2,20750.4,745.3,3.58,21827.1,20663.0,-109.1,-0.50,23355.8,17957.3,-465.0,-2.11,23355.8,17957.3,-230.4,-1.06,,
,
