Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-03-12T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 7,Mar 8,Mar 9,Mar 10,Mar 11,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4895.9,4902.5,4863.2,4791.3,4734.8,4779.4,4721.4,-56.5,-1.18,4902.5,4734.8,-223.8,-4.51,5026.1,4734.8,-235.8,-4.74,5026.1,4734.8,-112.1,-2.31,5026.1,4250.6,-96.7,-2.00,35517.4,35576.4,35294.7,34774.1,34377.3,35576.4,34377.3,-1541.2,-4.29,36193.1,34377.3,-1351.6,-3.78,36193.1,34377.3,-435.4,-1.25,36193.1,29893.9,666.6,1.98,,
XAF,ALL Australian 50,4751.7,4766.9,4725.6,4663.3,4608.7,4650.1,4594.4,-54.6,-1.17,4766.9,4608.7,-209.4,-4.35,4894.2,4608.7,-230.3,-4.76,4894.2,4608.7,-73.5,-1.57,5017.2,4220.3,-228.7,-4.73,35050.7,35171.4,34867.5,34407.6,34008.4,35171.4,34008.4,-1463.6,-4.13,35803.3,34008.4,-1313.6,-3.72,35803.3,33831.8,-138.2,-0.40,35803.3,30076.1,-188.0,-0.55,,
XAT,ALL Australian 200,4800.7,4811.8,4771.1,4703.1,4647.8,4690.0,4633.6,-55.3,-1.18,4811.8,4647.8,-219.9,-4.52,4941.6,4647.8,-237.2,-4.85,4941.6,4647.8,-102.7,-2.16,5001.2,4218.4,-170.2,-3.53,35336.8,35428.1,35129.5,34629.3,34228.9,35428.1,34228.9,-1541.1,-4.31,36087.5,34228.9,-1370.2,-3.85,36087.5,34228.9,-362.0,-1.05,36087.5,30043.8,198.9,0.58,,
XTL,S&P/Asx 20,2870.3,2880.6,2854.0,2819.3,2786.2,2810.5,2776.9,-33.1,-1.17,2880.6,2786.2,-126.5,-4.34,2968.8,2786.2,-149.5,-5.09,2968.8,2786.2,-45.9,-1.62,3060.6,2560.9,-162.7,-5.52,41485.2,41644.5,41259.6,40758.1,40279.1,41644.5,40279.1,-1722.0,-4.10,42556.1,40279.1,-1690.9,-4.03,42556.1,39981.7,-174.5,-0.43,42556.1,35716.1,-507.1,-1.24,,
XFL,S&P/Asx 50,4767.1,4782.2,4741.1,4678.9,4624.1,4665.8,4609.7,-54.8,-1.17,4782.2,4624.1,-209.2,-4.33,4907.1,4624.1,-228.0,-4.70,4907.1,4624.1,-69.2,-1.47,5036.9,4235.3,-229.3,-4.72,35134.3,35254.2,34952.8,34494.8,34094.2,35254.2,34094.2,-1459.4,-4.10,35871.5,34094.2,-1297.4,-3.67,35871.5,33896.3,-108.4,-0.32,35871.5,30164.1,-200.9,-0.59,,
XTO,S&P/Asx 100,3902.9,3913.7,3881.3,3828.2,3783.6,3817.8,3772.3,-44.6,-1.17,3913.7,3783.6,-173.9,-4.39,4016.0,3783.6,-186.2,-4.69,4016.0,3783.6,-69.7,-1.81,4095.8,3455.4,-165.3,-4.19,8724.2,8750.7,8678.7,8560.1,8461.6,8750.7,8461.6,-369.8,-4.19,8904.8,8461.6,-321.6,-3.66,8904.8,8447.1,-56.9,-0.67,8904.8,7468.5,-3.2,-0.04,,
XJO,S&P/Asx 200,4797.9,4808.2,4767.8,4699.7,4644.8,4686.7,4630.7,-54.9,-1.17,4808.2,4644.8,-219.5,-4.51,4938.4,4644.8,-236.1,-4.84,4938.4,4644.8,-100.4,-2.12,5001.9,4222.1,-173.3,-3.60,35277.2,35362.5,35067.2,34566.9,34170.0,35362.5,34170.0,-1536.2,-4.30,36027.5,34170.0,-1364.5,-3.84,36027.5,34170.0,-348.5,-1.01,36027.5,30045.0,165.9,0.49,,
XKO,S&P/Asx 300,4811.5,4821.2,4780.6,4711.8,4656.4,4698.9,4642.7,-55.4,-1.18,4821.2,4656.4,-220.2,-4.52,4950.5,4656.4,-237.4,-4.85,4950.5,4656.4,-104.4,-2.19,4995.0,4214.7,-155.1,-3.22,35297.8,35378.2,35083.0,34578.7,34179.5,35378.2,34179.5,-1537.9,-4.31,36039.3,34179.5,-1374.9,-3.87,36039.3,34179.5,-380.8,-1.10,36039.3,29938.5,280.2,0.83,,
XMD,S&P/Asx Midcap 50,4429.5,4429.1,4402.9,4323.7,4274.9,4315.6,4263.6,-48.8,-1.13,4429.5,4274.9,-220.7,-4.91,4563.9,4274.9,-207.7,-4.63,4566.1,4274.9,-192.6,-4.31,4566.1,3797.0,5.0,0.12,10361.9,10363.4,10304.1,10118.9,10010.5,10363.4,10010.5,-506.2,-4.81,10601.8,10010.5,-377.4,-3.63,10601.8,10010.5,-338.1,-3.27,10601.8,8628.5,418.1,4.36,,
XSO,S&P/Asx Small Ords,2862.7,2847.0,2819.4,2758.6,2723.9,2750.5,2700.2,-34.7,-1.26,2862.7,2723.9,-164.6,-5.70,2942.9,2723.9,-186.3,-6.40,2946.3,2723.9,-168.6,-5.83,2946.3,2229.7,184.1,7.25,6467.0,6434.0,6372.8,6236.6,6162.4,6467.0,6162.4,-356.5,-5.47,6622.0,6162.4,-383.4,-5.86,6625.3,6162.4,-339.9,-5.23,6625.3,4946.8,571.0,10.21,,
