Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-01-21T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 16,Jan 17,Jan 18,Jan 19,Jan 20,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 16,Jan 17,Jan 18,Jan 19,Jan 20,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4208.9,4277.7,4280.6,4278.6,4303.0,4312.8,4278.6,24.4,0.57,4303.0,4208.9,47.6,1.12,4303.0,4111.0,195.9,4.77,4303.0,4155.2,192.0,4.67,5064.9,3927.6,-557.9,-11.48,31567.7,32083.4,32105.8,32090.2,32274.5,32274.5,31567.7,358.2,1.12,32274.5,30751.8,1522.8,4.95,32274.5,31164.7,1441.2,4.67,36827.4,29204.1,-2639.9,-7.56,,
XAF,All Australian 50,4136.1,4201.0,4199.3,4189.7,4211.5,4225.3,4189.7,21.8,0.52,4211.5,4136.1,28.1,0.67,4211.5,4049.1,171.1,4.23,4211.5,4092.7,162.4,4.01,4939.1,3853.0,-484.5,-10.32,31629.0,32124.9,32112.1,32038.9,32205.7,32205.7,31629.0,215.2,0.67,32205.7,30854.8,1350.9,4.38,32205.7,31296.5,1241.9,4.01,36488.5,29181.9,-2041.2,-5.96,,
XAT,All Australian 200,4141.8,4210.3,4212.1,4208.4,4233.1,4243.9,4208.4,24.7,0.59,4233.1,4141.8,42.9,1.02,4233.1,4050.7,184.1,4.55,4233.1,4095.7,182.4,4.50,4976.2,3855.4,-528.4,-11.10,31569.4,32091.9,32105.5,32077.2,32265.8,32265.8,31569.4,327.7,1.03,32265.8,30810.8,1455.0,4.72,32265.8,31218.0,1390.6,4.50,36695.0,29116.8,-2405.7,-6.94,,
XTL,S&P/ASX 20,2499.9,2538.5,2537.0,2533.7,2542.8,2554.7,2530.4,9.1,0.36,2542.8,2499.9,16.1,0.64,2542.8,2449.7,106.2,4.36,2542.8,2475.4,93.1,3.80,2998.7,2334.2,-294.4,-10.37,37497.3,38076.9,38055.2,38005.8,38140.9,38140.9,37497.3,241.5,0.64,38140.9,36548.7,1592.2,4.36,38140.9,37130.7,1395.8,3.80,43396.5,34671.5,-2384.7,-5.88,,
XFL,S&P/ASX 50,4162.7,4227.6,4226.9,4218.4,4240.2,4254.3,4218.4,21.8,0.52,4240.2,4162.7,29.5,0.70,4240.2,4076.5,174.5,4.29,4240.2,4119.7,163.7,4.02,4953.4,3876.7,-466.8,-9.92,31794.1,32290.2,32284.5,32219.4,32386.1,32386.1,31794.1,225.7,0.70,32386.1,31015.5,1370.6,4.42,32386.1,31465.6,1250.7,4.02,36564.0,29332.3,-1916.8,-5.59,,
XTO,S&P/ASX 100,3388.2,3443.0,3443.9,3439.1,3458.4,3468.3,3439.1,19.3,0.56,3458.4,3388.2,31.1,0.91,3458.4,3316.7,147.0,4.44,3458.4,3352.0,141.7,4.27,4049.1,3155.5,-404.7,-10.48,7847.3,7974.3,7976.3,7965.1,8009.8,8009.8,7847.3,72.0,0.91,8009.8,7657.5,352.3,4.60,8009.8,7763.4,328.2,4.27,9067.0,7240.1,-530.3,-6.21,,
XJO,S&P/ASX 200,4147.2,4215.6,4217.9,4214.8,4239.6,4250.6,4214.8,24.8,0.59,4239.6,4147.2,43.7,1.04,4239.6,4056.6,186.5,4.60,4239.6,4101.2,183.0,4.51,4971.2,3863.9,-516.1,-10.85,31569.4,32090.0,32107.1,32083.5,32273.4,32273.4,31569.4,333.7,1.04,32273.4,30802.2,1471.2,4.78,32273.4,31218.6,1394.3,4.52,36617.7,29145.7,-2321.5,-6.71,,
XKO,S&P/ASX 300,4144.5,4212.6,4214.9,4212.4,4236.8,4247.7,4212.4,24.4,0.58,4236.8,4144.5,44.3,1.06,4236.8,4052.3,187.6,4.63,4236.8,4097.1,184.5,4.55,4984.1,3860.9,-533.5,-11.18,31466.7,31984.3,32001.2,31982.2,32168.5,32168.5,31466.7,336.8,1.06,32168.5,30693.1,1475.4,4.81,32168.5,31106.7,1401.9,4.56,36632.1,29050.7,-2461.4,-7.11,,
XMD,S&P/ASX MidCap 50,3669.0,3746.2,3760.9,3775.2,3810.4,3812.9,3775.2,35.2,0.93,3810.4,3669.0,99.1,2.67,3810.4,3578.9,204.1,5.66,3810.4,3609.5,231.5,6.47,4573.1,3408.2,-655.6,-14.68,8880.2,9067.1,9102.5,9137.3,9222.3,9222.3,8880.2,239.7,2.67,9222.3,8662.1,534.4,6.15,9222.3,8736.2,560.1,6.47,10728.9,8186.5,-1122.8,-10.85,,
XSO,S&P/ASX Small Ords,2286.5,2330.6,2338.3,2356.0,2374.3,2375.9,2356.0,18.3,0.78,2374.3,2286.5,59.5,2.57,2374.3,2207.6,147.8,6.64,2374.3,2240.7,164.9,7.47,2945.6,2137.3,-508.6,-17.64,5287.5,5389.5,5407.4,5448.4,5491.8,5491.8,5287.5,138.7,2.59,5491.8,5104.9,355.9,6.93,5491.8,5181.7,383.0,7.50,6625.3,4915.5,-990.5,-15.28,,
