Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-02-05T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 31,Feb 1,Feb 2,Feb 3,Feb 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Cons Discretionary,1508.0,1502.3,1512.5,1532.0,1553.6,1555.3,1530.3,21.6,1.41,1553.6,1502.3,25.1,1.64,1553.6,1495.6,53.3,3.55,1553.6,1495.6,52.8,3.52,1670.5,1424.3,-13.5,-0.86,9829.6,9792.3,9858.5,9985.8,10127.0,10127.0,9792.3,164.0,1.65,10127.0,9748.3,347.7,3.56,10127.0,9748.3,344.6,3.52,10680.0,9106.3,286.3,2.91,,
XSJ,Consumer Staples,7901.9,7871.6,7895.9,7869.8,7916.4,7930.7,7857.2,46.6,0.59,7916.4,7869.8,9.0,0.11,8013.9,7569.1,265.1,3.46,8013.9,7569.1,201.9,2.62,8415.1,7103.5,791.2,11.10,55104.4,54893.4,55062.4,54880.6,55205.2,55205.2,54880.6,62.7,0.11,55885.1,52783.5,1848.3,3.46,55885.1,52783.5,1407.3,2.62,58402.4,47516.8,7543.5,15.83,,
XEJ,Energy,15916.5,16039.1,16277.9,16251.7,16302.1,16315.8,16214.8,50.4,0.31,16302.1,15916.5,314.2,1.97,16569.6,15916.5,107.8,0.67,16569.6,15916.5,187.7,1.16,16569.6,13714.7,2109.8,14.87,103802.3,104602.1,106159.3,105988.4,106316.9,106316.9,103802.3,2048.6,1.96,108061.6,103802.3,702.7,0.67,108061.6,103802.3,1223.7,1.16,108061.6,88395.3,15849.0,17.52,,
XFJ,Financials,4466.5,4454.3,4466.0,4496.2,4535.0,4550.6,4496.8,38.8,0.86,4535.0,4454.3,69.6,1.56,4535.0,4326.9,194.3,4.48,4535.0,4326.9,173.2,3.97,5040.0,4077.7,36.6,0.81,36931.2,36830.4,36926.8,37177.2,37498.0,37498.0,36830.4,576.1,1.56,37498.0,35775.6,1608.2,4.48,37498.0,35775.6,1434.4,3.98,39826.8,32702.7,2276.9,6.46,,
XXJ,Financial-X-A-Reit,5185.6,5172.0,5176.1,5204.1,5257.2,5274.9,5205.0,53.1,1.02,5257.2,5172.0,77.5,1.50,5257.2,5008.8,215.9,4.28,5257.2,5008.8,193.4,3.82,5934.6,4674.3,41.0,0.79,41105.8,40998.6,41031.2,41252.6,41673.6,41673.6,40998.6,613.9,1.50,41673.6,39705.1,1711.4,4.28,41673.6,39705.1,1532.8,3.82,44955.1,35932.3,2566.2,6.56,,
XHJ,Health Care,9002.7,8880.6,8955.4,8951.9,9047.2,9063.2,8936.3,95.3,1.06,9047.2,8880.6,-50.9,-0.56,9175.5,8880.6,61.6,0.69,9175.5,8880.6,114.0,1.28,9195.2,7848.5,714.6,8.58,52224.4,51516.2,51950.2,51929.9,52482.5,52482.5,51516.2,-295.0,-0.56,53226.7,51516.2,357.4,0.69,53226.7,51516.2,661.3,1.28,53226.7,44799.6,5515.2,11.74,,
XNJ,Industrials,3743.4,3734.8,3755.6,3772.2,3803.3,3805.9,3767.9,31.1,0.82,3803.3,3734.8,50.5,1.34,3813.6,3689.8,95.8,2.58,3813.6,3689.8,66.8,1.79,4008.5,3140.1,1.3,0.03,27611.4,27547.6,27701.4,27823.7,28052.9,28052.9,27547.6,372.2,1.34,28129.2,27216.1,706.3,2.58,28129.2,27216.1,492.7,1.79,28820.6,22749.0,972.6,3.59,,
XIJ,Info Technology,619.5,621.4,630.0,624.1,628.2,628.9,621.8,4.1,0.66,630.0,619.5,8.3,1.34,666.6,619.5,-15.8,-2.46,666.6,619.5,-16.5,-2.56,736.7,559.3,-48.9,-7.22,3642.9,3653.8,3704.5,3669.9,3693.9,3704.5,3642.9,48.9,1.34,3919.5,3642.9,-93.1,-2.46,3919.5,3642.9,-97.0,-2.56,4262.9,3236.2,-170.0,-4.40,,
XMJ,Materials,13658.1,13737.9,14021.8,14133.0,14259.0,14292.7,14133.0,126.0,0.89,14259.0,13658.1,463.9,3.36,14282.6,13658.1,91.8,0.65,14282.6,13658.1,178.4,1.27,14282.6,10889.1,2702.6,23.39,86534.5,87040.1,88838.4,89543.1,90341.2,90341.2,86534.5,2939.0,3.36,90490.8,86534.5,581.3,0.65,90490.8,86534.5,1130.0,1.27,90490.8,68188.9,18600.0,25.93,,
XPJ,A-Reit,859.9,857.0,867.4,879.5,880.0,885.7,879.1,0.5,0.06,880.0,857.0,16.4,1.90,880.0,839.4,45.8,5.50,880.0,834.2,40.2,4.78,908.7,813.8,7.7,0.88,19820.9,19754.3,19995.0,20274.2,20284.9,20284.9,19754.3,378.3,1.90,20284.9,19222.9,1062.0,5.52,20284.9,19222.9,931.0,4.81,20582.4,17970.7,1097.9,5.72,,
XTJ,Telecommunications,969.5,958.6,963.1,961.9,983.4,987.0,961.9,21.5,2.24,983.4,958.6,5.5,0.56,990.1,953.8,21.0,2.18,990.1,953.8,23.8,2.48,1153.4,892.3,-169.3,-14.69,9066.8,8964.8,9007.4,8996.5,9196.7,9196.7,8964.8,50.9,0.56,9260.0,8919.9,195.8,2.17,9260.0,8919.9,222.2,2.48,10046.4,8339.6,-616.6,-6.28,,
XUJ,Utilities,4334.5,4291.2,4324.3,4313.5,4351.3,4353.8,4313.5,37.8,0.88,4351.3,4291.2,6.2,0.14,4452.1,4291.2,-49.1,-1.11,4452.1,4291.2,-62.1,-1.41,4614.3,3998.4,228.8,5.55,37769.7,37392.6,37680.9,37587.3,37916.5,37916.5,37392.6,54.1,0.14,38794.6,37392.6,-427.3,-1.11,38794.6,37392.6,-540.7,-1.41,39587.2,33266.4,4265.9,12.68,,
XMM,Metals And Mining,4955.7,4987.4,5097.1,5146.6,5194.5,5209.8,5146.6,47.9,0.93,5194.5,4955.7,191.6,3.83,5208.1,4955.7,14.2,0.28,5208.1,4955.7,48.8,0.95,5211.2,3866.0,1106.4,27.06,6475.9,6517.2,6660.6,6725.3,6788.0,6788.0,6475.9,250.4,3.83,6805.7,6475.9,18.7,0.28,6805.7,6475.9,63.8,0.95,6809.8,5001.6,1544.4,29.45,,
XGD,Gold,7303.9,7269.8,7391.5,7350.8,7522.7,7543.6,7350.8,171.9,2.34,7522.7,7269.8,289.7,4.01,7941.3,7233.0,-614.2,-7.55,8136.9,7233.0,-576.4,-7.12,8421.8,5090.0,2401.1,46.88,8290.3,8251.5,8389.7,8343.5,8538.6,8538.6,8251.5,328.8,4.01,9235.8,8209.8,-697.2,-7.55,9235.8,8209.8,-654.3,-7.12,9559.1,5747.0,2762.9,47.84,,
XJR,S&P/Asx 200 Res,5728.4,5765.7,5884.3,5925.1,5971.0,5983.9,5925.1,45.9,0.77,5971.0,5728.4,193.9,3.36,6002.2,5728.4,28.0,0.47,6002.2,5728.4,62.2,1.05,6002.2,4611.8,1112.2,22.89,27979.1,28160.9,28740.4,28939.5,29163.9,29163.9,27979.1,947.2,3.36,29316.4,27979.1,136.9,0.47,29316.4,27979.1,303.7,1.05,29316.4,22285.5,5902.6,25.38,,
,
