Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-04-02T23:15:10+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 28,Mar 29,Mar 30,Mar 31,Apr 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4831.9,4851.2,4912.7,4928.6,4954.6,4969.6,4927.9,26.0,0.53,4954.6,4831.9,114.3,2.36,4958.6,4609.9,34.2,0.69,5026.1,4609.9,107.7,2.22,5026.1,4250.6,28.7,0.58,35125.3,35265.8,35713.2,35829.6,36018.6,36018.6,35125.3,838.9,2.38,36018.6,33473.5,433.4,1.22,36193.1,33473.5,1205.8,3.46,36193.1,29893.9,1597.9,4.64,,
XAF,ALL Australian 50,4696.2,4720.4,4787.2,4801.4,4827.7,4846.5,4799.3,26.3,0.55,4827.7,4696.2,125.4,2.67,4827.7,4507.3,46.3,0.97,4894.2,4507.3,145.5,3.11,5017.2,4220.3,-98.2,-1.99,34693.9,34872.8,35366.2,35470.9,35665.8,35665.8,34693.9,929.9,2.68,35665.8,33259.8,518.7,1.48,35803.3,33259.8,1519.2,4.45,35803.3,30076.1,811.9,2.33,,
XAT,ALL Australian 200,4738.1,4760.1,4827.2,4843.0,4866.9,4884.1,4841.1,23.9,0.49,4866.9,4738.1,119.7,2.52,4867.7,4531.8,37.2,0.77,4941.6,4531.8,116.4,2.45,5001.2,4218.4,-41.3,-0.84,34934.8,35097.1,35591.6,35709.0,35885.5,35885.5,34934.8,887.0,2.53,35885.5,33376.2,458.2,1.29,36087.5,33376.2,1294.5,3.74,36087.5,30043.8,1175.7,3.39,,
XTL,S&P/Asx 20,2838.8,2854.6,2898.2,2907.9,2924.2,2936.5,2906.1,16.3,0.56,2924.2,2838.8,84.1,2.96,2924.2,2726.8,33.1,1.15,2968.8,2726.8,92.1,3.25,3060.6,2560.9,-73.6,-2.46,41082.7,41311.7,41942.4,42083.6,42318.8,42318.8,41082.7,1216.7,2.96,42318.8,39420.6,682.0,1.64,42556.1,39420.6,1865.2,4.61,42556.1,35716.1,817.7,1.97,,
XFL,S&P/Asx 50,4711.5,4736.1,4802.6,4817.1,4843.4,4862.2,4815.0,26.3,0.55,4843.4,4711.5,125.9,2.67,4843.4,4522.6,47.6,0.99,4907.1,4522.6,150.1,3.20,5036.9,4235.3,-99.9,-2.02,34778.6,34959.8,35450.8,35557.6,35752.0,35752.0,34778.6,932.6,2.68,35752.0,33345.4,528.5,1.50,35871.5,33345.4,1549.3,4.53,35871.5,30164.1,789.5,2.26,,
XTO,S&P/Asx 100,3853.1,3872.5,3927.1,3940.7,3960.5,3974.8,3938.9,19.8,0.50,3960.5,3853.1,100.3,2.60,3960.5,3695.3,33.1,0.84,4016.0,3695.3,107.2,2.78,4095.8,3455.4,-62.7,-1.56,8627.2,8670.6,8793.0,8823.4,8867.7,8867.7,8627.2,225.3,2.61,8867.7,8264.4,119.4,1.36,8904.8,8264.4,349.2,4.10,8904.8,7468.5,234.5,2.72,,
XJO,S&P/Asx 200,4733.6,4755.8,4822.2,4837.9,4861.8,4878.8,4836.1,23.9,0.49,4861.8,4733.6,119.2,2.51,4864.3,4528.7,35.4,0.73,4938.4,4528.7,116.6,2.46,5001.9,4222.1,-45.9,-0.94,34863.4,35026.9,35515.6,35632.0,35808.4,35808.4,34863.4,881.7,2.52,35808.4,33317.6,442.8,1.25,36027.5,33317.6,1289.9,3.74,36027.5,30045.0,1129.6,3.26,,
XKO,S&P/Asx 300,4747.7,4768.9,4833.8,4849.7,4874.8,4891.1,4848.4,25.1,0.52,4874.8,4747.7,118.4,2.49,4876.6,4537.2,36.5,0.75,4950.5,4537.2,114.0,2.39,4995.0,4214.7,-25.6,-0.52,34889.7,35045.1,35522.6,35640.0,35824.2,35824.2,34889.7,873.8,2.50,35824.2,33306.3,448.7,1.27,36039.3,33306.3,1263.8,3.66,36039.3,29938.5,1256.3,3.63,,
XMD,S&P/Asx Midcap 50,4336.5,4352.4,4416.0,4446.5,4453.6,4462.1,4434.7,7.1,0.16,4453.6,4336.5,90.2,2.07,4495.6,4130.0,-12.6,-0.28,4566.1,4130.0,-13.9,-0.31,4566.1,3797.0,94.2,2.16,10168.5,10205.7,10354.9,10426.4,10442.9,10442.9,10168.5,211.3,2.07,10516.6,9674.0,34.7,0.33,10601.8,9674.0,94.4,0.91,10601.8,8628.5,628.1,6.40,,
XSO,S&P/Asx Small Ords,2809.0,2806.5,2832.0,2836.7,2855.2,2857.8,2841.0,18.5,0.65,2855.2,2806.5,41.3,1.47,2888.5,2592.6,-3.6,-0.13,2946.3,2592.6,-37.3,-1.29,2946.3,2229.7,276.5,10.72,6360.6,6355.0,6413.1,6424.9,6467.1,6467.1,6355.0,96.3,1.51,6518.9,5867.0,21.3,0.33,6625.3,5867.0,-35.2,-0.54,6625.3,4946.8,772.8,13.57,,
