Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-01-25T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 20,Jan 21,Jan 22,Jan 23,Jan 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 20,Jan 21,Jan 22,Jan 23,Jan 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5307.6,5342.0,5331.3,5275.5,5254.3,5289.7,5254.3,-21.2,-0.40,5342.0,5254.3,-62.1,-1.17,5369.8,5219.8,-71.1,-1.34,5369.8,5219.8,-98.8,-1.85,5369.8,5219.8,395.4,8.14,43473.7,43755.6,43668.4,43211.4,43037.8,43755.6,43037.8,-508.6,-1.17,43982.1,42753.5,-578.5,-1.33,43982.1,42753.5,-807.2,-1.84,44191.5,37129.1,4864.9,12.74,,
XAF,All Australian 50,5402.0,5434.2,5425.1,5368.7,5348.7,5386.7,5347.4,-20.0,-0.37,5434.2,5348.7,-64.0,-1.18,5472.3,5315.5,-85.9,-1.58,5472.3,5315.5,-109.1,-2.00,5472.3,5315.5,470.7,9.65,45409.8,45680.1,45603.5,45130.1,44962.0,45680.1,44962.0,-537.3,-1.18,46001.0,44682.2,-721.8,-1.58,46001.0,44682.2,-916.4,-2.00,46381.3,39049.4,5747.8,14.66,,
XAT,All Australian 200,5252.3,5288.1,5276.6,5218.9,5197.5,5235.7,5197.5,-21.4,-0.41,5288.1,5197.5,-64.4,-1.22,5320.6,5168.8,-82.8,-1.57,5320.6,5168.8,-107.2,-2.02,5320.6,5168.8,383.9,7.98,43889.7,44189.0,44092.8,43610.8,43432.2,44189.0,43432.2,-537.7,-1.22,44459.5,43191.1,-687.9,-1.56,44459.5,43191.1,-895.1,-2.02,44742.6,37733.6,4916.2,12.76,,
XTL,S&P/ASX 20,3327.8,3347.6,3342.9,3307.2,3294.6,3317.6,3294.2,-12.6,-0.38,3347.6,3294.6,-37.9,-1.14,3385.4,3278.2,-65.7,-1.95,3385.4,3278.2,-83.8,-2.48,3385.4,3278.2,312.7,10.49,54946.5,55273.6,55196.8,54606.9,54399.3,55273.6,54399.3,-624.5,-1.13,55897.9,54127.6,-1083.6,-1.95,55897.9,54127.6,-1383.4,-2.48,56458.8,47032.2,7319.2,15.55,,
XFL,S&P/ASX 50,5466.7,5499.0,5489.1,5432.8,5413.4,5450.8,5411.5,-19.4,-0.36,5499.0,5413.4,-64.7,-1.18,5541.7,5379.2,-89.5,-1.63,5541.7,5379.2,-113.5,-2.05,5541.7,5379.2,497.3,10.12,45877.8,46148.5,46065.4,45592.9,45430.5,46148.5,45430.5,-543.0,-1.18,46507.3,45143.7,-751.1,-1.63,46507.3,45143.7,-952.5,-2.05,46862.3,39422.6,5962.5,15.11,,
XTO,S&P/ASX 100,4396.6,4425.1,4416.0,4371.1,4353.4,4384.5,4353.4,-17.7,-0.40,4425.1,4353.4,-53.5,-1.21,4457.1,4327.7,-71.9,-1.62,4457.1,4327.7,-91.8,-2.07,4457.1,4327.7,377.4,9.49,11173.1,11245.6,11222.5,11108.4,11063.4,11245.6,11063.4,-135.8,-1.21,11327.0,10998.0,-181.9,-1.62,11327.0,10998.0,-233.4,-2.07,11384.6,9607.8,1390.2,14.37,,
XJO,S&P/ASX 200,5295.0,5331.5,5319.8,5263.0,5240.9,5278.6,5240.9,-22.1,-0.42,5331.5,5240.9,-65.0,-1.22,5367.9,5212.0,-86.3,-1.62,5367.9,5212.0,-111.3,-2.08,5367.9,5212.0,405.7,8.39,44159.2,44462.9,44365.3,43891.8,43707.9,44462.9,43707.9,-541.6,-1.22,44766.0,43466.2,-716.3,-1.61,44766.0,43466.2,-927.2,-2.08,45009.1,37962.9,5082.3,13.16,,
XVI,S&P/ASX 200 VIX,12.028,11.610,11.909,13.049,13.271,13.644,12.693,0.222,1.70,13.271,11.610,1.886,16.57,13.637,11.135,2.582,24.16,13.637,11.135,1.709,14.78,21.700,10.689,-4821.903,-99.73,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5249.5,5285.4,5274.6,5218.3,5197.1,5233.8,5197.1,-21.2,-0.41,5285.4,5197.1,-62.4,-1.19,5320.8,5166.8,-81.3,-1.54,5320.8,5166.8,-107.7,-2.03,5320.8,5166.8,382.9,7.95,43630.1,43928.9,43838.5,43370.5,43194.9,43928.9,43194.9,-517.9,-1.18,44221.7,42942.4,-672.1,-1.53,44221.7,42942.4,-893.8,-2.03,44475.2,37491.8,4854.9,12.66,,
XMD,S&P/ASX MidCap 50,4299.7,4349.6,4331.3,4290.5,4255.1,4295.0,4255.1,-35.4,-0.83,4349.6,4255.1,-64.0,-1.48,4360.8,4244.5,-69.2,-1.60,4360.8,4244.5,-94.4,-2.17,4360.8,4244.5,174.0,4.26,11283.8,11414.5,11366.5,11259.6,11166.6,11414.5,11166.6,-168.1,-1.48,11444.1,11138.9,-174.4,-1.54,11444.1,11138.9,-247.8,-2.17,11444.1,9756.1,845.7,8.19,,
XSO,S&P/ASX Small Ords,2184.5,2208.7,2204.0,2167.2,2158.6,2172.9,2158.6,-8.6,-0.40,2208.7,2158.6,-18.6,-0.85,2209.2,2148.2,-11.6,-0.53,2209.2,2148.2,-35.0,-1.60,2209.2,2148.2,-214.3,-9.03,5382.6,5442.2,5430.6,5340.0,5318.8,5442.2,5318.8,-45.7,-0.85,5442.2,5292.0,-27.0,-0.50,5442.2,5292.0,-84.7,-1.57,5770.0,4574.9,-348.1,-6.14,,
XDJ,Consumer Discretionary,1774.4,1800.3,1791.2,1776.5,1750.8,1776.5,1750.8,-25.7,-1.45,1800.3,1750.8,-34.1,-1.91,1833.3,1750.8,-68.2,-3.75,1833.3,1750.8,-80.3,-4.38,1833.3,1750.8,307.1,21.27,13176.6,13369.2,13301.2,13191.8,13001.5,13369.2,13001.5,-253.1,-1.91,13614.0,13001.5,-506.1,-3.75,13614.0,13001.5,-595.8,-4.38,13614.0,10442.0,2640.8,25.49,,
XSJ,Consumer Staples,9955.7,10013.7,9961.4,9885.1,9873.9,9954.5,9862.6,-11.2,-0.11,10013.7,9873.9,-138.1,-1.38,10073.3,9854.3,-113.2,-1.13,10073.3,9854.3,-142.1,-1.42,10073.3,9854.3,577.5,6.21,79699.1,80163.6,79744.8,79133.9,79044.2,80163.6,79044.2,-1106.0,-1.38,80640.5,78887.8,-845.7,-1.06,80640.5,78887.8,-1137.7,-1.42,83265.0,70900.4,7687.0,10.77,,
