Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-11-16T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Nov 11,Nov 12,Nov 13,Nov 14,Nov 15,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5380.8,5386.8,5317.5,5352.0,5396.2,5400.0,5338.8,44.2,0.83,5396.2,5317.5,1.8,0.03,5437.3,5264.4,137.0,2.61,5437.3,5437.3,731.6,15.68,5437.3,5437.3,1036.1,23.76,43967.2,44018.0,43452.6,43735.2,44096.1,44096.1,43452.6,28.1,0.06,44191.5,42740.7,1355.3,3.17,44191.5,37020.3,7453.4,20.34,44191.5,34354.4,9917.9,29.02,,
XAF,All Australian 50,5508.3,5515.5,5439.2,5470.3,5517.1,5521.3,5453.2,46.8,0.86,5517.1,5439.2,-6.5,-0.12,5561.2,5371.9,150.8,2.81,5561.2,5561.2,819.4,17.44,5561.2,5561.2,1133.5,25.86,46218.7,46278.6,45638.3,45899.2,46292.6,46292.6,45638.3,-40.3,-0.09,46381.3,44712.5,1580.1,3.53,46381.3,38052.6,8530.4,22.59,46381.3,35356.3,11109.1,31.57,,
XAT,All Australian 200,5344.0,5350.1,5276.6,5312.3,5357.9,5362.4,5296.6,45.6,0.86,5357.9,5276.6,-1.2,-0.02,5399.5,5219.0,142.7,2.74,5399.5,5399.5,726.6,15.69,5399.5,5399.5,1037.3,24.01,44552.6,44603.2,43990.5,44288.3,44668.6,44668.6,43990.5,1.8,0.00,44742.6,43214.0,1454.6,3.37,44742.6,37380.5,7614.2,20.55,44742.6,34690.1,10173.3,29.49,,
XTL,S&P/ASX 20,3403.7,3400.6,3350.9,3372.4,3400.4,3404.4,3360.7,28.0,0.83,3403.7,3350.9,-19.3,-0.56,3445.1,3308.4,96.8,2.93,3445.1,3445.1,533.8,18.62,3445.1,3445.1,734.5,27.55,56199.7,56148.0,55327.4,55682.7,56145.9,56199.7,55327.4,-296.5,-0.53,56458.8,54079.6,2066.3,3.82,56458.8,45563.7,10886.7,24.05,56458.8,42311.0,14055.0,33.39,,
XFL,S&P/ASX 50,5574.5,5581.3,5504.1,5535.8,5583.4,5587.7,5519.3,47.6,0.86,5583.4,5504.1,-5.6,-0.10,5628.4,5436.8,152.8,2.81,5628.4,5628.4,850.8,17.98,5628.4,5628.4,1167.0,26.42,46697.2,46754.3,46106.9,46372.7,46771.7,46771.7,46106.9,-32.7,-0.07,46862.3,45175.6,1596.1,3.53,46862.3,38295.2,8780.0,23.11,46862.3,35572.3,11372.8,32.13,,
XTO,S&P/ASX 100,4471.8,4476.6,4415.1,4445.4,4483.4,4487.3,4433.1,38.0,0.85,4483.4,4415.1,1.0,0.02,4513.5,4366.5,121.0,2.77,4513.5,4513.5,662.7,17.34,4513.5,4513.5,921.6,25.87,11339.3,11351.5,11195.8,11272.5,11369.0,11369.0,11195.8,6.0,0.05,11384.6,10991.6,377.4,3.43,11384.6,9380.5,2074.3,22.32,11384.6,8693.7,2721.8,31.48,,
XJO,S&P/ASX 200,5387.1,5393.1,5319.2,5355.4,5401.7,5406.1,5340.6,46.3,0.86,5401.7,5319.2,1.0,0.02,5441.4,5262.9,142.6,2.71,5441.4,5441.4,752.8,16.19,5441.4,5441.4,1064.9,24.55,44823.4,44872.9,44258.6,44560.2,44945.0,44945.0,44258.6,20.7,0.05,45009.1,43496.2,1448.7,3.33,45009.1,37467.1,7810.5,21.03,45009.1,34764.8,10376.3,30.02,,
XVI,S&P/ASX 200 VIX,13.515,13.180,14.718,14.055,13.399,14.584,13.181,-0.656,-4.67,14.718,13.180,0.903,7.23,14.916,11.776,-1.286,-8.76,21.700,11.776,-4635.551,-99.71,21.700,11.776,-4323.449,-99.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5338.4,5343.8,5271.8,5307.4,5352.8,5357.1,5293.3,45.4,0.86,5352.8,5271.8,0.3,0.01,5395.3,5217.1,138.8,2.66,5395.3,5395.3,726.5,15.70,5395.3,5395.3,1033.1,23.92,44266.5,44311.2,43714.8,44010.1,44387.1,44387.1,43714.8,15.1,0.03,44475.2,42980.3,1406.8,3.27,44475.2,37184.2,7547.1,20.49,44475.2,34518.4,10060.5,29.31,,
XMD,S&P/ASX MidCap 50,4276.3,4275.7,4221.3,4291.3,4326.4,4333.2,4279.6,35.1,0.82,4326.4,4221.3,48.9,1.14,4326.4,4220.2,102.8,2.43,4326.4,4326.4,463.4,12.00,4326.4,4326.4,756.5,21.19,11161.2,11159.5,11019.3,11202.0,11293.7,11293.7,11019.3,129.4,1.16,11293.7,11004.0,280.8,2.55,11293.7,9756.1,1524.3,15.60,11293.7,9055.1,2323.6,25.90,,
