Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-19T23:15:09+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 14,Jan 15,Jan 16,Jan 17,Jan 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSJ,Consumer Staples,9089.2,9086.6,9128.0,9223.8,9169.5,9234.6,9130.4,-54.3,-0.59,9223.8,9086.6,81.4,0.90,9223.8,8804.6,384.9,4.38,9223.8,8912.8,295.1,3.33,9223.8,7241.1,1760.5,23.76,69767.0,69747.0,70064.5,70799.9,70383.3,70799.9,69747.0,625.1,0.90,70799.9,67429.2,2954.1,4.38,70799.9,68413.1,2265.0,3.33,70799.9,52987.4,16167.0,29.82,,
XEJ,Energy,12659.2,12741.3,12741.2,12801.7,12836.2,12936.6,12801.7,34.5,0.27,12836.2,12659.2,214.1,1.70,12836.2,12328.8,550.1,4.48,12836.2,12557.5,430.2,3.47,14705.5,11554.9,-922.7,-6.71,86558.1,87119.2,87118.7,87532.7,87768.0,87768.0,86558.1,1463.3,1.70,87768.0,84007.2,3760.9,4.48,87768.0,85862.9,2941.4,3.47,98057.5,77918.0,-3977.3,-4.34,,
XFJ,Financials,4839.1,4838.1,4865.8,4891.0,4905.7,4915.7,4891.0,14.7,0.30,4905.7,4838.1,79.2,1.64,4905.7,4704.9,214.0,4.56,4905.7,4767.7,152.0,3.20,4905.7,3913.1,917.3,23.00,45468.8,45459.3,45719.8,45955.8,46094.4,46094.4,45459.3,744.0,1.64,46094.4,43964.4,2130.0,4.84,46094.4,44797.5,1435.8,3.22,46094.4,34929.4,10914.5,31.02,,
XXJ,Financial-x-A-REIT,5546.0,5543.6,5573.5,5614.2,5633.0,5641.1,5614.2,18.8,0.33,5633.0,5543.6,95.4,1.72,5633.0,5386.5,266.1,4.96,5633.0,5485.5,181.1,3.32,5633.0,4433.9,1056.8,23.09,49994.4,49972.6,50242.5,50609.4,50778.9,50778.9,49972.6,859.6,1.72,50778.9,48380.2,2398.8,4.96,50778.9,49449.4,1632.5,3.32,50778.9,38298.5,12070.0,31.18,,
XHJ,Health Care,11514.2,11610.3,11882.0,11918.7,11945.8,11999.1,11918.7,27.1,0.23,11945.8,11514.2,428.1,3.72,11945.8,11476.5,430.7,3.74,11945.8,11476.5,313.2,2.69,11945.8,7756.1,3981.6,49.99,70571.0,71160.2,72825.4,73050.5,73216.5,73216.5,70571.0,2623.9,3.72,73216.5,70340.0,2639.9,3.74,73216.5,70340.0,1919.5,2.69,73216.5,46279.9,25694.6,54.07,,
XNJ,Industrials,3625.5,3605.6,3620.9,3623.0,3637.0,3643.7,3623.0,14.0,0.39,3637.0,3605.6,13.1,0.36,3660.0,3504.1,163.8,4.72,3660.0,3605.6,85.3,2.40,3815.2,3159.7,134.9,3.85,28825.4,28667.2,28788.8,28805.4,28916.9,28916.9,28667.2,104.8,0.36,29099.3,27463.8,1453.2,5.29,29099.3,28667.2,678.7,2.40,29446.6,24610.7,2161.3,8.08,,
XIJ,Info Technology,645.7,646.3,649.7,657.5,665.8,670.6,657.5,8.3,1.26,665.8,645.7,18.7,2.89,665.8,595.5,79.0,13.46,665.8,611.4,69.2,11.59,665.8,482.8,165.7,33.14,4102.5,4106.3,4127.6,4177.7,4230.0,4230.0,4102.5,118.5,2.88,4230.0,3728.1,501.9,13.46,4230.0,3884.8,439.3,11.59,4230.0,2950.6,1173.8,38.41,,
XMJ,Materials,10598.8,10582.6,10562.2,10560.4,10641.0,10679.6,10560.4,80.6,0.76,10641.0,10560.4,57.2,0.54,11006.3,10482.9,113.4,1.08,11006.3,10560.4,40.1,0.38,11833.2,8986.0,-900.4,-7.80,70600.8,70492.8,70356.7,70344.8,70882.2,70882.2,70344.8,381.6,0.54,73315.0,69829.0,755.9,1.08,73315.0,70344.8,267.6,0.38,76582.8,58941.4,-3812.2,-5.10,,
XPJ,A-REIT,994.9,995.8,1003.2,997.5,998.8,1004.3,996.4,1.3,0.13,1003.2,994.9,12.1,1.22,1003.2,960.8,25.0,2.57,1003.2,960.8,25.0,2.56,1003.2,798.0,183.0,22.43,25933.0,25957.2,26149.3,26002.2,26036.4,26149.3,25933.0,315.5,1.23,26149.3,24933.0,1066.5,4.27,26149.3,25044.0,678.5,2.68,26149.3,19749.2,6022.7,30.09,,
XTJ,Telecommunications,1535.8,1515.3,1532.0,1532.8,1532.8,1546.0,1532.8,0.0,0.00,1535.8,1515.3,0.3,0.02,1535.8,1485.4,60.3,4.09,1535.8,1515.3,36.8,2.46,1535.8,1101.4,396.8,34.93,16972.1,16745.5,16929.5,16938.2,16938.4,16972.1,16745.5,2.7,0.02,16972.1,16270.6,667.8,4.10,16972.1,16745.5,406.0,2.46,16972.1,11546.2,5314.1,45.71,,
XUJ,Utilities,5343.4,5346.9,5371.5,5354.4,5374.0,5382.8,5331.7,19.6,0.37,5374.0,5343.4,120.3,2.29,5374.0,5226.2,141.8,2.71,5374.0,5233.6,116.1,2.21,5374.0,4527.2,752.1,16.27,52538.2,52572.4,52814.6,52646.7,52839.0,52839.0,52538.2,1182.3,2.29,52839.0,50867.4,1971.5,3.88,52839.0,51459.2,1141.2,2.21,52839.0,42294.1,9936.5,23.16,,
XMM,Metals & Mining,3633.7,3626.1,3612.0,3607.3,3635.7,3653.0,3607.3,28.4,0.79,3635.7,3607.3,5.3,0.15,3796.3,3599.5,8.3,0.23,3796.3,3607.3,-7.7,-0.21,4252.2,3071.9,-495.2,-11.99,4965.1,4954.6,4935.4,4928.9,4967.9,4967.9,4928.9,7.4,0.15,5187.3,4918.3,11.3,0.23,5187.3,4928.9,-10.5,-0.21,5661.9,4138.3,-532.4,-9.68,,
XGD,Gold,4828.1,4865.1,4940.5,4961.3,4956.6,5030.9,4956.6,-4.7,-0.09,4961.3,4828.1,143.4,2.98,5191.8,4770.1,-162.9,-3.18,5191.8,4770.1,57.9,1.18,7178.9,4550.0,-1694.6,-25.48,5567.8,5610.4,5697.4,5721.3,5716.0,5721.3,5567.8,165.4,2.98,5987.1,5500.9,-187.8,-3.18,5987.1,5500.9,66.9,1.18,8202.2,5214.8,-1883.0,-24.78,,
XJR,S&P/ASX 200 Res,4320.2,4321.2,4307.2,4308.4,4337.9,4359.8,4308.4,29.5,0.68,4337.9,4307.2,23.9,0.55,4470.6,4264.7,52.9,1.24,4470.6,4307.2,27.3,0.63,4925.8,3728.7,-479.8,-9.96,22092.3,22097.0,22025.4,22032.0,22182.5,22182.5,22025.4,122.0,0.55,22861.3,21808.5,270.5,1.23,22861.3,22025.4,139.3,0.63,24542.0,18796.9,-1820.9,-7.59,,
,
