Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-01-05T23:15:07+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 28,Dec 31,Jan 2,Jan 3,Jan 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 28,Dec 31,Jan 2,Jan 3,Jan 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4685.3,4664.6,4722.9,4761.4,4742.9,4761.4,4737.0,-18.5,-0.39,4761.4,4664.6,81.4,1.75,4761.4,4515.7,231.1,5.12,4761.4,4722.9,78.3,1.68,4761.4,4033.4,578.4,13.89,36805.1,36642.6,37100.5,37403.4,37257.7,37403.4,36642.6,639.9,1.75,37403.4,35378.3,1879.4,5.31,37403.4,37100.5,615.1,1.68,37403.4,30869.4,6023.5,19.29,,
XAF,All Australian 50,4719.6,4697.7,4750.4,4782.5,4768.6,4782.5,4758.9,-13.9,-0.29,4782.5,4697.7,71.9,1.53,4782.5,4561.9,214.7,4.71,4782.5,4750.4,70.9,1.51,4782.5,3983.7,668.4,16.30,37938.2,37762.2,38185.5,38443.7,38332.1,38443.7,37762.2,577.7,1.53,38443.7,36558.6,1773.6,4.85,38443.7,38185.5,569.9,1.51,38443.7,31167.4,6978.0,22.26,,
XAT,All Australian 200,4653.6,4631.3,4687.5,4722.2,4705.3,4722.2,4698.4,-16.9,-0.36,4722.2,4631.3,75.3,1.63,4722.2,4492.6,219.1,4.88,4722.2,4687.5,74.0,1.60,4722.2,3973.9,602.5,14.68,37232.8,37054.4,37504.1,37781.2,37646.1,37781.2,37054.4,602.2,1.63,37781.2,35829.8,1816.3,5.07,37781.2,37504.1,591.7,1.60,37781.2,30947.5,6374.1,20.38,,
XTL,S&P/ASX 20,2879.8,2866.6,2897.5,2916.9,2909.8,2916.9,2902.2,-7.1,-0.24,2916.9,2866.6,43.5,1.52,2916.9,2784.0,132.3,4.76,2916.9,2897.5,43.2,1.51,2916.9,2396.0,429.7,17.33,45468.6,45259.3,45747.4,46054.0,45941.5,46054.0,45259.3,686.5,1.52,46054.0,43852.0,2089.5,4.76,46054.0,45747.4,682.3,1.51,46054.0,36842.5,8740.7,23.50,,
XFL,S&P/ASX 50,4754.7,4732.6,4786.6,4819.4,4805.3,4819.4,4795.5,-14.1,-0.29,4819.4,4732.6,73.4,1.55,4819.4,4596.4,216.5,4.72,4819.4,4786.6,72.7,1.54,4819.4,4010.1,678.0,16.43,38168.9,37991.7,38424.7,38688.4,38575.1,38688.4,37991.7,589.1,1.55,38688.4,36789.5,1785.7,4.85,38688.4,38424.7,583.4,1.54,38688.4,31334.8,7051.2,22.37,,
XTO,S&P/ASX 100,3839.0,3820.7,3865.0,3892.2,3881.2,3892.2,3874.1,-11.0,-0.28,3892.2,3820.7,60.7,1.59,3892.2,3710.2,177.5,4.79,3892.2,3865.0,60.5,1.58,3892.2,3260.5,523.0,15.57,9339.3,9294.8,9402.5,9468.7,9441.8,9468.7,9294.8,147.6,1.59,9468.7,8994.7,447.1,4.97,9468.7,9402.5,147.1,1.58,9468.7,7719.3,1664.0,21.39,,
XJO,S&P/ASX 200,4671.3,4648.9,4705.9,4740.7,4723.8,4740.7,4716.8,-16.9,-0.36,4740.7,4648.9,75.8,1.63,4740.7,4509.3,220.2,4.89,4740.7,4705.9,74.8,1.61,4740.7,3985.0,615.3,14.98,37313.1,37134.5,37589.8,37867.3,37732.3,37867.3,37134.5,605.6,1.63,37867.3,35910.0,1822.3,5.07,37867.3,37589.8,597.7,1.61,37867.3,30989.0,6457.6,20.65,,
XKO,S&P/ASX 300,4648.0,4626.3,4683.5,4719.3,4702.2,4719.3,4695.5,-17.1,-0.36,4719.3,4626.3,77.2,1.67,4719.3,4486.6,220.8,4.93,4719.3,4683.5,75.9,1.64,4719.3,3977.4,597.2,14.55,37012.8,36840.0,37295.7,37580.6,37444.7,37580.6,36840.0,615.3,1.67,37580.6,35623.4,1821.3,5.11,37580.6,37295.7,604.7,1.64,37580.6,30841.3,6278.1,20.14,,
XMD,S&P/ASX MidCap 50,3885.8,3863.0,3914.1,3947.4,3939.5,3954.6,3935.1,-7.9,-0.20,3947.4,3863.0,73.4,1.90,3947.4,3746.7,202.7,5.42,3947.4,3914.1,76.5,1.98,3950.9,3435.4,314.2,8.67,9827.0,9769.3,9898.6,9982.8,9962.8,9982.8,9769.3,185.7,1.90,9982.8,9400.7,562.1,5.98,9982.8,9898.6,193.5,1.98,9982.8,8495.1,1188.3,13.54,,
XSO,S&P/ASX Small Ords,2288.6,2280.7,2329.8,2363.8,2333.7,2363.8,2333.5,-30.1,-1.27,2363.8,2280.7,60.1,2.64,2363.8,2178.3,143.1,6.53,2363.8,2329.8,53.0,2.33,2526.6,2044.8,85.0,3.78,5463.7,5444.8,5562.0,5643.5,5571.8,5643.5,5444.8,143.9,2.65,5643.5,5188.4,354.0,6.78,5643.5,5562.0,127.0,2.33,5892.6,4798.2,371.5,7.14,,
XDJ,Consumer Discretionary,1348.0,1343.8,1364.5,1384.9,1379.0,1387.3,1377.9,-5.9,-0.43,1384.9,1343.8,39.5,2.95,1384.9,1307.0,67.4,5.14,1384.9,1364.5,35.2,2.62,1384.9,1179.0,196.6,16.62,9674.4,9644.3,9792.3,9939.2,9896.8,9939.2,9644.3,283.5,2.95,9939.2,9374.1,489.5,5.20,9939.2,9792.3,252.5,2.62,9939.2,8076.6,1796.4,22.18,,
XSJ,Consumer Staples,8907.4,8874.4,8936.5,8912.8,8914.6,8949.8,8905.0,1.8,0.02,8936.5,8874.4,13.6,0.15,8936.5,8723.4,124.8,1.42,8936.5,8912.8,40.1,0.45,8936.5,7241.1,1462.8,19.63,68371.6,68118.4,68594.9,68413.1,68426.4,68594.9,68118.4,104.7,0.15,68594.9,66959.0,1027.3,1.52,68594.9,68413.1,308.0,0.45,68594.9,52987.4,13897.2,25.49,,
XEJ,Energy,12489.0,12406.0,12557.5,12701.9,12645.9,12706.4,12590.1,-56.0,-0.44,12701.9,12406.0,219.8,1.77,12701.9,12124.6,438.5,3.59,12701.9,12557.5,240.0,1.93,14705.5,11554.9,-204.2,-1.59,85394.5,84826.6,85862.9,86850.2,86467.4,86850.2,84826.6,1502.6,1.77,86850.2,82903.0,2998.6,3.59,86850.2,85862.9,1640.8,1.93,98057.5,77918.0,781.4,0.91,,
XFJ,Financials,4766.6,4753.7,4791.9,4811.7,4811.3,4818.8,4801.2,-0.4,-0.01,4811.7,4753.7,61.4,1.29,4811.7,4638.6,179.9,3.88,4811.7,4791.9,57.6,1.21,4811.7,3913.1,867.0,21.98,44780.1,44658.6,45017.7,45203.8,45199.6,45203.8,44658.6,577.3,1.29,45203.8,43399.0,1800.6,4.15,45203.8,45017.7,541.0,1.21,45203.8,34730.9,10410.3,29.92,,
