Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-08-02T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 28,Jul 29,Jul 30,Jul 31,Aug 1,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 28,Jul 29,Jul 30,Jul 31,Aug 1,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5569.9,5580.6,5615.1,5623.1,5547.6,5623.1,5535.8,-75.5,-1.34,5623.1,5547.6,-26.6,-0.48,5623.1,5441.7,181.1,3.37,5623.1,5088.7,194.5,3.63,5623.1,5088.7,448.9,8.80,46598.0,46687.6,46976.6,47043.7,46412.3,47043.7,46412.3,-222.2,-0.48,47043.7,44891.5,1520.8,3.39,47043.7,41681.2,2567.3,5.86,47043.7,40047.0,5547.1,13.57,,
XAF,All Australian 50,5680.3,5692.8,5726.6,5738.1,5661.1,5738.1,5648.4,-77.0,-1.34,5738.1,5661.1,-28.1,-0.49,5738.1,5557.1,188.4,3.44,5738.1,5175.5,203.3,3.73,5738.1,5175.5,432.1,8.26,48850.6,48958.2,49249.0,49347.7,48685.1,49347.7,48685.1,-242.0,-0.49,49347.7,47065.1,1620.1,3.44,49347.7,43505.3,2806.7,6.12,49347.7,42077.9,5740.4,13.37,,
XAT,All Australian 200,5535.2,5546.6,5581.2,5590.9,5515.5,5590.9,5503.3,-75.4,-1.35,5590.9,5515.5,-25.7,-0.46,5590.9,5410.8,181.3,3.40,5590.9,5028.8,210.8,3.97,5590.9,5028.8,440.6,8.68,47280.6,47377.5,47673.1,47756.3,47111.9,47756.3,47111.9,-219.5,-0.46,47756.3,45560.8,1551.1,3.40,47756.3,42022.3,2784.5,6.28,47756.3,40592.0,5652.0,13.63,,
XTL,S&P/ASX 20,3513.0,3520.3,3539.0,3548.8,3502.1,3548.8,3492.7,-46.7,-1.32,3548.8,3502.1,-17.3,-0.49,3548.8,3432.3,125.9,3.73,3548.8,3184.2,123.7,3.66,3548.8,3184.2,264.6,8.17,59338.4,59462.1,59777.8,59943.9,59155.5,59943.9,59155.5,-291.5,-0.49,59943.9,57028.5,2127.0,3.73,59943.9,52576.0,3372.8,6.05,59943.9,51045.9,6922.7,13.25,,
XFL,S&P/ASX 50,5745.3,5758.5,5792.8,5804.7,5726.3,5804.7,5713.6,-78.4,-1.35,5804.7,5726.3,-27.9,-0.48,5804.7,5620.6,190.6,3.44,5804.7,5238.2,199.4,3.61,5804.7,5238.2,434.8,8.22,49322.1,49435.1,49729.1,49831.4,49159.1,49831.4,49159.1,-238.7,-0.48,49831.4,47522.8,1636.3,3.44,49831.4,43959.9,2776.1,5.99,49831.4,42526.0,5766.2,13.29,,
XTO,S&P/ASX 100,4637.5,4646.4,4675.6,4684.7,4620.9,4684.7,4610.6,-63.8,-1.36,4684.7,4620.9,-22.5,-0.48,4684.7,4533.2,150.7,3.37,4684.7,4210.6,175.7,3.95,4684.7,4210.6,377.6,8.90,12050.2,12073.4,12149.3,12172.9,12007.2,12172.9,12007.2,-58.4,-0.48,12172.9,11615.3,391.9,3.37,12172.9,10700.4,710.4,6.29,12172.9,10326.6,1465.5,13.90,,
XJO,S&P/ASX 200,5577.4,5588.4,5622.9,5632.9,5556.4,5632.9,5544.0,-76.5,-1.36,5632.9,5556.4,-27.1,-0.49,5632.9,5452.5,180.5,3.36,5632.9,5070.3,204.2,3.81,5632.9,5070.3,439.6,8.59,47542.4,47636.6,47930.3,48015.8,47363.7,48015.8,47363.7,-230.9,-0.49,48015.8,45822.1,1541.6,3.36,48015.8,42284.9,2728.6,6.11,48015.8,40867.9,5635.7,13.51,,
XVI,S&P/ASX 200 VIX,10.636,10.640,10.751,10.949,12.384,12.751,12.290,1.435,13.11,12.384,10.636,2.308,22.91,12.384,9.309,0.160,1.31,18.372,0.147,0.822,7.11,18.372,0.147,-2.262,-15.44,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5521.7,5532.3,5566.1,5575.1,5499.4,5575.1,5487.2,-75.7,-1.36,5575.1,5499.4,-27.9,-0.50,5575.1,5398.1,177.7,3.34,5575.1,5027.6,194.6,3.67,5575.1,5027.6,426.6,8.41,46898.5,46988.4,47275.9,47352.0,46709.9,47352.0,46709.9,-236.4,-0.50,47352.0,45196.7,1513.2,3.35,47352.0,41785.8,2621.1,5.95,47352.0,40386.8,5474.7,13.28,,
XMD,S&P/ASX MidCap 50,4679.4,4673.4,4716.7,4721.2,4651.8,4721.2,4641.4,-69.4,-1.47,4721.2,4651.8,-22.9,-0.49,4721.2,4542.0,124.5,2.75,4721.2,4099.4,302.3,6.95,4721.2,4099.4,606.6,15.00,12506.1,12490.0,12605.8,12617.7,12432.3,12617.7,12432.3,-61.2,-0.49,12617.7,12097.0,335.3,2.77,12617.7,10758.1,1017.9,8.92,12617.7,10166.9,2012.8,19.32,,
XSO,S&P/ASX Small Ords,2226.9,2231.0,2240.1,2234.6,2205.6,2234.6,2200.0,-29.0,-1.30,2240.1,2205.6,-16.6,-0.75,2240.1,2159.3,63.4,2.96,2277.1,2092.8,12.0,0.55,2277.1,2092.8,62.2,2.90,5570.8,5581.2,5603.8,5590.1,5518.1,5603.8,5518.1,-41.2,-0.74,5603.8,5355.5,162.5,3.03,5645.9,5156.7,114.6,2.12,5645.9,5074.3,322.8,6.21,,
XDJ,Consumer Discretionary,1834.9,1839.3,1848.4,1853.2,1830.3,1853.2,1824.1,-22.9,-1.24,1853.2,1830.3,-4.4,-0.24,1853.2,1785.8,41.7,2.33,1913.4,1715.0,-0.8,-0.04,1913.4,1715.0,138.7,8.20,13852.0,13884.7,13953.5,13989.4,13816.6,13989.4,13816.6,-33.7,-0.24,13989.4,13480.9,314.7,2.33,14336.1,12735.0,219.3,1.61,14336.1,12189.0,1445.3,11.68,,
XSJ,Consumer Staples,9995.3,10080.6,10161.9,10218.7,10078.5,10218.7,10053.5,-140.2,-1.37,10218.7,9995.3,61.0,0.61,10218.7,9928.1,360.8,3.71,10323.4,9567.9,62.5,0.62,10323.4,9567.9,241.3,2.45,81597.8,82293.9,82958.0,83421.4,82277.5,83421.4,81597.8,498.6,0.61,83421.4,79311.7,2965.8,3.74,84194.5,76594.5,2095.6,2.61,84194.5,75614.4,5313.0,6.90,,
XEJ,Energy,14618.9,14593.2,14662.6,14656.8,14469.4,14656.8,14383.8,-187.4,-1.28,14662.6,14469.4,-150.6,-1.03,14662.6,14270.0,121.9,0.85,14662.6,13017.6,846.5,6.21,14662.6,13017.6,931.9,6.88,104456.6,104273.4,104769.1,104727.2,103388.4,104769.1,103388.4,-1076.2,-1.03,104769.1,101963.6,871.1,0.85,104769.1,91514.2,7618.5,7.96,104769.1,90393.6,9632.1,10.27,,
XFJ,Financials,6226.8,6235.4,6275.6,6300.8,6215.0,6300.8,6197.8,-85.8,-1.36,6300.8,6215.0,-26.7,-0.43,6300.8,6096.7,207.5,3.45,6300.8,5503.9,339.3,5.78,6300.8,5503.9,579.3,10.28,63317.0,63404.0,63813.4,64070.0,63197.3,64070.0,63197.3,-271.6,-0.43,64070.0,61084.6,2112.7,3.46,64070.0,54492.0,5027.2,8.64,64070.0,53179.2,8880.9,16.35,,
XXJ,Financial-x-A-REIT,7320.0,7329.6,7373.7,7412.6,7316.5,7412.6,7290.9,-96.1,-1.30,7412.6,7316.5,-24.1,-0.33,7412.6,7177.1,244.6,3.46,7412.6,6467.5,334.9,4.80,7412.6,6467.5,699.8,10.58,71218.0,71311.9,71740.4,72118.8,71184.1,72118.8,71184.1,-235.0,-0.33,72118.8,68804.3,2379.9,3.46,72118.8,61376.9,4928.1,7.44,72118.8,59658.7,10025.9,16.39,,
XHJ,Health Care,14341.0,14379.1,14472.6,14569.1,14186.0,14570.5,14164.3,-383.1,-2.63,14569.1,14186.0,-156.9,-1.09,14569.1,14186.0,-28.4,-0.20,14937.8,13849.2,-181.3,-1.26,14937.8,13849.2,316.3,2.28,90809.7,91051.0,91643.2,92254.2,89828.1,92254.2,89828.1,-993.8,-1.09,92254.2,89828.1,-180.1,-0.20,94445.0,86829.4,-218.7,-0.24,94445.0,81860.9,3946.5,4.60,,
XNJ,Industrials,4161.7,4152.1,4193.5,4183.6,4123.7,4183.6,4121.6,-59.9,-1.43,4193.5,4123.7,-43.7,-1.05,4193.5,4083.5,58.1,1.43,4199.0,3771.2,154.8,3.90,4199.0,3771.2,411.0,11.07,35049.5,34969.1,35317.2,35234.4,34729.9,35317.2,34729.9,-367.6,-1.05,35317.2,34240.6,489.2,1.43,35317.2,31167.8,1928.3,5.88,35317.2,29418.0,4652.1,15.47,,
XIJ,Info Technology,823.7,824.2,828.7,837.6,822.8,837.6,821.1,-14.8,-1.77,837.6,822.8,0.3,0.03,837.6,798.9,27.2,3.42,837.6,702.5,81.3,10.97,837.6,702.5,129.7,18.72,5462.9,5466.4,5496.0,5555.5,5457.3,5555.5,5457.3,2.0,0.04,5555.5,5276.5,180.8,3.43,5555.5,4603.8,598.1,12.31,5555.5,4439.7,981.8,21.94,,
XMJ,Materials,10426.7,10451.6,10487.5,10445.5,10318.7,10445.5,10291.7,-126.8,-1.21,10487.5,10318.7,-77.9,-0.75,10487.5,9921.3,575.9,5.91,10774.9,9487.2,109.0,1.07,10774.9,9487.2,815.2,8.58,72678.7,72852.7,73103.2,72810.0,71926.0,73103.2,71926.0,-543.4,-0.75,73103.2,67912.3,4013.7,5.91,73944.4,66130.4,1884.8,2.69,73944.4,62604.6,7784.4,12.14,,
XPJ,A-REIT,1114.6,1116.5,1126.8,1122.8,1103.0,1122.8,1102.3,-19.8,-1.76,1126.8,1103.0,-11.4,-1.03,1126.8,1071.8,36.6,3.43,1126.8,980.1,118.1,11.99,1126.8,980.1,86.8,8.54,31914.7,31969.5,32262.7,32148.5,31581.4,32262.7,31581.4,-328.0,-1.03,32262.7,30526.0,1055.5,3.46,32262.7,27037.3,4420.4,16.27,32262.7,26036.8,4368.9,16.05,,
XTJ,Telecommunications,1887.6,1897.0,1906.6,1908.2,1890.4,1908.2,1883.6,-17.8,-0.93,1908.2,1887.6,-3.8,-0.20,1908.2,1819.3,78.1,4.31,1908.2,1741.3,68.8,3.78,1908.2,1741.3,143.7,8.22,22692.8,22806.0,22922.2,22941.3,22729.9,22941.3,22692.8,-42.6,-0.19,22941.3,21788.4,941.5,4.32,22941.3,20377.3,1413.0,6.63,22941.3,19381.8,2843.6,14.30,,
XUJ,Utilities,5892.7,5909.6,5987.6,5940.6,5900.2,5940.6,5864.5,-40.4,-0.68,5987.6,5892.7,-13.7,-0.23,6026.6,5873.0,4.7,0.08,6026.6,5357.0,520.7,9.68,6026.6,5357.0,422.5,7.71,62877.4,63058.7,63890.7,63388.8,62957.5,63890.7,62877.4,-146.7,-0.23,64217.5,62668.1,136.5,0.22,64217.5,55642.3,7081.7,12.67,64217.5,53264.6,7619.4,13.77,,
XMM,Metals & Mining,3418.9,3427.1,3431.7,3412.1,3372.5,3412.1,3358.4,-39.6,-1.16,3431.7,3372.5,-26.6,-0.78,3431.7,3224.4,210.9,6.67,3522.5,3063.2,33.2,0.99,3522.5,3063.2,215.0,6.81,4875.0,4886.7,4893.2,4865.4,4808.9,4893.2,4808.9,-37.8,-0.78,4893.2,4508.1,300.8,6.67,4948.8,4367.8,118.3,2.52,4948.8,4256.9,441.7,10.11,,
XGD,Gold,2388.3,2392.2,2379.6,2360.2,2329.7,2360.2,2314.2,-30.5,-1.29,2392.2,2329.7,-13.4,-0.57,2498.1,2316.7,-21.5,-0.91,2679.6,2003.5,431.3,22.72,2679.6,2003.5,-180.3,-7.18,2780.6,2785.3,2770.6,2748.0,2712.5,2785.3,2712.5,-15.6,-0.57,2908.5,2697.4,-24.9,-0.91,3119.4,2330.8,504.1,22.82,3562.6,2001.8,-192.1,-6.61,,
XJR,S&P/ASX 200 Res,4333.4,4339.8,4350.1,4333.5,4281.9,4333.5,4267.6,-51.6,-1.19,4350.1,4281.9,-35.2,-0.82,4350.1,4145.4,200.7,4.92,4350.1,3970.3,95.6,2.28,4350.1,3970.3,270.7,6.75,23142.2,23176.4,23231.1,23142.7,22867.0,23231.1,22867.0,-188.1,-0.82,23231.1,21795.0,1072.0,4.92,23231.1,20876.7,854.7,3.88,23231.1,20239.4,2098.7,10.11,,
,
