Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-02-16T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 11,Feb 12,Feb 13,Feb 14,Feb 15,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4980.3,4981.5,5024.5,5057.2,5054.6,5063.3,5043.2,-2.6,-0.05,5057.2,4980.3,65.2,1.31,5057.2,4765.0,311.6,6.57,5057.2,4712.3,390.0,8.36,5057.2,4033.4,781.3,18.28,39151.6,39163.4,39501.9,39759.3,39740.0,39759.3,39151.6,517.3,1.32,39759.3,37261.3,2478.6,6.65,39759.3,37020.3,3097.3,8.45,39759.3,30869.4,7659.0,23.87,,
XAF,All Australian 50,5010.0,5006.3,5055.0,5092.8,5091.1,5105.7,5075.8,-1.7,-0.03,5092.8,5006.3,65.3,1.30,5092.8,4775.2,333.3,7.01,5092.8,4733.5,393.4,8.37,5092.8,3983.7,929.8,22.34,40307.1,40277.2,40668.7,40973.4,40959.4,40973.4,40277.2,525.7,1.30,40973.4,38248.0,2711.4,7.09,40973.4,38052.6,3197.2,8.47,40973.4,31167.4,9109.4,28.60,,
XAT,All Australian 200,4937.7,4937.7,4982.9,5017.1,5014.2,5024.9,5001.3,-2.9,-0.06,5017.1,4937.7,63.7,1.29,5017.1,4718.2,317.2,6.75,5017.1,4671.7,382.9,8.27,5017.1,3973.9,824.7,19.68,39534.9,39537.8,39900.1,40174.3,40152.4,40174.3,39534.9,514.4,1.30,40174.3,37582.3,2570.1,6.84,40174.3,37380.5,3098.0,8.36,40174.3,30947.5,8187.5,25.61,,
XTL,S&P/ASX 20,3065.1,3060.8,3092.4,3118.1,3119.5,3130.8,3106.9,1.4,0.04,3119.5,3060.8,45.1,1.47,3119.5,2907.7,222.6,7.68,3119.5,2885.8,252.9,8.82,3119.5,2396.0,609.1,24.26,48424.2,48356.6,48854.8,49261.1,49284.2,49284.2,48356.6,712.6,1.47,49284.2,45739.0,3545.2,7.75,49284.2,45563.7,4024.9,8.89,49284.2,36842.5,11599.7,30.78,,
XFL,S&P/ASX 50,5054.1,5050.1,5099.1,5136.8,5135.1,5149.7,5119.8,-1.7,-0.03,5136.8,5050.1,66.0,1.30,5136.8,4812.1,340.6,7.10,5136.8,4770.1,402.5,8.50,5136.8,4010.1,946.3,22.59,40607.1,40574.3,40968.3,41271.6,41257.7,41271.6,40574.3,530.1,1.30,41271.6,38491.2,2766.5,7.19,41271.6,38295.2,3266.0,8.60,41271.6,31334.8,9235.9,28.84,,
XTO,S&P/ASX 100,4081.3,4079.6,4117.5,4147.0,4144.5,4154.2,4133.7,-2.5,-0.06,4147.0,4079.6,52.5,1.28,4147.0,3892.9,268.1,6.92,4147.0,3855.7,323.8,8.47,4147.0,3260.5,727.7,21.30,9936.3,9932.9,10025.2,10097.1,10090.9,10097.1,9932.9,128.6,1.29,10097.1,9430.9,659.9,7.00,10097.1,9380.5,796.1,8.57,10097.1,7719.3,2169.9,27.39,,
XJO,S&P/ASX 200,4959.5,4959.0,5003.7,5036.9,5033.9,5044.4,5021.0,-3.0,-0.06,5036.9,4959.0,62.6,1.26,5036.9,4738.4,317.3,6.73,5036.9,4690.3,384.9,8.28,5036.9,3985.0,838.0,19.97,39644.3,39642.8,40000.3,40266.6,40244.5,40266.6,39642.8,505.9,1.27,40266.6,37677.2,2567.2,6.81,40266.6,37467.1,3109.9,8.37,40266.6,30989.0,8273.5,25.88,,
XKO,S&P/ASX 300,4935.0,4934.7,4978.4,5011.3,5008.8,5018.7,4995.9,-2.5,-0.05,5011.3,4934.7,62.3,1.26,5011.3,4718.2,312.6,6.66,5011.3,4669.1,382.5,8.27,5011.3,3977.4,812.2,19.35,39327.0,39327.0,39676.2,39939.1,39920.5,39939.1,39327.0,501.7,1.27,39939.1,37399.3,2521.2,6.74,39939.1,37184.2,3080.4,8.36,39939.1,30841.3,8027.0,25.17,,
XMD,S&P/ASX MidCap 50,4135.5,4147.5,4171.1,4193.1,4180.3,4192.3,4165.1,-12.8,-0.31,4193.1,4135.5,46.2,1.12,4193.1,4005.0,211.5,5.33,4193.1,3914.1,317.3,8.21,4193.1,3435.4,413.0,10.96,10458.3,10495.9,10556.6,10612.4,10579.9,10612.4,10458.3,125.0,1.20,10612.4,10036.9,543.0,5.41,10612.4,9898.6,810.6,8.30,10612.4,8495.1,1447.5,15.85,,
XSO,S&P/ASX Small Ords,2393.4,2403.2,2412.7,2412.3,2414.5,2414.5,2402.3,2.2,0.09,2414.5,2393.4,23.6,0.99,2414.5,2348.1,85.1,3.65,2414.5,2304.9,133.8,5.87,2526.6,2044.8,2.3,0.10,5715.7,5738.9,5761.7,5761.9,5770.0,5770.0,5715.7,60.4,1.06,5770.0,5561.5,208.4,3.75,5770.0,5503.0,325.1,5.97,5892.6,4798.2,185.3,3.32,,
