Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-05T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 31,Apr 1,Apr 2,Apr 3,Apr 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 28,Mar 31,Apr 1,Apr 2,Apr 3,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5403.0,5394.9,5408.8,5415.7,5428.6,5428.6,5405.4,12.9,0.24,5428.6,5394.9,51.8,0.96,5477.0,5312.7,16.9,0.31,5477.0,5088.7,75.5,1.41,5477.0,5088.7,529.4,10.80,44592.8,44810.8,44744.5,44860.0,44919.2,44919.2,44744.5,326.3,0.73,45361.7,44046.0,151.2,0.34,45361.7,41681.2,1074.2,2.45,45361.7,37129.1,5966.9,15.32,,
XAF,All Australian 50,5492.1,5491.4,5503.9,5511.1,5524.8,5524.8,5498.5,13.7,0.25,5524.8,5491.4,58.9,1.08,5538.0,5376.3,35.1,0.64,5539.1,5175.5,67.0,1.23,5539.1,5175.5,568.2,11.46,46556.8,46779.3,46773.6,46879.7,46941.1,46941.1,46773.6,384.4,0.83,47132.0,45790.5,269.5,0.58,47132.0,43505.3,1062.7,2.32,47132.0,39049.4,6586.6,16.32,,
XAT,All Australian 200,5352.5,5346.9,5359.6,5365.7,5378.7,5378.7,5353.7,13.0,0.24,5378.7,5346.9,53.9,1.01,5416.9,5249.3,22.7,0.42,5416.9,5028.8,74.0,1.39,5416.9,5028.8,511.9,10.52,45069.2,45303.8,45257.0,45364.8,45419.0,45419.0,45257.0,349.8,0.78,45797.1,44421.0,190.2,0.42,45797.1,42022.3,1091.6,2.46,45797.1,37733.6,5993.6,15.20,,
XTL,S&P/ASX 20,3401.9,3402.9,3409.7,3416.0,3423.3,3423.3,3405.6,7.3,0.21,3423.3,3401.9,37.8,1.12,3423.3,3316.9,37.4,1.11,3423.3,3184.2,44.9,1.33,3423.3,3184.2,395.0,13.04,56667.4,56941.3,56958.3,57071.9,57177.6,57177.6,56941.3,510.2,0.90,57177.6,55519.4,629.3,1.11,57177.6,52576.0,1395.0,2.50,57177.6,47032.2,8736.3,18.03,,
XFL,S&P/ASX 50,5555.7,5554.9,5568.9,5576.7,5590.8,5590.8,5564.5,14.1,0.25,5590.8,5554.9,61.7,1.12,5605.7,5441.2,34.7,0.62,5605.7,5238.2,63.9,1.16,5605.7,5238.2,587.0,11.73,47012.2,47238.3,47231.3,47350.0,47416.8,47416.8,47231.3,404.6,0.86,47625.0,46261.4,264.8,0.56,47625.0,43959.9,1033.9,2.23,47625.0,39422.6,6737.3,16.56,,
XTO,S&P/ASX 100,4480.1,4477.8,4490.4,4495.9,4506.8,4506.8,4485.9,10.9,0.24,4506.8,4477.8,49.0,1.10,4530.0,4393.9,26.4,0.59,4530.0,4210.6,61.6,1.38,4530.0,4210.6,468.1,11.59,11474.7,11532.3,11526.1,11558.6,11573.2,11573.2,11526.1,98.5,0.86,11649.7,11309.0,64.0,0.56,11649.7,10700.4,276.5,2.45,11649.7,9607.8,1625.5,16.34,,
XJO,S&P/ASX 200,5394.8,5389.2,5403.3,5409.9,5422.8,5422.8,5398.1,12.9,0.24,5422.8,5389.2,55.9,1.04,5462.3,5294.0,22.6,0.42,5462.3,5070.3,70.6,1.32,5462.3,5070.3,531.4,10.86,45332.0,45567.8,45520.9,45640.3,45698.3,45698.3,45520.9,366.3,0.81,46084.4,44705.9,191.7,0.42,46084.4,42284.9,1063.2,2.38,46084.4,37962.9,6141.6,15.53,,
XVI,S&P/ASX 200 VIX,12.202,12.423,12.192,11.679,11.227,11.883,11.205,-0.452,-3.87,12.423,11.227,-0.893,-7.37,15.349,11.227,-2.856,-20.28,18.372,0.147,-0.335,-2.90,21.700,0.147,-3.680,-24.69,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5342.2,5335.3,5349.0,5355.9,5368.5,5368.5,5344.5,12.6,0.24,5368.5,5335.3,53.5,1.01,5413.8,5247.9,16.4,0.31,5413.8,5027.6,63.7,1.20,5413.8,5027.6,508.1,10.45,44735.6,44964.7,44907.5,45023.3,45083.4,45083.4,44907.5,347.8,0.78,45513.3,44160.1,142.3,0.32,45513.3,41785.8,994.7,2.26,45513.3,37491.8,5902.1,15.06,,
XMD,S&P/ASX MidCap 50,4482.1,4464.9,4489.3,4487.7,4494.8,4495.7,4475.5,7.1,0.16,4494.8,4464.9,42.9,0.96,4613.1,4429.1,11.8,0.26,4613.1,4099.4,145.3,3.34,4613.1,4099.4,419.4,10.29,11807.4,11887.5,11842.0,11906.6,11906.6,11906.6,11842.0,99.2,0.84,12210.9,11746.9,57.5,0.49,12210.9,10758.1,492.2,4.31,12210.9,9756.1,1491.9,14.33,,
