Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-10-05T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Sep 30,Oct 1,Oct 2,Oct 3,Oct 4,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Sep 30,Oct 1,Oct 2,Oct 3,Oct 4,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSO,S&P/ASX Small Ords,2206.8,2201.8,2202.6,2208.3,2194.4,2208.3,2194.4,-13.9,-0.63,2208.3,2194.4,-41.2,-1.84,2244.8,2194.4,-30.8,-1.38,2414.5,2414.5,-86.3,-3.78,2414.5,2414.5,-108.1,-4.70,5411.7,5399.5,5401.8,5417.1,5384.0,5417.1,5384.0,-94.5,-1.73,5488.2,5374.9,-36.0,-0.66,5770.0,4574.9,-60.8,-1.12,5770.0,4574.9,-92.0,-1.68,,
XDJ,Consumer Discretionary,1780.9,1776.1,1795.2,1800.7,1783.8,1800.7,1776.9,-16.9,-0.94,1800.7,1776.1,-16.3,-0.91,1800.7,1745.2,37.1,2.13,1800.7,1800.7,440.0,32.74,1800.7,1800.7,497.8,38.71,13190.0,13154.1,13295.8,13349.5,13223.7,13349.5,13154.1,-108.4,-0.81,13349.5,12860.9,360.6,2.80,13349.5,9792.3,3579.5,37.11,13349.5,8925.0,4009.0,43.51,,
XSJ,Consumer Staples,9919.1,9880.5,9938.1,9970.3,9916.3,9970.3,9907.5,-54.0,-0.54,9970.3,9880.5,-142.9,-1.42,10059.2,9859.5,-22.4,-0.23,10661.7,10661.7,1041.9,11.74,10661.7,10661.7,1282.9,14.86,79312.9,79003.9,79464.6,79722.4,79290.3,79722.4,79003.9,-1142.8,-1.42,80433.1,78195.4,511.0,0.65,83265.0,68413.1,11172.0,16.40,83265.0,64261.5,13122.7,19.83,,
XEJ,Energy,14041.3,13964.3,14007.6,13945.6,13902.5,13945.6,13794.5,-43.1,-0.31,14041.3,13902.5,-469.0,-3.26,14371.5,13902.5,-191.8,-1.36,14371.5,14371.5,1496.5,12.06,14371.5,14371.5,1276.0,10.11,98710.9,98169.9,98474.2,98038.2,97735.0,98710.9,97735.0,-3297.3,-3.26,101032.3,97735.0,-1318.7,-1.33,101032.3,83100.5,12908.4,15.22,101032.3,80181.3,11400.4,13.20,,
XFJ,Financials,5731.8,5730.3,5748.5,5777.7,5755.8,5777.7,5739.5,-21.9,-0.38,5777.7,5730.3,-85.3,-1.46,5841.9,5607.2,123.3,2.19,5851.4,5851.4,1002.1,21.08,5851.4,5851.4,1094.3,23.47,55862.4,55846.9,56024.7,56309.2,56095.6,56309.2,55846.9,-831.4,-1.46,56934.9,54634.4,1275.3,2.33,56934.9,44797.5,11437.0,25.61,56934.9,41925.5,13099.6,30.47,,
XXJ,Financial-x-A-REIT,6746.1,6740.0,6754.8,6792.6,6767.0,6792.6,6743.4,-25.6,-0.38,6792.6,6740.0,-123.4,-1.79,6898.1,6598.5,145.5,2.20,6898.1,6898.1,1315.1,24.12,6898.1,6898.1,1425.9,26.70,63051.0,62994.0,63132.3,63484.9,63246.1,63484.9,62994.0,-1152.9,-1.79,64471.0,61657.0,1454.5,2.35,64471.0,49449.4,14099.6,28.69,64471.0,45922.1,15993.8,33.85,,
XHJ,Health Care,13650.9,13657.5,13683.8,13720.1,13707.1,13758.0,13673.7,-13.0,-0.09,13720.1,13650.9,-165.5,-1.19,13917.1,13642.3,-124.3,-0.90,14173.5,14173.5,2074.5,17.83,14173.5,14173.5,3118.7,29.45,85519.2,85560.5,85724.8,85952.6,85880.7,85952.6,85519.2,-1027.0,-1.18,87152.7,85465.2,-250.5,-0.29,88163.6,70340.0,14583.6,20.45,88163.6,63876.7,21002.5,32.37,,
XNJ,Industrials,3967.9,3990.2,3980.4,3952.2,3922.0,3952.2,3919.5,-30.2,-0.76,3990.2,3922.0,-93.5,-2.33,4015.5,3877.0,57.4,1.48,4015.5,4015.5,370.3,10.43,4015.5,4015.5,563.6,16.78,32550.2,32732.6,32652.4,32421.6,32179.1,32732.6,32179.1,-756.1,-2.30,32935.2,31456.6,722.5,2.30,32935.2,28042.2,3940.9,13.96,32935.2,25541.2,5666.2,21.37,,
XIJ,Info Technology,716.8,711.4,718.9,722.2,717.0,722.2,713.0,-5.2,-0.72,722.2,711.4,-7.8,-1.08,734.1,706.3,11.9,1.69,734.7,734.7,120.4,20.17,734.7,734.7,124.9,21.09,4697.7,4661.9,4711.5,4732.7,4699.0,4732.7,4661.9,-46.5,-0.98,4806.4,4599.1,99.9,2.17,4806.4,3884.8,908.3,23.96,4806.4,3628.0,937.0,24.91,,
XMJ,Materials,9723.7,9644.6,9586.9,9653.4,9574.5,9653.4,9550.6,-78.9,-0.82,9723.7,9574.5,-311.7,-3.15,10003.8,9574.5,-137.3,-1.41,11228.0,11228.0,-1026.4,-9.68,11228.0,11228.0,-563.5,-5.56,66579.6,66038.3,65642.7,66098.2,65557.8,66579.6,65557.8,-2134.2,-3.15,68487.6,65557.8,-907.7,-1.37,74792.0,55909.5,-5056.8,-7.16,74792.0,55909.5,-1834.7,-2.72,,
XPJ,A-REIT,1018.6,1022.1,1031.3,1033.5,1029.4,1033.5,1028.1,-4.1,-0.40,1033.5,1018.6,5.4,0.53,1033.8,997.3,21.4,2.13,1135.4,1135.4,55.6,5.71,1135.4,1135.4,70.1,7.30,27581.0,27675.8,27925.3,27984.0,27872.7,27984.0,27581.0,145.5,0.52,27985.3,26996.6,587.8,2.15,29914.8,25044.0,2514.9,9.92,29914.8,24245.6,3297.7,13.42,,
XTJ,Telecommunications,1720.0,1710.9,1710.1,1720.8,1712.9,1723.2,1709.8,-7.9,-0.46,1720.8,1710.1,-25.0,-1.44,1737.9,1657.5,39.1,2.34,1773.8,1773.8,216.9,14.50,1773.8,1773.8,358.6,26.48,20123.0,20016.1,20007.3,20132.5,20040.0,20132.5,20007.3,-287.7,-1.42,20327.7,19381.8,468.2,2.39,20327.7,16745.5,3507.6,21.22,20327.7,14816.5,5078.2,33.94,,
XUJ,Utilities,5482.2,5467.3,5517.4,5547.3,5509.3,5547.3,5484.8,-38.0,-0.69,5547.3,5467.3,-27.1,-0.49,5547.3,5348.2,0.3,0.01,5815.8,5815.8,251.4,4.78,5815.8,5815.8,435.8,8.59,56117.2,55965.1,56477.1,56783.3,56394.1,56783.3,55965.1,-277.6,-0.49,56783.3,54746.0,81.7,0.15,57869.0,51459.2,4696.4,9.08,57869.0,47142.4,7234.2,14.72,,
XMM,Metals & Mining,3217.0,3186.2,3164.6,3192.0,3164.2,3192.0,3154.8,-27.8,-0.87,3217.0,3164.2,-107.1,-3.27,3320.1,3164.2,-77.1,-2.38,3841.7,3841.7,-479.2,-13.15,3841.7,3841.7,-323.9,-9.29,4517.3,4474.0,4443.6,4482.2,4443.1,4517.3,4443.1,-150.4,-3.27,4661.7,4443.1,-105.9,-2.33,5249.3,3709.5,-535.2,-10.75,5249.3,3709.5,-321.5,-6.75,,
XGD,Gold,2604.6,2555.0,2473.8,2530.4,2514.2,2552.0,2508.2,-16.2,-0.64,2604.6,2473.8,-72.6,-2.81,2887.0,2473.8,-428.8,-14.57,5191.8,5191.8,-2384.5,-48.68,5191.8,5191.8,-3736.1,-59.77,3016.9,2959.4,2865.4,2930.9,2912.1,3016.9,2865.4,-84.1,-2.81,3407.6,2865.4,-495.5,-14.54,5987.1,2324.2,-2737.0,-48.45,7049.7,2324.2,-4289.7,-59.56,,
XJR,S&P/ASX 200 Res,4107.8,4073.5,4057.6,4076.6,4047.7,4076.6,4029.3,-28.9,-0.71,4107.8,4047.7,-138.0,-3.30,4203.8,4047.7,-80.5,-1.95,4567.3,4567.3,-262.9,-6.10,4567.3,4567.3,-122.5,-2.94,21594.1,21413.9,21330.2,21430.3,21278.4,21594.1,21278.4,-725.4,-3.30,22098.0,21278.4,-413.7,-1.91,23355.8,17957.3,-764.7,-3.47,23355.8,17957.3,-41.4,-0.19,,
,
