Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-04-26T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 16,Apr 17,Apr 22,Apr 23,Apr 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 16,Apr 17,Apr 22,Apr 23,Apr 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5412.6,5444.8,5467.1,5502.2,5515.5,5521.9,5502.2,13.3,0.24,5515.5,5412.6,135.2,2.51,5515.5,5351.0,153.4,2.86,5515.5,5088.7,162.4,3.03,5515.5,5088.7,431.3,8.48,44902.8,45170.3,45355.4,45646.5,45760.2,45760.2,44902.8,1125.2,2.52,45760.2,44376.5,1294.8,2.91,45760.2,41681.2,1915.2,4.37,45760.2,37129.1,5329.0,13.18,,
XAF,All Australian 50,5526.6,5560.4,5587.9,5625.6,5637.0,5646.3,5624.2,11.4,0.20,5637.0,5526.6,139.1,2.53,5637.0,5433.0,200.2,3.68,5637.0,5175.5,179.2,3.28,5637.0,5175.5,435.9,8.38,47073.7,47361.5,47595.4,47916.3,48013.5,48013.5,47073.7,1184.9,2.53,48013.5,46276.1,1704.8,3.68,48013.5,43505.3,2135.1,4.65,48013.5,39049.4,5668.7,13.39,,
XAT,All Australian 200,5379.4,5413.2,5437.7,5475.1,5487.8,5494.8,5475.1,12.7,0.23,5487.8,5379.4,140.4,2.63,5487.8,5293.6,184.9,3.49,5487.8,5028.8,183.1,3.45,5487.8,5028.8,412.8,8.13,45538.6,45825.1,46032.5,46348.8,46460.4,46460.4,45538.6,1192.1,2.63,46460.4,44803.5,1580.0,3.52,46460.4,42022.3,2133.0,4.81,46460.4,37733.6,5345.8,13.00,,
XTL,S&P/ASX 20,3427.8,3449.5,3469.3,3495.2,3498.1,3507.0,3490.3,2.9,0.08,3498.1,3427.8,89.1,2.61,3498.1,3357.5,142.3,4.24,3498.1,3184.2,119.7,3.54,3498.1,3184.2,310.5,9.74,57374.4,57738.2,58070.0,58504.0,58551.8,58551.8,57374.4,1491.3,2.61,58551.8,56170.7,2381.1,4.24,58551.8,52576.0,2769.2,4.96,58551.8,47032.2,7561.2,14.83,,
XFL,S&P/ASX 50,5589.7,5624.1,5652.2,5691.0,5702.4,5711.9,5689.5,11.4,0.20,5702.4,5589.7,141.4,2.54,5702.4,5497.3,200.6,3.65,5702.4,5238.2,175.5,3.18,5702.4,5238.2,451.2,8.59,47527.4,47819.7,48058.3,48388.3,48485.1,48485.1,47527.4,1201.9,2.54,48485.1,46741.5,1705.4,3.65,48485.1,43959.9,2102.2,4.53,48485.1,39422.6,5793.8,13.57,,
XTO,S&P/ASX 100,4506.7,4534.8,4556.8,4587.8,4598.1,4604.3,4587.8,10.3,0.22,4598.1,4506.7,117.8,2.63,4598.1,4432.4,159.8,3.60,4598.1,4210.6,152.9,3.44,4598.1,4210.6,369.6,8.74,11602.0,11674.3,11730.8,11810.6,11838.1,11838.1,11602.0,304.2,2.64,11838.1,11409.4,414.0,3.62,11838.1,10700.4,541.4,4.79,11838.1,9607.8,1422.5,13.66,,
XJO,S&P/ASX 200,5420.3,5454.2,5479.3,5517.8,5531.0,5537.8,5517.8,13.2,0.24,5531.0,5420.3,142.8,2.65,5531.0,5336.6,184.1,3.44,5531.0,5070.3,178.8,3.34,5531.0,5070.3,428.6,8.40,45790.6,46077.1,46289.0,46613.9,46729.6,46729.6,45790.6,1210.6,2.66,46729.6,45075.0,1570.5,3.48,46729.6,42284.9,2094.5,4.69,46729.6,37962.9,5463.9,13.24,,
XVI,S&P/ASX 200 VIX,11.341,10.902,11.536,11.387,11.016,11.267,11.009,-0.371,-3.26,11.536,10.902,-1.404,-11.30,13.503,10.902,-1.725,-13.54,18.372,0.147,-0.546,-4.72,21.700,0.147,-2.529,-18.67,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5363.9,5396.9,5420.9,5458.9,5471.9,5478.6,5458.9,13.0,0.24,5471.9,5363.9,139.4,2.61,5471.9,5286.9,173.6,3.28,5471.9,5027.6,167.1,3.15,5471.9,5027.6,410.9,8.12,45154.5,45432.9,45635.0,45954.9,46067.9,46067.9,45154.5,1177.6,2.62,46067.9,44498.3,1477.2,3.31,46067.9,41785.8,1979.1,4.49,46067.9,37491.8,5266.6,12.91,,
XMD,S&P/ASX MidCap 50,4501.6,4532.8,4549.1,4577.3,4597.1,4607.9,4573.5,19.8,0.43,4597.1,4501.6,149.9,3.37,4597.1,4428.3,142.6,3.20,4613.1,4099.4,247.6,5.69,4613.1,4099.4,414.8,9.92,11951.6,12034.5,12077.6,12152.4,12215.6,12215.6,11951.6,408.4,3.46,12215.6,11746.9,406.1,3.44,12215.6,10758.1,801.2,7.02,12215.6,9756.1,1525.4,14.27,,
XSO,S&P/ASX Small Ords,2151.9,2163.6,2163.3,2183.8,2192.3,2196.8,2183.8,8.5,0.39,2192.3,2151.9,52.7,2.46,2192.3,2129.9,-7.3,-0.33,2277.1,2092.8,-1.3,-0.06,2277.1,2092.8,22.3,1.03,5361.7,5390.7,5390.0,5441.2,5462.5,5462.5,5361.7,131.4,2.47,5471.8,5306.8,-9.3,-0.17,5645.9,5156.7,59.1,1.09,5645.9,4574.9,226.6,4.33,,
XDJ,Consumer Discretionary,1827.6,1842.1,1839.0,1856.3,1859.8,1863.9,1855.7,3.5,0.19,1859.8,1827.6,47.3,2.61,1859.8,1797.2,34.8,1.91,1913.4,1715.0,28.7,1.57,1913.4,1715.0,222.4,13.58,13774.8,13884.6,13860.8,13991.2,14017.9,14017.9,13774.8,356.5,2.61,14017.9,13541.6,308.6,2.25,14336.1,12735.0,420.6,3.09,14336.1,10960.6,2058.9,17.22,,
XSJ,Consumer Staples,9905.1,10026.3,10173.8,10230.9,10217.2,10250.0,10172.4,-13.7,-0.13,10230.9,9905.1,399.7,4.07,10230.9,9717.7,414.7,4.23,10230.9,9567.9,201.2,2.01,10230.9,9567.9,-444.5,-4.17,80783.2,81771.1,82974.4,83439.7,83328.4,83439.7,80783.2,3260.2,4.07,83439.7,79254.7,3382.5,4.23,83439.7,76594.5,3146.5,3.92,83439.7,71737.8,63.4,0.08,,
XEJ,Energy,13796.8,13881.4,14049.8,14163.5,14156.2,14231.3,14125.4,-7.3,-0.05,14163.5,13796.8,522.6,3.83,14163.5,13479.1,578.8,4.26,14163.5,13017.6,533.3,3.91,14163.5,13017.6,1094.7,8.38,98582.4,99187.1,100389.9,101202.6,101150.5,101202.6,98582.4,3734.3,3.83,101202.6,96312.4,4135.9,4.26,101202.6,91514.2,5380.6,5.62,101202.6,84450.3,10690.9,11.82,,
