Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-12-27T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 18,Dec 19,Dec 22,Dec 23,Dec 24,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 18,Dec 19,Dec 22,Dec 23,Dec 24,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5189.7,5312.7,5414.1,5356.4,5369.5,5372.7,5343.0,13.1,0.24,5414.1,5189.7,228.9,4.45,5414.1,5131.0,20.5,0.38,5656.9,5088.7,16.4,0.31,5656.9,5088.7,44.1,0.83,44263.9,45314.8,46185.2,45693.8,45805.2,46185.2,44263.9,1959.7,4.47,46185.2,43763.4,198.7,0.44,47783.6,41681.2,1960.2,4.47,47783.6,41681.2,2188.9,5.02,,
XAF,All Australian 50,5300.0,5427.7,5532.9,5468.3,5484.5,5487.8,5453.9,16.2,0.30,5532.9,5300.0,234.4,4.47,5532.9,5240.7,31.7,0.58,5751.6,5175.5,26.7,0.49,5751.6,5175.5,49.9,0.92,46541.0,47664.2,48596.3,48028.9,48171.0,48596.3,46541.0,2068.7,4.49,48596.3,46020.1,297.6,0.62,49995.8,43505.3,2292.6,5.00,49995.8,43505.3,2487.2,5.44,,
XAT,All Australian 200,5164.0,5291.2,5393.7,5332.5,5346.1,5349.7,5318.0,13.6,0.26,5393.7,5164.0,230.9,4.51,5393.7,5106.2,28.7,0.54,5617.0,5028.8,41.4,0.78,5617.0,5028.8,65.8,1.25,44998.2,46107.9,47008.6,46476.0,46594.2,47008.6,44998.2,2020.8,4.53,47008.6,44495.0,274.3,0.59,48471.7,42022.3,2266.8,5.11,48471.7,42022.3,2474.0,5.61,,
XTL,S&P/ASX 20,3264.5,3346.5,3410.2,3371.8,3382.3,3383.8,3362.7,10.5,0.31,3410.2,3264.5,148.6,4.60,3410.2,3231.6,14.5,0.43,3551.7,3184.2,3.9,0.11,3551.7,3184.2,22.0,0.66,56435.5,57851.8,58953.0,58289.3,58471.9,58953.0,56435.5,2569.6,4.60,58953.0,55866.6,251.9,0.43,60670.4,52576.0,2689.3,4.82,60670.4,52576.0,2989.1,5.39,,
XFL,S&P/ASX 50,5363.6,5493.0,5599.3,5533.2,5549.9,5553.2,5518.9,16.7,0.30,5599.3,5363.6,236.0,4.44,5599.3,5303.9,32.3,0.59,5818.9,5238.2,23.0,0.42,5818.9,5238.2,47.0,0.85,47013.4,48149.1,49089.7,48510.2,48656.1,49089.7,47013.4,2079.0,4.46,49089.7,46489.5,302.2,0.62,50484.7,43959.9,2273.2,4.90,50484.7,43959.9,2474.6,5.36,,
XTO,S&P/ASX 100,4347.8,4454.9,4539.2,4489.2,4501.4,4504.3,4477.6,12.2,0.27,4539.2,4347.8,194.2,4.51,4539.2,4300.1,36.9,0.83,4699.7,4210.6,56.2,1.26,4699.7,4210.6,76.1,1.72,11529.3,11813.7,12039.1,11906.5,11938.9,12039.1,11529.3,517.2,4.53,12039.1,11402.8,104.0,0.88,12340.3,10700.4,642.1,5.68,12340.3,10700.4,693.6,6.17,,
XJO,S&P/ASX 200,5210.8,5338.6,5442.0,5380.9,5394.5,5398.2,5366.5,13.6,0.25,5442.0,5210.8,232.6,4.51,5442.0,5152.3,32.7,0.61,5658.5,5070.3,42.3,0.79,5658.5,5070.3,67.3,1.26,45310.4,46424.1,47329.2,46799.1,46917.5,47329.2,45310.4,2032.5,4.53,47329.2,44802.3,308.8,0.66,48729.0,42284.9,2282.4,5.11,48729.0,42284.9,2493.4,5.61,,
XVI,S&P/ASX 200 VIX,16.503,13.362,13.404,14.019,13.157,13.975,13.157,-0.862,-6.15,16.503,13.157,-3.358,-20.33,17.892,12.511,-0.359,-2.66,19.164,0.147,1.595,13.80,19.164,0.147,2.468,23.09,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5150.5,5275.9,5377.2,5317.2,5330.9,5334.2,5303.3,13.7,0.26,5377.2,5150.5,229.1,4.49,5377.2,5092.4,27.8,0.52,5601.5,5027.6,26.1,0.49,5601.5,5027.6,52.5,0.99,44618.4,45706.9,46590.5,46071.5,46190.0,46590.5,44618.4,1993.5,4.51,46590.5,44114.8,264.3,0.58,48058.9,41785.8,2101.2,4.77,48058.9,41785.8,2323.0,5.30,,
XMD,S&P/ASX MidCap 50,4547.0,4678.2,4750.6,4728.2,4730.3,4735.8,4712.3,2.1,0.04,4750.6,4547.0,227.9,5.06,4750.6,4493.8,131.1,2.85,4774.6,4099.4,380.8,8.75,4774.6,4099.4,406.0,9.39,12348.4,12704.6,12901.1,12840.3,12846.0,12901.1,12348.4,618.8,5.06,12901.1,12194.4,374.5,3.00,12901.1,10758.1,1431.6,12.54,12901.1,10758.1,1505.1,13.27,,
