Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-12-19T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 14,Dec 15,Dec 16,Dec 17,Dec 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 14,Dec 15,Dec 16,Dec 17,Dec 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4981.9,4963.9,5078.7,5150.6,5156.5,5162.3,5079.8,5.9,0.11,5156.5,4963.9,77.9,1.53,5326.5,4963.9,-32.6,-0.63,5954.8,4958.1,-232.1,-4.31,5954.8,4958.1,-156.2,-2.94,44450.2,44289.6,45315.2,45956.3,46009.0,46009.0,44289.6,695.4,1.53,47510.9,44289.6,-268.2,-0.58,51568.0,43929.2,-37.9,-0.08,51568.0,43929.2,694.2,1.53,,
XAF,All Australian 50,4919.8,4897.4,5023.3,5094.5,5100.6,5104.5,5015.4,6.1,0.12,5100.6,4897.4,75.6,1.50,5269.1,4897.4,-17.6,-0.34,6081.0,4897.4,-397.6,-7.23,6081.0,4897.4,-327.1,-6.03,45369.1,45161.9,46323.2,46979.3,47036.2,47036.2,45161.9,697.4,1.50,48581.0,45161.9,-147.9,-0.31,54222.3,45161.9,-1330.2,-2.75,54222.3,45161.9,-628.0,-1.32,,
XAT,All Australian 200,4876.8,4857.3,4975.4,5048.2,5053.2,5058.9,4973.3,5.0,0.10,5053.2,4857.3,76.1,1.53,5222.7,4857.3,-26.8,-0.53,5926.9,4857.3,-309.9,-5.78,5926.9,4857.3,-238.0,-4.50,44524.8,44346.9,45426.3,46091.3,46136.3,46136.3,44346.9,695.7,1.53,47669.0,44346.9,-223.7,-0.48,52442.3,44141.5,-684.6,-1.46,52442.3,44141.5,28.3,0.06,,
XTL,S&P/ASX 20,2937.9,2921.6,3003.9,3045.9,3050.1,3052.3,2996.1,4.2,0.14,3050.1,2921.6,45.3,1.51,3154.4,2921.6,0.7,0.02,3760.5,2921.6,-348.6,-10.26,3760.5,2921.6,-296.3,-8.86,53516.4,53219.9,54718.4,55483.9,55561.1,55561.1,53219.9,825.8,1.51,57461.3,53219.9,13.2,0.02,65985.5,53219.9,-3194.7,-5.44,65985.5,53219.9,-2290.6,-3.96,,
XFL,S&P/ASX 50,4972.8,4950.1,5077.8,5149.8,5155.5,5159.6,5069.9,5.7,0.11,5155.5,4950.1,76.6,1.51,5325.8,4950.1,-17.5,-0.34,6152.9,4950.1,-407.9,-7.33,6152.9,4950.1,-337.5,-6.14,45776.9,45567.9,46744.1,47407.0,47459.2,47459.2,45567.9,704.8,1.51,49018.1,45567.9,-146.8,-0.31,54764.7,45567.9,-1391.2,-2.85,54764.7,45567.9,-689.8,-1.43,,
XTO,S&P/ASX 100,4090.2,4073.0,4173.6,4234.2,4238.8,4243.6,4171.2,4.6,0.11,4238.8,4073.0,62.3,1.49,4385.5,4073.0,-28.0,-0.66,4996.2,4073.0,-274.2,-6.08,4996.2,4073.0,-216.1,-4.85,11371.9,11324.1,11603.8,11772.2,11784.9,11784.9,11324.1,173.2,1.49,12189.5,11324.1,-72.8,-0.61,13449.8,11301.0,-204.0,-1.70,13449.8,11301.0,-28.8,-0.24,,
XJO,S&P/ASX 200,4928.6,4909.6,5028.4,5102.0,5106.7,5112.7,5026.6,4.7,0.09,5106.7,4909.6,77.2,1.54,5276.4,4909.6,-26.5,-0.52,5982.7,4909.6,-304.4,-5.62,5982.7,4909.6,-232.0,-4.35,44898.6,44725.1,45808.9,46479.1,46521.4,46521.4,44725.1,704.1,1.54,48053.0,44725.1,-219.7,-0.47,52822.2,44471.4,-617.8,-1.31,52822.2,44471.4,97.4,0.21,,
XVI,S&P/ASX 200 VIX,22.062,22.201,19.989,17.602,18.245,18.861,17.925,0.643,3.65,22.201,17.602,-0.540,-2.87,22.201,16.825,-1.003,-5.21,30.244,0.171,3.664,25.13,30.244,0.171,4.883,36.54,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,4888.4,4869.8,4984.9,5057.2,5062.4,5067.9,4983.8,5.2,0.10,5062.4,4869.8,75.2,1.51,5229.0,4869.8,-26.7,-0.53,5912.7,4869.8,-286.5,-5.36,5912.7,4869.8,-213.5,-4.05,44353.2,44184.0,45229.0,45885.0,45932.6,45932.6,44184.0,683.4,1.51,47429.3,44184.0,-222.0,-0.48,52008.8,43892.1,-493.0,-1.06,52008.8,43892.1,225.7,0.49,,
XMD,S&P/ASX MidCap 50,4778.5,4770.7,4850.8,4932.7,4937.1,4955.7,4880.8,4.4,0.09,4937.1,4770.7,67.2,1.38,5169.4,4770.7,-146.9,-2.89,5363.8,4637.4,189.6,3.99,5363.8,4637.4,258.9,5.53,13432.9,13410.9,13636.2,13866.5,13878.8,13878.8,13410.9,188.8,1.38,14512.4,13410.9,-393.6,-2.76,14759.9,12623.2,959.3,7.43,14759.9,12623.2,1174.3,9.24,,
