Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-07-23T23:15:12+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 18,Jul 19,Jul 20,Jul 21,Jul 22,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4539.9,4539.4,4618.4,4626.2,4674.1,4681.0,4626.2,47.9,1.04,4674.1,4539.4,131.4,2.89,4716.0,4513.8,83.3,1.81,5064.9,4512.5,-172.8,-3.56,5064.9,4356.6,199.0,4.45,33245.9,33242.0,33820.2,33877.7,34228.0,34228.0,33242.0,962.5,2.89,34534.4,33048.4,669.1,1.99,36827.4,32986.8,-584.8,-1.68,36827.4,30855.2,2753.9,8.75,,
XAF,All Australian 50,4434.7,4430.1,4510.1,4514.0,4554.7,4567.2,4514.0,40.7,0.90,4554.7,4430.1,116.0,2.61,4624.7,4430.1,51.4,1.14,4939.1,4423.7,-127.5,-2.72,4939.1,4312.2,96.2,2.16,33025.3,32991.0,33587.3,33616.1,33919.3,33919.3,32991.0,864.0,2.61,34440.1,32991.0,416.3,1.24,36488.5,32910.8,-227.2,-0.67,36488.5,30992.3,2145.8,6.75,,
XAT,All Australian 200,4474.1,4469.5,4550.4,4556.3,4604.3,4613.3,4556.3,48.0,1.05,4604.3,4469.5,129.9,2.90,4654.7,4459.5,72.7,1.60,4976.2,4450.7,-146.2,-3.08,4976.2,4319.0,147.7,3.31,33247.0,33212.9,33813.7,33858.0,34214.6,34214.6,33212.9,965.3,2.90,34588.8,33137.1,593.7,1.77,36695.0,33020.3,-376.4,-1.09,36695.0,30986.3,2473.7,7.79,,
XTL,S&P/ASX 20,2684.6,2680.6,2728.4,2734.1,2758.4,2767.0,2734.1,24.3,0.89,2758.4,2680.6,72.7,2.71,2807.0,2680.6,29.7,1.09,2998.7,2678.1,-73.7,-2.60,2998.7,2597.7,55.8,2.07,39176.4,39118.5,39816.2,39898.6,40254.3,40254.3,39118.5,1062.0,2.71,40963.3,39118.5,433.2,1.09,43396.5,39082.2,-199.3,-0.49,43396.5,36591.9,2562.3,6.80,,
XFL,S&P/ASX 50,4446.2,4442.4,4523.9,4528.5,4568.2,4580.7,4528.5,39.7,0.88,4568.2,4442.4,116.6,2.62,4640.9,4442.4,47.9,1.06,4953.4,4440.1,-125.1,-2.66,4953.4,4324.0,95.6,2.14,33082.4,33054.4,33660.4,33694.4,33990.3,33990.3,33054.4,867.8,2.62,34531.1,33054.4,389.4,1.16,36564.0,33004.9,-212.3,-0.62,36564.0,31056.4,2136.2,6.71,,
XTO,S&P/ASX 100,3642.5,3638.9,3705.6,3710.1,3746.1,3755.1,3710.1,36.0,0.97,3746.1,3638.9,100.4,2.75,3796.5,3638.9,46.4,1.25,4049.1,3634.2,-107.2,-2.78,4049.1,3530.5,97.1,2.66,8220.6,8212.4,8363.0,8373.1,8454.3,8454.3,8212.4,226.4,2.75,8568.2,8212.4,117.0,1.40,9067.0,8189.7,-64.2,-0.75,9067.0,7689.1,567.5,7.20,,
XJO,S&P/ASX 200,4472.0,4468.1,4549.7,4556.0,4602.9,4612.2,4556.0,46.9,1.03,4602.9,4468.1,129.4,2.89,4654.7,4461.8,70.3,1.55,4971.2,4451.7,-142.3,-3.00,4971.2,4320.1,144.5,3.24,33192.9,33164.5,33769.8,33816.7,34164.3,34164.3,33164.5,960.0,2.89,34549.4,33115.8,574.3,1.71,36617.7,32990.8,-354.2,-1.03,36617.7,30967.0,2437.2,7.68,,
XKO,S&P/ASX 300,4476.9,4473.2,4554.5,4561.8,4608.8,4617.7,4561.8,47.0,1.03,4608.8,4473.2,131.0,2.93,4658.0,4462.2,73.3,1.62,4984.1,4454.6,-152.0,-3.19,4984.1,4316.1,159.4,3.58,33153.1,33125.7,33728.1,33781.7,34129.9,34129.9,33125.7,970.3,2.93,34494.6,33042.7,595.6,1.78,36632.1,32936.3,-430.5,-1.25,36632.1,30879.1,2523.7,7.98,,
XMD,S&P/ASX MidCap 50,4152.4,4143.4,4219.5,4231.1,4301.9,4303.8,4231.1,70.8,1.67,4301.9,4143.4,156.0,3.76,4301.9,4074.9,114.8,2.74,4573.1,4074.9,-165.6,-3.71,4573.1,3921.9,273.0,6.78,9813.5,9792.3,9972.1,9999.5,10166.8,10166.8,9792.3,368.6,3.76,10166.8,9630.3,323.4,3.29,10728.9,9630.3,-181.8,-1.76,10728.9,8924.9,1011.4,11.05,,
XSO,S&P/ASX Small Ords,2585.5,2587.7,2631.0,2644.6,2687.0,2687.0,2644.6,42.4,1.60,2687.0,2585.5,118.1,4.60,2687.0,2461.7,131.8,5.16,2946.3,2461.7,-205.5,-7.10,2946.3,2359.1,318.9,13.47,5885.4,5890.4,5988.9,6019.9,6116.5,6116.5,5885.4,268.8,4.60,6116.5,5600.5,315.3,5.43,6625.3,5600.5,-385.8,-5.93,6625.3,5237.7,862.6,16.42,,
