Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5321.0 at 2013-10-18T16:56:36. Processed Saturday at 2013-10-19T23:15:08+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Oct 14,Oct 15,Oct 16,Oct 17,Oct 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1771.8,1786.5,1786.0,1790.3,1810.8,1810.9,1790.2,20.5,1.15,1810.8,1771.8,33.5,1.89,1810.8,1749.3,49.9,2.84,1810.8,1810.8,467.0,34.75,1810.8,1810.8,511.9,39.41,13135.2,13243.7,13240.5,13271.9,13424.1,13424.1,13135.2,248.6,1.89,13424.1,12968.3,418.1,3.21,13424.1,9792.3,3779.8,39.19,13424.1,8925.0,4116.3,44.22,,
XSJ,Consumer Staples,9849.9,9883.6,9875.5,9827.3,9928.7,9928.7,9827.3,101.4,1.03,9928.7,9827.3,20.7,0.21,10059.2,9813.4,-22.2,-0.22,10661.7,10661.7,1054.2,11.88,10661.7,10661.7,1260.3,14.54,78759.6,79029.0,78964.4,78578.9,79389.4,79389.4,78578.9,165.3,0.21,80433.1,78467.5,-140.1,-0.18,83265.0,68413.1,11271.0,16.55,83265.0,64261.5,12953.6,19.50,,
XEJ,Energy,13759.7,14016.1,13966.9,13953.1,13977.6,14027.1,13900.4,24.5,0.18,14016.1,13759.7,144.4,1.04,14371.5,13695.7,14.8,0.11,14371.5,14371.5,1571.7,12.67,14371.5,14371.5,913.6,6.99,96731.4,98534.1,98187.8,98091.1,98263.7,98534.1,96731.4,1015.1,1.04,101032.3,96281.8,103.8,0.11,101032.3,83100.5,13437.0,15.84,101032.3,80181.3,8937.7,10.01,,
XFJ,Financials,5785.2,5839.9,5837.9,5886.8,5934.8,5941.3,5886.8,48.0,0.82,5934.8,5785.2,137.7,2.38,5934.8,5685.0,150.3,2.60,5934.8,5934.8,1181.1,24.84,5934.8,5934.8,1244.5,26.53,56382.3,56915.2,56895.8,57372.2,57840.1,57840.1,56382.3,1342.1,2.38,57840.1,55405.8,1467.3,2.60,57840.1,44797.5,13181.5,29.52,57840.1,41925.5,14579.2,33.70,,
XXJ,Financial-x-A-REIT,6804.1,6872.3,6871.1,6937.6,6993.3,7002.1,6937.6,55.7,0.80,6993.3,6804.1,174.1,2.55,6993.3,6679.1,173.4,2.54,6993.3,6993.3,1541.4,28.27,6993.3,6993.3,1618.5,30.11,63593.2,64230.6,64219.1,64840.4,65361.3,65361.3,63593.2,1627.6,2.55,65361.3,62424.2,1620.3,2.54,65361.3,49449.4,16214.8,32.99,65361.3,45922.1,17810.3,37.46,,
XHJ,Health Care,13734.0,13688.2,13775.3,13905.4,14059.7,14059.7,13893.0,154.3,1.11,14059.7,13688.2,216.1,1.56,14059.7,13575.9,319.1,2.32,14173.5,14173.5,2427.1,20.86,14173.5,14173.5,3320.5,30.92,86049.4,85762.1,86308.1,87123.3,88089.8,88089.8,85762.1,1353.8,1.56,88089.8,85058.8,2008.6,2.33,88163.6,70340.0,16792.8,23.55,88163.6,63876.7,22287.3,33.87,,
XNJ,Industrials,3953.4,4008.4,4013.2,4019.3,4033.4,4047.5,4017.6,14.1,0.35,4033.4,3953.4,43.3,1.08,4033.4,3879.3,88.2,2.24,4033.4,4033.4,481.7,13.56,4033.4,4033.4,573.1,16.56,32436.2,32887.6,32927.2,32977.0,33092.9,33092.9,32436.2,355.0,1.08,33092.9,31828.2,753.8,2.33,33092.9,28042.2,4854.7,17.19,33092.9,25541.2,5765.2,21.10,,
XIJ,Info Technology,697.1,718.4,708.3,708.9,715.4,721.2,708.9,6.5,0.92,718.4,697.1,8.8,1.25,724.8,697.1,-4.4,-0.61,734.7,734.7,118.8,19.91,734.7,734.7,105.0,17.20,4568.7,4708.1,4641.5,4645.7,4688.5,4708.1,4568.7,57.9,1.25,4745.6,4568.7,-24.3,-0.51,4806.4,3884.8,897.8,23.69,4806.4,3628.0,810.1,20.89,,
XMJ,Materials,9517.8,9636.4,9709.9,9703.8,9730.0,9759.7,9703.8,26.2,0.27,9730.0,9517.8,162.4,1.70,10003.8,9413.8,-49.4,-0.51,11228.0,11228.0,-870.8,-8.21,11228.0,11228.0,-756.5,-7.21,65191.3,66003.4,66506.6,66464.8,66644.5,66644.5,65191.3,1114.7,1.70,68487.6,64475.8,-306.8,-0.46,74792.0,55909.5,-3970.0,-5.62,74792.0,55909.5,-3069.1,-4.40,,
XPJ,A-REIT,1032.3,1038.6,1037.3,1038.0,1047.2,1049.8,1038.0,9.2,0.89,1047.2,1032.3,13.7,1.32,1047.2,1018.1,29.9,2.94,1135.4,1135.4,73.3,7.53,1135.4,1135.4,82.7,8.58,27953.3,28123.2,28086.6,28105.3,28355.0,28355.0,27953.3,370.3,1.32,28355.0,27537.7,817.3,2.97,29914.8,25044.0,2997.2,11.82,29914.8,24245.6,3648.9,14.77,,
XTJ,Telecommunications,1705.0,1728.9,1715.5,1715.3,1741.0,1741.0,1715.3,25.7,1.50,1741.0,1705.0,21.9,1.27,1741.0,1697.4,42.1,2.48,1773.8,1773.8,245.0,16.37,1773.8,1773.8,345.4,24.75,19951.2,20230.0,20073.4,20071.4,20371.9,20371.9,19951.2,255.8,1.27,20371.9,19861.2,500.3,2.52,20371.9,16745.5,3839.5,23.22,20371.9,15269.3,4951.5,32.11,,
XUJ,Utilities,5511.4,5494.8,5491.6,5487.8,5509.7,5533.4,5490.8,21.9,0.40,5511.4,5487.8,-48.3,-0.87,5557.9,5440.6,78.1,1.44,5815.8,5815.8,251.8,4.79,5815.8,5815.8,455.9,9.02,56415.9,56246.0,56212.9,56174.3,56398.2,56415.9,56174.3,-493.9,-0.87,56892.1,55598.9,799.3,1.44,57869.0,51459.2,4700.4,9.09,57869.0,47142.4,7430.4,15.17,,
XMM,Metals & Mining,3142.1,3184.1,3214.7,3207.7,3217.4,3229.9,3207.7,9.7,0.30,3217.4,3142.1,53.2,1.68,3320.1,3116.2,-19.8,-0.61,3841.7,3841.7,-426.0,-11.69,3841.7,3841.7,-402.3,-11.11,4413.5,4472.6,4515.5,4505.6,4519.3,4519.3,4413.5,74.8,1.68,4661.7,4377.2,-25.9,-0.57,5249.3,3709.5,-459.0,-9.22,5249.3,3709.5,-425.1,-8.60,,
XGD,Gold,2262.2,2286.9,2293.8,2282.6,2397.0,2411.3,2282.6,114.4,5.01,2397.0,2262.2,46.5,1.98,2816.0,2262.2,-188.4,-7.29,5191.8,5191.8,-2501.7,-51.07,5191.8,5191.8,-3569.1,-59.82,2631.7,2660.4,2668.5,2655.5,2788.5,2788.5,2631.7,54.2,1.98,3261.7,2631.7,-206.1,-6.88,5987.1,2324.2,-2860.6,-50.64,6814.0,2324.2,-4085.7,-59.44,,
XJR,S&P/ASX 200 Res,4016.6,4076.8,4100.6,4091.6,4101.7,4113.4,4091.6,10.1,0.25,4101.7,4016.6,59.6,1.47,4203.8,3987.1,-15.7,-0.38,4567.3,4567.3,-208.9,-4.85,4567.3,4567.3,-229.9,-5.31,21120.0,21436.3,21561.5,21514.3,21567.5,21567.5,21120.0,313.3,1.47,22098.0,20964.8,-76.1,-0.35,23355.8,17957.3,-475.6,-2.16,23355.8,17957.3,-578.1,-2.61,,
,
