Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-06-18T23:15:11+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jun 10,Jun 14,Jun 15,Jun 16,Jun 17,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jun 10,Jun 14,Jun 15,Jun 16,Jun 17,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4634.9,4651.1,4635.4,4546.7,4551.1,4589.6,4532.9,4.4,0.10,4651.1,4546.7,-70.6,-1.53,4828.2,4546.7,-201.9,-4.25,5064.9,4546.7,-295.8,-6.10,5064.9,4250.6,-23.0,-0.50,33877.5,33995.9,33881.5,33232.6,33265.2,33995.9,33232.6,-515.6,-1.53,35231.0,33232.6,-1416.5,-4.08,36827.4,33232.6,-1547.6,-4.45,36827.4,29893.9,1144.0,3.56,,
XAF,All Australian 50,4525.8,4556.0,4534.0,4447.9,4451.8,4495.7,4431.5,3.9,0.09,4556.0,4447.9,-63.8,-1.41,4730.3,4447.9,-209.6,-4.50,4939.1,4447.9,-230.4,-4.92,4939.1,4220.3,-101.9,-2.24,33670.6,33895.3,33731.7,33091.4,33120.2,33895.3,33091.4,-474.9,-1.41,35115.2,33091.4,-1483.9,-4.29,36488.5,33091.4,-1026.4,-3.01,36488.5,30076.1,694.4,2.14,,
XAT,All Australian 200,4561.7,4585.5,4567.7,4478.8,4484.4,4525.1,4465.4,5.6,0.13,4585.5,4478.8,-64.6,-1.42,4756.9,4478.8,-199.5,-4.26,4976.2,4478.8,-266.1,-5.60,4976.2,4218.4,-61.8,-1.36,33839.8,34016.4,33884.7,33225.0,33266.8,34016.4,33225.0,-479.1,-1.42,35220.8,33225.0,-1413.8,-4.08,36695.0,33225.0,-1324.2,-3.83,36695.0,30043.8,935.1,2.89,,
XTL,S&P/ASX 20,2740.0,2758.0,2745.8,2693.8,2695.3,2723.6,2682.3,1.5,0.06,2758.0,2693.8,-37.6,-1.37,2875.0,2693.8,-140.3,-4.95,2998.7,2693.8,-136.8,-4.83,2998.7,2560.9,-74.2,-2.68,39985.4,40247.7,40070.3,39311.2,39333.1,40247.7,39311.2,-548.2,-1.37,41849.9,39311.2,-1942.1,-4.71,43396.5,39311.2,-1120.5,-2.77,43396.5,35716.1,707.7,1.83,,
XFL,S&P/ASX 50,4542.6,4572.2,4549.6,4464.4,4468.1,4511.7,4447.7,3.7,0.08,4572.2,4464.4,-64.2,-1.42,4748.5,4464.4,-211.0,-4.51,4953.4,4464.4,-225.2,-4.80,4953.4,4235.3,-103.9,-2.27,33766.2,33986.5,33818.6,33185.1,33212.5,33986.5,33185.1,-477.1,-1.42,35220.1,33185.1,-1493.1,-4.30,36564.0,33185.1,-990.1,-2.89,36564.0,30164.1,671.0,2.06,,
XTO,S&P/ASX 100,3722.7,3743.0,3727.2,3656.8,3659.2,3693.8,3643.6,2.4,0.07,3743.0,3656.8,-54.6,-1.47,3883.9,3656.8,-167.8,-4.38,4049.1,3656.8,-194.1,-5.04,4049.1,3455.4,-68.0,-1.83,8388.1,8434.0,8398.2,8239.6,8245.1,8434.0,8239.6,-123.1,-1.47,8734.5,8239.6,-361.3,-4.20,9067.0,8239.6,-273.4,-3.21,9067.0,7468.5,199.8,2.48,,
XJO,S&P/ASX 200,4562.1,4585.0,4566.8,4479.2,4484.9,4524.9,4465.9,5.7,0.13,4585.0,4479.2,-64.7,-1.42,4756.4,4479.2,-199.0,-4.25,4971.2,4479.2,-260.3,-5.49,4971.2,4222.1,-67.0,-1.47,33804.8,33974.0,33839.3,33190.8,33232.9,33974.0,33190.8,-479.5,-1.42,35178.3,33190.8,-1409.3,-4.07,36617.7,33190.8,-1285.7,-3.72,36617.7,30045.0,887.6,2.74,,
XKO,S&P/ASX 300,4568.2,4589.8,4572.4,4484.0,4489.9,4528.9,4471.2,5.9,0.13,4589.8,4484.0,-65.8,-1.44,4764.5,4484.0,-202.0,-4.31,4984.1,4484.0,-270.9,-5.69,4984.1,4214.7,-53.6,-1.18,33772.0,33931.8,33803.0,33149.9,33193.5,33931.8,33149.9,-486.2,-1.44,35157.2,33149.9,-1427.7,-4.12,36632.1,33149.9,-1366.9,-3.95,36632.1,29938.5,966.3,3.00,,
XMD,S&P/ASX MidCap 50,4254.7,4243.9,4248.6,4163.5,4161.2,4193.7,4148.8,-2.3,-0.06,4254.7,4161.2,-80.1,-1.89,4378.3,4161.2,-148.1,-3.44,4573.1,4130.0,-306.3,-6.86,4573.1,3797.0,69.8,1.71,9991.5,9966.3,9977.2,9777.5,9771.9,9991.5,9771.9,-188.3,-1.89,10279.3,9771.9,-345.5,-3.41,10728.9,9674.0,-576.7,-5.57,10728.9,8628.5,536.2,5.81,,
XSO,S&P/ASX Small Ords,2598.5,2591.8,2593.5,2532.1,2551.8,2557.0,2534.8,19.7,0.78,2598.5,2532.1,-30.4,-1.18,2705.6,2532.1,-93.1,-3.52,2946.3,2532.1,-340.7,-11.78,2946.3,2229.7,140.9,5.84,5899.5,5884.1,5888.0,5748.8,5793.5,5899.5,5748.8,-68.7,-1.17,6139.3,5748.8,-203.1,-3.39,6625.3,5748.8,-708.8,-10.90,6625.3,4946.8,461.2,8.65,,
