Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-02-18T23:15:14+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 13,Feb 14,Feb 15,Feb 16,Feb 17,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4359.4,4318.9,4327.4,4257.2,4273.3,4288.7,4264.0,16.1,0.38,4359.4,4257.2,-49.3,-1.14,4364.6,4257.2,-4.4,-0.10,4364.6,4155.2,162.3,3.95,5064.9,3927.6,-752.8,-14.98,32722.3,32421.1,32485.0,31958.2,32080.9,32722.3,31958.2,-363.9,-1.12,32736.5,31958.2,-2.5,-0.01,32736.5,31164.7,1247.6,4.05,36827.4,29204.1,-4112.2,-11.36,,
XAF,All Australian 50,4250.0,4210.4,4225.4,4152.4,4161.3,4184.8,4154.9,8.9,0.21,4250.0,4152.4,-46.5,-1.11,4269.4,4152.4,-39.7,-0.94,4269.4,4092.7,112.2,2.77,4939.1,3853.0,-729.0,-14.91,32528.6,32225.7,32340.7,31781.7,31850.1,32528.6,31781.7,-355.6,-1.10,32648.4,31781.7,-274.8,-0.86,32648.4,31296.5,886.3,2.86,36488.5,29181.9,-3924.8,-10.97,,
XAT,All Australian 200,4278.7,4235.5,4246.7,4175.5,4189.5,4208.2,4181.2,14.0,0.34,4278.7,4175.5,-49.3,-1.16,4289.6,4175.5,-20.8,-0.50,4289.6,4095.7,138.8,3.43,4976.2,3855.4,-750.8,-15.20,32639.7,32313.5,32398.8,31856.4,31964.9,32639.7,31856.4,-369.4,-1.14,32696.4,31856.4,-127.0,-0.40,32696.4,31218.0,1089.7,3.53,36695.0,29116.8,-4114.5,-11.40,,
XTL,S&P/ASX 20,2571.1,2546.4,2554.9,2507.0,2510.4,2528.5,2507.8,3.4,0.14,2571.1,2507.0,-32.0,-1.26,2585.2,2507.0,-28.1,-1.11,2585.2,2475.4,60.7,2.48,2998.7,2334.2,-449.9,-15.20,38595.7,38224.9,38352.4,37633.5,37684.4,38595.7,37633.5,-479.7,-1.26,38776.8,37633.5,-392.5,-1.03,38776.8,37130.7,939.4,2.56,43396.5,34671.5,-4749.6,-11.19,,
XFL,S&P/ASX 50,4277.4,4239.0,4253.5,4179.6,4188.8,4212.3,4182.5,9.2,0.22,4277.4,4179.6,-46.3,-1.09,4297.0,4179.6,-38.8,-0.92,4297.0,4119.7,112.3,2.76,4953.4,3876.7,-714.1,-14.57,32699.1,32405.3,32516.2,31951.4,32021.8,32699.1,31951.4,-353.9,-1.09,32820.3,31951.4,-268.4,-0.83,32820.3,31465.6,886.4,2.85,36564.0,29332.3,-3819.6,-10.66,,
XTO,S&P/ASX 100,3489.0,3455.8,3465.5,3407.0,3416.8,3433.3,3410.9,9.8,0.29,3489.0,3407.0,-39.5,-1.14,3501.2,3407.0,-26.2,-0.76,3501.2,3352.0,100.1,3.02,4049.1,3155.5,-598.1,-14.90,8087.2,8011.0,8033.4,7898.0,7921.0,8087.2,7898.0,-90.4,-1.13,8109.0,7898.0,-53.3,-0.67,8109.0,7763.4,239.4,3.12,9067.0,7240.1,-981.9,-11.03,,
XJO,S&P/ASX 200,4285.1,4242.8,4253.4,4181.9,4195.9,4214.5,4187.8,14.0,0.33,4285.1,4181.9,-49.4,-1.16,4296.0,4181.9,-19.7,-0.47,4296.0,4101.2,139.3,3.43,4971.2,3863.9,-740.8,-15.01,32645.3,32326.5,32407.0,31862.6,31971.0,32645.3,31862.6,-370.1,-1.14,32702.3,31862.6,-119.0,-0.37,32702.3,31218.6,1091.9,3.54,36617.7,29145.7,-4045.7,-11.23,,
XKO,S&P/ASX 300,4285.2,4243.3,4253.2,4182.4,4196.6,4214.8,4188.2,14.2,0.34,4285.2,4182.4,-49.7,-1.17,4295.2,4182.4,-16.0,-0.38,4295.2,4097.1,144.3,3.56,4984.1,3860.9,-752.5,-15.21,32561.2,32246.0,32321.2,31783.9,31893.4,32561.2,31783.9,-371.2,-1.15,32611.8,31783.9,-90.9,-0.28,32611.8,31106.7,1126.9,3.66,36632.1,29050.7,-4137.6,-11.48,,
XMD,S&P/ASX MidCap 50,3846.8,3793.4,3784.0,3735.6,3767.3,3767.3,3741.6,31.7,0.85,3846.8,3735.6,-60.5,-1.58,3851.4,3735.6,21.1,0.56,3851.4,3609.5,188.4,5.26,4573.1,3408.2,-796.6,-17.45,9310.6,9189.4,9166.7,9051.4,9132.4,9310.6,9051.4,-132.1,-1.43,9321.5,9051.4,65.3,0.72,9321.5,8736.2,470.3,5.43,10728.9,8186.5,-1469.4,-13.86,,
XSO,S&P/ASX Small Ords,2462.6,2431.9,2426.5,2391.9,2412.2,2412.6,2394.8,20.3,0.85,2462.6,2391.9,-35.0,-1.43,2462.6,2338.3,81.6,3.50,2462.6,2240.7,202.8,9.18,2924.2,2137.3,-529.4,-18.00,5699.4,5629.5,5617.0,5536.8,5584.7,5699.4,5536.8,-77.2,-1.36,5699.4,5389.5,195.1,3.62,5699.4,5181.7,475.8,9.31,6617.6,4915.5,-1035.2,-15.64,,
