Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2014-03-01T23:15:06+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Feb 24,Feb 25,Feb 26,Feb 27,Feb 28,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5450.1,5444.0,5447.0,5421.0,5415.4,5449.2,5412.3,-5.6,-0.10,5450.1,5415.4,-34.0,-0.62,5450.1,5088.7,227.4,4.38,5450.1,5088.7,62.3,1.16,5450.1,5088.7,314.5,6.17,44907.3,44880.2,44910.6,44730.7,44697.0,44910.6,44697.0,-79.3,-0.18,44910.6,41681.2,2202.3,5.18,44910.6,41681.2,852.0,1.94,44910.6,37129.1,4344.4,10.77,,
XAF,All Australian 50,5534.7,5527.5,5529.5,5508.8,5496.5,5539.0,5493.9,-12.3,-0.22,5534.7,5496.5,-42.6,-0.77,5539.1,5175.5,213.3,4.04,5539.1,5175.5,38.7,0.71,5539.1,5175.5,338.8,6.57,46858.4,46819.0,46836.1,46697.5,46603.8,46858.4,46603.8,-127.1,-0.27,46858.4,43505.3,2192.5,4.94,46858.4,43505.3,725.4,1.58,46858.4,39049.4,4807.5,11.50,,
XAT,All Australian 200,5396.3,5390.0,5393.3,5367.5,5360.5,5397.1,5357.2,-7.0,-0.13,5396.3,5360.5,-35.3,-0.65,5396.3,5028.8,228.0,4.44,5396.3,5028.8,55.8,1.05,5396.3,5028.8,295.0,5.82,45383.9,45354.2,45388.0,45203.8,45157.1,45388.0,45157.1,-85.7,-0.19,45388.0,42022.3,2267.9,5.29,45388.0,42022.3,829.7,1.87,45388.0,37733.6,4321.0,10.58,,
XTL,S&P/ASX 20,3410.7,3407.1,3408.1,3399.2,3391.6,3419.5,3390.7,-7.6,-0.22,3410.7,3391.6,-24.3,-0.71,3415.9,3184.2,139.2,4.28,3415.9,3184.2,13.2,0.39,3415.9,3184.2,230.2,7.28,56779.9,56738.1,56754.2,56615.2,56488.9,56779.9,56488.9,-131.3,-0.23,56779.9,52576.0,2787.7,5.19,56779.9,52576.0,706.3,1.27,56779.9,47032.2,6159.5,12.24,,
XFL,S&P/ASX 50,5600.6,5593.6,5595.4,5574.7,5562.7,5605.5,5560.1,-12.0,-0.22,5600.6,5562.7,-42.1,-0.75,5604.8,5238.2,216.3,4.05,5604.8,5238.2,35.8,0.65,5604.8,5238.2,359.4,6.91,47336.6,47298.9,47314.3,47175.7,47081.7,47336.6,47081.7,-124.6,-0.26,47336.6,43959.9,2213.6,4.93,47336.6,43959.9,698.7,1.51,47336.6,39422.6,4976.6,11.82,,
XTO,S&P/ASX 100,4513.5,4508.6,4510.8,4491.6,4485.6,4516.5,4483.0,-6.0,-0.13,4513.5,4485.6,-27.5,-0.61,4513.5,4210.6,186.1,4.33,4513.5,4210.6,40.4,0.91,4513.5,4210.6,289.3,6.90,11547.1,11540.1,11547.0,11506.7,11494.2,11547.1,11494.2,-15.5,-0.14,11547.1,10700.4,567.7,5.20,11547.1,10700.4,197.4,1.75,11547.1,9607.8,1206.6,11.73,,
XJO,S&P/ASX 200,5440.2,5433.8,5437.0,5411.4,5404.8,5441.0,5401.6,-6.6,-0.12,5440.2,5404.8,-33.9,-0.62,5440.2,5070.3,229.7,4.44,5440.2,5070.3,52.6,0.98,5440.2,5070.3,318.7,6.27,45658.9,45628.9,45660.8,45479.6,45435.7,45660.8,45435.7,-75.1,-0.17,45660.8,42284.9,2276.8,5.28,45660.8,42284.9,800.6,1.79,45660.8,37962.9,4503.6,11.00,,
XVI,S&P/ASX 200 VIX,13.228,12.959,12.882,13.324,13.113,13.276,12.771,-0.211,-1.58,13.324,12.882,0.615,4.92,18.372,0.147,-2.750,-17.34,18.372,0.147,1.551,13.41,21.700,0.147,-2.230,-14.53,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5392.2,5385.8,5388.1,5362.4,5356.5,5391.3,5353.3,-5.9,-0.11,5392.2,5356.5,-34.3,-0.64,5392.2,5027.6,225.5,4.40,5392.2,5027.6,51.7,0.97,5392.2,5027.6,297.5,5.88,45097.3,45066.8,45091.0,44908.2,44870.7,45097.3,44870.7,-82.9,-0.18,45097.3,41785.8,2225.9,5.22,45097.3,41785.8,782.0,1.77,45097.3,37491.8,4286.2,10.56,,
XMD,S&P/ASX MidCap 50,4492.2,4493.1,4501.5,4462.2,4486.5,4507.1,4460.6,24.3,0.54,4501.5,4462.2,26.6,0.60,4501.5,4099.4,284.1,6.76,4501.5,4099.4,137.0,3.15,4501.5,4099.4,281.8,6.70,11825.2,11836.5,11871.4,11773.4,11851.2,11871.4,11773.4,113.7,0.97,11871.4,10758.1,822.8,7.46,11871.4,10758.1,436.8,3.83,11871.4,9756.1,1158.7,10.84,,
XSO,S&P/ASX Small Ords,2258.8,2253.9,2253.1,2228.0,2232.5,2240.7,2221.4,4.5,0.20,2258.8,2228.0,-21.0,-0.93,2258.8,2092.8,110.6,5.21,2258.8,2092.8,38.9,1.77,2258.8,2092.8,-134.2,-5.67,5572.2,5564.3,5563.0,5503.4,5515.6,5572.2,5503.4,-42.7,-0.77,5572.2,5156.7,287.2,5.49,5572.2,5156.7,112.2,2.08,5747.9,4574.9,-152.4,-2.69,,
XDJ,Consumer Discretionary,1848.2,1848.0,1853.7,1845.5,1855.7,1857.0,1845.5,10.2,0.55,1855.7,1845.5,21.5,1.17,1855.7,1715.0,131.0,7.60,1855.7,1715.0,24.6,1.35,1855.7,1715.0,319.2,20.78,13769.2,13773.6,13842.8,13790.1,13866.3,13866.3,13769.2,207.9,1.52,13866.3,12735.0,1059.0,8.27,13866.3,12735.0,269.0,1.98,13866.3,10960.6,2741.1,24.64,,
XSJ,Consumer Staples,10079.3,10080.1,10090.4,10054.6,10042.2,10134.3,9897.5,-12.4,-0.12,10090.4,10042.2,-112.4,-1.11,10154.6,9567.9,298.6,3.06,10154.6,9567.9,26.2,0.26,10154.6,9567.9,-150.8,-1.48,81535.5,81542.0,81625.0,81335.5,81264.0,81625.0,81264.0,-152.7,-0.19,81625.0,76594.5,3262.6,4.18,81625.0,76594.5,1082.1,1.35,83265.0,71737.8,2235.9,2.83,,
XEJ,Energy,13644.6,13540.1,13733.3,13715.9,13692.3,13782.2,13663.2,-23.6,-0.17,13733.3,13540.1,-13.3,-0.10,13794.9,13017.6,453.1,3.42,13794.9,13017.6,69.4,0.51,13794.9,13017.6,176.9,1.31,96803.6,96404.5,97780.2,97836.6,97668.2,97836.6,96404.5,1317.0,1.37,97836.6,91514.2,4595.6,4.94,97836.6,91514.2,1898.3,1.98,101032.3,83100.5,4141.1,4.43,,
XFJ,Financials,5914.4,5917.4,5930.2,5919.3,5903.2,5946.2,5896.6,-16.1,-0.27,5930.2,5903.2,-2.1,-0.04,5930.2,5503.9,269.2,4.78,5930.2,5503.9,27.5,0.47,5930.2,5503.9,503.4,9.32,58992.7,59034.0,59161.7,59083.3,58921.8,59161.7,58921.8,64.7,0.11,59161.7,54492.0,3142.4,5.63,59161.7,54492.0,751.7,1.29,59476.0,49323.3,7784.3,15.22,,
XXJ,Financial-x-A-REIT,6983.3,6979.3,7008.7,7001.8,6977.8,7034.0,6971.7,-24.0,-0.34,7008.7,6977.8,10.6,0.15,7008.7,6467.5,323.3,4.86,7008.7,6467.5,-3.8,-0.05,7008.7,6467.5,694.8,11.06,66737.4,66715.1,66996.2,66968.5,66739.2,66996.2,66715.1,214.3,0.32,66996.2,61376.9,3587.6,5.68,66996.2,61376.9,483.1,0.73,67544.8,54895.6,9678.7,16.96,,
XHJ,Health Care,14596.6,14721.5,14861.6,14733.9,14768.7,14832.1,14713.7,34.8,0.24,14861.6,14596.6,229.3,1.58,14861.6,13849.2,402.6,2.80,14861.6,13849.2,401.4,2.79,14861.6,13849.2,2202.0,17.52,91514.9,92298.1,93218.5,92417.6,92895.6,93218.5,91514.9,1739.1,1.91,93218.5,86829.4,2856.2,3.17,93218.5,86829.4,2848.8,3.16,93218.5,75670.5,15579.3,20.15,,
XNJ,Industrials,4052.5,4063.1,4101.5,4044.7,4032.8,4058.8,4023.5,-11.9,-0.29,4101.5,4032.8,2.8,0.07,4101.5,3771.2,137.6,3.53,4101.5,3771.2,63.9,1.61,4101.5,3771.2,87.9,2.23,33526.7,33614.2,33934.3,33564.6,33487.9,33934.3,33487.9,153.2,0.46,33934.3,31167.8,1295.5,4.02,33934.3,31167.8,686.4,2.09,33934.3,28042.2,2070.0,6.59,,
XIJ,Info Technology,782.0,776.4,777.5,777.5,770.6,777.9,769.2,-6.9,-0.89,782.0,770.6,-8.8,-1.12,782.0,702.5,59.2,8.32,782.0,702.5,29.1,3.93,782.0,702.5,86.5,12.64,5157.3,5120.8,5127.5,5127.8,5082.0,5157.3,5082.0,-58.1,-1.13,5157.3,4603.8,419.9,9.01,5157.3,4603.8,222.8,4.59,5157.3,4239.8,696.6,15.88,,
XMJ,Materials,10774.9,10678.0,10548.4,10457.5,10469.4,10575.4,10457.5,11.9,0.11,10774.9,10457.5,-262.7,-2.45,10774.9,9745.3,565.0,5.70,10774.9,9745.3,259.7,2.54,10774.9,9745.3,-116.6,-1.10,73944.4,73360.4,72469.9,71896.0,71999.2,73944.4,71896.0,-1651.4,-2.24,73944.4,66855.5,4052.0,5.96,73944.4,66855.5,1957.9,2.80,73944.4,55909.5,1364.3,1.93,,
XPJ,A-REIT,1031.0,1038.3,1027.5,1020.3,1021.9,1024.7,1018.1,1.6,0.16,1038.3,1020.3,-12.4,-1.20,1038.3,986.5,41.8,4.26,1038.3,980.1,37.0,3.76,1038.3,980.1,-2.7,-0.26,28722.5,28926.7,28625.0,28424.6,28469.8,28926.7,28424.6,-344.1,-1.19,28926.7,27037.3,1432.5,5.30,28926.7,27037.3,1308.8,4.82,29914.8,26036.8,1499.2,5.56,,
XTJ,Telecommunications,1787.7,1786.8,1778.0,1770.5,1764.9,1784.5,1764.8,-5.6,-0.32,1787.7,1764.9,-64.9,-3.54,1836.3,1741.3,-14.1,-0.79,1836.3,1741.3,-56.7,-3.11,1836.3,1741.3,214.2,13.81,21471.4,21460.0,21354.3,21264.9,21197.1,21471.4,21197.1,-215.8,-1.01,21489.9,20377.3,378.2,1.82,21489.9,20377.3,-119.8,-0.56,21489.9,17457.3,3561.4,20.19,,
XUJ,Utilities,5721.1,5799.6,5791.4,5715.6,5728.4,5732.9,5676.9,12.8,0.22,5799.6,5715.6,9.1,0.16,5799.6,5357.0,371.1,6.93,5799.6,5357.0,348.9,6.49,5799.6,5357.0,221.9,4.03,59423.7,60239.3,60154.3,59541.1,59674.5,60239.3,59423.7,268.8,0.45,60239.3,55642.3,4028.8,7.24,60239.3,55642.3,3798.7,6.80,60239.3,52194.2,5372.2,9.89,,
