Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-09-03T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Aug 29,Aug 30,Aug 31,Sep 1,Sep 2,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Aug 29,Aug 30,Aug 31,Sep 1,Sep 2,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XDJ,Consumer Discretionary,1219.7,1219.9,1224.8,1233.0,1208.6,1231.9,1207.3,-24.4,-1.98,1233.0,1208.6,2.8,0.23,1251.3,1140.6,-73.5,-5.73,1557.8,1140.6,-292.2,-19.47,1572.1,1140.6,-315.9,-20.72,8181.6,8182.7,8217.9,8308.8,8144.6,8308.8,8144.6,66.9,0.83,8539.1,7636.0,-394.5,-4.62,10210.5,7636.0,-1637.7,-16.74,10246.9,7636.0,-1682.1,-17.12,,
XSJ,Consumer Staples,7490.0,7441.2,7472.6,7476.7,7396.6,7477.3,7378.0,-80.1,-1.07,7490.0,7396.6,-40.5,-0.54,7597.3,7011.2,-131.3,-1.74,8013.9,7011.2,-317.9,-4.12,8415.1,7011.2,-743.8,-9.14,54045.9,53693.7,53920.1,54126.3,53546.4,54126.3,53546.4,-117.5,-0.22,54426.8,49979.4,-116.7,-0.22,56701.2,49979.4,-251.4,-0.47,58402.4,49979.4,-2522.9,-4.50,,
XEJ,Energy,13643.7,13549.7,13555.8,13623.6,13441.3,13614.2,13364.0,-182.3,-1.34,13643.7,13441.3,-29.3,-0.22,14135.8,12726.9,-1059.0,-7.30,17736.5,12726.9,-2673.1,-16.59,17736.5,12726.9,-1542.5,-10.29,90895.8,90269.4,90338.3,90790.5,89575.6,90895.8,89575.6,284.6,0.32,95496.9,83817.5,-5921.4,-6.20,116809.6,83817.5,-15517.6,-14.77,116809.6,83817.5,-8092.3,-8.29,,
XFJ,Financials,3930.7,3952.7,3981.5,3990.2,3931.9,3985.7,3912.5,-58.3,-1.46,3990.2,3930.7,69.2,1.79,3990.2,3638.7,-106.6,-2.64,4666.6,3638.7,-429.9,-9.86,4666.6,3638.7,-439.9,-10.06,33895.4,34085.8,34344.1,34440.1,33936.7,34440.1,33895.4,675.3,2.03,34440.1,30965.7,-431.3,-1.25,38822.8,30965.7,-2127.0,-5.90,38822.8,30965.7,-1547.0,-4.36,,
XXJ,Financial-x-A-REIT,4533.8,4551.6,4584.0,4590.8,4523.1,4585.0,4499.7,-67.7,-1.47,4590.8,4523.1,54.2,1.21,4590.8,4195.3,-148.2,-3.17,5430.9,4195.3,-540.7,-10.68,5430.9,4195.3,-488.0,-9.74,37481.0,37627.7,37900.9,37984.2,37424.1,37984.2,37424.1,543.5,1.47,38108.3,34224.8,-684.1,-1.80,43285.0,34224.8,-2716.6,-6.77,43285.0,34224.8,-1565.5,-4.02,,
XHJ,Health Care,7869.7,7818.5,7790.4,7751.0,7631.4,7751.7,7574.2,-119.6,-1.54,7869.7,7631.4,-62.2,-0.81,7916.5,7335.0,-422.2,-5.24,9186.8,7335.0,-1301.8,-14.57,9186.8,7335.0,-683.5,-8.22,46298.8,45997.7,45832.3,45789.6,45135.9,46298.8,45135.9,-127.3,-0.28,47244.8,43029.6,-2108.9,-4.46,53892.5,43029.6,-6685.3,-12.90,53892.5,43029.6,-2474.3,-5.20,,
XNJ,Industrials,3326.6,3346.2,3366.8,3371.5,3319.7,3368.4,3302.6,-51.8,-1.54,3371.5,3319.7,18.4,0.56,3437.3,3171.2,-207.0,-5.87,3870.5,3171.2,-416.8,-11.15,3870.5,3171.2,-292.7,-8.10,24980.6,25135.3,25295.8,25330.6,24973.9,25330.6,24973.9,186.5,0.75,26441.7,23776.3,-1467.8,-5.55,28566.6,23776.3,-2586.3,-9.38,28566.6,23776.3,-1277.0,-4.86,,
XIJ,Info Technology,500.1,501.5,509.6,510.5,504.6,511.9,500.2,-5.9,-1.16,510.5,500.1,15.0,3.05,510.5,458.0,-18.3,-3.50,666.6,458.0,-140.1,-21.73,666.6,458.0,-86.5,-14.63,3031.4,3039.7,3088.6,3094.2,3058.1,3094.2,3031.4,90.4,3.05,3131.9,2743.0,-73.8,-2.36,3919.5,2743.0,-732.8,-19.33,3919.5,2743.0,-399.4,-11.55,,
XMJ,Materials,12374.9,12429.6,12540.6,12574.9,12359.3,12503.6,12320.7,-215.6,-1.71,12574.9,12359.3,193.6,1.59,12899.2,11694.7,-892.3,-6.73,15046.2,11694.7,-1721.3,-12.22,15046.2,11694.7,213.5,1.76,79333.3,79684.1,80395.7,80615.2,79233.2,80615.2,79233.2,1309.3,1.68,84725.6,74771.4,-5492.4,-6.48,96133.1,74771.4,-9978.0,-11.18,96133.1,74771.4,2941.3,3.86,,
XPJ,A-REIT,782.5,793.8,800.1,804.8,793.6,804.5,789.3,-11.2,-1.39,804.8,782.5,36.6,4.83,804.8,708.9,1.3,0.16,887.0,708.9,-46.2,-5.51,908.7,708.9,-107.0,-11.88,18806.6,19077.2,19252.4,19365.1,19094.4,19365.1,18806.6,900.4,4.95,19365.1,17036.7,298.9,1.59,20646.7,17036.7,-259.5,-1.34,20646.7,17036.7,-1306.2,-6.40,,
XTJ,Telecommunications,1054.3,1028.1,1040.6,1049.7,1041.6,1049.7,1037.8,-8.1,-0.77,1054.3,1028.1,-9.9,-0.94,1082.6,959.0,5.4,0.52,1082.6,891.0,82.0,8.55,1082.6,891.0,70.9,7.30,10782.6,10513.9,10642.7,10735.5,10652.5,10782.6,10513.9,-91.6,-0.85,10906.8,9383.7,519.2,5.12,10906.8,8708.4,1678.0,18.70,10906.8,8339.6,1595.2,17.61,,
XUJ,Utilities,4550.9,4540.2,4495.8,4511.0,4404.6,4467.3,4387.1,-106.4,-2.36,4550.9,4404.6,-27.0,-0.61,4550.9,4004.3,67.6,1.56,4550.9,3990.1,-8.8,-0.20,4614.3,3990.1,21.3,0.49,41005.7,40909.6,40655.1,40793.2,40200.0,41005.7,40200.0,268.5,0.67,41005.7,36081.2,1121.3,2.87,41005.7,35021.3,1742.8,4.53,41005.7,35021.3,3042.0,8.19,,
XMM,Metals & Mining,4494.2,4507.7,4552.1,4560.5,4484.1,4534.4,4471.6,-76.4,-1.68,4560.5,4484.1,69.3,1.57,4685.9,4239.8,-325.6,-6.77,5491.6,4239.8,-661.6,-12.86,5491.6,4239.8,134.1,3.08,5931.9,5949.7,6008.3,6019.4,5918.6,6019.4,5918.6,92.1,1.58,6337.2,5586.5,-418.6,-6.61,7235.3,5586.5,-805.5,-11.98,7235.3,5586.5,282.0,5.00,,
XGD,Gold,7762.1,7694.7,7830.5,7734.5,7674.6,7784.6,7648.4,-59.9,-0.77,7830.5,7674.6,36.8,0.48,7838.6,7281.2,-28.4,-0.37,8435.7,6946.7,-424.5,-5.24,8435.7,6946.7,340.2,4.64,8830.8,8754.1,8908.6,8799.4,8731.2,8908.6,8731.2,42.2,0.49,8917.5,8283.4,-31.7,-0.36,9595.8,7902.5,-461.6,-5.02,9595.8,7902.5,438.4,5.29,,
XJR,S&P/ASX 200 Res,5132.6,5138.5,5177.4,5189.3,5104.0,5162.4,5086.2,-85.3,-1.64,5189.3,5104.0,56.4,1.12,5343.0,4833.5,-382.2,-6.97,6355.0,4833.5,-804.8,-13.62,6355.0,4833.5,-32.8,-0.64,25389.6,25418.9,25612.9,25671.8,25249.8,25671.8,25249.8,311.3,1.25,27030.6,23814.3,-1780.8,-6.59,31311.1,23814.3,-3610.3,-12.51,31311.1,23814.3,329.7,1.32,,
,
