Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-01-10T23:15:05+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jan 5,Jan 6,Jan 7,Jan 8,Jan 9,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jan 5,Jan 6,Jan 7,Jan 8,Jan 9,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5429.5,5346.2,5334.5,5359.4,5440.1,5440.1,5359.4,80.7,1.51,5440.1,5334.5,25.1,0.46,5447.0,5131.0,181.8,3.46,5440.1,5334.5,51.5,0.96,5440.1,5334.5,123.8,2.33,46396.1,45684.7,45585.0,45798.0,46487.6,46487.6,45585.0,214.9,0.46,46545.5,43763.4,1639.6,3.66,46487.6,45585.0,440.7,0.96,47783.6,41681.2,2943.9,6.76,,
XAF,All Australian 50,5532.4,5447.1,5437.6,5467.5,5551.5,5551.5,5467.5,84.0,1.54,5551.5,5437.6,30.7,0.56,5561.3,5240.7,180.3,3.36,5551.5,5437.6,53.3,0.97,5551.5,5437.6,139.1,2.57,48667.5,47917.0,47833.7,48096.2,48835.5,48835.5,47833.7,269.9,0.56,48921.5,46020.1,1669.6,3.54,48835.5,47833.7,469.1,0.97,49995.8,43505.3,3338.4,7.34,,
XAT,All Australian 200,5402.3,5317.9,5306.9,5334.3,5417.5,5417.5,5334.3,83.2,1.56,5417.5,5306.9,29.1,0.54,5425.0,5106.2,182.3,3.48,5417.5,5306.9,54.4,1.01,5417.5,5306.9,150.4,2.85,47163.1,46426.0,46330.1,46569.7,47295.7,47295.7,46330.1,254.2,0.54,47361.6,44495.0,1676.5,3.67,47295.7,46330.1,474.8,1.01,48471.7,42022.3,3282.5,7.46,,
XTL,S&P/ASX 20,3412.4,3357.5,3354.2,3375.1,3426.7,3426.7,3375.1,51.6,1.53,3426.7,3354.2,16.8,0.49,3432.1,3231.6,100.7,3.03,3426.7,3354.2,27.9,0.82,3426.7,3354.2,84.9,2.54,58991.1,58043.3,57985.1,58347.2,59239.0,59239.0,57985.1,291.0,0.49,59331.8,55866.6,1741.5,3.03,59239.0,57985.1,483.2,0.82,60670.4,52576.0,4061.8,7.36,,
XFL,S&P/ASX 50,5598.3,5511.5,5501.8,5531.6,5617.1,5617.1,5531.6,85.5,1.55,5617.1,5501.8,30.8,0.55,5627.1,5303.9,181.3,3.33,5617.1,5501.8,53.7,0.97,5617.1,5501.8,139.0,2.54,49156.9,48394.5,48309.4,48571.5,49322.5,49322.5,48309.4,270.6,0.55,49410.2,46489.5,1676.0,3.52,49322.5,48309.4,472.0,0.97,50484.7,43959.9,3349.3,7.29,,
XTO,S&P/ASX 100,4543.5,4473.7,4464.5,4488.6,4557.9,4557.9,4488.6,69.3,1.54,4557.9,4464.5,25.9,0.57,4565.4,4300.1,151.2,3.43,4557.9,4464.5,44.9,1.00,4557.9,4464.5,148.0,3.35,12070.0,11884.5,11860.0,11924.1,12108.1,12108.1,11860.0,68.6,0.57,12128.3,11402.8,422.5,3.62,12108.1,11860.0,119.2,0.99,12340.3,10700.4,901.0,8.04,,
XJO,S&P/ASX 200,5450.3,5364.8,5353.6,5381.4,5465.6,5465.6,5381.5,84.1,1.56,5465.6,5353.6,29.7,0.55,5473.8,5152.3,182.9,3.46,5465.6,5353.6,54.6,1.01,5465.6,5353.6,153.2,2.88,47481.7,46736.6,46639.1,46881.7,47614.5,47614.5,46639.1,258.2,0.55,47686.0,44802.3,1679.0,3.66,47614.5,46639.1,475.3,1.01,48729.0,42284.9,3311.5,7.47,,
XVI,S&P/ASX 200 VIX,14.467,16.274,15.812,15.416,13.883,16.502,13.595,-1.533,-9.94,16.274,13.883,-0.417,-2.92,17.892,13.157,-0.955,-6.44,16.274,13.883,-0.698,-4.79,19.164,0.147,2.748,24.68,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5388.4,5305.2,5294.0,5321.0,5403.0,5403.0,5321.0,82.0,1.54,5403.0,5294.0,28.9,0.54,5408.9,5092.4,183.1,3.51,5403.0,5294.0,54.1,1.01,5403.0,5294.0,137.7,2.61,46767.8,46046.1,45949.7,46183.4,46895.6,46895.6,45949.7,251.8,0.54,46945.7,44114.8,1676.0,3.71,46895.6,45949.7,470.0,1.01,48058.9,41785.8,3134.8,7.16,,
XMD,S&P/ASX MidCap 50,4798.4,4729.9,4708.9,4733.5,4805.4,4805.4,4733.5,71.9,1.52,4805.4,4708.9,34.2,0.72,4809.1,4502.4,193.3,4.19,4805.4,4708.9,57.9,1.22,4805.4,4708.9,457.0,10.51,13058.2,12871.7,12814.6,12881.5,13077.2,13077.2,12814.6,93.1,0.72,13087.2,12227.2,552.2,4.41,13077.2,12814.6,157.7,1.22,13087.2,10758.1,1665.6,14.60,,
XSO,S&P/ASX Small Ords,2074.4,2040.6,2035.5,2038.1,2069.2,2069.2,2038.1,31.1,1.53,2074.4,2035.5,3.3,0.16,2074.4,1926.4,88.6,4.47,2074.4,2035.5,24.8,1.21,2074.4,2035.5,-121.1,-5.53,5273.9,5188.8,5175.7,5182.2,5261.5,5273.9,5175.7,9.2,0.17,5273.9,4882.3,242.1,4.82,5273.9,5175.7,64.0,1.23,5754.2,4882.3,-134.2,-2.49,,
XDJ,Consumer Discretionary,1761.2,1737.9,1729.4,1735.1,1766.3,1766.3,1735.1,31.2,1.80,1766.3,1729.4,4.6,0.26,1778.0,1688.1,2.0,0.11,1766.3,1729.4,13.0,0.74,1766.3,1729.4,-55.5,-3.05,13530.4,13351.7,13286.3,13330.0,13569.3,13569.3,13286.3,34.7,0.26,13659.4,12956.7,28.2,0.21,13569.3,13286.3,99.6,0.74,14336.1,12735.0,40.6,0.30,,
XSJ,Consumer Staples,9127.5,9041.6,9024.0,9021.7,9207.2,9207.2,9021.7,185.5,2.06,9207.2,9021.7,19.3,0.21,9301.9,8793.4,18.0,0.20,9207.2,9021.7,34.1,0.37,9207.2,9021.7,-866.1,-8.60,76128.9,75412.1,75265.7,75246.2,76794.0,76794.0,75246.2,161.6,0.21,77583.0,73342.3,150.6,0.20,76794.0,75246.2,285.2,0.37,85101.4,73342.3,-3846.6,-4.77,,
XEJ,Energy,11748.8,11110.2,10939.7,10867.7,11220.9,11234.6,10867.7,353.2,3.25,11748.8,10867.7,-403.7,-3.47,11852.7,10359.8,586.3,5.51,11748.8,10867.7,-380.5,-3.28,11748.8,10867.7,-2185.1,-16.30,85375.5,80735.0,79495.9,78972.9,81539.1,85375.5,78972.9,-2933.9,-3.47,86130.4,75281.7,4260.1,5.51,85375.5,78972.9,-2765.2,-3.28,111140.9,75281.7,-12705.6,-13.48,,
XFJ,Financials,6291.2,6218.7,6221.8,6262.6,6343.5,6343.5,6262.6,80.9,1.29,6343.5,6218.7,64.1,1.02,6343.5,5975.3,197.9,3.22,6343.5,6218.7,88.1,1.41,6343.5,6218.7,470.1,8.00,65612.9,64856.6,64889.1,65314.3,66158.2,66158.2,64856.6,669.2,1.02,66158.2,62172.9,2213.5,3.46,66158.2,64856.6,919.1,1.41,66158.2,54492.0,8010.3,13.78,,
XXJ,Financial-x-A-REIT,7304.4,7220.3,7207.6,7249.3,7348.3,7349.3,7249.3,99.0,1.37,7348.3,7207.6,48.6,0.67,7348.3,6893.6,193.0,2.70,7348.3,7207.6,66.1,0.91,7348.3,7207.6,393.2,5.65,72994.4,72154.5,72027.5,72444.0,73433.2,73433.2,72027.5,486.0,0.67,73433.2,68888.9,1928.8,2.70,73433.2,72027.5,660.8,0.91,73433.2,61376.9,7428.5,11.25,,
XHJ,Health Care,17680.8,17421.4,17412.2,17408.4,17648.8,17649.2,17408.4,240.4,1.38,17680.8,17408.4,33.4,0.19,17820.8,16836.6,424.3,2.46,17680.8,17408.4,161.6,0.92,17680.8,17408.4,3302.5,23.02,113238.4,111576.8,111518.3,111494.0,113033.4,113238.4,111494.0,213.5,0.19,114134.8,107831.4,2717.7,2.46,113238.4,111494.0,1034.7,0.92,114134.8,86829.4,23118.0,25.71,,
XNJ,Industrials,4392.2,4348.1,4305.1,4327.9,4364.0,4374.7,4327.9,36.1,0.83,4392.2,4305.1,5.2,0.12,4392.2,4129.1,162.4,3.86,4392.2,4305.1,42.2,0.98,4392.2,4305.1,442.0,11.27,37687.3,37308.8,36940.1,37135.7,37445.4,37687.3,36940.1,44.2,0.12,37687.3,35207.4,1619.2,4.52,37687.3,36940.1,361.8,0.98,37687.3,31167.8,5031.5,15.52,,
XIJ,Info Technology,788.7,769.9,771.1,785.1,807.7,807.7,785.1,22.6,2.88,807.7,769.9,16.7,2.11,807.7,739.4,48.0,6.32,807.7,769.9,25.0,3.19,807.7,769.9,62.4,8.37,5307.0,5180.3,5188.4,5282.7,5435.0,5435.0,5180.3,112.5,2.11,5435.0,4975.4,323.3,6.32,5435.0,5180.3,168.3,3.20,5555.5,4603.8,550.6,11.27,,
XMJ,Materials,8830.0,8602.8,8577.3,8631.0,8830.0,8838.2,8631.0,199.0,2.31,8830.0,8577.3,33.0,0.38,8830.0,8106.1,417.2,4.96,8830.0,8577.3,102.3,1.17,8830.0,8577.3,-1033.6,-10.48,62617.4,61006.0,60825.3,61206.0,62617.3,62617.4,60825.3,233.8,0.37,62617.4,57471.6,2971.5,4.98,62617.4,60825.3,725.0,1.17,73944.4,57471.6,-5050.1,-7.46,,
XPJ,A-REIT,1211.4,1197.3,1213.3,1226.5,1237.3,1237.3,1225.3,10.8,0.88,1237.3,1197.3,36.8,3.06,1237.3,1174.5,72.8,6.25,1237.3,1197.3,51.1,4.31,1237.3,1197.3,231.4,23.01,35239.0,34828.8,35294.7,35678.8,35993.5,35993.5,34828.8,1070.1,3.06,35993.5,33360.8,2632.7,7.89,35993.5,34828.8,1488.1,4.31,35993.5,27037.3,8254.2,29.76,,
XTJ,Telecommunications,2088.6,2072.7,2075.5,2099.2,2117.9,2117.9,2099.2,18.7,0.89,2117.9,2072.7,31.0,1.49,2117.9,1972.4,134.9,6.80,2117.9,2072.7,31.1,1.49,2117.9,2072.7,292.0,15.99,25776.4,25580.0,25614.3,25906.9,26138.6,26138.6,25580.0,383.7,1.49,26138.6,24340.0,1667.9,6.82,26138.6,25580.0,384.4,1.49,26138.6,20377.3,4770.9,22.33,,
XUJ,Utilities,6041.9,5989.8,5957.1,6021.1,6065.6,6065.6,6013.4,44.5,0.74,6065.6,5957.1,129.1,2.17,6065.6,5810.8,160.3,2.71,6065.6,5936.5,151.4,2.56,6065.6,5936.5,639.4,11.78,66267.0,65695.9,65336.5,66039.3,66527.3,66527.3,65336.5,1415.9,2.17,66527.3,62965.7,2537.0,3.96,66527.3,65111.5,1661.1,2.56,66527.3,55642.3,10166.6,18.04,,
XMM,Metals & Mining,2680.8,2596.0,2593.7,2620.1,2688.3,2690.8,2620.1,68.2,2.60,2688.3,2593.7,18.2,0.68,2688.3,2442.0,129.6,5.06,2688.3,2593.7,41.3,1.56,2688.3,2593.7,-510.0,-15.94,3883.4,3760.6,3757.3,3795.4,3894.3,3894.3,3757.3,26.3,0.68,3894.3,3537.4,187.9,5.07,3894.3,3757.3,59.9,1.56,4948.8,3537.4,-598.1,-13.31,,
XGD,Gold,2162.9,2221.3,2239.8,2228.2,2315.5,2318.2,2228.2,87.3,3.92,2315.5,2162.9,246.3,11.90,2315.5,1877.2,426.3,22.57,2315.5,2069.2,268.1,13.10,2315.5,2069.2,312.0,15.57,2522.0,2590.0,2611.6,2598.1,2699.8,2699.8,2522.0,287.2,11.90,2699.8,2188.9,497.1,22.57,2699.8,2412.7,312.6,13.10,3119.4,1941.8,369.1,15.83,,
XJR,S&P/ASX 200 Res,3432.0,3296.4,3278.0,3295.7,3388.1,3388.2,3295.7,92.4,2.80,3432.0,3278.0,-24.2,-0.71,3440.0,3107.3,161.3,5.00,3432.0,3278.0,-2.2,-0.06,3432.0,3278.0,-649.7,-16.09,18630.5,17894.1,17794.5,17890.7,18391.9,18630.5,17794.5,-131.6,-0.71,18674.0,16867.8,875.1,5.00,18630.5,17794.5,-12.0,-0.07,23407.3,16867.8,-2839.6,-13.37,,
,
