Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-12-24T23:15:13+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Dec 19,Dec 20,Dec 21,Dec 22,Dec 23,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Dec 19,Dec 20,Dec 21,Dec 22,Dec 23,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4113.9,4107.1,4190.2,4142.2,4192.1,4192.1,4153.5,49.9,1.20,4192.1,4107.1,-26.7,-0.63,4379.5,4057.6,66.3,1.61,5064.9,3927.6,-654.8,-13.51,5064.9,3927.6,-676.2,-13.89,30802.8,30751.8,31374.1,31067.4,31441.7,31441.7,30751.8,-146.5,-0.46,32786.0,30374.1,557.4,1.80,36827.4,29204.1,-3371.0,-9.68,36827.4,29204.1,-3525.1,-10.08,,
XAF,All Australian 50,4051.1,4040.4,4126.3,4083.8,4130.5,4131.6,4095.3,46.7,1.14,4130.5,4040.4,-9.7,-0.24,4297.3,3962.7,100.9,2.50,4939.1,3853.0,-551.7,-11.78,4939.1,3853.0,-597.5,-12.64,30936.4,30854.8,31510.3,31228.6,31586.0,31586.0,30854.8,-31.0,-0.10,32816.7,30261.5,813.7,2.64,36488.5,29181.9,-2560.6,-7.50,36488.5,29181.9,-2894.5,-8.39,,
XAT,All Australian 200,4055.8,4049.0,4135.2,4085.4,4135.3,4135.3,4097.6,49.9,1.22,4135.3,4049.0,-19.9,-0.48,4319.1,3980.9,87.2,2.15,4976.2,3855.4,-615.2,-12.95,4976.2,3855.4,-646.6,-13.52,30862.7,30810.8,31466.7,31139.6,31520.1,31520.1,30810.8,-99.0,-0.31,32860.4,30286.3,722.3,2.35,36695.0,29116.8,-3070.8,-8.88,36695.0,29116.8,-3299.5,-9.48,,
XTL,S&P/ASX 20,2445.0,2436.6,2491.3,2469.3,2497.3,2498.5,2477.0,28.0,1.13,2497.3,2436.6,-0.7,-0.03,2599.2,2390.0,61.6,2.53,2998.7,2334.2,-334.8,-11.82,2998.7,2334.2,-365.1,-12.76,36674.0,36548.7,37369.4,37039.4,37459.1,37459.1,36548.7,-10.5,-0.03,38987.3,35849.6,923.5,2.53,43396.5,34671.5,-2994.5,-7.40,43396.5,34671.5,-3427.7,-8.38,,
XFL,S&P/ASX 50,4077.2,4065.7,4152.1,4110.5,4157.0,4158.1,4122.1,46.5,1.13,4157.0,4065.7,-9.5,-0.23,4323.5,3986.5,103.4,2.55,4953.4,3876.7,-536.3,-11.43,4953.4,3876.7,-582.9,-12.30,31103.8,31015.5,31675.2,31395.6,31750.5,31750.5,31015.5,-34.6,-0.11,32982.5,30412.0,826.6,2.67,36564.0,29332.3,-2452.1,-7.17,36564.0,29332.3,-2792.4,-8.08,,
XTO,S&P/ASX 100,3317.7,3311.4,3381.7,3344.5,3383.0,3383.5,3353.9,38.5,1.15,3383.0,3311.4,-11.9,-0.35,3524.0,3248.9,77.9,2.36,4049.1,3155.5,-470.3,-12.21,4049.1,3155.5,-502.4,-12.93,7672.0,7657.5,7819.9,7746.0,7835.3,7835.3,7657.5,-15.2,-0.19,8147.6,7511.6,193.9,2.54,9067.0,7240.1,-683.2,-8.02,9067.0,7240.1,-754.0,-8.78,,
XJO,S&P/ASX 200,4060.4,4053.1,4139.5,4090.8,4140.4,4140.4,4103.0,49.6,1.21,4140.4,4053.1,-18.8,-0.45,4321.3,3984.3,89.4,2.21,4971.2,3863.9,-604.8,-12.75,4971.2,3863.9,-636.9,-13.33,30857.5,30802.2,31458.9,31139.9,31517.4,31517.4,30802.2,-91.2,-0.29,32834.6,30273.2,737.6,2.40,36617.7,29145.7,-3001.1,-8.69,36617.7,29145.7,-3234.1,-9.31,,
XKO,S&P/ASX 300,4056.8,4049.2,4134.6,4085.6,4135.1,4135.1,4097.5,49.5,1.21,4135.1,4049.2,-21.8,-0.53,4318.5,3984.2,84.4,2.08,4984.1,3860.9,-625.7,-13.14,4984.1,3860.9,-655.1,-13.68,30750.5,30693.1,31340.4,31019.7,31395.5,31395.5,30693.1,-113.9,-0.36,32728.2,30193.7,697.7,2.27,36632.1,29050.7,-3164.8,-9.16,36632.1,29050.7,-3378.3,-9.72,,
XMD,S&P/ASX MidCap 50,3583.9,3606.3,3680.7,3609.4,3658.3,3658.3,3620.2,48.9,1.35,3680.7,3583.9,-50.8,-1.37,3861.3,3555.7,27.5,0.76,4573.1,3408.2,-809.2,-18.11,4573.1,3408.2,-792.6,-17.81,8634.0,8687.8,8867.3,8736.0,8854.2,8867.3,8634.0,-81.4,-0.91,9286.4,8551.3,122.3,1.40,10728.9,8186.5,-1494.4,-14.44,10728.9,8186.5,-1455.8,-14.12,,
XSO,S&P/ASX Small Ords,2230.1,2226.5,2270.7,2224.2,2264.4,2264.4,2232.1,40.2,1.81,2270.7,2224.2,-53.0,-2.29,2427.1,2224.2,-14.8,-0.65,2946.3,2137.3,-628.1,-21.71,2946.3,2137.3,-587.0,-20.59,5144.3,5136.0,5238.3,5143.1,5236.2,5238.3,5136.0,-109.3,-2.04,5597.4,5136.0,-18.5,-0.35,6625.3,4915.5,-1266.1,-19.47,6625.3,4915.5,-1173.9,-18.31,,
