Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2011-03-19T23:15:11+11:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 14,Mar 15,Mar 16,Mar 17,Mar 18,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,ALL Ordinaries,4710.1,4609.9,4644.0,4638.4,4715.8,4722.3,4638.4,77.4,1.67,4715.8,4609.9,-19.0,-0.40,4990.9,4609.9,-310.3,-6.17,5026.1,4609.9,-131.1,-2.70,5026.1,4250.6,-174.3,-3.56,34198.4,33473.5,33721.6,33680.9,34246.6,34246.6,33473.5,-130.8,-0.38,36193.1,33473.5,-1946.5,-5.38,36193.1,33473.5,-566.2,-1.63,36193.1,29893.9,111.2,0.33,,
XAF,ALL Australian 50,4595.8,4507.3,4528.1,4526.6,4590.3,4598.0,4526.6,63.7,1.41,4595.8,4507.3,-18.4,-0.40,4851.4,4507.3,-300.0,-6.13,4894.2,4507.3,-91.9,-1.96,5017.2,4220.3,-296.3,-6.06,33913.0,33259.8,33413.3,33402.0,33877.0,33913.0,33259.8,-131.3,-0.39,35774.9,33259.8,-1897.8,-5.30,35803.3,33259.8,-269.5,-0.79,35803.3,30076.1,-670.9,-1.94,,
XAT,ALL Australian 200,4629.2,4531.8,4561.3,4558.7,4630.1,4637.1,4558.7,71.4,1.57,4630.1,4531.8,-17.7,-0.38,4903.2,4531.8,-310.2,-6.28,4941.6,4531.8,-120.4,-2.53,5001.2,4218.4,-243.2,-4.99,34091.8,33376.2,33593.5,33574.3,34104.4,34104.4,33376.2,-124.5,-0.36,36079.4,33376.2,-1974.9,-5.47,36087.5,33376.2,-486.5,-1.41,36087.5,30043.8,-324.5,-0.94,,
XTL,S&P/Asx 20,2778.6,2726.8,2739.0,2739.2,2774.8,2779.9,2739.2,35.6,1.30,2778.6,2726.8,-11.4,-0.41,2934.1,2726.8,-185.5,-6.27,2968.8,2726.8,-57.3,-2.02,3060.6,2560.9,-204.4,-6.86,40169.8,39420.6,39597.3,39599.8,40114.7,40169.8,39420.6,-164.4,-0.41,42434.0,39420.6,-2319.3,-5.47,42556.1,39420.6,-338.9,-0.84,42556.1,35716.1,-1091.5,-2.65,,
XFL,S&P/Asx 50,4611.2,4522.6,4543.4,4541.8,4605.5,4613.4,4541.8,63.7,1.40,4611.2,4522.6,-18.6,-0.40,4864.4,4522.6,-297.4,-6.07,4907.1,4522.6,-87.8,-1.87,5036.9,4235.3,-298.0,-6.08,33998.8,33345.4,33499.1,33487.2,33961.8,33998.8,33345.4,-132.4,-0.39,35841.5,33345.4,-1879.6,-5.24,35871.5,33345.4,-240.8,-0.70,35871.5,30164.1,-691.2,-1.99,,
XTO,S&P/Asx 100,3770.4,3695.3,3715.2,3713.9,3767.1,3773.9,3713.9,53.2,1.43,3770.4,3695.3,-16.5,-0.44,3984.9,3695.3,-247.8,-6.17,4016.0,3695.3,-86.2,-2.24,4095.8,3455.4,-224.0,-5.61,8432.0,8264.4,8309.0,8305.9,8426.1,8432.0,8264.4,-35.4,-0.42,8902.9,8264.4,-476.7,-5.35,8904.8,8264.4,-92.3,-1.08,8904.8,7468.5,-130.7,-1.53,,
XJO,S&P/Asx 200,4626.4,4528.7,4558.2,4555.3,4626.4,4633.8,4555.3,71.1,1.56,4626.4,4528.7,-18.4,-0.40,4900.0,4528.7,-310.3,-6.29,4938.4,4528.7,-118.8,-2.50,5001.9,4222.1,-245.8,-5.05,34034.5,33317.6,33534.5,33513.2,34040.6,34040.6,33317.6,-129.5,-0.38,36016.6,33317.6,-1976.1,-5.49,36027.5,33317.6,-478.0,-1.38,36027.5,30045.0,-354.1,-1.03,,
XKO,S&P/Asx 300,4635.9,4537.2,4567.7,4564.0,4637.3,4643.5,4564.0,73.3,1.61,4637.3,4537.2,-19.1,-0.41,4912.9,4537.2,-311.8,-6.30,4950.5,4537.2,-123.5,-2.59,4995.0,4214.7,-228.3,-4.69,34028.9,33306.3,33529.7,33502.6,34044.8,34044.8,33306.3,-134.7,-0.39,36031.0,33306.3,-1986.2,-5.51,36039.3,33306.3,-515.5,-1.49,36039.3,29938.5,-244.5,-0.71,,
XMD,S&P/Asx Midcap 50,4236.9,4130.0,4177.4,4175.6,4245.6,4256.6,4175.6,70.0,1.68,4245.6,4130.0,-29.3,-0.68,4543.4,4130.0,-318.3,-6.97,4566.1,4130.0,-221.9,-4.97,4566.1,3797.0,-81.8,-1.89,9921.6,9674.0,9785.2,9780.9,9944.9,9944.9,9674.0,-65.6,-0.66,10601.8,9674.0,-656.9,-6.20,10601.8,9674.0,-403.7,-3.90,10601.8,8628.5,216.7,2.23,,
XSO,S&P/Asx Small Ords,2687.1,2592.6,2644.9,2631.0,2719.3,2719.3,2631.0,88.3,3.36,2719.3,2592.6,-4.6,-0.17,2924.2,2592.6,-222.3,-7.56,2946.3,2592.6,-173.2,-5.99,2946.3,2229.7,135.1,5.23,6079.2,5867.0,5985.2,5953.8,6153.7,6153.7,5867.0,-8.7,-0.14,6619.9,5867.0,-466.2,-7.04,6625.3,5867.0,-348.6,-5.36,6625.3,4946.8,457.3,8.03,,
