Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2012-04-07T23:15:13+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Mar 30,Apr 2,Apr 3,Apr 4,Apr 5,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Mar 30,Apr 2,Apr 3,Apr 4,Apr 5,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XSJ,Consumer Staples,7647.1,7590.0,7599.4,7612.3,7584.0,7617.4,7514.6,-28.3,-0.37,7647.1,7584.0,16.3,0.22,7647.1,7290.5,150.9,2.03,7647.1,7241.1,250.9,3.42,7967.2,7011.2,-230.7,-2.95,57186.5,56759.7,56829.7,56926.1,56714.8,57186.5,56714.8,122.4,0.22,57186.5,54028.2,1630.3,2.96,57186.5,52987.4,3053.8,5.69,57186.5,49979.4,1099.4,1.98,,
XEJ,Energy,14139.4,14208.1,14250.2,14133.9,14152.6,14175.2,13954.4,18.7,0.13,14250.2,14133.9,-92.7,-0.65,14394.7,13757.1,-44.6,-0.31,14705.5,12824.6,1409.4,11.06,17736.5,11605.0,-3175.6,-18.33,95345.7,95808.9,96092.7,95308.8,95434.4,96092.7,95308.8,-625.3,-0.65,97067.0,92742.5,-227.2,-0.24,98057.5,85515.8,10461.5,12.31,116809.6,77383.0,-18686.2,-16.37,,
XFJ,Financials,4179.4,4155.9,4160.8,4185.1,4183.2,4184.5,4149.0,-1.9,-0.05,4185.1,4155.9,-25.5,-0.61,4208.7,3931.7,159.0,3.95,4208.7,3931.7,277.3,7.10,4615.7,3596.7,-373.4,-8.19,37301.7,37091.8,37136.3,37353.0,37336.1,37353.0,37091.8,-227.2,-0.60,37563.3,35085.0,1425.9,3.97,37563.3,34730.9,2885.2,8.37,38590.5,30965.7,-760.0,-2.00,,
XXJ,Financial-x-A-REIT,4834.5,4799.5,4809.0,4835.3,4831.6,4834.7,4789.3,-3.7,-0.08,4835.3,4799.5,-32.8,-0.67,4865.0,4502.6,223.5,4.85,4865.0,4502.6,326.2,7.24,5390.0,4119.7,-464.5,-8.77,41360.4,41060.8,41142.3,41367.4,41335.5,41367.4,41060.8,-280.6,-0.67,41621.3,38520.7,1912.1,4.85,41621.3,38178.9,3225.6,8.46,43193.7,34142.5,-1105.1,-2.60,,
XHJ,Health Care,8748.1,8692.0,8667.2,8798.6,8829.3,8848.9,8711.5,30.7,0.35,8829.3,8667.2,64.3,0.73,8829.3,8014.5,609.1,7.41,8829.3,7756.1,841.7,10.54,9186.8,7082.8,-208.5,-2.31,52866.1,52527.0,52377.1,53171.5,53356.9,53356.9,52377.1,388.5,0.73,53356.9,48115.1,4007.3,8.12,53356.9,46279.9,5695.3,11.95,53892.5,41891.0,338.6,0.64,,
XNJ,Industrials,3793.2,3765.0,3753.0,3718.3,3702.4,3714.7,3683.6,-15.9,-0.43,3793.2,3702.4,-73.4,-1.94,3815.2,3629.9,-59.9,-1.59,3815.2,3379.0,364.6,10.92,3815.2,3031.9,-78.7,-2.08,29301.9,29083.8,28991.1,28723.0,28600.1,29301.9,28600.1,-566.8,-1.94,29446.6,27940.8,-359.2,-1.24,29446.6,25815.0,3099.9,12.16,29446.6,22990.4,432.9,1.54,,
XIJ,Info Technology,560.6,555.1,551.9,559.1,557.0,559.1,550.0,-2.1,-0.38,560.6,551.9,-2.8,-0.49,560.6,503.4,51.9,10.27,560.6,482.8,58.5,11.73,601.2,458.0,-33.6,-5.69,3498.2,3463.4,3443.8,3488.5,3475.8,3498.2,3443.8,-17.0,-0.49,3498.2,3128.2,347.5,11.11,3498.2,2950.6,429.1,14.08,3601.2,2743.0,-61.5,-1.74,,
XMJ,Materials,10986.8,11084.0,11095.6,10968.9,10865.1,10883.6,10783.2,-103.8,-0.95,11095.6,10865.1,-44.6,-0.41,11232.9,10723.6,-331.0,-2.96,11833.2,10665.2,372.5,3.55,15046.2,10436.7,-3736.0,-25.59,71939.2,72575.7,72651.8,71822.4,71142.6,72651.8,71142.6,-286.7,-0.40,73507.0,70172.1,-2100.0,-2.87,76582.8,69023.5,3235.7,4.76,96133.1,67434.3,-22145.2,-23.74,,
XPJ,A-REIT,820.1,822.4,820.0,826.4,827.3,827.7,823.0,0.9,0.11,827.3,820.0,-2.1,-0.25,829.4,810.5,-4.2,-0.50,836.7,785.8,49.8,6.40,876.0,708.9,-44.6,-5.11,20405.2,20460.8,20402.8,20560.2,20584.6,20584.6,20402.8,-51.2,-0.25,20666.1,20145.6,-81.5,-0.39,20666.1,19271.5,1516.5,7.95,20666.1,17036.7,239.5,1.18,,
XTJ,Telecommunications,1131.2,1124.9,1145.3,1155.6,1151.7,1161.6,1148.2,-3.9,-0.34,1155.6,1124.9,16.8,1.48,1155.6,1101.4,22.5,1.99,1173.7,1101.4,16.2,1.42,1173.7,956.7,181.6,18.72,12046.2,11979.7,12197.2,12306.6,12264.9,12306.6,11979.7,178.6,1.48,12306.6,11728.8,246.6,2.05,12306.6,11476.1,645.6,5.56,12306.6,9350.2,2783.5,29.36,,
XUJ,Utilities,4853.8,4866.0,4873.8,4861.5,4887.2,4889.6,4843.0,25.7,0.53,4887.2,4853.8,-0.7,-0.02,4887.9,4558.1,286.0,6.22,4887.9,4527.2,342.8,7.54,4887.9,4004.3,621.5,14.57,45710.6,45826.2,45899.7,45783.1,46025.1,46025.1,45710.6,-7.4,-0.02,46032.5,42838.5,2781.7,6.43,46032.5,42294.1,3842.6,9.11,46032.5,36081.2,8188.5,21.64,,
XMM,Metals & Mining,3878.5,3925.1,3929.6,3877.1,3832.1,3843.3,3802.2,-45.0,-1.16,3929.6,3832.1,-21.0,-0.55,3992.8,3809.8,-157.3,-3.94,4252.2,3789.0,110.4,2.97,5491.6,3721.6,-1491.9,-28.02,5224.2,5287.0,5293.3,5222.6,5162.0,5293.3,5162.0,-27.8,-0.54,5375.3,5128.8,-206.8,-3.85,5661.9,5045.1,206.6,4.17,7235.3,4955.3,-1852.4,-26.41,,
XGD,Gold,6098.7,6118.9,6078.5,5929.8,5834.2,5920.5,5771.1,-95.6,-1.61,6118.9,5834.2,-309.7,-5.04,6581.8,5834.2,-848.0,-12.69,7178.9,5834.2,-199.8,-3.31,8435.7,5834.2,-2417.2,-29.29,6987.3,7010.5,6964.2,6793.9,6684.3,7010.5,6684.3,-354.8,-5.04,7639.3,6684.3,-955.0,-12.50,8202.2,6684.3,-209.5,-3.04,9595.8,6684.3,-2701.9,-28.79,,
XJR,S&P/ASX 200 Res,4624.6,4672.7,4680.5,4625.9,4588.7,4594.1,4546.5,-37.2,-0.80,4680.5,4588.7,-21.7,-0.47,4733.4,4527.6,-135.4,-2.87,4925.8,4435.9,219.4,5.02,6355.0,4291.7,-1579.9,-25.61,23313.1,23555.7,23595.1,23319.8,23132.4,23595.1,23132.4,-108.3,-0.47,23852.0,22812.6,-661.3,-2.78,24542.0,22101.1,1363.3,6.26,31311.1,21378.1,-7259.5,-23.89,,
,
