Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2013-07-20T23:15:09+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 15,Jul 16,Jul 17,Jul 18,Jul 19,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,4965.6,4968.6,4966.5,4976.9,4959.4,4993.3,4948.5,-17.5,-0.35,4976.9,4959.4,1.9,0.04,4976.9,4633.5,117.6,2.43,5202.5,4633.5,294.8,6.32,5202.5,4151.4,728.8,17.23,39797.6,39821.8,39804.6,39888.1,39747.9,39888.1,39747.9,15.4,0.04,39888.1,37129.1,1020.0,2.63,41528.7,37020.3,3105.3,8.47,41528.7,31842.7,7297.8,22.49,,
XAF,All Australian 50,5072.0,5084.1,5077.9,5094.4,5067.3,5111.2,5059.8,-27.1,-0.53,5094.4,5067.3,3.4,0.07,5094.4,4754.7,107.2,2.16,5314.5,4733.5,369.6,7.87,5314.5,4161.9,841.7,19.92,41654.9,41754.1,41703.9,41839.4,41616.6,41839.4,41616.6,27.9,0.07,41839.4,39049.4,941.3,2.31,43481.5,38052.6,3854.4,10.21,43481.5,32607.7,8510.1,25.71,,
XAT,All Australian 200,4942.1,4947.9,4943.8,4955.8,4934.0,4971.7,4923.8,-21.8,-0.44,4955.8,4934.0,-1.9,-0.04,4955.8,4619.6,107.6,2.23,5188.4,4619.6,302.7,6.54,5188.4,4111.3,747.8,17.86,40374.9,40422.8,40389.2,40487.5,40309.3,40487.5,40309.3,-15.2,-0.04,40487.5,37733.6,957.3,2.43,42210.6,37380.5,3255.0,8.78,42210.6,32087.9,7637.2,23.38,,
XTL,S&P/ASX 20,3113.4,3124.3,3120.1,3131.2,3115.1,3141.6,3111.8,-16.1,-0.51,3131.2,3113.4,7.0,0.22,3131.2,2915.1,74.4,2.45,3264.8,2885.8,248.5,8.67,3264.8,2520.0,558.2,21.83,50230.7,50407.7,50338.9,50518.0,50259.4,50518.0,50230.7,113.2,0.23,50518.0,47032.2,1201.2,2.45,52533.4,45563.7,5000.1,11.05,52533.4,38749.3,10942.5,27.83,,
XFL,S&P/ASX 50,5130.9,5142.4,5136.0,5152.5,5125.9,5170.5,5118.6,-26.6,-0.52,5152.5,5125.9,4.1,0.08,5152.5,4807.3,110.8,2.21,5368.0,4770.1,393.3,8.31,5368.0,4196.3,865.7,20.32,42076.1,42170.4,42118.0,42253.7,42035.4,42253.7,42035.4,34.2,0.08,42253.7,39422.6,970.5,2.36,43854.8,38295.2,4043.7,10.64,43854.8,32836.4,8699.3,26.10,,
XTO,S&P/ASX 100,4126.1,4133.4,4128.4,4138.9,4120.3,4152.5,4112.5,-18.6,-0.45,4138.9,4120.3,-0.8,-0.02,4138.9,3868.0,86.9,2.15,4323.8,3855.7,299.6,7.84,4323.8,3392.4,671.4,19.47,10250.6,10268.8,10256.4,10282.5,10236.1,10282.5,10236.1,-2.0,-0.02,10282.5,9607.8,234.6,2.35,10697.4,9380.5,941.4,10.13,10697.4,8048.3,2053.8,25.10,,
XJO,S&P/ASX 200,4981.1,4986.0,4981.7,4993.4,4972.1,5010.1,4962.1,-21.3,-0.43,4993.4,4972.1,-1.8,-0.04,4993.4,4656.0,110.7,2.28,5221.0,4656.0,323.2,6.95,5221.0,4123.9,773.0,18.41,40621.4,40661.4,40626.1,40721.8,40547.9,40721.8,40547.9,-14.6,-0.04,40721.8,37962.9,979.9,2.48,42402.2,37467.1,3413.3,9.19,42402.2,32138.8,7823.2,23.91,,
XKO,S&P/ASX 300,4938.3,4943.2,4939.6,4951.3,4930.6,4967.8,4920.5,-20.7,-0.42,4951.3,4930.6,-0.5,-0.01,4951.3,4613.2,112.2,2.33,5178.7,4613.2,304.3,6.58,5178.7,4111.3,744.2,17.78,40141.2,40181.6,40152.5,40247.2,40079.3,40247.2,40079.3,-4.0,-0.01,40247.2,37491.8,989.6,2.53,41922.4,37184.2,3239.2,8.79,41922.4,31948.0,7547.3,23.20,,
XMD,S&P/ASX MidCap 50,4033.1,4023.7,4020.3,4006.3,4011.7,4018.2,3984.7,5.4,0.13,4033.1,4006.3,-36.7,-0.91,4048.4,3799.1,64.8,1.64,4310.8,3799.1,148.7,3.85,4310.8,3452.7,439.4,12.30,10388.2,10364.1,10355.4,10319.2,10333.1,10388.2,10319.2,-94.5,-0.91,10427.7,9769.3,219.5,2.17,11026.5,9756.1,563.8,5.77,11026.5,8551.6,1485.4,16.79,,
XSO,S&P/ASX Small Ords,2117.3,2098.4,2109.9,2110.0,2110.3,2118.5,2097.3,0.3,0.01,2117.3,2098.4,2.4,0.12,2117.3,1888.4,94.0,4.66,2414.5,1888.4,-170.4,-7.47,2414.5,1888.4,-11.2,-0.53,5131.3,5085.7,5113.5,5113.8,5114.5,5131.3,5085.7,6.0,0.12,5131.3,4574.9,243.7,5.00,5770.0,4574.9,-330.3,-6.07,5770.0,4574.9,136.3,2.74,,
XDJ,Consumer Discretionary,1661.4,1649.8,1645.6,1638.3,1644.4,1653.6,1638.2,6.2,0.38,1661.4,1638.3,-4.1,-0.25,1661.4,1520.8,76.6,4.89,1694.1,1364.5,300.6,22.37,1694.1,1226.3,383.7,30.43,12150.9,12065.4,12035.0,11981.2,12026.1,12150.9,11981.2,-29.9,-0.25,12150.9,11122.4,567.3,4.95,12372.8,9792.3,2381.9,24.70,12372.8,8606.8,3177.3,35.91,,
XSJ,Consumer Staples,9648.3,9612.3,9615.7,9609.5,9596.1,9634.4,9516.2,-13.4,-0.14,9648.3,9596.1,-136.5,-1.40,9732.6,9347.6,23.6,0.25,10661.7,8912.8,721.7,8.13,10661.7,8055.0,1555.3,19.34,75487.0,75205.4,75232.0,75182.8,75078.1,75487.0,75078.1,-1068.3,-1.40,76146.4,73001.7,320.1,0.43,83265.0,68413.1,6959.8,10.22,83265.0,60351.0,14833.9,24.62,,
XEJ,Energy,13467.4,13413.2,13423.0,13509.4,13513.1,13546.7,13384.3,3.7,0.03,13513.1,13413.2,88.7,0.66,13513.1,12193.8,635.4,4.93,13702.8,11998.9,1107.1,8.92,13702.8,11726.6,1421.0,11.75,93270.6,92895.1,92963.6,93561.6,93587.4,93587.4,92895.1,614.3,0.66,93587.4,84450.3,4401.0,4.93,94901.2,83100.5,8760.8,10.33,94901.2,79479.2,12047.2,14.77,,
