Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5478.1 at 2015-07-10T16:37:06. Processed Saturday at 2015-07-11T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 6,Jul 7,Jul 8,Jul 9,Jul 10,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 3,Jul 6,Jul 7,Jul 8,Jul 9,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5463.3,5564.0,5456.5,5456.3,5478.1,5512.4,5458.8,21.8,0.40,5564.0,5456.3,-49.9,-0.90,5672.7,5416.6,-7.9,-0.14,5954.8,5278.8,89.5,1.66,5954.8,5278.8,3.5,0.06,48246.2,47682.8,48561.6,47623.6,47622.4,48561.6,47622.4,-623.9,-1.29,49414.0,47272.1,-163.9,-0.34,51568.0,45110.3,1575.4,3.42,51568.0,43681.7,1823.4,3.98,,
XAF,All Australian 50,5565.1,5673.5,5560.1,5560.1,5583.2,5620.3,5563.1,23.1,0.42,5673.5,5560.1,-39.9,-0.71,5768.9,5510.0,59.8,1.08,6081.0,5389.2,85.0,1.55,6081.0,5389.2,-11.1,-0.20,50611.6,50090.0,51065.6,50044.3,50044.3,51065.6,50044.3,-567.3,-1.12,51826.9,49593.4,423.1,0.85,54222.3,47407.4,1677.9,3.47,54222.3,45852.9,1933.2,4.02,,
XAT,All Australian 200,5426.6,5531.9,5420.2,5421.7,5442.2,5478.4,5421.7,20.5,0.38,5531.9,5420.2,-47.3,-0.86,5637.3,5374.9,14.4,0.27,5926.9,5251.9,79.1,1.47,5926.9,5251.9,-3.0,-0.06,48979.1,48418.9,49358.6,48361.3,48374.7,49358.6,48361.3,-604.4,-1.23,50202.2,47955.9,39.1,0.08,52442.3,45851.2,1553.8,3.32,52442.3,44281.4,1864.2,4.01,,
XTL,S&P/ASX 20,3385.3,3454.9,3384.8,3384.9,3400.5,3423.3,3387.3,15.6,0.46,3454.9,3384.8,-20.3,-0.59,3508.6,3362.7,53.9,1.61,3760.5,3321.7,1.7,0.05,3760.5,3321.7,-56.1,-1.62,60570.4,59940.9,61172.7,59932.0,59933.3,61172.7,59932.0,-637.1,-1.05,62123.7,59256.0,677.4,1.14,65985.5,57424.2,1177.5,2.00,65985.5,55673.0,1546.9,2.65,,
XFL,S&P/ASX 50,5628.9,5738.7,5623.4,5623.6,5647.4,5685.1,5626.7,23.8,0.42,5738.7,5623.4,-39.9,-0.70,5833.9,5572.4,58.2,1.04,6152.9,5453.2,84.0,1.51,6152.9,5453.2,-10.6,-0.19,51099.4,50574.7,51561.0,50525.4,50527.4,51561.0,50525.4,-571.9,-1.12,52318.5,50067.2,403.3,0.80,54764.7,47882.7,1677.0,3.43,54764.7,46300.1,1955.5,4.03,,
XTO,S&P/ASX 100,4570.1,4659.9,4566.0,4567.6,4586.4,4616.9,4570.0,18.8,0.41,4659.9,4566.0,-34.7,-0.75,4742.3,4523.2,25.5,0.56,4996.2,4422.0,73.4,1.63,4996.2,4422.0,23.6,0.52,12551.1,12412.6,12656.4,12401.6,12405.8,12656.4,12401.6,-145.3,-1.16,12856.9,12285.2,40.7,0.33,13449.8,11747.2,416.9,3.48,13449.8,11295.6,549.5,4.63,,
XJO,S&P/ASX 200,5475.0,5581.4,5469.5,5471.0,5492.0,5528.4,5471.0,21.0,0.38,5581.4,5469.5,-46.3,-0.84,5686.8,5422.5,13.4,0.24,5982.7,5299.2,81.0,1.50,5982.7,5299.2,5.2,0.09,49308.6,48745.9,49693.4,48697.2,48710.1,49693.4,48697.2,-598.5,-1.21,50535.2,48277.1,25.4,0.05,52822.2,46166.2,1570.8,3.33,52822.2,44533.8,1941.0,4.15,,
XVI,S&P/ASX 200 VIX,19.998,17.797,19.833,19.758,21.255,21.309,20.267,1.497,7.58,21.255,17.797,2.020,10.50,21.255,15.167,3.092,17.02,21.255,0.171,6.674,45.77,21.255,0.171,0.000,0.00,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5415.2,5518.9,5409.2,5410.5,5431.6,5466.9,5410.5,21.1,0.39,5518.9,5409.2,-46.7,-0.85,5623.4,5364.7,9.1,0.17,5912.7,5240.7,82.7,1.55,5912.7,5240.7,-1.0,-0.02,48587.1,48028.3,48947.6,47975.0,47986.2,48947.6,47975.0,-600.9,-1.24,49777.7,47577.8,-12.3,-0.03,52008.8,45487.5,1560.6,3.36,52008.8,43915.8,1845.7,4.00,,
XMD,S&P/ASX MidCap 50,4835.4,4935.8,4834.5,4848.0,4863.2,4910.5,4850.3,15.2,0.31,4935.8,4834.5,-57.0,-1.16,5088.7,4777.3,-161.6,-3.22,5363.8,4638.6,115.7,2.44,5363.8,4638.6,295.2,6.46,13601.2,13366.9,13644.4,13364.3,13401.8,13644.4,13364.3,-199.4,-1.47,14048.5,13204.8,-470.3,-3.39,14759.9,12623.2,482.3,3.73,14759.9,11578.7,1193.4,9.78,,
