Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-04-11T23:15:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Apr 2,Apr 7,Apr 8,Apr 9,Apr 10,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Apr 2,Apr 7,Apr 8,Apr 9,Apr 10,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5869.7,5893.2,5928.3,5901.5,5935.4,5935.4,5896.5,33.9,0.57,5935.4,5869.7,102.5,1.76,5937.1,5763.3,141.1,2.44,5937.1,5278.8,546.8,10.15,5937.1,5278.8,511.9,9.44,50816.4,51019.9,51327.5,51095.6,51390.7,51390.7,50816.4,893.3,1.77,51390.7,49808.9,1407.9,2.82,51390.7,45110.3,5343.8,11.61,51390.7,43681.7,6397.6,14.22,,
XAF,All Australian 50,5992.8,6023.5,6056.5,6022.5,6062.1,6062.5,6014.1,39.6,0.66,6062.1,5992.8,103.9,1.74,6081.0,5881.9,143.6,2.43,6081.0,5389.2,563.9,10.26,6081.0,5389.2,526.0,9.50,53438.3,53712.2,54006.9,53703.6,54056.9,54056.9,53438.3,926.9,1.74,54222.3,52407.2,1458.8,2.77,54222.3,47407.4,5690.5,11.77,54222.3,45852.9,6902.1,14.64,,
XAT,All Australian 200,5839.6,5866.4,5901.3,5872.7,5908.4,5908.4,5866.2,35.7,0.61,5908.4,5839.6,105.9,1.82,5916.5,5737.6,140.4,2.43,5916.5,5251.9,545.3,10.17,5916.5,5251.9,521.1,9.67,51661.8,51898.6,52209.5,51957.1,52273.0,52273.0,51661.8,939.7,1.83,52324.7,50686.8,1422.4,2.80,52324.7,45851.2,5452.2,11.64,52324.7,44281.4,6667.2,14.62,,
XTL,S&P/ASX 20,3701.4,3718.3,3732.9,3711.0,3734.9,3735.4,3703.2,23.9,0.64,3734.9,3701.4,54.4,1.48,3760.5,3623.1,84.6,2.32,3760.5,3321.7,336.1,9.89,3760.5,3321.7,305.2,8.90,64948.4,65244.3,65500.6,65116.7,65537.0,65537.0,64948.4,954.5,1.48,65985.5,63496.3,1751.3,2.75,65985.5,57424.2,6781.2,11.54,65985.5,55673.0,8130.4,14.16,,
XFL,S&P/ASX 50,6062.5,6093.4,6127.1,6093.0,6133.1,6133.4,6084.7,40.1,0.66,6133.1,6062.5,106.0,1.76,6152.9,5952.0,142.2,2.37,6152.9,5453.2,569.7,10.24,6152.9,5453.2,532.7,9.51,53965.5,54240.6,54540.4,54236.9,54594.0,54594.0,53965.5,944.1,1.76,54764.7,52939.4,1449.1,2.73,54764.7,47882.7,5743.5,11.76,54764.7,46300.1,6976.2,14.65,,
XTO,S&P/ASX 100,4929.4,4953.9,4981.5,4957.4,4988.5,4988.7,4952.0,31.1,0.63,4988.5,4929.4,88.7,1.81,4996.2,4837.4,125.8,2.59,4996.2,4422.0,475.5,10.54,4996.2,4422.0,475.3,10.53,13271.0,13336.7,13411.7,13346.8,13430.8,13430.8,13271.0,239.5,1.82,13448.7,13007.6,382.4,2.93,13448.7,11747.2,1441.9,12.03,13448.7,11295.6,1812.0,15.60,,
XJO,S&P/ASX 200,5898.6,5926.0,5960.7,5932.2,5968.4,5968.4,5926.0,36.2,0.61,5968.4,5898.6,107.6,1.84,5975.5,5793.2,144.2,2.48,5975.5,5299.2,557.4,10.30,5975.5,5299.2,539.8,9.94,52071.2,52313.4,52622.4,52370.7,52690.4,52690.4,52071.2,953.2,1.84,52731.3,51066.4,1456.0,2.84,52731.3,46166.2,5551.1,11.78,52731.3,44533.8,6829.4,14.89,,
XVI,S&P/ASX 200 VIX,14.360,14.440,13.986,14.206,12.614,13.015,12.318,-1.592,-11.21,14.440,12.614,-2.213,-14.93,14.994,12.403,-2.279,-15.30,16.722,12.403,-1.967,-13.49,19.164,9.309,0.695,5.83,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5831.1,5856.9,5890.9,5862.7,5897.6,5897.6,5856.7,34.9,0.60,5897.6,5831.1,103.8,1.79,5904.1,5725.8,141.0,2.45,5904.1,5240.7,548.7,10.26,5904.1,5240.7,524.6,9.76,51281.8,51509.0,51810.5,51562.8,51870.1,51870.1,51281.8,916.2,1.80,51912.7,50280.3,1421.4,2.82,51912.7,45487.5,5444.5,11.73,51912.7,43915.8,6639.0,14.68,,
XMD,S&P/ASX MidCap 50,5283.1,5303.4,5335.5,5339.1,5360.4,5365.0,5339.1,21.3,0.40,5360.4,5283.1,115.7,2.21,5360.4,5146.7,219.8,4.28,5360.4,4638.6,612.9,12.91,5360.4,4638.6,869.9,19.37,14531.5,14587.6,14680.4,14690.4,14750.5,14750.5,14531.5,324.5,2.25,14750.5,14108.9,641.6,4.55,14750.5,12623.2,1830.9,14.17,14750.5,11578.7,2828.4,23.72,,
