Weekly Roundup - Australian Indices,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 0.0 at 0-00-00T00:00:00. Processed Saturday at 2015-08-01T23:15:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Code,Description,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,Day High,Day Low, Day Var + / -,Day %,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,Jul 27,Jul 28,Jul 29,Jul 30,Jul 31,Week High,Week Low,Week +/-,Wk %,Month High,Month Low,Month +/-,Mth %,YTD High,YTD Low,YTD +/-,YTD %,52wk High,52wk Low,52wk +/-,52wk %,
XAO,All Ordinaries,5579.2,5571.0,5609.6,5653.1,5681.7,5682.7,5653.1,28.6,0.51,5681.7,5571.0,124.9,2.25,5688.5,5456.3,230.5,4.23,5954.8,5278.8,293.1,5.44,5954.8,5278.8,134.1,2.42,48694.5,48623.5,48960.3,49339.6,49589.4,49589.4,48623.5,1090.1,2.25,49648.8,47622.4,2014.5,4.23,51568.0,45110.3,3542.5,7.69,51568.0,43681.7,3177.1,6.85,,
XAF,All Australian 50,5677.5,5677.7,5715.4,5761.9,5791.2,5791.2,5761.9,29.3,0.51,5791.2,5677.5,140.5,2.49,5800.5,5560.1,246.1,4.44,6081.0,5389.2,293.0,5.33,6081.0,5389.2,130.1,2.30,51101.6,51103.0,51442.2,51861.2,52124.7,52124.7,51101.6,1265.0,2.49,52207.9,50044.3,2215.1,4.44,54222.3,47407.4,3758.3,7.77,54222.3,45852.9,3439.5,7.06,,
XAT,All Australian 200,5538.3,5533.7,5572.9,5618.8,5646.3,5646.5,5618.8,27.5,0.49,5646.3,5533.7,131.8,2.39,5654.6,5420.2,235.2,4.35,5926.9,5251.9,283.2,5.28,5926.9,5251.9,130.8,2.37,49415.8,49374.5,49724.5,50133.5,50378.9,50378.9,49374.5,1175.8,2.39,50452.9,48361.3,2100.2,4.35,52442.3,45851.2,3558.1,7.60,52442.3,44281.4,3267.1,6.93,,
XTL,S&P/ASX 20,3459.4,3463.2,3484.2,3518.0,3533.6,3534.5,3516.4,15.6,0.44,3533.6,3459.4,90.5,2.63,3539.0,3384.8,149.6,4.42,3760.5,3321.7,134.8,3.97,3760.5,3321.7,31.4,0.90,61253.1,61320.2,61691.3,62290.0,62566.6,62566.6,61253.1,1602.5,2.63,62663.2,59932.0,2649.0,4.42,65985.5,57424.2,3810.8,6.49,65985.5,55673.0,3411.1,5.77,,
XFL,S&P/ASX 50,5739.7,5739.9,5778.1,5825.8,5855.6,5855.6,5825.8,29.8,0.51,5855.6,5739.7,142.3,2.49,5865.4,5623.4,247.5,4.41,6152.9,5453.2,292.3,5.25,6152.9,5453.2,129.3,2.26,51570.4,51572.5,51915.4,52343.9,52612.0,52612.0,51570.4,1278.7,2.49,52699.2,50525.4,2224.0,4.41,54764.7,47882.7,3761.6,7.70,54764.7,46300.1,3453.0,7.02,,
XTO,S&P/ASX 100,4668.8,4665.3,4698.8,4736.1,4761.8,4761.8,4736.1,25.7,0.54,4761.8,4665.3,114.0,2.45,4767.5,4566.0,207.1,4.55,4996.2,4422.0,248.8,5.51,4996.2,4422.0,140.9,3.05,12680.7,12671.3,12762.1,12863.5,12933.3,12933.3,12671.3,309.7,2.45,12948.9,12401.6,562.7,4.55,13449.8,11747.2,944.4,7.88,13449.8,11295.6,926.1,7.71,,
XJO,S&P/ASX 200,5589.9,5584.7,5624.2,5669.5,5699.2,5699.5,5669.5,29.7,0.52,5699.2,5584.7,133.1,2.39,5706.7,5469.5,240.2,4.40,5982.7,5299.2,288.1,5.33,5982.7,5299.2,142.8,2.57,49768.8,49722.5,50073.9,50477.8,50741.7,50741.7,49722.5,1184.7,2.39,50809.0,48697.2,2139.5,4.40,52822.2,46166.2,3602.5,7.64,52822.2,44533.8,3378.1,7.13,,
XVI,S&P/ASX 200 VIX,15.831,16.340,15.672,15.110,14.549,15.058,14.481,-0.561,-3.71,16.340,14.549,-1.397,-8.76,21.073,13.735,-5.354,-26.90,21.073,0.171,-0.032,-0.22,21.073,0.171,2.165,17.48,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,0.0,0.0,0.0,0.00,,
XKO,S&P/ASX 300,5527.4,5521.5,5559.8,5604.3,5633.3,5633.6,5604.3,29.0,0.52,5633.3,5521.5,128.7,2.34,5641.5,5409.2,232.7,4.31,5912.7,5240.7,284.3,5.32,5912.7,5240.7,133.8,2.43,49023.4,48971.2,49310.5,49705.2,49962.4,49962.4,48971.2,1141.4,2.34,50035.1,47975.0,2066.0,4.31,52008.8,45487.5,3536.8,7.62,52008.8,43915.8,3252.5,6.96,,
XMD,S&P/ASX MidCap 50,5015.2,4980.1,5036.4,5064.0,5103.9,5113.3,5064.0,39.9,0.79,5103.9,4980.1,107.7,2.16,5103.9,4834.5,272.3,5.64,5363.8,4638.6,356.4,7.51,5363.8,4638.6,452.1,9.72,13863.8,13766.8,13922.4,13998.7,14109.0,14109.0,13766.8,297.7,2.16,14109.0,13364.3,754.1,5.65,14759.9,12623.2,1189.5,9.21,14759.9,11578.7,1676.6,13.49,,
XSO,S&P/ASX Small Ords,2083.4,2073.1,2081.6,2099.8,2104.2,2108.5,2099.8,4.4,0.21,2104.2,2073.1,20.0,0.96,2124.7,2045.7,31.6,1.52,2263.3,2001.2,59.8,2.93,2263.3,2001.2,-101.4,-4.60,5381.3,5354.9,5376.8,5423.7,5435.2,5435.2,5354.9,51.7,0.96,5487.1,5284.2,83.4,1.56,5823.6,5089.5,237.6,4.57,5823.6,4882.3,-82.9,-1.50,,
XDJ,Consumer Discretionary,1875.2,1855.7,1872.4,1889.6,1896.6,1906.7,1887.9,7.0,0.37,1896.6,1855.7,22.0,1.17,1911.1,1808.5,114.2,6.41,2021.0,1713.3,143.3,8.17,2021.0,1713.3,66.3,3.62,14658.6,14506.7,14636.9,14771.3,14825.9,14825.9,14506.7,172.1,1.17,14939.4,14137.1,893.1,6.41,15772.9,13162.6,1356.2,10.07,15772.9,12935.8,1009.3,7.30,,
XSJ,Consumer Staples,8786.8,8783.8,8836.1,9013.5,9030.4,9070.6,8989.9,16.9,0.19,9030.4,8783.8,245.7,2.80,9030.4,8450.2,629.7,7.50,10122.8,8358.0,-142.7,-1.56,10122.8,8358.0,-1048.1,-10.40,74731.8,74706.3,75150.7,76659.2,76803.2,76803.2,74706.3,2089.4,2.80,76803.2,71868.6,5366.2,7.51,85291.5,71073.8,294.5,0.38,85291.5,71073.8,-5474.2,-6.65,,
XEJ,Energy,10620.8,10709.8,10754.9,10996.4,10973.4,11066.3,10872.3,-23.0,-0.21,10996.4,10620.8,369.4,3.48,11315.8,10575.0,27.6,0.25,12090.7,10301.0,-628.0,-5.41,12090.7,10301.0,-3496.0,-24.16,79402.3,80068.3,80405.1,82210.8,82038.5,82210.8,79402.3,2761.6,3.48,84598.7,79059.9,206.6,0.25,90391.5,74854.3,-2265.8,-2.69,111140.9,74854.3,-21349.9,-20.65,,
XFJ,Financials,6561.1,6559.3,6588.8,6630.8,6667.3,6672.8,6630.8,36.5,0.55,6667.3,6559.3,144.2,2.21,6682.7,6387.4,302.9,4.76,7186.4,6165.5,411.9,6.58,7186.4,6165.5,452.3,7.28,70131.5,70112.8,70427.6,70876.3,71266.8,71266.8,70112.8,1540.9,2.21,71431.1,68275.4,3240.5,4.76,75638.7,64303.3,6027.6,9.24,75638.7,59639.1,8069.6,12.77,,
XXJ,Financial-x-A-REIT,7587.8,7590.4,7619.0,7679.5,7717.9,7732.6,7679.5,38.4,0.50,7717.9,7587.8,146.2,1.93,7756.5,7401.8,339.3,4.60,8394.2,7123.5,435.7,5.98,8394.2,7123.5,401.4,5.49,77713.4,77739.6,78033.1,78652.1,79045.5,79045.5,77713.4,1497.5,1.93,79441.3,75808.0,3475.2,4.60,84666.9,71254.0,6273.1,8.62,84666.9,66776.9,7861.4,11.04,,
