Derivatives: Call Options - daily trades,,,,,,,,,,,,,,,,,,,,
Monday, September 24, 2012.,,,,,,,,,,,,,,,,,,,,
"XAO 4409.2 at 2012-09-24T16:44:36. Report at Monday, September 24, 2012. Processed Tuesday at 2012-09-25T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS,
AGL Energy Last Sale Price $14.45,
Oct,12,15.45,.03,.03,30,3419,16.10,.10,1.97,,
Oct,12,16.41,.00,.04,23,581,16.10,-,-,,
Nov,12,14.50,.40,.37,120,10,15.50,.56,15.08,,
Dec,12,14.97,.27,.28,50,4211,15.40,.40,7.75,,
Dec,12,15.45,.12,.12,144,1589,14.40,.24,3.30,,
Dec,12,15.93,.04,.04,10,1503,13.50,.11,1.15,,
Mar,13,15.45,.28,.27,60,439,15.20,.38,3.89,,
Jun,13,15.45,.44,.45,10,311,16.10,.46,4.01,,
,
AMP Last Sale Price $4.37,
Sep,12,4.11,.27,.34,270,4176,35.50,.97,10.44,,
Sep,12,4.31,.07,.11,950,9090,24.20,.75,31.32,,
Sep,12,4.40,.03,.04,1200,1963,22.40,.38,52.20,,
Sep,12,4.41,.02,.03,720,4650,21.60,.33,41.76,,
Oct,12,4.20,.23,.24,70,-,22.60,.76,14.36,,
Oct,12,4.30,.15,.15,500,2429,20.30,.65,20.88,,
Oct,12,4.40,.10,.09,1550,4662,19.70,.50,24.80,,
Oct,12,4.50,.05,.06,100,5280,19.10,.34,13.05,,
Nov,12,4.50,.10,.11,10,11690,19.40,.43,12.47,,
Nov,12,4.70,.04,.04,500,4550,18.60,.23,4.99,,
Dec,12,3.90,.54,.20,250,300,23.40,.88,6.17,,
Dec,12,4.00,.46,.50,92,1279,23.40,.83,8.07,,
Dec,12,4.10,.38,.38,200,7145,22.50,.78,9.97,,
Dec,12,4.40,.17,.17,183,1075,19.30,.55,15.66,,
Jan,13,3.90,.57,-,250,-,23.70,.85,6.79,,
Feb,13,4.20,.36,-,92,-,21.40,.70,10.79,,
Mar,13,4.50,.20,.20,78,321,19.90,.53,9.03,,
Jun,13,4.75,.16,.23,20,240,20.40,.45,4.82,,
,
ANZ Banking Grp Last Sale Price $24.70,
Sep,12,0.01,24.69,24.92,250,57430,-,1.00,-,,
Sep,12,21.01,3.71,3.34,30,1366,81.50,.99,5.54,,
Sep,12,21.51,3.20,3.42,26,1258,63.50,.99,3.69,,
Sep,12,22.00,2.71,2.75,30,2808,54.10,.99,3.69,,
Sep,12,22.01,2.70,2.80,95,1729,53.80,.99,3.69,,
Sep,12,22.50,2.21,2.26,208,7330,2.00,1.00,1.85,,
Sep,12,22.51,2.19,2.00,40,420,2.00,1.00,1.85,,
Sep,12,23.00,1.71,1.78,706,16406,2.00,1.00,1.85,,
Sep,12,23.01,1.70,1.26,70,2110,2.00,1.00,1.85,,
Sep,12,23.50,1.22,1.19,990,12412,33.10,.95,7.39,,
Sep,12,23.51,1.20,1.20,163,2713,20.70,1.00,1.85,,
Sep,12,24.00,.72,.66,762,10412,22.40,.93,9.24,,
Sep,12,24.01,.70,.74,500,1897,19.10,.95,5.54,,
