Derivatives: Call Options - daily trades,,,,,,,,,,,,,,,,,,,,
Thursday, August 18, 2011.,,,,,,,,,,,,,,,,,,,,
"XAO 4319.4 at 2011-08-18T16:36:09. Report at Thursday, August 18, 2011. Processed Friday at 2011-08-19T01:00:06+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS,
AGL Energy Last Sale Price $14.22,
Mar,12,23.00,.60,.64,50,1173,24.50,.37,4.77,,
Jun,12,25.00,.38,.37,10,100,24.10,.29,2.12,,
Dec,12,16.00,5.07,5.05,5,3110,36.10,.87,2.35,,
,
ASX Last Sale Price $29.40,
Aug,11,29.50,.47,.69,91,603,30.60,.49,72.16,,
Aug,11,30.00,.26,.28,60,723,29.70,.33,39.57,,
Aug,11,30.50,.12,.12,90,3350,28.60,.19,18.62,,
Aug,11,31.00,.06,.07,47,3563,29.80,.11,9.31,,
Sep,11,28.50,1.19,1.20,42,640,23.90,.69,8.37,,
Sep,11,29.00,.91,.95,16,3,24.90,.61,14.58,,
Sep,11,29.50,.63,.65,100,130,23.70,.53,18.05,,
Sep,11,30.00,.46,.52,40,213,24.20,.45,13.28,,
Oct,11,28.00,1.69,1.19,200,240,23.60,.74,4.98,,
Oct,11,31.00,.34,.51,200,180,21.50,.35,5.95,,
Dec,11,32.00,.36,.40,40,2147,19.40,.31,3.52,,
Mar,12,35.00,.14,.16,30,-,17.80,.18,.80,,
,
Alumina Last Sale Price $1.80,
Aug,11,1.80,.07,.07,289,2239,64.10,.52,164.76,,
Aug,11,1.90,.03,.03,500,7347,59.30,.27,63.37,,
Sep,11,1.80,.13,.13,100,5070,50.40,.55,58.95,,
Sep,11,1.90,.08,.09,800,4448,46.90,.41,37.73,,
Sep,11,2.00,.04,.05,1916,9615,44.80,.28,21.22,,
Oct,11,1.90,.11,.11,742,1868,44.40,.45,29.99,,
Nov,11,1.90,.13,.14,301,347,41.50,.47,25.60,,
Jun,12,2.46,.07,.07,80,725,35.60,.27,4.17,,
,
BHP Billiton Last Sale Price $39.10,
Aug,11,35.50,3.75,3.97,300,506,53.80,.91,18.09,,
Aug,11,37.00,2.38,2.35,320,1699,45.80,.82,33.26,,
Aug,11,37.50,1.96,1.92,130,3085,43.40,.77,42.01,,
Aug,11,38.00,1.55,2.12,300,4539,40.80,.71,53.09,,
Aug,11,39.00,.85,.78,1095,6499,36.40,.54,88.10,,
Aug,11,39.50,.55,.55,769,2793,33.10,.43,64.18,,
Aug,11,40.00,.34,.33,3819,13376,31.70,.32,40.26,,
Aug,11,40.01,.32,.59,40,330,30.30,.31,36.76,,
Aug,11,40.50,.20,.18,3250,15785,30.40,.22,22.75,,
Aug,11,41.00,.11,.10,1775,12853,30.10,.14,12.84,,
Aug,11,42.00,.04,.04,290,8735,31.60,.06,4.67,,
Aug,11,42.50,.03,.03,720,7936,33.40,.04,2.92,,
Aug,11,43.00,.03,.02,222,23586,36.20,.03,2.92,,
Aug,11,43.50,.01,.02,250,13004,37.30,.02,1.75,,
Aug,11,44.00,.01,.01,180,18184,40.10,.02,1.75,,
Aug,11,44.50,.01,.02,114,9239,43.30,.02,1.75,,
Sep,11,34.00,5.33,5.67,75,684,36.30,.89,4.88,,
Sep,11,37.00,2.86,2.85,30,1401,33.80,.72,16.50,,
Sep,11,37.50,2.52,2.90,120,1239,33.30,.69,19.86,,
Sep,11,38.00,2.13,2.13,65,1430,31.70,.65,22.47,,
Sep,11,38.01,2.11,2.85,40,250,32.20,.65,22.14,,
Sep,11,39.00,1.51,1.52,517,5250,29.90,.56,30.72,,
Sep,11,39.01,1.49,1.59,30,240,30.10,.56,30.39,,
Sep,11,39.50,1.24,1.24,89,2060,29.00,.51,26.81,,
Sep,11,40.00,1.00,.99,3046,5572,28.30,.45,21.82,,
Sep,11,40.01,.96,.98,35,415,27.80,.45,20.95,,
Sep,11,40.50,.80,.80,2742,12518,27.50,.40,17.26,,
