Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4533.0 at 16:35 10/2/2010  Report at 19:05 Wednesday 10/2/2010. Processed 19:11 Wednesday 10/2/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.00,,,,,,,,,,,,
Mar,10,34.00,1.50,1.50,58,113,21.60,0.73,6.95,,,
Mar,10,36.00,0.45,0.44,1,73,20.60,0.43,10.48,,,
Mar,10,36.50,0.30,0.32,25,78,20.30,0.35,7.07,,,
Mar,10,37.00,0.23,0.24,7,16,21.00,0.29,5.30,,,
Mar,10,37.50,0.16,0.16,25,110,21.10,0.23,3.77,,,
Apr,10,36.00,0.71,0.75,2,1,19.90,0.48,9.38,,,
Apr,10,36.50,0.53,0.54,2,16,19.20,0.41,6.95,,,
Alumina Ltd Last Sale Price $1.63,,,,,,,,,,,,
Feb,10,1.46,0.17,0.17,11,156,2.00,1.00,-,,,
Feb,10,1.63,0.06,0.07,110,3160,48.20,0.53,76.97,,,
Feb,10,1.71,0.03,0.04,101,2172,47.40,0.34,34.99,,,
Mar,10,1.63,0.10,0.12,59,389,46.80,0.55,50.89,,,
May,10,1.80,0.09,0.10,25,2,43.90,0.41,18.83,,,
AXA Asia Pacific Last Sale Price $6.35,,,,,,,,,,,,
Feb,10,6.25,0.19,0.44,200,350,23.50,0.66,30.54,,,
Feb,10,6.50,0.04,0.07,200,388,19.30,0.30,16.17,,,
BHP Billiton Ltd Last Sale Price $39.88,,,,,,,,,,,,
Feb,10,0.01,39.28,39.73,7,1035,-,-,-,,,
Feb,10,35.50,4.56,-,2,51,46.30,0.91,10.30,,,
Feb,10,36.00,4.09,4.90,5,100,43.90,0.89,11.73,,,
Feb,10,38.00,2.36,2.43,3,463,39.30,0.75,27.46,,,
Feb,10,38.01,2.32,2.50,11,13,51.30,0.70,25.74,,,
Feb,10,39.00,1.63,1.50,26,404,37.30,0.64,42.90,,,
Feb,10,39.50,1.30,1.17,33,552,36.10,0.58,52.91,,,
Feb,10,40.00,1.01,0.91,177,1161,34.70,0.51,57.77,,,
Feb,10,40.01,0.97,1.42,2,26,40.70,0.51,55.77,,,
Feb,10,40.50,0.78,0.68,218,986,34.20,0.44,44.33,,,
Feb,10,41.00,0.56,0.48,265,2073,32.90,0.36,31.75,,,
Feb,10,41.01,0.54,0.50,12,65,37.20,0.38,30.89,,,
Feb,10,41.50,0.38,0.33,109,1198,31.60,0.29,21.74,,,
Feb,10,42.00,0.28,0.25,220,2075,31.80,0.23,15.73,,,
Feb,10,42.01,0.27,0.28,4,88,34.80,0.25,15.16,,,
Feb,10,42.50,0.23,0.25,79,908,34.00,0.20,13.44,,,
Feb,10,43.00,0.12,0.10,55,2215,30.70,0.13,6.58,,,
Feb,10,43.01,0.14,0.16,10,159,34.80,0.16,7.72,,,
Feb,10,43.50,0.09,0.14,23,693,32.00,0.10,5.15,,,
Feb,10,44.00,0.06,0.06,3,1286,32.10,0.07,3.43,,,
Feb,10,45.00,0.04,0.04,1,1009,34.00,0.05,2.00,,,
Feb,10,50.00,-,0.01,35,253,35.60,-,0.57,,,
Mar,10,30.00,9.93,14.00,3,378,42.40,0.98,0.94,,,
Mar,10,31.00,8.93,10.18,20,539,42.30,0.97,1.04,,,
Mar,10,32.00,7.95,6.58,35,257,42.20,0.95,1.46,,,
Mar,10,33.00,6.99,8.58,20,492,42.10,0.92,2.18,,,
Mar,10,37.50,3.09,4.00,4,124,36.30,0.73,14.66,,,
Mar,10,38.00,2.71,2.80,5,2174,35.20,0.70,17.26,,,
Mar,10,38.50,2.35,2.44,1,87,34.10,0.66,20.18,,,
Mar,10,39.50,1.74,2.25,4,354,32.60,0.58,28.29,,,
Mar,10,40.00,1.48,1.43,22,2729,32.20,0.54,30.79,,,
Mar,10,40.50,1.24,1.18,31,262,31.40,0.49,25.69,,,
Mar,10,41.00,1.03,0.95,63,1700,31.10,0.44,21.53,,,
Mar,10,41.01,1.00,1.02,1,28,30.50,0.44,20.70,,,
Mar,10,41.50,0.83,0.78,27,429,30.10,0.39,17.26,,,
Mar,10,42.00,0.69,0.65,52,1616,30.00,0.35,14.25,,,
Mar,10,42.01,0.70,1.08,1,60,30.50,0.35,14.66,,,
Mar,10,42.50,0.56,0.52,37,238,30.00,0.31,11.75,,,
Mar,10,43.00,0.52,0.49,44,861,31.20,0.28,10.71,,,
Mar,10,43.50,0.36,0.46,70,612,29.50,0.23,7.49,,,
Mar,10,44.00,0.30,0.30,37,2624,29.60,0.20,6.24,,,
Mar,10,45.00,0.20,0.16,15,3043,30.00,0.15,4.16,,,
Mar,10,46.00,0.14,0.12,8,860,31.00,0.11,3.02,,,
Mar,10,60.00,-,0.01,13,1576,31.50,-,0.21,,,
Apr,10,36.00,4.66,5.31,2,25,35.90,0.78,8.98,,,
Apr,10,39.00,2.60,3.15,10,121,32.10,0.62,19.93,,,
Apr,10,39.50,2.31,2.30,10,49,31.40,0.59,22.30,,,
Apr,10,40.00,2.06,2.00,20,88,31.00,0.55,23.81,,,
Apr,10,40.50,1.80,1.91,80,44,30.60,0.52,20.91,,,
Apr,10,41.00,1.58,1.73,10,201,30.10,0.48,18.30,,,
Apr,10,41.01,1.58,1.84,4,-,30.20,0.48,18.30,,,
Apr,10,42.00,1.18,1.12,26,75,29.00,0.41,13.61,,,
Apr,10,42.50,1.01,1.17,3,101,28.90,0.38,11.70,,,
Apr,10,43.00,0.88,1.11,9,98,28.70,0.34,10.14,,,
Apr,10,44.00,0.65,0.62,1,100,28.50,0.28,7.53,,,
Apr,10,44.50,0.54,0.67,2,32,28.20,0.25,6.26,,,
Apr,10,45.00,0.45,0.47,2,242,27.80,0.22,5.21,,,
Apr,10,46.00,0.33,0.59,2,297,28.00,0.17,3.82,,,
May,10,42.00,1.62,1.58,2,69,29.90,0.45,13.81,,,
Jun,10,0.01,39.83,40.55,10,2650,-,-,-,,,
Jun,10,40.00,2.86,3.33,5,350,30.90,0.58,19.39,,,
Jun,10,42.50,1.78,3.40,5,263,29.60,0.44,12.07,,,
