Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4250.6 at 16:35 5/7/2010  Report at 19:05 Monday 5/7/2010. Processed 11:38 Tuesday 6/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.68,,,,,,,,,,,,
Jul,10,15.00,0.14,0.15,23,122,17.10,0.35,14.42,,,
Aug,10,14.50,0.56,0.69,20,34,18.90,0.63,18.06,,,
Aug,10,15.00,0.32,0.38,45,63,18.70,0.44,14.78,,,
Nov,10,15.50,0.32,-,2,-,17.80,0.41,5.44,,,
Jun,11,16.00,0.61,0.58,8,26,18.50,0.47,4.28,,,
Asciano Grp Last Sale Price $1.60,,,,,,,,,,,,
Aug,10,1.60,0.08,-,60,38,32.20,0.54,34.54,,,
Dec,10,1.66,0.11,0.12,50,423,28.60,0.51,14.64,,,
Amcor Ltd Last Sale Price $6.37,,,,,,,,,,,,
Jul,10,7.00,0.03,0.01,10,-,28.90,0.12,5.73,,,
AMP Ltd Last Sale Price $5.10,,,,,,,,,,,,
Jul,10,5.00,0.25,0.26,119,141,35.70,0.62,41.51,,,
Aug,10,5.50,0.12,0.12,16,72,32.40,0.31,15.53,,,
Sep,10,5.50,0.13,0.17,6,716,29.70,0.35,11.04,,,
Dec,10,6.25,0.07,0.09,5,96,28.20,0.21,3.12,,,
ANZ Banking Grp Last Sale Price $20.89,,,,,,,,,,,,
Jul,10,19.00,2.15,2.33,10,2,41.90,0.83,18.52,,,
Jul,10,20.00,1.39,1.27,2,8,39.70,0.70,34.60,,,
Jul,10,20.50,1.04,1.04,34,1,37.70,0.61,45.43,,,
Jul,10,21.00,0.75,0.74,32,418,35.90,0.51,52.07,,,
Jul,10,21.50,0.49,0.50,73,68,33.70,0.40,34.25,,,
Jul,10,22.00,0.30,0.30,39,388,32.10,0.29,20.97,,,
Jul,10,22.50,0.17,0.17,129,541,31.20,0.20,12.23,,,
Jul,10,23.00,0.10,0.10,3,1278,30.40,0.13,6.64,,,
Jul,10,23.50,0.06,0.06,101,1017,31.30,0.08,4.19,,,
Aug,10,21.50,0.83,0.81,4,177,33.10,0.46,27.53,,,
Aug,10,22.50,0.42,0.45,56,139,30.20,0.30,13.85,,,
Aug,10,23.00,0.28,0.27,3,727,29.30,0.23,9.40,,,
Aug,10,24.50,0.08,0.15,3,333,28.10,0.09,2.64,,,
Aug,10,25.50,0.03,0.03,4,71,27.10,0.03,0.82,,,
Sep,10,21.00,1.36,1.38,20,103,33.30,0.55,29.23,,,
Sep,10,21.50,1.13,1.12,1,73,33.30,0.49,24.27,,,
Sep,10,22.50,0.67,0.72,2,92,30.60,0.36,14.45,,,
Sep,10,23.00,0.51,0.46,8,279,29.90,0.30,10.89,,,
Sep,10,23.50,0.40,0.32,9,110,29.90,0.25,8.52,,,
Oct,10,20.01,1.59,-,1,3,19.20,0.73,10.69,,,
Oct,10,22.50,0.91,0.91,5,28,30.30,0.40,13.71,,,
Oct,10,23.50,0.62,1.41,3,26,30.10,0.31,9.34,,,
Oct,10,25.00,0.34,0.26,9,21,30.10,0.19,5.05,,,
Nov,10,23.00,0.80,0.80,1,123,29.70,0.38,9.71,,,
Dec,10,23.50,0.77,0.80,5,197,29.70,0.37,7.82,,,
Dec,10,24.00,0.62,0.57,1,583,29.00,0.32,6.30,,,
Dec,11,30.00,0.49,0.48,10,193,27.20,0.29,1.60,,,
Dec,12,15.00,6.94,6.95,2,145,35.60,0.89,2.04,,,
Dec,12,20.00,4.09,4.05,4,344,32.90,0.75,6.21,,,
ASX Ltd Last Sale Price $28.50,,,,,,,,,,,,
Aug,10,30.00,0.39,0.51,10,18,20.20,0.30,9.30,,,
Sep,10,28.50,1.09,1.07,6,-,21.60,0.57,17.16,,,
Sep,10,29.00,0.84,0.83,6,1,21.40,0.50,13.36,,,
Dec,10,35.50,0.07,0.07,1,1,19.20,0.08,0.56,,,
Alumina Ltd Last Sale Price $1.52,,,,,,,,,,,,
Jul,10,1.50,0.07,0.09,22,499,41.50,0.58,52.83,,,
Jul,10,1.60,0.04,0.04,265,1243,40.10,0.34,33.62,,,
Jul,10,1.70,0.01,0.02,240,2291,42.20,0.17,14.41,,,
Aug,10,1.70,0.04,0.04,20,705,40.10,0.27,15.86,,,
AXA Asia Pacific Last Sale Price $5.39,,,,,,,,,,,,
Jul,10,5.75,0.07,0.09,10,241,35.50,0.27,20.32,,,
Sep,10,5.75,0.21,0.20,10,90,36.00,0.41,17.56,,,
BHP Billiton Ltd Last Sale Price $36.98,,,,,,,,,,,,
Jul,10,36.00,1.84,2.00,21,170,32.60,0.66,33.95,,,
Jul,10,36.50,1.50,1.86,3,135,31.60,0.60,40.27,,,
Jul,10,37.00,1.22,1.22,45,224,31.00,0.53,47.97,,,
Jul,10,37.50,0.93,0.97,35,667,29.60,0.46,36.72,,,
Jul,10,38.00,0.72,0.82,217,871,29.20,0.39,28.43,,,
Jul,10,38.50,0.54,0.61,48,990,28.60,0.32,21.32,,,
Jul,10,39.00,0.39,0.39,145,1692,27.80,0.26,15.20,,,
Jul,10,39.50,0.28,0.33,161,1032,27.40,0.20,10.86,,,
Jul,10,40.00,0.20,0.21,145,2473,27.70,0.15,7.90,,,
Jul,10,40.50,0.14,0.15,31,1071,27.20,0.11,5.33,,,
Jul,10,41.00,0.10,0.10,102,2552,27.80,0.09,3.95,,,
Jul,10,41.50,0.07,0.08,11,958,28.30,0.07,2.96,,,
Jul,10,42.00,0.04,0.06,62,2104,28.00,0.05,1.78,,,
Jul,10,42.01,0.04,0.06,5,12,26.60,0.04,1.38,,,
Jul,10,43.00,0.02,0.04,32,939,28.00,0.02,0.79,,,
Aug,10,36.50,2.16,2.31,20,43,32.20,0.59,31.29,,,
Aug,10,37.00,1.88,1.91,26,90,31.90,0.55,35.01,,,
Aug,10,37.50,1.59,1.60,127,181,30.80,0.50,29.61,,,
Aug,10,38.00,1.35,1.54,11,456,30.30,0.46,25.14,,,
Aug,10,38.01,1.35,1.50,1,1,30.30,0.46,25.05,,,
Aug,10,38.50,1.13,1.24,60,269,29.70,0.41,20.95,,,
Aug,10,39.00,0.92,1.09,10,939,28.90,0.36,17.13,,,
Aug,10,39.50,0.77,0.76,35,431,28.90,0.32,14.25,,,
Aug,10,40.00,0.61,0.61,40,993,28.30,0.27,11.45,,,
Aug,10,40.50,0.47,0.51,6,442,27.60,0.23,8.85,,,
Aug,10,41.00,0.36,0.42,8,528,27.20,0.19,6.80,,,
Aug,10,41.50,0.34,0.41,27,166,28.30,0.17,6.24,,,
Aug,10,42.00,0.22,0.25,4,652,26.30,0.13,4.00,,,
Aug,10,43.00,0.13,0.17,2,496,26.30,0.08,2.42,,,
Aug,10,44.00,0.07,0.10,18,262,26.30,0.05,1.40,,,
Sep,10,37.50,1.91,2.04,1,290,31.20,0.53,23.27,,,
Sep,10,38.00,1.66,1.81,12,548,30.50,0.49,20.17,,,
Sep,10,38.50,1.43,1.55,10,152,30.00,0.45,17.36,,,
Sep,10,39.00,1.21,1.48,2,375,29.30,0.41,14.74,,,
Sep,10,40.00,0.89,0.88,23,736,28.90,0.34,10.85,,,
Sep,10,41.00,0.66,0.61,13,1525,28.80,0.27,8.04,,,
Sep,10,42.00,0.47,0.42,37,921,28.60,0.22,5.73,,,
Sep,10,43.00,0.26,0.29,4,580,26.40,0.15,3.11,,,
