Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4437.0 at 16:39 16/7/2010  Report at 19:05 Friday 16/7/2010. Processed 22:44 Friday 16/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.75,,,,,,,,,,,,
Jul,10,42.00,0.01,0.02,69,1956,25.40,0.03,1.03,,,
Aug,10,37.00,2.17,2.11,19,299,27.90,0.67,23.35,,,
Aug,10,38.50,1.24,1.18,5,649,25.60,0.51,28.25,,,
Aug,10,39.00,0.99,0.94,29,1064,25.00,0.44,22.55,,,
Aug,10,39.50,0.79,0.73,31,773,24.70,0.38,17.88,,,
Aug,10,40.00,0.58,0.56,57,1632,23.70,0.32,13.33,,,
Aug,10,40.50,0.46,0.41,8,540,23.70,0.26,10.36,,,
Aug,10,41.00,0.32,0.29,69,661,22.70,0.21,7.18,,,
Aug,10,41.01,0.31,0.28,1,-,22.70,0.20,7.06,,,
Aug,10,42.50,0.10,0.18,18,36,21.20,0.08,2.16,,,
Aug,10,43.50,0.07,0.12,4,47,22.70,0.05,1.48,,,
Aug,10,44.00,0.04,0.06,50,277,22.70,0.04,1.03,,,
Sep,10,38.00,1.89,1.80,2,558,27.70,0.57,23.71,,,
Sep,10,38.50,1.61,1.49,5,326,27.20,0.53,22.01,,,
Sep,10,39.50,1.11,1.20,19,143,25.70,0.44,15.17,,,
Sep,10,40.00,0.92,0.89,47,999,25.30,0.39,12.51,,,
Sep,10,40.01,0.85,0.81,7,9,24.80,0.39,11.69,,,
Sep,10,41.00,0.58,0.56,21,1539,24.30,0.30,8.00,,,
Sep,10,41.50,0.48,0.44,7,524,24.20,0.26,6.56,,,
Sep,10,42.00,0.39,0.37,3,986,24.10,0.22,5.26,,,
Oct,10,35.50,3.92,3.83,3,-,30.20,0.74,11.57,,,
Oct,10,38.00,2.38,2.40,10,347,28.40,0.58,20.32,,,
Oct,10,40.00,1.38,1.32,1,226,26.30,0.44,12.57,,,
Oct,10,41.00,1.01,0.97,6,41,25.50,0.37,9.25,,,
Oct,10,42.00,0.75,0.77,88,407,25.20,0.30,6.79,,,
