Derivatives: Call Options - daily trades ,,,,,,,,,,,,
XAO 4277.8 at 16:37 7/7/2010  Report at 19:05 Wednesday 7/7/2010. Processed 09:31 Thursday 8/7/2010.,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
,,,,,,,,,,,,
ASX Code/Series,,Ex Price,Fair Value,Last Sale,Vol 000's,Open Int,Implied Volatility,Delta,Annual % Return,,,
CALL OPTIONS ,,,,,,,,,,,,
AGL Energy Ltd Last Sale Price $14.66,,,,,,,,,,,,
Sep,10,14.50,0.60,0.70,4,198,18.60,0.62,13.87,,,
Sep,10,15.00,0.35,0.50,4,123,18.30,0.47,11.03,,,
Asciano Grp Last Sale Price $1.65,,,,,,,,,,,,
Jul,10,1.50,0.16,0.20,400,503,31.60,0.91,9.62,,,
Jul,10,1.60,0.08,0.07,10,775,30.10,0.69,28.85,,,
Jul,10,1.70,0.02,0.03,527,1455,23.50,0.33,19.24,,,
Dec,10,1.66,0.13,0.12,100,463,26.40,0.58,16.92,,,
Dec,12,2.18,0.16,0.20,3,18,25.00,0.44,3.94,,,
Amcor Ltd Last Sale Price $6.50,,,,,,,,,,,,
Sep,10,6.50,0.25,0.22,5,240,22.20,0.57,17.41,,,
AMP Ltd Last Sale Price $5.13,,,,,,,,,,,,
Jul,10,4.75,0.46,0.44,6,-,41.60,0.80,23.20,,,
Jul,10,5.00,0.25,0.22,6,90,34.00,0.65,37.12,,,
Jul,10,5.25,0.13,0.12,38,111,34.40,0.42,38.67,,,
Jul,10,5.50,0.04,0.04,2,345,30.80,0.20,12.37,,,
Jul,10,5.75,0.01,0.01,11,575,30.80,0.08,4.64,,,
Aug,10,5.50,0.10,0.10,29,113,29.40,0.30,13.95,,,
Sep,10,5.50,0.14,0.13,135,722,30.60,0.37,12.61,,,
Oct,10,5.00,0.38,-,5,-,29.80,0.64,15.60,,,
Dec,10,5.50,0.22,0.21,4,706,27.30,0.45,9.21,,,
Mar,11,5.00,0.56,0.56,15,26,31.40,0.65,11.72,,,
Sep,11,5.75,0.39,0.39,1,-,30.90,0.48,6.17,,,
ANZ Banking Grp Last Sale Price $21.23,,,,,,,,,,,,
Jul,10,20.50,1.18,1.20,10,20,35.30,0.69,33.64,,,
Jul,10,21.00,0.85,0.80,17,440,33.90,0.58,46.72,,,
Jul,10,21.50,0.56,0.60,28,123,31.60,0.47,41.86,,,
Jul,10,22.00,0.34,0.34,46,406,29.70,0.34,25.04,,,
Jul,10,22.50,0.19,0.20,13,533,28.50,0.23,13.83,,,
Jul,10,23.00,0.10,0.11,85,1253,27.60,0.14,7.10,,,
Jul,10,23.50,0.06,0.06,30,986,28.40,0.09,4.11,,,
Jul,10,24.00,0.03,0.04,16,1287,29.10,0.05,2.24,,,
Jul,10,24.50,0.02,0.03,47,765,31.10,0.04,1.50,,,
Aug,10,21.00,1.23,1.30,8,64,33.10,0.59,33.54,,,
Aug,10,21.50,0.94,0.92,49,184,32.00,0.51,31.86,,,
Aug,10,22.00,0.68,0.63,42,289,30.10,0.42,22.92,,,
Aug,10,22.50,0.47,0.48,13,169,29.00,0.34,16.01,,,
Aug,10,23.00,0.32,0.34,140,727,28.10,0.26,10.79,,,
Aug,10,23.50,0.23,0.26,15,124,28.10,0.20,7.58,,,
Aug,10,24.00,0.16,0.13,27,425,28.10,0.15,5.23,,,
Aug,10,24.50,0.10,0.10,20,333,28.00,0.11,3.37,,,
Aug,10,25.50,0.04,0.03,5,71,28.00,0.05,1.52,,,
Sep,10,21.00,1.50,1.44,25,122,32.50,0.59,27.53,,,
Sep,10,22.00,0.95,0.96,20,279,30.40,0.46,20.78,,,
Sep,10,22.50,0.72,0.70,67,94,29.20,0.39,15.78,,,
Sep,10,23.00,0.56,0.58,4,279,28.90,0.33,12.08,,,
Sep,10,23.50,0.38,0.40,5,124,27.10,0.26,8.16,,,
Sep,10,25.00,0.14,0.16,150,426,26.50,0.12,3.05,,,
Sep,10,26.50,0.05,0.07,4,173,26.60,0.05,1.09,,,
Oct,10,21.50,1.49,1.61,1,18,31.00,0.55,22.40,,,
Oct,10,22.00,1.26,1.06,20,64,31.10,0.49,19.08,,,
Oct,10,22.50,1.02,1.06,11,33,29.90,0.44,15.46,,,
Oct,10,23.00,0.85,0.85,10,356,29.90,0.39,12.89,,,
Oct,10,24.00,0.58,0.50,520,62,29.90,0.29,8.82,,,
Dec,10,22.50,1.22,1.21,10,133,30.30,0.48,12.34,,,
Dec,10,23.00,1.03,1.09,2,635,29.90,0.44,10.47,,,
Dec,10,23.50,0.84,0.80,4,202,29.00,0.39,8.50,,,
Dec,10,24.00,0.70,0.57,7,583,28.80,0.35,7.08,,,
Dec,10,24.50,0.56,0.56,94,927,28.30,0.31,5.71,,,
Mar,11,24.00,1.12,1.25,3,36,29.20,0.42,7.38,,,
Jun,11,21.50,2.48,2.48,1,-,32.40,0.62,12.09,,,
ASX Ltd Last Sale Price $28.34,,,,,,,,,,,,
Jul,10,27.50,1.20,1.06,3,-,23.50,0.73,20.16,,,
Jul,10,29.00,0.34,0.31,12,2,20.90,0.36,19.04,,,
Aug,10,29.00,0.64,0.64,1,-,20.20,0.43,16.16,,,
Alumina Ltd Last Sale Price $1.49,,,,,,,,,,,,
Jul,10,1.50,0.06,0.07,118,521,43.10,0.51,63.90,,,
Jul,10,1.60,0.03,0.03,2,1578,42.80,0.28,26.63,,,
Jul,10,1.70,0.01,0.01,8,2291,49.20,0.16,15.98,,,
Aug,10,1.40,0.15,0.14,20,145,42.60,0.70,28.82,,,
Dec,10,1.47,0.20,0.34,50,20,41.70,0.61,25.22,,,
Dec,10,1.56,0.16,0.23,50,190,41.60,0.53,22.34,,,
Dec,10,1.65,0.12,0.16,47,339,40.90,0.45,16.57,,,
AXA Asia Pacific Last Sale Price $5.35,,,,,,,,,,,,
Jul,10,5.50,0.14,0.18,8,310,38.30,0.42,43.01,,,
Sep,10,6.50,0.06,0.06,4,225,36.10,0.16,4.75,,,
BHP Billiton Ltd Last Sale Price $37.43,,,,,,,,,,,,
Jul,10,30.00,7.51,10.10,7,8,33.20,1.00,3.60,,,
Jul,10,35.00,2.84,3.98,6,20,32.70,0.82,17.17,,,
Jul,10,36.00,2.04,2.03,10,173,31.10,0.72,26.07,,,
Jul,10,36.50,1.68,1.75,1,165,30.10,0.66,31.80,,,
Jul,10,37.00,1.35,1.30,119,281,29.10,0.60,38.79,,,
Jul,10,37.50,1.05,1.13,116,674,28.20,0.52,44.52,,,
Jul,10,38.00,0.80,0.81,286,960,27.40,0.44,33.71,,,
Jul,10,38.50,0.58,0.61,61,1024,26.80,0.37,24.80,,,
Jul,10,39.00,0.42,0.45,157,1830,26.40,0.29,17.81,,,
Jul,10,39.50,0.30,0.32,154,1112,26.30,0.23,12.72,,,
Jul,10,40.00,0.20,0.20,644,2484,25.80,0.17,8.48,,,
Jul,10,40.50,0.14,0.15,41,1039,26.10,0.13,5.94,,,
Jul,10,41.00,0.10,0.11,56,2508,26.10,0.09,4.03,,,
Jul,10,41.50,0.07,0.10,1,942,26.30,0.07,2.76,,,
Jul,10,42.00,0.05,0.05,54,2100,27.30,0.05,2.12,,,
Jul,10,42.01,0.05,0.06,20,17,27.40,0.05,2.12,,,
Jul,10,43.00,0.04,0.04,6,902,29.70,0.03,1.48,,,
Jul,10,44.00,0.01,0.02,20,301,30.00,0.02,0.64,,,
Aug,10,36.00,2.71,2.77,8,83,32.40,0.67,24.47,,,
Aug,10,37.00,2.02,2.09,21,215,30.40,0.59,30.50,,,
Aug,10,37.50,1.77,1.81,94,418,30.50,0.54,33.84,,,
Aug,10,38.00,1.47,1.50,33,460,29.30,0.50,28.11,,,
Aug,10,38.50,1.23,1.29,10,345,28.60,0.45,23.42,,,
Aug,10,39.00,1.00,1.05,54,931,28.10,0.39,19.22,,,
Aug,10,39.50,0.81,0.80,56,431,27.50,0.34,15.58,,,
Aug,10,40.00,0.66,0.67,45,997,27.10,0.30,12.52,,,
Aug,10,40.50,0.52,0.60,10,446,26.80,0.25,9.94,,,
Aug,10,41.00,0.41,0.39,17,530,26.40,0.21,7.84,,,
Aug,10,41.50,0.30,0.33,31,169,25.80,0.17,5.83,,,
Aug,10,42.00,0.23,0.25,3,651,25.40,0.14,4.30,,,
Aug,10,43.00,0.12,0.17,76,501,24.70,0.08,2.29,,,
Aug,10,43.50,0.09,0.12,5,47,24.70,0.07,1.72,,,
Sep,10,37.00,2.35,2.45,10,170,31.00,0.59,23.64,,,
Sep,10,38.00,1.83,1.87,9,560,30.40,0.52,22.53,,,
Sep,10,38.50,1.58,1.64,205,349,29.70,0.48,19.50,,,
Sep,10,40.00,0.95,0.96,202,704,28.00,0.36,11.73,,,
Sep,10,41.00,0.68,0.65,17,1534,27.50,0.29,8.33,,,
Sep,10,42.00,0.43,0.43,40,947,26.40,0.22,5.31,,,
Sep,10,42.50,0.38,0.30,3,104,26.70,0.19,4.63,,,
Oct,10,40.00,1.41,1.10,55,166,28.80,0.41,12.02,,,
Oct,10,41.00,1.06,1.15,10,52,28.00,0.35,9.11,,,
