AFR COURSE OF SALES,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
"XAO 5826.5 at 2015-05-04T11:03:30. Report at Monday, May 4, 2015. Processed Tuesday at 2015-05-05T01:00:05+10:00.",,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,
Stock Name/Code,15 minute interval high and low sales and total sales volume,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
INDUSTRIAL,,
MINING,,
INTEREST RATE MARKET,,
WARRANTS,,
CALL OPTIONS:OATS,,
AGL May15 1426 ,108 ,"[16]",,,
AMC Jul15 1201 ,180 ,"[19]",,,
AMP Jun15 471 ,183, 184.5 ,"[137]",,,
AMP Jun15 551 ,105 ,"[38]",,,
ANZ May15 3351 ,26 ,"[9]",,,
ANZ May15 3451 ,13.5, 12 ,"[35]",,,
ANZ May15 3501 ,9, 8 ,"[1,680]",,,
ANZ Jun15 3301 ,81 ,"[60]",,,
ANZ Jun15 3451 ,27, 22 ,"[159]",,,
ANZ Jun15 3501 ,15.5 ,"[65]",,,
ANZ Jun15 3551 ,12.5 ,"[40]",,,
ANZ Jun15 3601 ,7 ,"[80]",,,
ANZ Sep15 3101 ,260, 250 ,"[36]",,,
ANZ Sep15 3551 ,44 ,"[150]",,,
ANZ Sep15 3601 ,30 ,"[160]",,,
ANZ Dec15 3701 ,26.5 ,"[100]",,,
BHP May15 3401 ,45.5, 50 ,"[38]",,,
BHP May15 3451 ,33, 34, 26 ,"[389]",,,
BHP Jun15 11 ,3303.5 ,"[22]",,,
BHP Jun15 3001 ,340 ,"[10]",,,
BHP Jun15 3201 ,196 ,"[60]",,,
BHP Jun15 3451 ,57.5 ,"[100]",,,
BHP Jul15 3301 ,175 ,"[110]",,,
BHP Aug15 3401 ,143 ,"[70]",,,
BHP Sep15 2801 ,530 ,"[15]",,,
BHP Sep15 3501 ,106 ,"[10]",,,
BHP Sep15 3601 ,70, 68, 64, 71 ,"[665]",,,
BHP Dec15 3501 ,154 ,"[25]",,,
BHP Mar16 4101 ,45 ,"[50]",,,
BLD Jun15 551 ,80 ,"[100]",,,
CBA May15 5501 ,3321.5 ,"[12]",,,
CBA May15 8851 ,155, 150, 144 ,"[120]",,,
CBA May15 9101 ,62.5 ,"[30]",,,
CBA Jun15 8201 ,700 ,"[33]",,,
CBA Jun15 8501 ,435 ,"[20]",,,
CBA Jun15 8601 ,348 ,"[165]",,,
CBA Jun15 9001 ,130 ,"[37]",,,
CBA Jun15 9301 ,64, 65.5, 57, 56 ,"[210]",,,
CBA Jun15 9401 ,47.5, 36 ,"[60]",,,
CBA Jul15 8001 ,915 ,"[20]",,,
CBA Sep15 9501 ,79.5 ,"[20]",,,
CBA Dec15 7601 ,1160 ,"[20]",,,
CSL May15 9801 ,25, 22, 23 ,"[625]",,,
FMG May15 211 ,29 ,"[500]",,,
FMG May15 231 ,18.5, 19.5 ,"[1,600]",,,
FMG May15 271 ,6 ,"[150]",,,
IAG Jun15 626 ,4 ,"[33]",,,
MPL Jun15 241 ,1.5 ,"[800]",,,
MQG May15 7901 ,120 ,"[24]",,,
MQG May15 8201 ,55 ,"[40]",,,
MQG May15 8301 ,42.5 ,"[20]",,,
MQG Jun15 7172 ,640 ,"[60]",,,
NAB May15 3551 ,63 ,"[30]",,,
NAB May15 3601 ,50, 50.5, 47.5, 46, 47, 46 ,"[300]",,,
NAB May15 3651 ,31 ,"[800]",,,
NAB May15 3751 ,13, 12.5 ,"[1,400]",,,
NAB Jun15 3651 ,49, 50, 47 ,"[1,530]",,,
NAB Jun15 3851 ,12 ,"[22]",,,
NAB Sep15 3501 ,210 ,"[32]",,,
NAB Sep15 3801 ,57 ,"[40]",,,
ORG Jun15 1151 ,179 ,"[20]",,,
ORG Jun15 1301 ,56 ,"[20]",,,
RIO May15 5501 ,507 ,"[7]",,,
RIO May15 6201 ,54.5 ,"[2]",,,
RIO Jun15 6001 ,200 ,"[5]",,,
RIO Jun15 6401 ,58 ,"[145]",,,
RIO Jul15 5001 ,1040 ,"[150]",,,
STO May15 901 ,16 ,"[100]",,,
STO Jul15 1101 ,5 ,"[30]",,,
TLS May15 626 ,11 ,"[75]",,,
TLS May15 631 ,8.5 ,"[100]",,,
TLS Jun15 601 ,36.5 ,"[50]",,,
TLS Jun15 641 ,8 ,"[100]",,,
TLS Mar16 626 ,26 ,"[500]",,,
TLS Mar16 651 ,17 ,"[200]",,,
WBC May15 3601 ,26 ,"[20]",,,
WBC May15 3651 ,18 ,"[30]",,,
WBC May15 3701 ,10, 9, 8 ,"[770]",,,
WBC May15 3801 ,5 ,"[26]",,,
WBC May15 3851 ,4, 3.5 ,"[169]",,,
WBC Jun15 2486 ,998 ,"[1]",,,
WBC Jun15 3083 ,400 ,"[100]",,,
WBC Jun15 3331 ,210 ,"[270]",,,
WBC Jun15 3480 ,98 ,"[160]",,,
WBC Jun15 3579 ,60, 50 ,"[470]",,,
WBC Jun15 3679 ,23, 18 ,"[68]",,,
WBC Jun15 3778 ,14 ,"[60]",,,
WBC Jun15 3877 ,5 ,"[55]",,,
WBC Jun15 4026 ,2, 2.5 ,"[1,510]",,,
WBC Jul15 3551 ,80 ,"[130]",,,
WBC Jul15 3601 ,60 ,"[50]",,,
