Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4439.4 at 16:38 25/6/2010  Report at 19:05 Friday 25/6/2010. Processed 20:59 Sunday 27/6/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.018,-,-,-,-,-,-,0.018,0.018,0.038,0.009,-,,-,-,-,-0.32,-,-,-,
Advanced Engine,ACE,0.034,-0.3,-,-,-,-,-,0.037,0.033,0.093,0.031,-,,-,-0.05,-,-2.58,-,0.1,3.03,
Auto Tech Ltd,ATJ,0.05,0.2,0.05,0.055,620,0.05,0.05,0.05,0.046,0.092,0.028,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.005,-,-,-,-,-,-,0.005,0.005,0.011,0.005,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.42,-,-,-,-,-,-,0.45,0.42,0.737,0.35,-,,-,1.23,-,19.64,2.1,-1.0,-2.33,
Datadot Tech,DDT,0.029,-0.1,0.029,0.032,8760,0.03,0.029,0.034,0.029,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.3,-9.37,
Fleetwood Corp,FWD,9.74,9,9.60,9.76,879,9.77,9.51,10.00,9.51,10.00,5.30,66,f,0.98,2.12,6.78,64.7,15.1,-6.0,-0.61,
Orbital Corp Ltd,OEC,0.026,-,0.026,0.027,6957,0.027,0.026,0.03,0.026,0.08,0.026,-,,-,0.02,-,-0.51,-,-0.3,-10.34,
Schaffer Corp Ltd,SFC,4.59,9,4.51,5.19,132,4.63,4.50,5.20,4.50,6.73,4.30,40,f,1.89,3.62,8.71,75.7,6.1,-66.0,-12.57,
Supply Net,SNL,0.32,-,-,-,-,-,-,0.38,0.32,0.51,0.24,3,f,1.91,0.40,9.38,5.74,5.6,-6.0,-15.79,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.01,-,-,-,-,-,-,0.01,0.01,0.058,0.008,-,,-,0.12,-,-7.66,-,-,-,
Atlantic Ltd,ATI,0.044,-0.1,0.042,0.044,117996,0.044,0.041,0.046,0.04,0.07,0.01,-,,-,0.01,-,-0.12,-,0.3,7.32,
  opt dec11,ATIO,0.035,-,-,-,-,-,-,0.035,0.034,0.058,0.003,-,,-,-,-,-,-,0.3,9.38,
Atlas Southsea Pearl,ATP,0.115,-0.5,-,-,-,-,-,0.125,0.115,0.145,0.085,-,,-,0.13,-,-6.75,-,-,-,
Billabong Intl,BBG,8.88,8,8.85,8.98,9541,8.94,8.60,9.59,8.60,12.32,7.93,36,p,1.59,0.84,4.05,57.2,15.5,-50.0,-5.33,
BKM Management,BKM,0.006,-,-,-,-,-,-,0.006,0.006,0.013,0.003,-,,-,-,-,-0.2,-,-,-,
Fisher & Paykel App,FPA,0.47,1.5,0.455,0.475,804,0.475,0.455,0.49,0.45,0.715,0.425,-,,-,-,-,-10.54,-,-1.0,-2.08,
Funtastic Ltd,FUN,0.21,0.5,0.21,0.22,2007,0.215,0.205,0.23,0.20,0.30,0.125,-,,-,0.01,-,-25,-,-1.5,-6.67,
Gale Pacific Ltd,GAP,0.15,-,-,-,-,-,-,0.15,0.15,0.205,0.054,-,,-,0.24,-,3.11,4.8,-,-,
Gazal Corp,GZL,1.59,-,1.59,1.62,45,1.59,1.59,1.60,1.55,1.60,0.93,8,f,1.29,0.69,5.03,10.3,15.4,-1.0,-0.63,
GLG Corp Ltd,GLE,0.28,-,-,-,-,-,-,0.28,0.28,0.40,0.14,-,,-,0.49,-,7.78,3.6,-,-,
Globe Intl,GLB,0.46,-,-,-,-,-,-,0.46,0.46,0.525,0.195,-,,-,0.70,-,3.12,14.7,-,-,
GUD Hldgs,GUD,8.73,4,8.69,8.73,2582,8.75,8.64,8.75,8.45,10.62,6.12,61,f,1.18,1.09,6.99,71.73,12.2,8.0,0.92,
Headline Grp Ltd,HLD,0.28,-,0.275,0.30,-,-,-,0.29,0.275,0.35,0.10,-,,-,0.08,-,-1.79,-,0.5,1.82,
Island Sky Aust,ISK,0.037,0.2,0.032,0.035,300,0.037,0.037,0.038,0.035,0.287,0.035,-,,-,0.03,-,-2.07,-,0.1,2.78,
  opt nov11,ISKO,0.025,-,-,-,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.37,-,-,-,-,-,-,0.37,0.36,0.46,0.135,3,f,1.52,0.18,8.11,4.57,8.1,0.5,1.37,
McPherson's Ltd,MCP,2.50,-4,2.50,2.53,1622,2.53,2.45,2.69,2.45,3.48,1.63,10,f,2.96,0.02,4.00,29.6,8.4,-,-,
Merchant House,MHI,0.165,-,-,-,-,-,-,0.175,0.165,0.18,0.10,1.5,,2.84,0.25,9.09,4.26,3.9,-,-,
Mesbon China Nylon,MES,0.12,-,0.115,0.125,-,-,-,0.13,0.12,0.14,0.061,0.5,,4.08,0.32,4.17,2.04,5.9,1.0,9.09,
Photo-Me Aust,PTO,0.005,-,-,-,-,-,-,0.005,0.005,0.009,0.004,-,,-,0.01,-,-2.08,-,-,-,
  opt jul11,PTOO,0.001,-,-,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.078,-0.5,0.078,0.083,1568,0.08,0.078,0.085,0.076,0.42,0.063,-,,-,0.03,-,2.41,3.2,-0.1,-1.27,
Shenhua Ltd,SHU,0.495,-,-,-,-,-,-,0.495,0.495,0.55,0.45,-,,-,-,-,5.2,9.5,-,-,
Tamawood Ltd,TWD,2.41,-7,2.42,2.48,2016,2.45,2.40,2.48,2.40,2.76,1.644,21,f,1.39,0.91,8.71,29.22,8.2,1.0,0.42,
Thomas Bryson Int,TBI,0.35,-,-,-,-,-,-,0.35,0.35,0.53,0.35,1,,-,-,2.86,-2.26,-,-,-,
Treyo Leisure,TYO,0.335,-,-,-,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.11,-,2.3,14.6,-,-,
TWT Grp Ltd,TWT,0.061,-0.4,0.05,0.061,1023,0.065,0.061,0.075,0.061,0.175,0.061,-,,-,0.31,-,-5.24,-,-1.4,-18.67,
Undercoverwear,UCW,0.205,-,-,-,-,-,-,0.22,0.205,0.35,0.19,2.25,f,-,0.09,10.98,-5.65,-,0.5,2.5,
Vmoto Ltd,VMT,0.155,1,0.15,0.155,2795,0.155,0.145,0.16,0.145,0.215,0.061,-,,-,0.02,-,-1.07,-,1.0,6.9,
Waterco Ltd,WAT,1.04,-,0.96,1.06,-,-,-,1.04,1.02,1.06,0.65,6,f,1.72,1.26,5.77,10.3,10.1,8.0,8.33,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.09,-,0.09,0.095,142,0.095,0.09,0.095,0.09,0.22,0.067,-,,-,0.01,-,-4.95,-,-,-,
Aircruising Aust,AIG,0.11,-,-,-,-,-,-,0.11,0.11,0.11,0.10,-,,-,-0.11,-,-8.38,-,-,-,
Allied Brands Ltd,ABQ,0.025,-0.2,0.025,0.028,21107,0.027,0.024,0.033,0.024,0.245,0.024,0.5,,4.60,0.06,20.00,2.3,1.1,-0.8,-24.24,
  opt dec10,ABQO,0.001,-,-,-,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.73,-1,3.72,3.77,9977,3.77,3.70,4.00,3.70,5.75,3.37,4.5,,-,0.07,1.21,-31.3,-,-23.0,-5.81,
Artist & Entertain,AEM,0.011,-,-,-,-,-,-,0.011,0.008,0.025,0.008,-,,-,-,-,-1.54,-,0.1,10,
Centrebet Internat,CIL,1.445,-,1.355,1.445,692,1.455,1.35,1.505,1.35,1.89,0.86,10.5,,1.02,0.11,7.27,10.7,13.5,-5.5,-3.67,
Crown Ltd,CWN,7.90,-19,7.89,7.98,9952,7.99,7.85,8.23,7.85,9.39,6.41,37,p,-,3.24,4.68,-92.35,-,-10.0,-1.25,
Domino Pizza Enterpr,DMP,5.30,-12,5.17,5.43,2076,5.43,5.30,5.48,5.30,5.80,3.10,14,f,1.86,0.69,2.64,26,20.4,-10.0,-1.85,
eBet Ltd,EBT,0.075,-,-,-,-,-,-,0.081,0.075,0.105,0.044,-,,-,-0.01,-,0.52,14.4,-0.5,-6.25,
Eumundi Grp Ltd,EBG,0.049,-,-,-,-,-,-,0.049,0.049,0.081,0.03,-,,-,0.19,-,-6,-,-,-,
Flight Centre,FLT,16.80,-24,16.79,16.95,1815,16.93,16.58,18.14,16.58,21.43,8.32,26,f,2.44,2.56,1.55,63.4,26.5,-77.0,-4.38,
G8 Education Ltd,GEM,0.49,-2,0.49,0.505,113,0.51,0.49,0.54,0.49,0.685,0.07,-,,-,-0.27,-,-0.35,-,-5.0,-9.26,
Garratt's Ltd,GRT,0.38,-,-,-,-,-,-,0.38,0.38,0.56,0.30,3,,1.43,0.14,7.89,4.28,8.9,-,-,
Integrated Legal,IAW,0.10,-0.5,-,-,-,-,-,0.105,0.105,0.17,0.091,0.25,f,2.16,0.06,2.50,0.54,18.5,-,-,
Invocare Ltd,IVC,6.17,-3,6.15,6.21,2049,6.21,6.16,6.21,6.06,6.50,5.25,25.25,f,1.30,0.48,4.09,32.9,18.8,2.0,0.33,
Jetset Travelworld,JET,0.84,2,0.84,0.95,11,0.89,0.84,0.89,0.82,1.70,0.68,3.6,f,0.63,0.12,4.29,2.28,36.8,-4.0,-4.55,
Kip McGrath Edu Cntr,KME,0.26,-0.5,-,-,-,-,-,0.285,0.26,0.45,0.105,2,,8.59,-0.10,7.69,17.19,1.5,-1.5,-5.45,
Macro Corp Ltd,MAC,0.024,-,-,-,-,-,-,0.025,0.024,0.04,0.024,-,,-,0.08,-,-0.43,-,-0.1,-4,
National Leisure,NLG,0.006,-0.2,0.007,0.009,45655,0.008,0.006,0.01,0.006,0.044,0.006,-,,-,-0.32,-,0.34,1.8,-0.4,-40,
Navitas Ltd,NVT,4.64,1,4.63,4.66,1308,4.66,4.57,4.67,4.45,5.56,2.63,16.9,f,0.99,-0.25,3.64,16.8,27.6,1.0,0.22,
Newhaven Hotels,NHH,1.90,-,-,-,-,-,-,1.88,1.88,2.20,1.75,6,f,0.96,1.09,3.16,5.74,33.1,2.0,1.06,
Ocean Capital,OCE,0.25,-,-,-,-,-,-,0.25,0.25,0.40,0.25,1.5,,0.93,0.41,6.00,1.39,18.0,-,-,
Odyssey Gaming,ODG,0.04,-,-,-,-,-,-,0.04,0.04,0.07,0.017,-,,-,0.06,-,0.5,8.0,-0.2,-4.76,
Planet Platinum,PPN,0.20,-,-,-,-,-,-,0.20,0.20,0.30,0.16,2.06,,2.17,0.21,10.30,4.46,4.5,-,-,
Qld Trustees Invest,QTI,0.36,-,-,-,-,-,-,0.36,0.36,0.50,0.36,-,,-,0.78,-,1.02,35.3,-,-,
Reef Casino Tr unt,RCT,1.99,-,1.765,1.985,-,-,-,1.99,1.91,2.15,1.70,24,,1.07,2.04,12.06,25.7,7.7,8.0,4.19,
Retail Food Grp,RFG,2.60,-5,2.52,2.65,10,2.65,2.60,2.68,2.60,3.10,1.535,10,f,2.54,-0.70,3.85,25.4,10.2,-4.0,-1.52,
Sino Strategic Intl,SSI,0.28,-1.5,0.25,0.27,6,0.28,0.28,0.30,0.28,0.92,0.28,-,,-,-0.05,-,-67,-,-,-,
Sky City Entertain,SKC,2.39,-,2.33,2.40,1897,2.40,2.36,2.40,2.28,2.89,2.03,11.69,,1.63,0.53,4.89,19.09,12.5,7.0,3.02,
Slater & Gordon,SGH,1.50,-,1.54,1.54,-,-,-,1.55,1.50,1.79,1.425,5.25,f,3.16,0.82,3.50,16.6,9.0,-5.0,-3.23,
