Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4574.1 at 16:41 18/6/2010  Report at 19:05 Friday 18/6/2010. Processed 19:18 Friday 18/6/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.018,-,0.018,0.019,2520,0.019,0.018,0.019,0.018,0.038,0.009,-,,-,-,-,-0.32,-,-0.1,-5.26,
Advanced Engine,ACE,0.033,-,0.033,0.035,1134,0.033,0.033,0.035,0.033,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.2,-5.71,
Auto Tech Ltd,ATJ,0.05,-,0.041,0.05,-,-,-,0.05,0.05,0.092,0.028,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.005,-,0.005,-,-,-,-,0.005,0.005,0.011,0.005,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.43,-,0.43,0.48,-,-,-,0.43,0.43,0.737,0.35,-,,-,1.23,-,19.64,2.2,-,-,
Datadot Tech,DDT,0.032,-,0.033,0.034,7340,0.034,0.032,0.034,0.031,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.3,-8.57,
Fleetwood Corp,FWD,9.80,37,9.30,9.80,3965,9.80,9.32,9.80,8.86,9.80,5.30,66,f,0.98,2.12,6.73,64.7,15.1,93.0,10.48,
Orbital Corp Ltd,OEC,0.029,-0.1,0.028,0.029,10000,0.031,0.029,0.031,0.028,0.08,0.028,-,,-,0.02,-,-0.51,-,-0.2,-6.45,
Schaffer Corp Ltd,SFC,5.25,-5,5.20,5.30,11,5.25,5.24,5.30,5.20,6.73,4.10,40,f,1.89,3.62,7.62,75.7,6.9,5.0,0.96,
Supply Net,SNL,0.38,-,0.38,0.39,-,-,-,0.38,0.38,0.51,0.24,3,f,1.91,0.40,7.89,5.74,6.6,-,-,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.01,-,0.01,0.012,3368,0.01,0.01,0.01,0.01,0.058,0.008,-,,-,0.12,-,-7.66,-,-,-,
Atlantic Ltd,ATI,0.041,-,0.04,0.041,14672,0.042,0.041,0.044,0.04,0.07,0.01,-,,-,0.01,-,-0.12,-,-0.3,-6.82,
  opt dec11,ATIO,0.032,0.1,0.032,0.035,11250,0.032,0.029,0.032,0.029,0.058,0.003,-,,-,-,-,-,-,-,-,
Atlas Southsea Pearl,ATP,0.115,0.5,0.11,0.115,350,0.12,0.115,0.125,0.11,0.145,0.085,-,,-,0.13,-,-6.75,-,-1.0,-8,
Billabong Intl,BBG,9.38,-7,9.35,9.48,12208,9.59,9.38,9.72,9.36,12.32,7.93,36,p,1.59,0.84,3.84,57.2,16.4,-32.0,-3.3,
BKM Management,BKM,0.006,-,0.005,0.009,-,-,-,0.006,0.005,0.013,0.003,-,,-,-,-,-0.2,-,0.1,20,
Fisher & Paykel App,FPA,0.48,-,0.48,0.485,2326,0.485,0.48,0.485,0.45,0.715,0.425,-,,-,-,-,-10.54,-,2.0,4.35,
Funtastic Ltd,FUN,0.225,-,0.225,0.23,147,0.225,0.22,0.23,0.21,0.30,0.125,-,,-,0.01,-,-25,-,0.5,2.27,
Gale Pacific Ltd,GAP,0.15,0.5,0.15,0.25,451,0.15,0.15,0.16,0.145,0.205,0.054,-,,-,0.24,-,3.11,4.8,0.5,3.45,
