Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4913.5 at 16:37 23/4/2010  Report at 19:06 Friday 23/4/2010. Processed 19:30 Friday 23/4/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.024,-,0.022,0.024,194,0.024,0.024,0.024,0.024,0.038,0.009,-,,-,-,-,-0.32,-,-,-
Advanced Engine,ACE,0.045,-,0.045,0.051,-,-,-,0.049,0.045,0.093,0.031,-,,-,-0.05,-,-2.58,-,-0.4,-8.16
Auto Tech Ltd,ATJ,0.05,0.4,0.042,0.049,1160,0.05,0.042,0.06,0.042,0.151,0.028,-,,-,0.02,-,-4.29,-,-1.0,-16.67
  opt jun11,ATJO,0.011,-,0.01,0.011,32,0.011,0.011,0.011,0.01,0.011,0.01,-,,-,-,-,-,-,0.1,10
Berklee Ltd,BER,0.445,-,0.42,0.495,-,-,-,0.445,0.425,0.737,0.35,-,,-,1.23,-,19.64,2.3,2.0,4.71
Datadot Tech,DDT,0.039,-,0.039,0.04,180,0.039,0.039,0.041,0.039,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.1,-2.5
Fleetwood Corp,FWD,9.50,10,9.40,9.55,2523,9.54,9.39,9.74,9.14,9.74,5.30,66,f,0.98,2.12,6.95,64.7,14.7,-2.0,-0.21
Orbital Corp Ltd,OEC,0.04,-,0.04,0.044,10387,0.041,0.04,0.044,0.04,0.115,0.039,-,,-,0.02,-,-0.51,-,-0.4,-9.09
Schaffer Corp Ltd,SFC,6.11,1,6.10,6.11,10,6.11,6.11,6.12,6.10,6.73,3.99,40,f,1.89,3.62,6.55,75.7,8.1,1.0,0.16
Supply Net,SNL,0.38,-,0.38,0.385,-,-,-,0.38,0.35,0.51,0.24,3,f,1.91,0.40,7.89,5.74,6.6,3.0,8.57
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.018,-0.2,0.018,0.02,2000,0.018,0.018,0.02,0.018,0.058,0.018,-,,-,0.12,-,-7.66,-,-,-
Atlantic Ltd,ATI,0.062,-0.1,0.061,0.062,436296,0.07,0.061,0.07,0.041,0.07,0.006,-,,-,0.01,-,-0.12,-,1.7,37.78
  opt dec11,ATIO,0.053,0.2,0.053,0.054,54747,0.058,0.05,0.058,0.035,0.058,0.003,-,,-,-,-,-,-,1.8,51.43
Atlas Southsea Pearl,ATP,0.115,-,0.11,0.12,-,-,-,0.12,0.115,0.16,0.085,-,,-,0.13,-,-6.75,-,-0.5,-4.17
Billabong Intl,BBG,11.44,-2,11.35,11.60,8235,11.61,11.36,12.32,11.35,12.32,7.64,36,p,1.59,0.84,3.15,57.2,20.0,-48.0,-4.03
BKM Management,BKM,0.009,-,0.009,0.011,-,-,-,0.01,0.009,0.013,0.003,-,,-,-,-,-0.2,-,-0.1,-10
Fisher & Paykel App,FPA,0.45,-0.5,0.445,0.455,7086,0.455,0.45,0.46,0.435,0.725,0.242,-,,-,-,-,-38.56,-,-0.5,-1.1
Funtastic Ltd,FUN,0.26,-,0.26,0.265,253,0.265,0.26,0.27,0.25,0.30,0.125,-,,-,0.01,-,-25,-,-,-
Gale Pacific Ltd,GAP,0.17,-,0.165,0.195,-,-,-,0.18,0.17,0.205,0.05,-,,-,0.24,-,3.11,5.5,-0.5,-2.86
