Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,
 XAO 4925.9 at 16:34 1/4/2010  Report at 17:17 Thursday 1/4/2010. Processed 18:07 Thursday 1/4/2010.,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.023,-,0.021,0.023,-,-,-,0.023,0.021,0.038,0.009,-,,-,-,-,-0.32,-,0.1,4.55
Advanced Engine,ACE,0.047,-0.3,0.048,0.05,131,0.047,0.047,0.05,0.047,0.093,0.031,-,,-,-0.05,-,-2.58,-,-,-
Auto Tech Ltd,ATJ,0.05,-0.5,0.05,0.051,940,0.05,0.05,0.056,0.05,0.151,0.028,-,,-,0.02,-,-4.29,-,-0.6,-10.71
  opt jun11,ATJO,0.01,-,0.01,-,-,-,-,0.01,0.01,0.01,0.01,-,,-,-,-,-,-,-,-
Berklee Ltd,BER,0.405,-,0.41,0.43,-,-,-,0.405,0.405,0.737,0.35,-,,-,1.23,-,19.64,2.1,-,-
Datadot Tech,DDT,0.04,-0.1,0.039,0.04,6250,0.041,0.039,0.043,0.039,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.4,-9.09
Fleetwood Corp,FWD,9.15,15,9.13,9.15,2015,9.15,8.95,9.15,8.87,9.15,5.30,66,f,0.98,2.12,7.21,64.7,14.1,32.0,3.62
Orbital Corp Ltd,OEC,0.04,-,0.04,0.041,1379,0.041,0.04,0.044,0.04,0.115,0.036,-,,-,0.02,-,-0.51,-,-,-
Schaffer Corp Ltd,SFC,6.12,-,6.11,6.14,-,-,-,6.12,6.11,6.73,3.96,40,f,1.89,3.62,6.54,75.7,8.1,-,-
Supply Net,SNL,0.33,2.5,0.305,0.425,275,0.33,0.33,0.33,0.30,0.51,0.23,3,f,1.91,0.40,9.09,5.74,5.7,4.5,15.79
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.019,-0.1,0.019,0.02,2500,0.019,0.019,0.021,0.019,0.058,0.019,-,,-,0.12,-,-7.66,-,-,-
Atlantic Ltd,ATI,0.031,0.1,0.03,0.032,31505,0.032,0.03,0.032,0.03,0.048,0.006,-,,-,0.01,-,-0.12,-,-0.1,-3.13
  opt dec11,ATIO,0.02,-,0.02,0.022,27717,0.021,0.02,0.021,0.02,0.039,0.003,-,,-,-,-,-,-,-,-
Atlas Southsea Pearl,ATP,0.11,-,0.11,0.125,-,-,-,0.12,0.11,0.16,0.085,-,,-,0.13,-,-6.75,-,-1.0,-8.33
Billabong Intl,BBG,11.22,-8,11.19,11.22,10723,11.30,11.08,11.50,11.06,12.19,7.64,36,p,1.59,0.84,3.21,57.2,19.6,-7.0,-0.62
BKM Management,BKM,0.01,-,0.009,0.012,-,-,-,0.01,0.009,0.013,0.003,-,,-,-,-,-0.2,-,-,-
Brainytoys Ltd def,BRTDA,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
  optmar13d,BRTDB,-,-,-,-,-,-,-,-,-,-,-,-,,-,-,-,-,-,-,-
Fisher & Paykel App,FPA,0.47,-1,0.47,0.485,4185,0.475,0.47,0.48,0.47,0.725,0.238,3.87,,-,-,8.23,-38.56,-,1.0,2.17
Funtastic Ltd,FUN,0.23,1,0.23,0.235,9282,0.235,0.22,0.235,0.20,0.30,0.125,-,,-,0.01,-,-25,-,3.0,15
