Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4685.1 at 16:41 17/9/2010  Report at 19:06 Friday 17/9/2010. Processed 23:04 Friday 17/9/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobiles & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.017,0.1,0.016,0.017,750,0.017,0.017,0.018,0.016,0.034,0.016,-,,-,-,-,-0.16,-,-,-,
Advanced Engine,ACE,0.035,-,0.032,0.035,-,-,-,0.035,0.035,0.093,0.031,-,,-,-0.03,-,-2.3,-,-,-,
Auto Tech Ltd,ATJ,0.048,-,0.044,0.048,500,0.048,0.048,0.048,0.048,0.065,0.04,-,,-,0.01,-,-2.46,-,-,-,
  opt jun11,ATJO,0.003,-,0.003,0.01,-,-,-,0.003,0.003,0.011,0.003,-,,-,-,-,-,-,-,-,
Berklee Ltd,BER,0.51,-,0.51,0.60,-,-,-,0.60,0.51,0.737,0.35,2,f,2.35,1.19,3.92,4.7,10.9,-9.0,-15,
Datadot Tech,DDT,0.046,0.3,0.046,0.048,11729,0.046,0.041,0.046,0.04,0.105,0.017,-,,-,0.01,-,0.27,17.0,0.6,15,
Fleetwood Corp,FWD,10.47,8,10.31,10.57,3237,10.53,10.32,10.53,9.94,10.53,7.20,68,f,1.07,2.86,6.49,72.6,14.4,52.0,5.23,
Orbital Corp Ltd,OEC,0.027,-,0.027,0.028,2611,0.029,0.027,0.03,0.025,0.068,0.025,-,,-,0.04,-,0.94,2.9,-0.3,-10,
Schaffer Corp Ltd,SFC,4.45,-,4.46,4.68,18,4.45,4.45,4.45,4.32,6.73,4.32,40,f,0.80,3.50,8.99,31.9,13.9,-20.0,-4.3,
Supply Net,SNL,0.425,-,0.39,0.41,-,-,-,0.425,0.425,0.51,0.24,3,f,1.98,0.42,7.06,5.93,7.2,-,-,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.019,-,0.015,0.019,-,-,-,0.019,0.019,0.045,0.008,-,,-,0.05,-,-6,-,-,-,
Atlas Southsea Pearl,ATP,0.115,-,0.115,0.12,-,-,-,0.125,0.115,0.145,0.08,-,,-,0.16,-,-5.06,-,-1.0,-8,
Billabong Intl,BBG,8.18,8,8.15,8.24,10469,8.22,8.11,8.30,7.89,12.32,7.31,36,p,1.62,0.40,4.40,58.3,14.0,30.0,3.81,
BKM Management,BKM,0.01,-,0.01,0.012,-,-,-,0.013,0.01,0.013,0.004,-,,-,-,-,-0.1,-,-0.1,-9.09,
Energio Ltd,EIO,0.007,-0.1,0.007,0.008,49507,0.008,0.007,0.009,0.007,0.013,0.006,-,,-,-,-,0.02,35.0,-0.2,-22.22,
  opt mar13,EIOO,-,-,-,-,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Fisher & Paykel App,FPA,0.455,-2,0.455,0.475,4046,0.47,0.455,0.475,0.425,0.655,0.395,-,,-,-,-,-10.54,-,4.5,10.98,
Funtastic Ltd,FUN,0.20,-,0.195,0.20,-,-,-,0.20,0.19,0.30,0.16,-,,-,0.01,-,-25,-,1.0,5.26,
Gale Pacific Ltd,GAP,0.26,1.5,0.25,0.265,5163,0.26,0.245,0.26,0.23,0.26,0.095,2,f,1.08,0.26,7.69,2.15,12.1,3.0,13.04,
Gazal Corp,GZL,1.80,-,1.82,1.90,-,-,-,1.80,1.75,1.80,1.20,11,f,1.46,0.79,6.11,16.1,11.2,-,-,
GLG Corp Ltd,GLE,0.30,-,0.29,0.385,-,-,-,0.30,0.30,0.40,0.24,-,,-,0.56,-,12.73,2.4,-,-,
Globe Intl,GLB,0.76,4.5,0.76,0.80,281,0.76,0.72,0.76,0.645,0.76,0.385,5,f,0.63,0.74,6.58,3.17,24.0,8.0,11.76,
GUD Hldgs,GUD,9.78,-7,9.74,9.80,1809,9.90,9.75,9.95,9.62,10.62,7.79,62,f,1.23,1.92,6.34,76.5,12.8,4.0,0.41,
Headline Grp Ltd,HLD,0.39,-0.5,0.38,0.39,587,0.395,0.39,0.395,0.37,0.41,0.135,-,,-,0.05,-,-2.66,-,2.0,5.41,
Island Sky Aust,ISK,0.019,-,0.017,0.02,750,0.019,0.019,0.02,0.019,0.196,0.019,-,,-,0.02,-,-3.72,-,-0.1,-5,
  opt nov11,ISKO,0.025,-,-,0.025,-,-,-,0.025,0.025,0.025,0.025,-,,-,-,-,-,-,-,-,
Kresta Hldgs,KRS,0.35,1.5,0.35,0.36,746,0.35,0.34,0.37,0.305,0.46,0.18,3.5,f,1.35,0.17,10.00,4.72,7.4,-2.0,-5.41,
McPherson's Ltd,MCP,2.76,-1,2.75,2.78,490,2.78,2.75,2.78,2.65,3.48,2.35,20,f,1.82,0.12,7.25,36.4,7.6,5.0,1.85,
Merchant House,MHI,0.17,-,0.17,0.175,355,0.17,0.17,0.17,0.17,0.18,0.12,1.5,,2.84,0.25,8.82,4.26,4.0,-,-,
Mesbon China Nylon,MES,0.12,-1,0.12,0.13,300,0.12,0.12,0.13,0.12,0.16,0.085,0.5,,10.86,0.35,4.17,5.43,2.2,-1.0,-7.69,
Photo-Me Aust,PTO,0.002,-,0.002,0.004,-,-,-,0.002,0.002,0.009,0.002,-,,-,0.01,-,-0.7,-,-,-,
  opt jul11,PTOO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.001,0.001,-,,-,-,-,-,-,-,-,
Quantum Energy,QTM,0.11,-,0.11,0.115,182,0.11,0.11,0.125,0.11,0.295,0.063,-,,-,0.03,-,0.83,13.3,-,-,
Shenhua Ltd,SHU,0.47,-,0.40,0.46,-,-,-,0.49,0.49,0.54,0.45,-,,-,0.39,-,9.8,4.8,-2.0,-4.08,
Tamawood Ltd,TWD,2.44,-,2.43,2.48,-,-,-,2.48,2.44,2.76,2.13,21,f,1.32,0.91,8.61,27.66,8.8,-1.0,-0.41,
Thomas Bryson Int,TBI,0.10,-,0.10,-,-,-,-,0.10,0.10,0.53,0.10,1,,-,0.03,10.00,-23.4,-,-,-,
Treyo Leisure,TYO,0.335,-,-,0.34,-,-,-,0.335,0.335,0.35,0.23,-,,-,0.12,-,1.56,21.5,-,-,
TWT Grp Ltd,TWT,0.05,-,0.031,0.12,-,-,-,0.051,0.05,0.175,0.046,-,,-,0.33,-,0.17,29.4,-0.1,-1.96,
Undercoverwear,UCW,0.16,-,0.16,0.165,-,-,-,0.165,0.16,0.35,0.15,1.25,,-,0.07,7.81,-12.92,-,-0.5,-3.03,
Vmoto Ltd,VMT,0.125,-,0.12,0.125,4612,0.125,0.12,0.13,0.12,0.215,0.10,-,,-,0.02,-,-0.77,-,-,-,
Waterco Ltd,WAT,1.18,-,1.15,1.20,-,-,-,1.18,1.18,1.18,0.92,8,f,1.54,1.43,6.78,12.3,9.6,-,-,
INDUSTRY GROUP: Consumer Services,,,,,,,,,,,,,,,,,,,,,,
Ainsworth Game Tech,AGI,0.125,1,0.125,0.13,92,0.125,0.12,0.125,0.11,0.22,0.08,-,,-,0.01,-,-1,-,0.5,4.17,
Aircruising Aust,AIG,0.065,-,0.001,0.08,-,-,-,0.065,0.065,0.11,0.065,-,,-,-0.11,-,-3.63,-,-,-,
Allied Brands Ltd,ABQ,0.019,0.1,0.018,0.019,21960,0.019,0.016,0.027,0.016,0.195,0.016,0.5,,-,-0.07,26.32,-18.9,-,-0.8,-29.63,
  opt dec10,ABQO,0.001,-,-,0.001,-,-,-,0.001,0.001,0.005,0.001,-,,-,-,-,-,-,-,-,
Aristocrat Leisure,ALL,3.74,-,3.72,3.78,22146,3.79,3.68,3.99,3.68,5.75,3.34,3.5,,-,0.15,0.94,-15,-,-1.0,-0.27,
Artist & Entertain,AEM,0.009,-,0.009,0.01,-,-,-,0.009,0.008,0.023,0.007,-,,-,-,-,-0.4,-,0.1,12.5,
Centrebet Internat,CIL,1.705,3.5,1.67,1.72,1391,1.705,1.67,1.705,1.60,1.89,1.05,13.5,f,1.24,0.14,7.92,16.7,10.2,8.5,5.25,
Crown Ltd,CWN,8.50,-1,8.46,8.58,21271,8.57,8.45,8.57,8.29,9.39,7.41,37,p,1.04,3.42,4.35,38.54,22.1,20.0,2.41,
Domino Pizza Enterpr,DMP,5.50,6,5.50,5.60,37,5.50,5.40,5.50,5.37,5.764,3.926,14.4,f,1.82,0.70,2.62,26.2,21.0,10.0,1.85,
eBet Ltd,EBT,0.085,-,0.085,0.089,1241,0.085,0.085,0.087,0.083,0.096,0.065,-,,-,-,-,0.81,10.5,-,-,
Eumundi Grp Ltd,EBG,0.046,-,0.046,0.06,-,-,-,0.046,0.046,0.08,0.03,-,,-,0.16,-,-4.9,-,-,-,
Flight Centre,FLT,23.30,32,22.55,23.30,2702,23.35,22.73,23.35,22.05,23.35,13.11,70,f,2.00,3.07,3.00,140.3,16.6,131.0,5.96,
G8 Education Ltd,GEM,0.67,2,0.65,0.69,50,0.67,0.67,0.69,0.62,0.69,0.08,1,,2.12,-0.13,1.49,2.12,31.6,4.0,6.35,
Garratt's Ltd,GRT,0.50,-,0.50,0.55,-,-,-,0.50,0.50,0.56,0.35,3,,1.43,0.15,6.00,4.28,11.7,-,-,
Integrated Legal,IAW,0.12,0.5,0.12,0.13,804,0.12,0.115,0.12,0.11,0.15,0.091,0.75,f,1.57,0.07,6.25,1.18,10.2,1.0,9.09,
Invocare Ltd,IVC,6.39,-8,6.38,6.50,3405,6.59,6.37,6.69,6.37,6.85,5.33,26.75,f,1.31,0.47,4.19,35.1,18.2,-31.0,-4.63,
Jetset Travelworld,JET,0.82,-,0.80,0.85,-,-,-,0.85,0.80,1.70,0.63,1.6,,2.49,0.13,1.95,3.98,20.6,0.5,0.61,
Kip McGrath Edu Cntr,KME,0.28,3,0.11,0.28,147,0.28,0.25,0.28,0.25,0.42,0.25,2,,0.90,-0.11,7.14,1.8,15.6,3.0,12,
Macro Corp Ltd,MAC,0.031,-,0.005,0.038,-,-,-,0.031,0.031,0.032,0.024,-,,-,0.06,-,-1.83,-,-,-,
National Leisure,NLG,0.009,-,0.009,0.011,-,-,-,0.009,0.008,0.044,0.005,-,,-,-0.26,-,-0.77,-,-,-,
Navitas Ltd,NVT,4.33,-,4.30,4.33,10822,4.37,4.30,4.46,4.30,5.56,3.34,18.8,f,1.00,-0.23,4.34,18.8,23.0,-9.0,-2.04,
Newhaven Hotels,NHH,1.89,-,1.90,2.50,-,-,-,1.89,1.89,1.96,1.75,6,f,1.10,1.06,3.17,6.6,28.6,-,-,
Ocean Capital,OCE,0.32,-,0.24,0.32,-,-,-,0.32,0.32,0.40,0.20,0.75,f,-,0.36,2.34,-2.18,-,-,-,
Odyssey Gaming,ODG,0.02,-,0.02,-,-,-,-,0.03,0.02,0.07,0.02,-,,-,0.06,-,0.23,8.7,-1.0,-33.33,
Planet Platinum,PPN,0.21,-,0.23,0.30,-,-,-,0.21,0.21,0.30,0.16,2.06,,2.63,0.24,9.81,5.42,3.9,-,-,
Qld Trustees Invest,QTI,0.305,-2.5,0.305,0.34,250,0.33,0.305,0.33,0.305,0.50,0.305,-,,-,0.60,-,-3.6,-,-2.5,-7.58,
Reef Casino Tr unt,RCT,1.82,-,1.85,1.86,-,-,-,1.82,1.82,2.15,1.70,24,,1.89,1.98,13.19,45.4,4.0,-,-,
Retail Food Grp,RFG,2.47,-2,2.47,2.48,318,2.50,2.46,2.52,2.46,3.10,2.11,11.75,f,2.15,-0.64,4.76,25.3,9.8,-,-,
Sky City Entertain,SKC,2.23,-,2.20,2.25,19543,2.25,2.21,2.27,2.21,2.89,2.21,13.64,,1.05,0.51,6.12,14.38,15.5,-1.0,-0.45,
Slater & Gordon,SGH,1.57,2,1.56,1.57,764,1.57,1.55,1.57,1.52,1.74,1.38,5,f,3.58,1.08,3.18,17.9,8.8,6.0,3.97,
