Australian Sharemarket: sector-by-sector guide,,,,,,,,,,,,,,,,,,,,,,
 XAO 4516.5 at 16:37 11/6/2010  Report at 19:05 Friday 11/6/2010. Processed 08:36 Sunday 13/6/2010.,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,
Security Description,ASX Code,Last Sale,+ or -,Quote Buy,Quote Sell,Volume 100s,Day High,Day Low,Week High,Week Low,52-week High,52-week Low,Div ¢ per Share,Franked Div,Div Times Cov'd,Net Tang Assests,Div Yield %,Earn Share ¢,P/E Ratio,Week Change  ¢ ,Week % Move,
SECTOR: Consumer Discretionary,,,,,,,,,,,,,,,,,,,,,,
INDUSTRY GROUP: Automobile & Components,,,,,,,,,,,,,,,,,,,,,,
Adv Braking Tech,ABV,0.019,0.1,0.018,0.019,550,0.019,0.019,0.019,0.018,0.038,0.009,-,,-,-,-,-0.32,-,0.1,5.56,
Advanced Engine,ACE,0.035,-,0.035,0.048,-,-,-,0.039,0.032,0.093,0.031,-,,-,-0.05,-,-2.58,-,0.3,9.38,
Auto Tech Ltd,ATJ,0.05,0.9,0.05,0.054,80,0.05,0.05,0.05,0.041,0.092,0.028,-,,-,0.02,-,-4.29,-,-,-,
  opt jun11,ATJO,0.005,-,0.005,-,-,-,-,0.01,0.005,0.011,0.005,-,,-,-,-,-,-,-0.5,-50,
Berklee Ltd,BER,0.43,-,0.43,0.45,-,-,-,0.45,0.43,0.737,0.35,-,,-,1.23,-,19.64,2.2,-1.0,-2.27,
Datadot Tech,DDT,0.035,-0.1,0.034,0.035,1325,0.036,0.035,0.037,0.034,0.105,0.015,-,,-,0.01,-,-0.86,-,-0.1,-2.78,
Fleetwood Corp,FWD,8.87,16,8.84,8.90,1958,8.90,8.82,8.90,8.40,9.74,5.30,66,f,0.98,2.12,7.44,64.7,13.7,15.0,1.72,
Orbital Corp Ltd,OEC,0.031,-0.1,0.031,0.034,3749,0.032,0.031,0.032,0.031,0.085,0.03,-,,-,0.02,-,-0.51,-,-0.1,-3.13,
Schaffer Corp Ltd,SFC,5.20,5,5.25,5.35,27,5.20,5.20,5.40,5.15,6.73,4.10,40,f,1.89,3.62,7.69,75.7,6.9,-30.0,-5.45,
Supply Net,SNL,0.38,-,0.38,0.40,-,-,-,0.38,0.36,0.51,0.24,3,f,1.91,0.40,7.89,5.74,6.6,-,-,
INDUSTRY GROUP: Consumer Durables & Apparel,,,,,,,,,,,,,,,,,,,,,,
Arafura Pearls,APB,0.01,-,0.009,0.01,270,0.01,0.01,0.01,0.01,0.058,0.008,-,,-,0.12,-,-7.66,-,-,-,
Atlantic Ltd,ATI,0.044,0.3,0.042,0.045,137776,0.044,0.042,0.044,0.038,0.07,0.01,-,,-,0.01,-,-0.12,-,0.4,10,
  opt dec11,ATIO,0.032,-,0.03,0.032,5220,0.034,0.03,0.034,0.029,0.058,0.003,-,,-,-,-,-,-,0.2,6.67,
Atlas Southsea Pearl,ATP,0.125,0.5,0.11,0.13,200,0.125,0.125,0.125,0.11,0.145,0.085,-,,-,0.13,-,-6.75,-,2.0,19.05,
Billabong Intl,BBG,9.70,10,9.57,9.75,8942,9.76,9.57,9.76,9.31,12.32,7.93,36,p,1.59,0.84,3.71,57.2,17.0,-5.0,-0.51,
BKM Management,BKM,0.005,-,0.005,0.007,-,-,-,0.006,0.005,0.013,0.003,-,,-,-,-,-0.2,-,-,-,
Fisher & Paykel App,FPA,0.46,3.5,0.44,0.46,3644,0.46,0.435,0.46,0.425,0.715,0.425,-,,-,-,-,-10.54,-,1.5,3.37,
Funtastic Ltd,FUN,0.22,1,0.215,0.22,941,0.22,0.20,0.23,0.20,0.30,0.125,-,,-,0.01,-,-25,-,-1.0,-4.35,
